obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
850.9995,0.0005,850.9991,11750.888,5,,,48882.263,60633.157,4s2.4p.4d,3D*,2,4s2.4p.(2P*<1/2>).6f,2[7/2],3,5,7,,,L3476,
856.7242,0.0005,856.7241,11672.368,8,,,48962.783,60635.152,4s2.4p.4d,3D*,1,4s2.4p.(2P*<1/2>).6f,2[5/2],2,3,5,,,L3476,
860.1633,0.0005,860.165,11625.699,6,,,50786.79,62412.46,4s2.4p.4d,3F*,4,4s2.4p.(2P*<3/2>).6f,2[9/2],5,9,11,,,L3476,
865.4795,0.0005,865.4793,11554.289,6,,,48104.1003,59658.391,4s2.4p.5p,3D,3,4s2.4p.6d,"(1/2,5/2)*",3,7,7,,,L3476,
867.1985,0.0005,867.1989,11531.385,5,,,49075.8917,60607.272,4s2.4p.5p,3S,1,4s2.4p.6d,"(3/2,3/2)*",0,3,1,,,L3476,
870.2992,0.0005,870.2992,11490.302,9,,,49144.397,60634.698,4s2.4p.4d,3D*,3,4s2.4p.(2P*<1/2>).6f,2[7/2],4,7,9,,,L3476,
871.5295,0.0005,871.5306,11474.081,5,,,49075.8917,60549.958,4s2.4p.5p,3S,1,4s2.4p.6d,"(3/2,3/2)*",1,3,3,,,L3476,
873.7184,0.0005,873.7186,11445.335,6,,,45985.592,57430.924,4s2.4p.5p,3D,1,4s2.4p.5d,3P*,2,3,5,,,L3476,
879.2298,0.0005,879.23015,11373.591,6,,,37702.3054,49075.8917,4s2.4p.5s,3P*,1,4s2.4p.5p,3S,1,3,3,,,L3476,
907.1270,0.0005,907.12748,11023.814,5,,,37702.3054,48726.1143,4s2.4p.5s,3P*,1,4s2.4p.5p,3P,2,3,5,,,L3476,
909.8450,0.0005,909.84535,10990.884,5,,,40020.5604,51011.4392,4s2.4p.5s,1P*,1,4s2.4p.5p,1S,0,3,1,,,L3476,
940.1441,0.0005,940.14465,10636.668,6,,,37451.6893,48088.3504,4s2.4p.5s,3P*,0,4s2.4p.5p,3P,1,1,3,,,L3476,
949.5154,0.0005,949.51625,10531.688,4,,,39117.9021,49649.5807,4s2.4p.5s,3P*,2,4s2.4p.5p,1D,2,5,5,,,L3476,
962.8298,0.0005,962.83041,10386.052,7,,,37702.3054,48088.3504,4s2.4p.5s,3P*,1,4s2.4p.5p,3P,1,3,3,,,L3476,
1004.2179,0.0005,1004.21876,9957.998,5,,,39117.9021,49075.8917,4s2.4p.5s,3P*,2,4s2.4p.5p,3S,1,5,3,,,L3476,
1020.3742,0.0005,1020.37481,9800.326,4,,,37702.3054,47502.6257,4s2.4p.5s,3P*,1,4s2.4p.5p,3P,0,3,1,,,L3476,
1038.5265,0.0005,1038.52725,9629.027,10,,,40020.5604,49649.5807,4s2.4p.5s,1P*,1,4s2.4p.5p,1D,2,3,5,,,L3476,
1040.7746,0.0005,1040.77635,9608.228,10,,,39117.9021,48726.1143,4s2.4p.5s,3P*,2,4s2.4p.5p,3P,2,5,5,,,L3476,
1073.7000,0.0005,1073.70084,9313.589,8,,,37451.6893,46765.2705,4s2.4p.5s,3P*,0,4s2.4p.5p,1P,1,1,3,,,L3476,
1095.0410,0.0005,1095.04145,9132.078,8,,,37702.3054,46834.3798,4s2.4p.5s,3P*,1,4s2.4p.5p,3D,2,3,5,,,L3476,
1112.8172,0.0005,1112.81765,8986.202,10,,,39117.9021,48104.1003,4s2.4p.5s,3P*,2,4s2.4p.5p,3D,3,5,7,,,L3476,
1125.5911,0.0005,1125.5907,8884.221,230,,,46834.3798,55718.604,4s2.4p.5p,3D,2,4s2.4p.5d,3D*,3,5,7,,,L3503,
1129.649,0.005,1129.647,8852.31,24,,,46834.3798,55686.70,4s2.4p.5p,3D,2,4s2.4p.5d,3F*,2,5,5,,,L3503,
1132.123,0.005,1132.1189,8832.96,33,,,48088.3504,56921.345,4s2.4p.5p,3P,1,4s2.4p.5d,*,2,3,5,,,L3503,
1146.2187,0.0005,1146.2187,8724.338,55,,,48104.1003,56828.439,4s2.4p.5p,3D,3,4s2.4p.5d,3F*,3,7,7,,,L3503,
1148.6918,0.0005,1148.69199,8705.555,150,,,40020.5604,48726.1143,4s2.4p.5s,1P*,1,4s2.4p.5p,3P,2,3,5,,,L3503,
1161.7994,0.0005,1161.7992,8607.338,175,,,46765.2705,55372.610,4s2.4p.5p,1P,1,4s2.4p.5d,3D*,2,3,5,,,L3503,
1171.7970,0.0005,1171.7968,8533.902,600,,,37451.6893,45985.592,4s2.4p.5s,3P*,0,4s2.4p.5p,3D,1,1,3,,,L3503,
