obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
204.0,,,49030,,,,,,,,,,,,1,1,,,L1614,
217.41,217.1,0.7,45996,*,,,463520,509580,1s.2s.2p,4P*,5/2,1s.2s.4s,4S,3/2,6,4,,,L1560,
217.41,217.1,0.7,45996,*,,,463520,509580,1s.2s.2p,4P*,1/2,1s.2s.4s,4S,3/2,2,4,,,L1560,
217.41,217.1,0.7,45996,*,,,463520,509580,1s.2s.2p,4P*,3/2,1s.2s.4s,4S,3/2,4,4,,,L1560,
230.530,230.5300,0.0010,43378.3,*,,,0.00,43378.31,1s2.2s,2S,1/2,1s2.32p,2P*,3/2,2,4,,,L7397,
230.530,230.5300,0.0010,43378.3,*,,,0.00,43378.31,1s2.2s,2S,1/2,1s2.32p,2P*,1/2,2,2,,,L7397,
230.563,230.5632,0.0010,43372.1,*,,,0.00,43372.06,1s2.2s,2S,1/2,1s2.31p,2P*,1/2,2,2,,,L7397,
230.563,230.5632,0.0010,43372.1,*,,,0.00,43372.06,1s2.2s,2S,1/2,1s2.31p,2P*,3/2,2,4,,,L7397,
230.607,230.6076,0.0010,43363.8,*,,,0.00,43363.71,1s2.2s,2S,1/2,1s2.30p,2P*,3/2,2,4,,,L7397,
230.607,230.6076,0.0010,43363.8,*,,,0.00,43363.71,1s2.2s,2S,1/2,1s2.30p,2P*,1/2,2,2,,,L7397,
230.654,230.6544,0.0010,43355.0,*,,,0.00,43354.91,1s2.2s,2S,1/2,1s2.29p,2P*,3/2,2,4,,,L7397,
230.654,230.6544,0.0010,43355.0,*,,,0.00,43354.91,1s2.2s,2S,1/2,1s2.29p,2P*,1/2,2,2,,,L7397,
230.700,230.6997,0.0010,43346.3,*,,,0.00,43346.39,1s2.2s,2S,1/2,1s2.28p,2P*,1/2,2,2,,,L7397,
230.700,230.6997,0.0010,43346.3,*,,,0.00,43346.39,1s2.2s,2S,1/2,1s2.28p,2P*,3/2,2,4,,,L7397,
230.753,230.7529,0.0010,43336.4,*,,,0.00,43336.40,1s2.2s,2S,1/2,1s2.27p,2P*,3/2,2,4,,,L7397,
230.753,230.7529,0.0010,43336.4,*,,,0.00,43336.40,1s2.2s,2S,1/2,1s2.27p,2P*,1/2,2,2,,,L7397,
230.815,230.8146,0.0010,43324.7,*,,,0.00,43324.81,1s2.2s,2S,1/2,1s2.26p,2P*,3/2,2,4,,,L7397,
230.815,230.8146,0.0010,43324.7,*,,,0.00,43324.81,1s2.2s,2S,1/2,1s2.26p,2P*,1/2,2,2,,,L7397,
230.968,230.9681,0.0010,43296.0,*,,,0.00,43296.03,1s2.2s,2S,1/2,1s2.24p,2P*,1/2,2,2,,,L7397,
230.968,230.9681,0.0010,43296.0,*,,,0.00,43296.03,1s2.2s,2S,1/2,1s2.24p,2P*,3/2,2,4,,,L7397,
231.059,231.0592,0.0010,43279.0,*,,,0.00,43278.96,1s2.2s,2S,1/2,1s2.23p,2P*,3/2,2,4,,,L7397,
231.059,231.0592,0.0010,43279.0,*,,,0.00,43278.96,1s2.2s,2S,1/2,1s2.23p,2P*,1/2,2,2,,,L7397,
231.165,231.1650,0.0010,43259.1,*,,,0.00,43259.14,1s2.2s,2S,1/2,1s2.22p,2P*,3/2,2,4,,,L7397,
231.165,231.1650,0.0010,43259.1,*,,,0.00,43259.14,1s2.2s,2S,1/2,1s2.22p,2P*,1/2,2,2,,,L7397,
231.282,231.2825,0.0010,43237.2,*,,,0.00,43237.16,1s2.2s,2S,1/2,1s2.21p,2P*,1/2,2,2,,,L7397,
231.282,231.2825,0.0010,43237.2,*,,,0.00,43237.16,1s2.2s,2S,1/2,1s2.21p,2P*,3/2,2,4,,,L7397,
