obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""525.1890""","=""0.0010""","=""525.189+""","=""2h""","=""""",,"=""77269.145""","=""96304.62""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""0""",,"=""""","=""L4739""",
"=""527.3480""","=""0.0010""","=""527.346+""","=""1h""","=""""",,"=""76196.767""","=""95154.37""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).10p""","=""2[1/2]""","=""1""",,"=""""","=""L4739""",
"=""528.3300""","=""0.0010""","=""528.329+""","=""2h""","=""""",,"=""77185.041""","=""96107.36""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).8f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""528.6110""","=""0.0010""","=""528.610+""","=""4h""","=""""",,"=""77185.041""","=""96097.31""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).8f""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""528.6380""","=""0.0010""","=""528.640+""","=""3h""","=""""",,"=""77185.041""","=""96096.25""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).8f""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""530.6370""","=""0.0010""","=""530.636+""","=""3""","=""1.60e+05""",C+,"=""77269.145""","=""96109.22""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""533.5910""","=""0.0010""","=""533.5872+""","=""1h-""","=""""",,"=""78119.798""","=""96855.664""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).13d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""533.7890""","=""0.0010""","=""533.7915+""","=""2h""","=""""",,"=""78119.798""","=""96848.494""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).13d""","=""2[7/2]*""","=""3""",,"=""""","=""L4739""",
"=""535.6800""","=""0.0010""","=""535.68+""","=""1""","=""""",,"=""89278.706""","=""107941.5""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<1/2>).20s""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""536.2244""","=""0.0002""","=""536.2241+""","=""15""","=""""",,"=""77269.145""","=""95912.880""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
"=""536.4626""","=""0.0002""","=""536.4623+""","=""30""","=""""",,"=""77269.145""","=""95904.600""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""536.7030""","=""0.0010""","=""536.703+""","=""6""","=""""",,"=""77269.145""","=""95896.25""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",,"=""""","=""L4739""",
"=""537.3740""","=""0.0010""","=""537.3763+""","=""1h-""","=""""",,"=""78403.061""","=""97006.822""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).14d""","=""2[7/2]*""","=""4""",,"=""""","=""L4739""",
"=""539.2795""","=""0.0002""","=""539.2792+""","=""100""","=""""",,"=""76196.767""","=""94734.882""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L7292""",
"=""539.4738""","=""0.0002""","=""539.4735+""","=""20""","=""""",,"=""77269.145""","=""95800.584""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
"=""539.7630""","=""0.0010""","=""539.7628+""","=""1h""","=""""",,"=""78119.798""","=""96641.306""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""540.0450""","=""0.0010""","=""540.0455+""","=""4h""","=""""",,"=""78119.798""","=""96631.610""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""3""",,"=""""","=""L4739""",
"=""541.8020""","=""0.0010""","=""541.802+""","=""5""","=""""",,"=""77269.145""","=""95720.95""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L4739""",
"=""542.1760""","=""0.0010""","=""542.1773+""","=""2h""","=""""",,"=""78403.061""","=""96842.085""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).13d""","=""2[7/2]*""","=""4""",,"=""""","=""L4739""",
"=""543.5600""","=""0.0010""","=""543.559+""","=""5h""","=""""",,"=""77185.041""","=""95577.20""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""543.9923""","=""0.0002""","=""543.9923+""","=""30""","=""""",,"=""77185.041""","=""95562.546""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""",,"=""""","=""L7292""",
"=""544.0390""","=""0.0010""","=""544.0359+""","=""15""","=""""",,"=""77185.041""","=""95561.074""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
"=""544.4870""","=""0.0010""","=""544.487+""","=""1h""","=""""",,"=""78119.798""","=""96480.62""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""""","=""""","=""544.738+""","=""""","=""4.0e+04""",C,"=""78119.798""","=""96472.13""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""""",
"=""545.4540""","=""0.0010""","=""545.4461+""","=""1h""","=""""",,"=""78403.061""","=""96731.584""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).14s""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""545.6450""","=""0.0010""","=""545.646+""","=""2""","=""4.40e+04""",B,"=""77269.145""","=""95590.97""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L4739""",
"=""546.0037""","=""0.0002""","=""546.0034+""","=""15""","=""2.50e+05""",B+,"=""77269.145""","=""95578.961""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L7292""",
"=""547.9120""","=""0.0010""","=""547.9124+""","=""1h""","=""""",,"=""78403.061""","=""96649.083""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""548.1330""","=""0.0010""","=""548.131+""","=""1h""","=""""",,"=""78119.798""","=""96358.56""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""548.4160""","=""0.0010""","=""548.414+""","=""1h""","=""""",,"=""77269.145""","=""95498.48""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""548.4460""","=""0.0010""","=""548.447+""","=""4h""","=""""",,"=""78119.798""","=""96348.03""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""548.7030""","=""0.0010""","=""548.7055+""","=""6h""","=""""",,"=""78403.061""","=""96622.710""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""4""",,"=""""","=""L4739""",
"=""548.8555""","=""0.0002""","=""548.8552+""","=""20h""","=""""",,"=""78119.798""","=""96334.479""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""",,"=""""","=""L7292""",
"=""552.305""","=""0.003""","=""552.302+""","=""1""","=""""",,"=""77185.041""","=""95286.06""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).10p""","=""2[1/2]""","=""0""",,"=""""","=""L3989""",
"=""553.2780""","=""0.0010""","=""553.278+""","=""2h""","=""1.80e+05""",B+,"=""78403.061""","=""96472.13""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""554.0380""","=""0.0010""","=""554.030+""","=""3h*""","=""""",,"=""77185.041""","=""95229.59""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).10p""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""554.0380""","=""0.0010""","=""554.0391+""","=""3h*""","=""""",,"=""77269.145""","=""95313.401""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""555.2385""","=""0.0002""","=""555.2387+""","=""80""","=""""",,"=""77269.145""","=""95274.415""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""555.3100""","=""0.0010""","=""555.310+""","=""3h""","=""""",,"=""78119.798""","=""96122.77""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""555.5060""","=""0.0010""","=""555.506+""","=""1-""","=""""",,"=""77185.041""","=""95181.66""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).10p""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""555.7280""","=""0.0010""","=""555.728+""","=""2""","=""6.0e+04""",C+,"=""78119.798""","=""96109.22""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""556.3500""","=""0.0010""","=""556.349+""","=""2""","=""""",,"=""77185.041""","=""95154.37""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).10p""","=""2[1/2]""","=""1""",,"=""""","=""L4739""",
"=""556.6615""","=""0.0002""","=""556.6614+""","=""100""","=""""",,"=""77269.145""","=""95228.399""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
"=""556.7770""","=""0.0010""","=""556.778+""","=""2h""","=""""",,"=""78403.061""","=""96358.56""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""557.5270""","=""0.0010""","=""557.5256+""","=""2h""","=""""",,"=""78403.061""","=""96334.479""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""",,"=""""","=""L4739""",
"=""557.9280""","=""0.0010""","=""557.928+""","=""40""","=""""",,"=""78403.061""","=""96321.55""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""4""",,"=""""","=""L4739""",
"=""558.1784""","=""0.0002""","=""558.1787+""","=""50""","=""""",,"=""77269.145""","=""95179.580""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""0""",,"=""""","=""L7292""",
"=""558.5180""","=""0.0010""","=""558.5156+""","=""1-""","=""""",,"=""78956.031""","=""96855.664""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).13d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""559.4370""","=""0.0010""","=""559.436+""","=""6""","=""""",,"=""76196.767""","=""94066.95""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).9p""","=""2[1/2]""","=""1""",,"=""""","=""L4739""",
"=""560.7990""","=""0.0010""","=""560.7980+""","=""3""","=""""",,"=""78119.798""","=""95946.582""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""561.2650""","=""0.0010""","=""561.263+""","=""15""","=""""",,"=""78119.798""","=""95931.80""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""561.8878""","=""0.0002""","=""561.8879+""","=""80""","=""""",,"=""78119.798""","=""95912.003""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""""","=""L7292""",
"=""562.1240""","=""0.0010""","=""562.1218+""","=""1""","=""""",,"=""78119.798""","=""95904.600""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""564.6190""","=""0.0010""","=""564.619+""","=""5""","=""2.70e+05""",B+,"=""78403.061""","=""96109.22""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""565.2840""","=""0.0010""","=""565.2853+""","=""2h""","=""""",,"=""78956.031""","=""96641.306""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""565.4310""","=""0.0010""","=""565.4288+""","=""1h-""","=""""",,"=""78119.798""","=""95800.584""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""566.4460""","=""0.0010""","=""566.4447+""","=""1h""","=""""",,"=""79212.465""","=""96861.540""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).13d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""568.8373""","=""0.0002""","=""568.8356+""","=""40""","=""""",,"=""77185.041""","=""94759.935""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L7292""",
"=""569.5750""","=""0.0002""","=""569.5750+""","=""100""","=""""",,"=""77185.041""","=""94737.121""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",,"=""""","=""L7292""",
"=""569.6477""","=""0.0002""","=""569.6477+""","=""80""","=""""",,"=""77185.041""","=""94734.882""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L7292""",
"=""569.8540""","=""0.0010""","=""569.8529+""","=""8""","=""""",,"=""78403.061""","=""95946.582""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""570.3340""","=""0.0010""","=""570.333+""","=""1""","=""""",,"=""78403.061""","=""95931.80""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""570.6870""","=""0.0010""","=""570.6851+""","=""3""","=""7.0e+04""",C+,"=""77269.145""","=""94787.084""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L4739""",
"=""570.9800""","=""0.0010""","=""570.9783+""","=""10h""","=""""",,"=""78403.061""","=""95912.003""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""""","=""L4739""",
"=""571.2210""","=""0.0010""","=""571.2198+""","=""2""","=""""",,"=""78403.061""","=""95904.600""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""571.5716""","=""0.0002""","=""571.5712+""","=""70""","=""3.5e+05""",C+,"=""77269.145""","=""94759.927""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L7292""",
"=""571.6252""","=""0.0002""","=""571.6251+""","=""80""","=""""",,"=""78403.061""","=""95892.194""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""",,"=""""","=""L7292""",
"=""572.2140""","=""0.0010""","=""572.213+""","=""15h""","=""3.60e+05""",B+,"=""78119.798""","=""95590.97""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L4739""",
"=""572.3260""","=""0.0010""","=""572.325+""","=""1h""","=""""",,"=""78956.031""","=""96423.77""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""572.6100""","=""0.0010""","=""572.6063+""","=""4""","=""9.0e+04""",C+,"=""78119.798""","=""95578.961""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""573.3480""","=""0.0010""","=""573.3467+""","=""4h""","=""""",,"=""79212.465""","=""96649.083""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""574.0170""","=""0.0010""","=""574.0148+""","=""6""","=""""",,"=""77269.145""","=""94685.467""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""574.0730""","=""0.0010""","=""574.0732+""","=""1h""","=""""",,"=""79212.465""","=""96627.017""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).12d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""574.8200""","=""0.0010""","=""574.818+""","=""8h""","=""""",,"=""78956.031""","=""96348.03""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""575.4600""","=""0.0010""","=""575.460+""","=""1h""","=""""",,"=""78956.031""","=""96328.62""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""579.2260""","=""0.0010""","=""579.225+""","=""1h""","=""9.0e+04""",C,"=""79212.465""","=""96472.13""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""580.7311""","=""0.0002""","=""580.7303+""","=""15""","=""""",,"=""78119.798""","=""95334.723""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
"=""581.4505""","=""0.0002""","=""581.4505+""","=""60""","=""""",,"=""78119.798""","=""95313.401""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L7292""",
"=""582.0520""","=""0.0010""","=""582.0498+""","=""25""","=""4.00e+05""",B+,"=""78403.061""","=""95578.961""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""T5818""","=""L4739""",
"=""582.3890""","=""0.0002""","=""582.3887+""","=""300""","=""""",,"=""76196.767""","=""93362.671""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L7292""",
"=""582.4800""","=""0.0002""","=""582.4801+""","=""150""","=""""",,"=""78119.798""","=""95283.008""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""",,"=""""","=""L7292""",
"=""582.7720""","=""0.0010""","=""582.7719+""","=""1""","=""""",,"=""78119.798""","=""95274.415""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""583.0630""","=""0.0010""","=""583.062+""","=""20h""","=""""",,"=""79212.465""","=""96358.56""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",,"=""""","=""L4739""",
"=""584.0830""","=""0.0010""","=""584.081+""","=""4h""","=""""",,"=""79212.465""","=""96328.62""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""584.3430""","=""0.0010""","=""584.3393+""","=""5""","=""""",,"=""78119.798""","=""95228.399""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""584.5460""","=""0.0010""","=""584.541+""","=""1""","=""""",,"=""79212.465""","=""96315.16""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""584.6210""","=""0.0010""","=""584.618+""","=""2""","=""""",,"=""77185.041""","=""94285.50""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).9p""","=""2[1/2]""","=""0""",,"=""""","=""L4739""",
"=""584.9850""","=""0.0010""","=""584.984+""","=""3h""","=""""",,"=""78956.031""","=""96045.77""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""585.6509""","=""0.0002""","=""585.6509+""","=""15""","=""""",,"=""77269.145""","=""94339.433""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L7292""",
"=""587.5018""","=""0.0002""","=""587.5019+""","=""100""","=""""",,"=""77269.145""","=""94285.651""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""587.8920""","=""0.0010""","=""587.893+""","=""6""","=""""",,"=""77185.041""","=""94190.24""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L4739""",
"=""588.9120""","=""0.0010""","=""588.912+""","=""20""","=""""",,"=""78956.031""","=""95931.80""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
"=""589.4988""","=""0.0002""","=""589.4989+""","=""100""","=""""",,"=""77269.145""","=""94228.004""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
"=""589.5620""","=""0.0010""","=""589.5688+""","=""2h""","=""""",,"=""78956.031""","=""95912.880""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""""","=""L4739""",
"=""589.8560""","=""0.0010""","=""589.8569+""","=""8""","=""""",,"=""78956.031""","=""95904.600""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
"=""590.4462""","=""0.0002""","=""590.4459+""","=""20""","=""""",,"=""78403.061""","=""95334.723""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
"=""590.6760""","=""0.0010""","=""590.674+""","=""3""","=""""",,"=""77185.041""","=""94110.15""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
"=""591.1900""","=""0.0010""","=""591.192+""","=""5*""","=""""",,"=""79212.465""","=""96122.77""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
"=""591.1900""","=""0.0010""","=""591.1903+""","=""5*""","=""""",,"=""78403.061""","=""95313.401""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
