obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""46.100""","=""0.005""","=""46.0999+""","=""a""","=""""",,"=""0.000""","=""216920.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4S*<3/2>).9d""","=""*""","=""1""",,"=""""","=""L1526""",
"=""46.815""","=""0.005""","=""46.8149+""","=""a""","=""""",,"=""0.000""","=""213607.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).13d""","=""*""","=""1""",,"=""""","=""L1526""",
"=""46.867""","=""0.005""","=""46.8669+""","=""a""","=""""",,"=""0.000""","=""213370.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).12d""","=""*""","=""1""",,"=""""","=""L1526""",
"=""46.940""","=""0.005""","=""46.9400+""","=""a""","=""""",,"=""0.000""","=""213038.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).11d""","=""*""","=""1""",,"=""""","=""L1526""",
"=""47.046""","=""0.005""","=""47.0460+""","=""a""","=""""",,"=""0.000""","=""212558.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).10d""","=""*""","=""1""",,"=""""","=""L1526""",
"=""52.577""","=""0.002""","=""52.577+""","=""a""","=""""",,"=""0.000""","=""190197.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<3/2>).10p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""52.805""","=""0.005""","=""52.805+""","=""a""","=""""",,"=""0.000""","=""189376.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).12p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""52.842""","=""0.003""","=""52.842+""","=""a""","=""""",,"=""0.000""","=""189243.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<3/2>).9p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""52.934""","=""0.002""","=""52.934+""","=""a""","=""""",,"=""0.000""","=""188914.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).11p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.074""","=""0.003""","=""53.074+""","=""a""","=""""",,"=""0.000""","=""188416.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).23p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.083""","=""0.003""","=""53.083+""","=""a""","=""""",,"=""0.000""","=""188384.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).22p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.093""","=""0.002""","=""53.093+""","=""a""","=""""",,"=""0.000""","=""188349.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).21p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.121""","=""0.002""","=""53.121+""","=""a""","=""""",,"=""0.000""","=""188249.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).19p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.137""","=""0.002""","=""53.137+""","=""a""","=""""",,"=""0.000""","=""188193.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).10p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.276""","=""0.002""","=""53.276+""","=""a""","=""""",,"=""0.000""","=""187702.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).14p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.334""","=""0.005""","=""53.334+""","=""a*""","=""""",,"=""0.000""","=""187498.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).13p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.334""","=""0.005""","=""53.334+""","=""a*""","=""""",,"=""0.000""","=""187498.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<3/2>).8p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.427""","=""0.002""","=""53.427+""","=""a""","=""""",,"=""0.000""","=""187171.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).12p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.458""","=""0.002""","=""53.458+""","=""a""","=""""",,"=""0.000""","=""187063.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).9p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.555""","=""0.002""","=""53.555+""","=""a""","=""""",,"=""0.000""","=""186724.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).11p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.746""","=""0.002""","=""53.746+""","=""a""","=""""",,"=""0.000""","=""186060.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).10p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""53.933""","=""0.002""","=""53.933+""","=""a""","=""""",,"=""0.000""","=""185415.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).8p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""54.054""","=""0.002""","=""54.054+""","=""a""","=""""",,"=""0.000""","=""185000.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).9p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""54.418""","=""0.002""","=""54.418+""","=""a""","=""""",,"=""0.000""","=""183763.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<3/2>).7p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""54.608""","=""0.002""","=""54.608+""","=""a""","=""""",,"=""0.000""","=""183123.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).8p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""55.076""","=""0.002""","=""55.076+""","=""a""","=""""",,"=""0.000""","=""181567.""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).7p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""55.783""","=""0.002""","=""55.783+""","=""a""","=""""",,"=""0.000""","=""179266.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).7p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""59.177""","=""0.003""","=""59.177+""","=""a""","=""""",,"=""0.000""","=""168985.""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).6p""","=""*""","=""1""",,"=""""","=""L1526""",
"=""92.5743""","=""0.0002""","=""92.5743+""","=""a""","=""""",,"=""0.000""","=""108021.3""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.6114""","=""0.0002""","=""92.6114+""","=""a""","=""""",,"=""0.000""","=""107978.1""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).19d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.6428""","=""0.0002""","=""92.6428+""","=""a""","=""""",,"=""0.000""","=""107941.5""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).20s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.6556""","=""0.0002""","=""92.6556+""","=""a""","=""""",,"=""0.000""","=""107926.5""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""92.6936""","=""0.0002""","=""92.6936+""","=""a""","=""""",,"=""0.000""","=""107882.3""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).19s""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
