obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
294.400,,33967.4,440,,,,,,,L3475,
296.314,,33748.0,270,,,,,,,L3475,
296.598,,33715.7,720,,,,,,,L3475,
296.663,,33708.3,1500,,,,,,,L3475,
297.716,,33589.1,310,,,,,,,L3475,
297.902,,33568.1,210,,,,,,,L3475,
298.169,,33538.0,220,,,,,,,L3475,
298.306,,33522.6,220,,,,,,,L3475,
298.934,,33452.2,220,,,,,,,L3475,
299.323,,33408.7,1800,,,,,,,L3475,
300.047,,33328.1,5500,,,,,,,L3475,
300.201,,33311.0,350,,,,,,,L3475,
300.502,,33277.7,220,,,,,,,L3475,
300.730,,33252.5,200,,,,,,,L3475,
301.690,,33146.6,500,,,,,,,L3475,
301.737,,33141.5,300,,,,,,,L3475,
303.133,,32988.8,380,,,,,,,L3475,
304.814,,32806.9,240,,,,,,,L3475,
305.967,,32683.3,200,,,,,,,L3475,
306.829,,32591.4,1600,,,,,,,L3475,
307.083,,32564.5,320,,,,,,,L3475,
307.205,,32551.5,260,,,,,,,L3475,
307.385,,32532.5,200,,,,,,,L3475,
308.333,,32432.5,550,,,,,,,L3475,
308.966,,32366.1,340,,,,,,,L3475,
309.454,,32315.0,200,,,,,,,L3475,
309.596,,32300.2,200,,,,,,,L3475,
310.157,,32241.7,700,,,,,,,L3475,
310.971,,32157.3,700,,,,,,,L3475,
311.176,,32136.1,340,,,,,,,L3475,
311.909,,32060.6,340c,,,,,,,L3475,
312.227,,32028.0,340,,,,,,,L3475,
312.985,,31950.4,420,,,,,,,L3475,
313.493,,31898.7,260,,,,,,,L3475,
314.229,,31823.9,250,,,,,,,L3475,
315.255,,31720.3,440,,,,,,,L3475,
315.470,,31698.7,330,,,,,,,L3475,
315.922,,31653.3,360c,,,,,,,L3475,
316.544,,31591.2,220,,,,,,,L3475,
316.929,,31552.8,700,,,,,,,L3475,
317.553,,31490.8,220,,,,,,,L3475,
317.863,,31460.1,440,,,,,,,L3475,
317.953,,31451.2,260,,,,,,,L3475,
318.379,,31409.1,600,,,,,,,L3475,
318.568,,31390.5,1100,,,,,,,L3475,
318.649,,31382.5,1100,,,,,,,L3475,
319.170,,31331.2,260,,,,,,,L3475,
319.328,,31315.7,260,,,,,,,L3475,
319.542,,31294.8,200,,,,,,,L3475,
319.950,,31254.8,220,,,,,,,L3475,
320.518,,31199.5,1100c,,,,,,,L3475,
323.687,,30894.0,380,,,,,,,L3475,
325.979,,30676.8,600,,,,,,,L3475,
326.049,,30670.2,600,,,,,,,L3475,
326.250,,30651.3,200,,,,,,,L3475,
326.983,,30582.6,300,,,,,,,L3475,
329.578,,30341.8,200,,,,,,,L3475,
329.765,,30324.6,280,,,,,,,L3475,
329.794,,30322.0,280,,,,,,,L3475,
330.255,,30279.6,280,,,,,,,L3475,
330.318,,30273.9,240,,,,,,,L3475,
330.470,,30259.9,280,,,,,,,L3475,
331.490,,30166.8,240,,,,,,,L3475,
332.344,,30089.3,600,,,,,,,L3475,
333.248,,30007.7,200,,,,,,,L3475,
333.914,,29947.8,2000,,,,,,,L3475,
334.320,,29911.5,1600,,,,,,,L3475,
334.528,,29892.9,810,,,,,,,L3475,
334.716,,29876.1,320,,,,,,,L3475,
335.729,,29785.9,240bl,,,,,,,L3475,
335.898,,29770.9,200,,,,,,,L3475,
336.371,,29729.1,200,,,,,,,L3475,
337.871,,29597.1,240,,,,,,,L3475,
338.067,,29579.9,320,,,,,,,L3475,
338.673,,29527.0,200,,,,,,,L3475,
339.040,,29495.0,240,,,,,,,L3475,
339.122,,29487.9,200,,,,,,,L3475,
340.028,,29409.4,4000,,,,,,,L3475,
340.570,,29362.6,650,,,,,,,L3475,
340.687,,29352.5,650,,,,,,,L3475,
340.965,,29328.5,240,,,,,,,L3475,
341.081,,29318.6,320,,,,,,,L3475,
341.875,,29250.5,320,,,,,,,L3475,
342.039,,29236.4,810,,,,,,,L3475,
342.560,,29191.9,8000,,,,,,,L3475,
342.717,,29178.6,400,,,,,,,L3475,
342.859,,29166.5,300,,,,,,,L3475,
343.870,,29080.8,320,,,,,,,L3475,
345.036,,28982.5,400,,,,,,,L3475,
345.287,,28961.4,16000c,,,,,,,L3475,
345.449,,28947.8,240,,,,,,,L3475,
346.145,,28889.6,55000c,,,,,,,L3475,
346.572,,28854.0,40000c,,,,,,,L3475,
346.895,,28827.1,400,,,,,,,L3475,
347.744,,28756.8,240,,,,,,,L3475,
348.138,,28724.3,400,,,,,,,L3475,
348.185,,28720.4,320,,,,,,,L3475,
348.323,,28709.0,240,,,,,,,L3475,
350.406,,28538.3,560,,,,,,,L3475,
351.328,,28463.4,100c,,,,,,,L3475,
351.766,,28428.0,320,,,,,,,L3475,
351.834,,28422.5,320,,,,,,,L3475,
353.583,,28281.9,120,,,,,,,L3475,
353.847,,28260.8,320,,,,,,,L3475,
354.034,,28245.9,160,,,,,,,L3475,
355.090,,28161.8,240,,,,,,,L3475,
355.230,,28150.7,160,,,,,,,L3475,
355.467,,28132.0,160,,,,,,,L3475,
355.996,,28090.2,160,,,,,,,L3475,
356.925,,28017.1,160,,,,,,,L3475,
357.128,,28001.2,240,,,,,,,L3475,
358.014,,27931.9,360,,,,,,,L3475,
358.199,,27917.4,650,,,,,,,L3475,
358.404,,27901.5,810,,,,,,,L3475,
359.742,,27797.7,160,,,,,,,L3475,
361.152,,27689.2,160,,,,,,,L3475,
361.811,,27638.7,320,,,,,,,L3475,
362.249,,27605.3,160,,,,,,,L3475,
362.694,,27571.4,160,,,,,,,L3475,
363.810,,27486.9,140,,,,,,,L3475,
363.888,,27481.0,810,,,,,,,L3475,
365.301,,27374.7,440,,,,,,,L3475,
367.083,,27241.8,120,,,,,,,L3475,
367.158,,27236.3,320,,,,,,,L3475,
369.055,,27096.2,860c,,,,,,,L3475,
369.253,,27081.7,1500c,,,,,,,L3475,
369.876,,27036.1,100,,,,,,,L3475,
370.429,,26995.7,520,,,,,,,L3475,
370.607,,26982.7,100,,,,,,,L3475,
371.099,,26947.0,240,,,,,,,L3475,
371.834,,26893.7,360c,,,,,,,L3475,
372.682,,26832.5,4000,,,,,,,L3475,
373.293,,26788.6,140,,,,,,,L3475,
373.334,,26785.7,140,,,,,,,L3475,
373.607,,26766.1,240c,,,,,,,L3475,
373.637,,26763.9,810,,,,,,,L3475,
374.116,,26729.7,910,,,,,,,L3475,
374.147,,26727.4,140,,,,,,,L3475,
374.650,,26691.5,"300c,w",,,,,,,L3475,
376.755,,26542.4,140,,,,,,,L3475,
376.933,,26529.9,120,,,,,,,L3475,
377.873,,26463.9,140,,,,,,,L3475,
378.860,,26395.0,700,,,,,,,L3475,
379.767,,26331.9,160,,,,,,,L3475,
379.867,,26325.0,160,,,,,,,L3475,
380.882,,26254.8,190,,,,,,,L3475,
381.674,,26200.3,120,,,,,,,L3475,
383.739,,26059.4,120,,,,,,,L3475,
387.104,,25832.9,240,,,,,,,L3475,
387.636,,25797.4,240,,,,,,,L3475,
387.796,,25786.8,240,,,,,,,L3475,
390.932,,25579.9,100,,,,,,,L3475,
391.503,,25542.6,130,,,,,,,L3475,
391.838,,25520.8,380c,,,,,,,L3475,
393.096,,25439.1,550,,,,,,,L3475,
393.801,,25393.5,140,,,,,,,L3475,
394.584,,25343.2,110,,,,,,,L3475,
394.703,,25335.5,180,,,,,,,L3475,
396.216,,25238.8,280,,,,,,,L3475,
396.360,,25229.6,350c,,,,,,,L3475,
400.606,,24962.2,100,,,,,,,L3475,
402.410,,24850.3,140,,,,,,,L3475,
402.445,,24848.1,100,,,,,,,L3475,
403.077,,24809.2,110c,,,,,,,L3475,
403.445,,24786.5,220,,,,,,,L3475,
403.863,,24760.9,110,,,,,,,L3475,
405.013,,24690.5,200,,,,,,,L3475,
408.258,,24494.3,240,,,,,,,L3475,
410.558,,24357.1,140,,,,,,,L3475,
411.205,,24318.8,240c,,,,,,,L3475,
412.280,,24255.3,190,,,,,,,L3475,
413.459,,24186.2,"240c,w",,,,,,,L3475,
413.762,,24168.5,1800,,,,,,,L3475,
414.553,,24122.4,700,,,,,,,L3475,
415.113,,24089.8,140,,,,,,,L3475,
417.158,,23971.8,160,,,,,,,L3475,
418.408,,23900.1,220,,,,,,,L3475,
418.424,,23899.2,220,,,,,,,L3475,
422.227,,23683.9,650,,,,,,,L3475,
422.865,,23648.2,3600c,,,,,,,L3475,
424.258,,23570.5,150,,,,,,,L3475,
425.880,,23480.8,260c,,,,,,,L3475,
429.238,,23297.1,120c,,,,,,,L3475,
430.561,,23225.5,200,,,,,,,L3475,
433.347,,23076.2,200,,,,,,,L3475,
435.992,,22936.2,380,,,,,,,L3475,
436.881,,22889.5,190,,,,,,,L3475,
439.257,,22765.7,140,,,,,,,L3475,
439.561,,22749.9,"360c,w",,,,,,,L3475,
440.764,,22687.9,"110c,w",,,,,,,L3475,
441.706,,22639.5,180,,,,,,,L3475,
447.634,,22339.7,150,,,,,,,L3475,
447.965,,22323.2,120,,,,,,,L3475,
450.830,,22181.3,120c,,,,,,,L3475,
451.458,,22150.5,2600,,,,,,,L3475,
451.791,,22134.1,260,,,,,,,L3475,
452.400,,22104.3,500,,,,,,,L3475,
452.515,,22098.7,120,,,,,,,L3475,
453.122,,22069.1,120,,,,,,,L3475,
454.644,,21995.2,100,,,,,,,L3475,
458.196,,21824.7,120,,,,,,,L3475,
460.702,,21706.0,120,,,,,,,L3475,
462.267,,21632.5,100,,,,,,,L3475,
479.276,,20864.8,190c,,,,,,,L3475,
489.051,,20447.8,"2200c,w",,,,,,,L3475,
492.527,,20303.4,220,,,,,,,L3475,
505.997,,19763.0,40,,,,,,,L3475,
509.792,,19615.8,70,,,,,,,L3475,
512.175,,19524.6,20,,,,,,,L3475,
516.309,,19368.3,25,,,,,,,L3475,
518.033,,19303.8,40c,,,,,,,L3475,
518.318,,19293.2,20,,,,,,,L3475,
523.577,,19099.4,35,,,,,,,L3475,
525.032,,19046.5,50,,,,,,,L3475,
527.242,,18966.6,1300,,,,,,,L3475,
527.703,,18950.1,"1600c,w",,,,,,,L3475,
527.971,,18940.4,100,,,,,,,L3475,
530.704,,18842.9,30,,,,,,,L3475,
531.876,,18801.4,20,,,,,,,L3475,
532.276,,18787.2,35,,,,,,,L3475,
532.894,,18765.5,50,,,,,,,L3475,
533.338,,18749.8,20,,,,,,,L3475,
533.424,,18746.8,20,,,,,,,L3475,
533.533,,18743.0,20,,,,,,,L3475,
537.097,,18618.6,35,,,,,,,L3475,
537.129,,18617.5,50c,,,,,,,L3475,
537.860,,18592.2,100c,,,,,,,L3475,
543.341,,18404.6,25,,,,,,,L3475,
543.854,,18387.3,14,,,,,,,L3475,
544.943,,18350.5,14,,,,,,,L3475,
546.216,,18307.8,25,,,,,,,L3475,
552.158,,18110.7,14w,,,,,,,L3475,
552.263,,18107.3,25,,,,,,,L3475,
553.422,,18069.4,50c,,,,,,,L3475,
556.478,,17970.1,50c,,,,,,,L3475,
557.502,,17937.2,25,,,,,,,L3475,
558.627,,17901.0,25,,,,,,,L3475,
560.877,,17829.2,10w,,,,,,,L3475,
561.383,,17813.2,12w,,,,,,,L3475,
566.945,,17638.4,100,,,,,,,L3475,
