obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""297.0977""","=""297.0963""","=""0.0008""","=""5""","=""""",,"=""22852.80""","=""56502.10""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""297.1203""","=""297.1201""","=""0.0008""","=""10""","=""""",,"=""18116.84""","=""51763.44""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""297.1482""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""297.1675""","=""297.1672""","=""0.0008""","=""40""","=""""",,"=""1670.29""","=""35311.56""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""297.2498""","=""297.2496""","=""0.0008""","=""25""","=""""",,"=""19253.56""","=""52885.50""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""297.2922""","=""297.2917""","=""0.0008""","=""50""","=""""",,"=""12161.96""","=""45789.14""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""297.3546""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""297.3792""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""297.4019""","=""297.4016""","=""0.0008""","=""25""","=""""",,"=""15069.93""","=""48684.68""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""297.4261""","=""297.4248""","=""0.0008""","=""6""","=""""",,"=""15460.01""","=""49072.14""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""297.5748""","=""297.5754""","=""0.0008""","=""5""","=""""",,"=""24610.88""","=""58206.00""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""297.6074""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""297.6802""","=""297.6803""","=""0.0008""","=""40*""","=""""",,"=""19535.01""","=""53118.29""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""297.6802""","=""297.6803""","=""0.0008""","=""40*""","=""""",,"=""13348.56""","=""46931.84""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""297.7106""","=""297.7105""","=""0.0008""","=""60""","=""""",,"=""19648.54""","=""53228.42""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""297.7214""","=""297.7216""","=""0.0008""","=""30""","=""""",,"=""3325.53""","=""36904.16""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""297.7682""","=""297.7679""","=""0.0008""","=""10""","=""""",,"=""20983.02""","=""54556.43""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""297.8624""","=""297.8625""","=""0.0008""","=""10""","=""""",,"=""19827.68""","=""53390.42""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""297.8868""","=""297.8861""","=""0.0008""","=""4""","=""""",,"=""13777.71""","=""47337.79""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""297.9496""","=""297.9490""","=""0.0008""","=""5""","=""""",,"=""19253.56""","=""52806.56""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""297.9714""","=""297.9728""","=""0.0008""","=""30""","=""""",,"=""19256.24""","=""52806.56""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""297.9860""","=""297.9860""","=""0.0008""","=""70r""","=""""",,"=""3325.53""","=""36874.36""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""298.0138""","=""298.0137""","=""0.0008""","=""6""","=""""",,"=""19648.54""","=""53194.25""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""298.0283""","=""298.0264""","=""0.0008""","=""2""","=""""",,"=""23455.02""","=""56999.30""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""298.1129""","=""298.1114""","=""0.0008""","=""10""","=""""",,"=""16431.31""","=""49966.03""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""298.1407""","=""298.1406""","=""0.0008""","=""5""","=""""",,"=""20427.84""","=""53959.28""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""298.1631""","=""298.1632""","=""0.0008""","=""15""","=""""",,"=""18974.51""","=""52503.41""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""298.1762""","=""298.1749""","=""0.0008""","=""3""","=""""",,"=""27213.82""","=""60741.40""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""298.2606""","=""298.2614""","=""0.0008""","=""40""","=""""",,"=""19256.24""","=""52774.10""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""298.2810""","=""298.2803""","=""0.0008""","=""10""","=""""",,"=""12161.96""","=""45677.69""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""298.4140""","=""298.4148""","=""0.0008""","=""40""","=""1.47e+06""",B,"=""6219.33""","=""39719.96""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""T6977""","=""L153""",
"=""298.4264""","=""298.4262""","=""0.0008""","=""3""","=""""",,"=""13307.10""","=""46806.45""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""298.5254""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""298.5668""","=""298.5658""","=""0.0008""","=""12""","=""""",,"=""18116.84""","=""51600.52""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""298.5884""","=""298.5880""","=""0.0008""","=""12""","=""""",,"=""17701.18""","=""51182.38""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""298.6185""","=""298.6179""","=""0.0008""","=""12""","=""""",,"=""13777.71""","=""47255.55""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""298.7608""","=""298.7599""","=""0.0008""","=""5""","=""""",,"=""18974.51""","=""52436.44""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""298.7960""","=""298.7960""","=""0.0008""","=""15""","=""""",,"=""13348.56""","=""46806.45""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""298.8244""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""298.8502""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""298.8898""","=""298.8895""","=""0.0008""","=""8""","=""""",,"=""20427.84""","=""53875.26""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""299.0506""","=""299.0507""","=""0.0008""","=""40""","=""3.5e+06""",C,"=""4830.00""","=""38259.40""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""T6977""","=""L153""",
"=""299.0714""","=""299.0714""","=""0.0008""","=""50""","=""2.64e+06""",B,"=""6219.33""","=""39646.41""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""T6977""","=""L153""",
"=""299.1946""","=""299.1941""","=""0.0008""","=""10""","=""""",,"=""18280.48""","=""51693.85""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""299.2178""","=""299.2178""","=""0.0008""","=""18""","=""""",,"=""19827.68""","=""53238.41""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""299.2931""","=""299.2926""","=""0.0008""","=""16""","=""""",,"=""19826.04""","=""53228.42""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""299.3157""","=""299.3137""","=""0.0008""","=""2""","=""""",,"=""19253.56""","=""52653.58""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""299.3614""","=""299.3612""","=""0.0008""","=""125r""","=""""",,"=""6219.33""","=""39614.05""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""299.3886""","=""299.3876""","=""0.0008""","=""5""","=""""",,"=""20983.02""","=""54374.80""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""299.3995""","=""299.3985""","=""0.0008""","=""5""","=""""",,"=""22476.68""","=""55867.24""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""299.4107""","=""299.4093""","=""0.0008""","=""5""","=""""",,"=""12161.96""","=""45551.32""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""299.5258""","=""299.5257""","=""0.0008""","=""60""","=""""",,"=""4830.00""","=""38206.38""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""299.5514""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""299.5748""","=""299.5740""","=""0.0008""","=""12""","=""""",,"=""17701.18""","=""51072.18""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""299.5992""","=""299.5991""","=""0.0008""","=""15""","=""""",,"=""19826.04""","=""53194.25""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""299.6978""","=""299.6973""","=""0.0008""","=""20""","=""""",,"=""16431.31""","=""49788.58""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""299.7616""","=""299.7606""","=""0.0008""","=""20""","=""""",,"=""14976.18""","=""48326.41""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""299.7793""","=""299.7791""","=""0.0008""","=""75""","=""""",,"=""3325.53""","=""36673.70""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""299.8288""","=""299.8287""","=""0.0008""","=""10""","=""""",,"=""14976.18""","=""48318.84""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""299.9117""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.0163""","=""300.0161""","=""0.0008""","=""5""","=""""",,"=""22852.80""","=""56174.63""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""300.0242""","=""300.0238""","=""0.0008""","=""40""","=""""",,"=""19535.01""","=""52855.98""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""300.0439""","=""300.0434""","=""0.0008""","=""30""","=""""",,"=""22476.68""","=""55795.48""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""300.0882""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.1536""","=""300.1533""","=""0.0008""","=""6""","=""""",,"=""13307.10""","=""46613.70""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
"=""300.1625""","=""300.1603""","=""0.0008""","=""1""","=""""",,"=""23484.78""","=""56790.60""","=""5d4.6s2""","=""1I""","=""6""","=""""","=""*""","=""7""",,"=""""","=""L153""",
"=""300.1982""","=""300.1975""","=""0.0008""","=""60""","=""""",,"=""13777.71""","=""47079.40""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""300.2418""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.2827""","=""300.2827""","=""0.0008""","=""35""","=""""",,"=""19826.04""","=""53118.29""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""300.2981""","=""300.2975""","=""0.0008""","=""10""","=""""",,"=""19827.68""","=""53118.29""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""300.3824""","=""300.3816""","=""0.0008""","=""5""","=""""",,"=""18974.51""","=""52255.80""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""300.4260""","=""300.4249""","=""0.0008""","=""7""","=""""",,"=""13348.56""","=""46625.05""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""300.5010""","=""300.5006""","=""0.0008""","=""35""","=""""",,"=""14976.18""","=""48244.29""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""300.6318""","=""""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.6658""","=""300.6656""","=""0.0008""","=""20""","=""""",,"=""19253.56""","=""52503.41""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""300.7135""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.7328""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.7411""","=""300.7410""","=""0.0008""","=""15""","=""""",,"=""20427.84""","=""53669.36""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""300.7637""","=""300.7629""","=""0.0008""","=""12""","=""""",,"=""19535.01""","=""52774.10""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""300.8036""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.8502""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""300.8768""","=""300.8767""","=""0.0008""","=""40""","=""""",,"=""29460.98""","=""62687.50""","=""5d5.(2I).6s""","=""3I""","=""7""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""300.8987""","=""300.8995""","=""0.0008""","=""5""","=""""",,"=""19253.56""","=""52477.57""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""300.9086""","=""300.9082""","=""0.0008""","=""80""","=""""",,"=""4830.00""","=""38053.05""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""300.9724""","=""300.9714""","=""0.0008""","=""10""","=""""",,"=""15460.01""","=""48676.08""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.0418""","=""301.0419""","=""0.0008""","=""20""","=""""",,"=""17701.18""","=""50909.47""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.0495""","=""301.0496""","=""0.0008""","=""15""","=""""",,"=""19648.54""","=""52855.98""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""301.0693""","=""301.0698""","=""0.0008""","=""8""","=""""",,"=""16431.31""","=""49636.52""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.1682""","=""301.1682""","=""0.0008""","=""20""","=""""",,"=""14976.18""","=""48170.55""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""301.1816""","=""301.1811""","=""0.0008""","=""3c*""","=""""",,"=""17701.18""","=""50894.12""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""301.1816""","=""301.1826""","=""0.0008""","=""3c*""","=""""",,"=""24610.88""","=""57803.66""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.3192""","=""301.3201""","=""0.0008""","=""30""","=""""",,"=""17107.01""","=""50284.64""","=""5d4.6s2""","=""3F2""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.3342""","=""301.3346""","=""0.0008""","=""1""","=""""",,"=""19827.68""","=""53003.72""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""301.3788""","=""301.3793""","=""0.0008""","=""120""","=""6.4e+06""",B,"=""4830.00""","=""38001.12""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
"=""301.4200""","=""301.4199""","=""0.0008""","=""6""","=""""",,"=""19826.04""","=""52992.69""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.4348""","=""301.4348""","=""0.0008""","=""2""","=""""",,"=""19827.68""","=""52992.69""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.6272""","=""301.6273""","=""0.0008""","=""3""","=""""",,"=""18116.84""","=""51260.68""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""301.6466""","=""301.6470""","=""0.0008""","=""150""","=""9.27e+06""",B,"=""6219.33""","=""39361.01""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""T4976""","=""L153""",
"=""301.6685""","=""301.6690""","=""0.0008""","=""8""","=""""",,"=""19256.24""","=""52395.50""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""301.7077""","=""301.7069""","=""0.0008""","=""2""","=""""",,"=""22852.80""","=""55987.90""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""301.7436""","=""301.7441""","=""0.0008""","=""200""","=""1.21e+07""",B,"=""2951.29""","=""36082.30""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
"=""301.7617""","=""301.7620""","=""0.0008""","=""5""","=""""",,"=""17008.50""","=""50137.55""","=""5d4.6s2""","=""3H""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""301.7936""","=""301.7938""","=""0.0008""","=""12""","=""""",,"=""19648.54""","=""52774.10""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""301.8304""","=""301.8300""","=""0.0008""","=""1""","=""""",,"=""24610.88""","=""57732.46""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""301.8414""","=""301.8424""","=""0.0008""","=""3""","=""""",,"=""22476.68""","=""55596.90""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""301.8820""","=""301.8827""","=""0.0008""","=""3""","=""""",,"=""19827.68""","=""52943.48""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""302.0040""","=""302.0035""","=""0.0008""","=""5""","=""""",,"=""22852.80""","=""55955.36""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""302.0214""","=""302.0215""","=""0.0008""","=""15""","=""""",,"=""12161.96""","=""45262.55""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""302.0328""","=""302.0336""","=""0.0008""","=""2""","=""""",,"=""17701.18""","=""50800.44""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""302.1206""","=""302.1220""","=""0.0008""","=""3""","=""""",,"=""18974.51""","=""52064.08""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""302.1614""","=""302.1613""","=""0.0008""","=""20""","=""""",,"=""18974.51""","=""52059.78""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""302.1734""","=""302.1738""","=""0.0008""","=""4""","=""""",,"=""28392.70""","=""61476.60""","=""5d5.(2I).6s""","=""3I""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""302.1823""","=""302.1818""","=""0.0008""","=""6""","=""""",,"=""16431.31""","=""49514.34""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""302.2774""","=""302.2787""","=""0.0008""","=""2""","=""""",,"=""23484.78""","=""56557.20""","=""5d4.6s2""","=""1I""","=""6""","=""""","=""*""","=""7""",,"=""""","=""L153""",
"=""302.3152""","=""302.3150""","=""0.0008""","=""12""","=""""",,"=""15069.93""","=""48138.38""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""302.3410""","=""302.3416""","=""0.0008""","=""1""","=""""",,"=""18116.84""","=""51182.38""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""302.3646""","=""302.3645""","=""0.0008""","=""12""","=""""",,"=""29460.98""","=""62524.02""","=""5d5.(2I).6s""","=""3I""","=""7""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""302.4124""","=""302.4122""","=""0.0008""","=""5""","=""""",,"=""19827.68""","=""52885.50""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""302.4590""","=""302.4579""","=""0.0008""","=""1""","=""""",,"=""20174.20""","=""53227.03""","=""5d4.6s2""","=""1S2""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""302.4928""","=""302.4926""","=""0.0008""","=""100""","=""1.58e+07""",B,"=""1670.29""","=""34719.33""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""T6977""","=""L153""",
"=""302.5263""","=""302.5256""","=""0.0008""","=""50""","=""""",,"=""9528.06""","=""42573.49""","=""5d4.6s2""","=""3P2""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""302.5590""","=""302.5589""","=""0.0008""","=""8""","=""""",,"=""23484.78""","=""56526.57""","=""5d4.6s2""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""302.5685""","=""302.5683""","=""0.0008""","=""6""","=""""",,"=""18974.51""","=""52015.28""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""302.6039""","=""302.6037""","=""0.0008""","=""4""","=""""",,"=""13348.56""","=""46385.46""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""302.6672""","=""302.6675""","=""0.0008""","=""50""","=""""",,"=""19826.04""","=""52855.98""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
"=""302.6788""","=""302.6785""","=""0.0008""","=""50""","=""""",,"=""13777.71""","=""46806.45""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""302.6962""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""302.7527""","=""302.7526""","=""0.0008""","=""6""","=""""",,"=""13307.10""","=""46327.75""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""302.7792""","=""302.7795""","=""0.0008""","=""30""","=""""",,"=""17701.18""","=""50718.90""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""302.7902""","=""302.7907""","=""0.0008""","=""2""","=""""",,"=""23982.80""","=""56999.30""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""302.8008""","=""302.8012""","=""0.0008""","=""4""","=""""",,"=""27213.82""","=""60229.18""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""302.8094""","=""302.8096""","=""0.0008""","=""3""","=""""",,"=""22852.80""","=""55867.24""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""302.8651""","=""302.8643""","=""0.0008""","=""1""","=""""",,"=""24610.88""","=""57619.36""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""302.9217""","=""302.9215""","=""0.0008""","=""10""","=""""",,"=""19253.56""","=""52255.80""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""303.0354""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""303.0656""","=""303.0653""","=""0.0008""","=""6""","=""""",,"=""16431.31""","=""49417.90""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""303.0840""","=""303.0842""","=""0.0008""","=""8""","=""""",,"=""13307.10""","=""46291.63""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""303.1366""","=""303.1361""","=""0.0008""","=""25""","=""""",,"=""19827.68""","=""52806.56""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""303.1584""","=""303.1602""","=""0.0008""","=""2""","=""""",,"=""20983.02""","=""53959.28""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""303.3523""","=""303.3527""","=""0.0008""","=""20""","=""""",,"=""18116.84""","=""51072.18""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
