obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""206.310""","=""206.3114""","=""0.0030""","=""6""","=""""",,"=""4830.00""","=""53284.92""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""206.451""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""206.5056""","=""206.5097""","=""0.0030""","=""6""","=""""",,"=""4830.00""","=""53238.41""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""206.586""","=""206.5884""","=""0.0030""","=""4""","=""""",,"=""0.00""","=""48389.96""","=""5d4.6s2""","=""5D""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""206.6604""","=""""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""207.023""","=""207.0235""","=""0.0030""","=""3""","=""""",,"=""4830.00""","=""53118.29""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""207.055""","=""207.0537""","=""0.0030""","=""6""","=""""",,"=""3325.53""","=""51606.78""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""207.080""","=""207.0805""","=""0.0030""","=""3""","=""""",,"=""3325.53""","=""51600.52""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""207.710""","=""207.7122""","=""0.0030""","=""8""","=""""",,"=""1670.29""","=""49798.48""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
"=""207.7732""","=""207.7757""","=""0.0030""","=""1""","=""""",,"=""4830.00""","=""52943.48""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""208.045""","=""208.0484""","=""0.0030""","=""4""","=""""",,"=""6219.33""","=""54269.77""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""208.137""","=""208.1401""","=""0.0030""","=""12""","=""""",,"=""1670.29""","=""49699.56""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""208.2806""","=""208.2828""","=""0.0030""","=""8""","=""""",,"=""12161.96""","=""60158.32""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""208.546""","=""208.5488""","=""0.0030""","=""8""","=""""",,"=""3325.53""","=""51260.68""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""208.710""","=""208.7043""","=""0.0031""","=""80c*""","=""""",,"=""6219.33""","=""54118.78""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""208.710""","=""208.7104""","=""0.0031""","=""80c*""","=""""",,"=""6219.33""","=""54117.36""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153c23""",
"=""208.7933""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""208.890""","=""208.8901""","=""0.0031""","=""2""","=""""",,"=""3325.53""","=""51182.38""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""208.930""","=""208.9332""","=""0.0031""","=""30""","=""""",,"=""1670.29""","=""49517.26""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""209.048""","=""209.0513""","=""0.0031""","=""60""","=""""",,"=""0.00""","=""47819.94""","=""5d4.6s2""","=""5D""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""209.2516""","=""209.2549""","=""0.0031""","=""10""","=""""",,"=""1670.29""","=""49443.70""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
"=""209.366""","=""209.3722""","=""0.0031""","=""15""","=""""",,"=""3325.53""","=""51072.18""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""209.406""","=""""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""209.503""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""209.556""","=""""","=""""","=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""209.752""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""209.822""","=""209.8261""","=""0.0031""","=""60""","=""""",,"=""6219.33""","=""53862.72""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
"=""209.8846""","=""209.8882""","=""0.0031""","=""25""","=""""",,"=""6219.33""","=""53848.63""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""209.985""","=""209.9890""","=""0.0031""","=""50""","=""""",,"=""4830.00""","=""52436.44""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
"=""210.1538""","=""210.1561""","=""0.0022""","=""50""","=""""",,"=""3325.53""","=""50894.12""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
"=""210.265""","=""210.2681""","=""0.0022""","=""8""","=""""",,"=""2951.29""","=""50494.54""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
"=""210.2977""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
"=""210.337""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
