obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
264.852,,37757.0,380,,,,,,,L3475,
265.013,,37734.0,380,,,,,,,L3475,
265.747,,37629.8,490,,,,,,,L3475,
265.939,,37602.6,1900,,,,,,,L3475,
266.062,,37585.2,640,,,,,,,L3475,
266.197,,37566.1,380,,,,,,,L3475,
267.536,,37378.1,580,,,,,,,L3475,
267.567,,37373.7,400,,,,,,,L3475,
269.062,,37166.2,2100,,,,,,,L3475,
270.039,,37031.7,510,,,,,,,L3475,
270.750,,36934.4,580,,,,,,,L3475,
271.544,,36826.4,3000,,,,,,,L3475,
271.616,,36816.6,580,,,,,,,L3475,
272.085,,36753.3,1300,,,,,,,L3475,
272.267,,36728.7,850,,,,,,,L3475,
273.142,,36611.0,580,,,,,,,L3475,
273.361,,36581.7,580,,,,,,,L3475,
276.224,,36202.6,690,,,,,,,L3475,
276.409,,36178.3,470,,,,,,,L3475,
276.586,,36155.2,340,,,,,,,L3475,
277.153,,36081.2,960,,,,,,,L3475,
277.773,,36000.6,300,,,,,,,L3475,
278.337,,35927.7,740,,,,,,,L3475,
278.713,,35879.2,640,,,,,,,L3475,
279.481,,35780.6,230,,,,,,,L3475,
279.501,,35778.0,230,,,,,,,L3475,
279.755,,35745.5,530,,,,,,,L3475,
280.490,,35651.9,320,,,,,,,L3475,
280.774,,35615.9,2800,,,,,,,L3475,
280.977,,35590.1,470,,,,,,,L3475,
281.467,,35528.2,420,,,,,,,L3475,
281.503,,35523.6,740,,,,,,,L3475,
281.661,,35503.7,300,,,,,,,L3475,
283.010,,35334.4,420,,,,,,,L3475,
283.825,,35232.9,230,,,,,,,L3475,
283.900,,35223.6,470,,,,,,,L3475,
283.946,,35217.9,5100,,,,,,,L3475,
284.244,,35181.1,740,,,,,,,L3475,
284.524,,35146.5,2300,,,,,,,L3475,
284.723,,35121.9,420,,,,,,,L3475,
284.909,,35099.0,420,,,,,,,L3475,
285.160,,35068.1,1500,,,,,,,L3475,
286.180,,34943.0,1500,,,,,,,L3475,
287.580,,34772.9,360,,,,,,,L3475,
287.924,,34731.3,300,,,,,,,L3475,
289.691,,34519.6,260,,,,,,,L3475,
290.991,,34365.3,9600,,,,,,,L3475,
291.318,,34326.7,2100,,,,,,,L3475,
291.811,,34268.7,530,,,,,,,L3475,
292.064,,34239.0,2100,,,,,,,L3475,
292.643,,34171.4,300,,,,,,,L3475,
293.037,,34125.4,360,,,,,,,L3475,
293.214,,34104.8,510,,,,,,,L3475,
293.550,,34065.8,260,,,,,,,L3475,
294.371,,33970.7,200,,,,,,,L3475,
294.909,,33908.7,1100w,,,,,,,L3475,
295.039,,33893.8,1400,,,,,,,L3475,
295.067,,33890.6,210bl,,,,,,,L3475,
296.187,,33762.4,300,,,,,,,L3475,
296.302,,33749.4,530,,,,,,,L3475,
296.493,,33727.7,450,,,,,,,L3475,
297.184,,33649.2,740,,,,,,,L3475,
297.851,,33573.8,450,,,,,,,L3475,
298.377,,33514.6,510,,,,,,,L3475,
299.852,,33349.7,260,,,,,,,L3475,
301.395,,33179.1,330,,,,,,,L3475,
301.813,,33133.1,570,,,,,,,L3475,
301.892,,33124.4,4400,,,,,,,L3475,
302.026,,33109.7,480,,,,,,,L3475,
303.158,,32986.1,1100,,,,,,,L3475,
304.178,,32875.4,2900,,,,,,,L3475,
304.439,,32847.4,210,,,,,,,L3475,
305.035,,32783.2,230,,,,,,,L3475,
305.128,,32773.2,210,,,,,,,L3475,
305.955,,32684.6,8600,,,,,,,L3475,
306.119,,32667.0,290,,,,,,,L3475,
306.308,,32646.9,570,,,,,,,L3475,
307.083,,32564.5,210,,,,,,,L3475,
307.497,,32520.6,360,,,,,,,L3475,
307.585,,32511.3,290,,,,,,,L3475,
307.833,,32485.1,290,,,,,,,L3475,
307.861,,32482.1,1100,,,,,,,L3475,
307.900,,32478.0,360,,,,,,,L3475,
307.927,,32475.2,230,,,,,,,L3475,
309.098,,32352.2,230,,,,,,,L3475,
309.449,,32315.5,270,,,,,,,L3475,
310.243,,32232.8,310,,,,,,,L3475,
310.689,,32186.5,360,,,,,,,L3475,
310.988,,32155.6,310,,,,,,,L3475,
311.028,,32151.4,620,,,,,,,L3475,
311.199,,32133.8,250,,,,,,,L3475,
311.923,,32059.2,310,,,,,,,L3475,
313.203,,31928.2,480,,,,,,,L3475,
315.358,,31710.0,250,,,,,,,L3475,
315.452,,31700.5,290,,,,,,,L3475,
315.716,,31674.0,3100,,,,,,,L3475,
315.769,,31668.7,250,,,,,,,L3475,
316.743,,31571.4,310,,,,,,,L3475,
317.898,,31456.6,420,,,,,,,L3475,
318.280,,31418.9,230,,,,,,,L3475,
318.625,,31384.8,230,,,,,,,L3475,
318.790,,31368.6,310,,,,,,,L3475,
319.038,,31344.2,310,,,,,,,L3475,
319.515,,31297.4,310,,,,,,,L3475,
323.299,,30931.1,1900,,,,,,,L3475,
323.956,,30868.3,290,,,,,,,L3475,
324.198,,30845.4,190,,,,,,,L3475,
324.894,,30779.3,120,,,,,,,L3475,
325.585,,30714.0,190,,,,,,,L3475,
325.786,,30695.0,190,,,,,,,L3475,
326.124,,30663.2,190,,,,,,,L3475,
326.323,,30644.5,3100,,,,,,,L3475,
326.369,,30640.2,380,,,,,,,L3475,
326.888,,30591.5,3100,,,,,,,L3475,
327.015,,30579.6,620,,,,,,,L3475,
327.310,,30552.0,190,,,,,,,L3475,
327.614,,30523.7,530,,,,,,,L3475,
327.891,,30497.9,330,,,,,,,L3475,
328.979,,30397.1,190,,,,,,,L3475,
329.121,,30384.0,1200,,,,,,,L3475,
330.251,,30280.0,7600,,,,,,,L3475,
330.718,,30237.2,250,,,,,,,L3475,
331.186,,30194.5,620,,,,,,,L3475,
331.637,,30153.4,120,,,,,,,L3475,
332.529,,30072.6,250,,,,,,,L3475,
332.838,,30044.7,310,,,,,,,L3475,
333.711,,29966.1,960,,,,,,,L3475,
335.270,,29826.7,110,,,,,,,L3475,
335.893,,29771.3,230,,,,,,,L3475,
336.212,,29743.2,250,,,,,,,L3475,
336.509,,29716.9,190,,,,,,,L3475,
337.117,,29663.3,120,,,,,,,L3475,
337.156,,29659.9,960,,,,,,,L3475,
337.305,,29646.8,160,,,,,,,L3475,
337.965,,29588.9,120,,,,,,,L3475,
338.497,,29542.3,310,,,,,,,L3475,
338.691,,29525.4,190,,,,,,,L3475,
338.881,,29508.9,620,,,,,,,L3475,
340.215,,29393.2,120,,,,,,,L3475,
340.284,,29387.3,620,,,,,,,L3475,
340.349,,29381.6,250,,,,,,,L3475,
340.974,,29327.8,120,,,,,,,L3475,
341.372,,29293.6,120,,,,,,,L3475,
342.267,,29216.9,120,,,,,,,L3475,
342.865,,29166.0,150,,,,,,,L3475,
344.159,,29056.4,250,,,,,,,L3475,
