obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
406.952,406.9514+,24572.9,760,,,14700.32,39273.28,4d7.(a 2G).5s,a 1G,4,4d7.(a 2G).5p,z 3H*,4,9,9,,,L3475,
407.415,407.4150+,24545.0,200,,,9183.66,33728.66,4d7.(a 4F).5s,a 3F,2,4d6.5s.(a 6D).5p,y 5D*,2,5,5,,,L3475,
407.788,407.7874+,24522.5,980,,,9057.64,33580.22,4d6.5s2,a 5D,2,4d7.(a 4F).5p,z 3D*,1,5,3,,,L3475,
408.175,408.1746+,24499.3,6000,,,6545.03,31044.35,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).5p,z 3D*,3,9,7,,,L3475,
408.658,408.6577+,24470.3,310,,,16712.58,41182.94,4d7.(a 2D).5s,a 3D,1,4d7.(a 2D).5p,x 3F*,2,3,5,,,L3475,
409.895,409.8939+,24396.5,930,,,9183.66,33580.22,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).5p,z 3D*,1,5,3,,,L3475,
410.290,410.2899+,24373.0,350,,,9057.64,33430.65,4d6.5s2,a 5D,2,4d6.5s.(a 6D).5p,y 5D*,3,5,7,,,L3475,
411.390,411.3901+,24307.8,1900,,,8084.12,32391.95,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).5p,z 3F*,3,7,7,,,L3475,
414.533,414.5330+,24123.5,2000,,,8084.12,32207.65,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).5p,z 3D*,2,7,5,,,L3475,
414.691,414.6903+,24114.3,650,,,9057.64,33172.02,4d6.5s2,a 5D,2,4d7.(a 4F).5p,z 3F*,2,5,5,,,L3475,
414.794,414.7937+,24108.4,260,,,9620.29,33728.66,4d7.(a 4P).5s,a 5P,1,4d6.5s.(a 6D).5p,y 5D*,2,3,5,,,L3475,
416.868,416.8688+,23988.4,870,,,9183.66,33172.02,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).5p,z 3F*,2,5,5,,,L3475,
419.876,419.8764+,23816.5,550,,,8575.42,32391.95,4d6.5s2,a 5D,3,4d7.(a 4F).5p,z 3F*,3,7,7,,,L3475,
420.006,420.0055+,23809.2,550,,,8043.69,31852.90,4d7.(a 4P).5s,a 5P,2,4d7.(a 4F).5p,z 3G*,3,5,7,,,L3475,
420.108,420.1077+,23803.4,7600,3.99e+07,,6545.03,30348.45,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).5p,z 3F*,4,9,9,,T6131,L3475,
420.720,420.720+,23768.7,1500,,,8084.12,31852.90,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).5p,z 3G*,3,7,7,,,L3475,
421.325,421.325+,23734.7,5400,,,6545.03,30279.68,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).5p,z 5G*,5,9,11,,,L3475,
421.563,421.563+,23721.3,760,,,13645.75,37367.02,4d7.(a 4P).5s,b 3P,2,4d7.(a 4P).5p,x 5D*,3,5,7,,,L3475,
421.846,421.845+,23705.3,930,,,6545.03,30250.40,4d7.(a 4F).5s,a 3F,4,4d6.5s.(a 6D).5p,z 7P*,4,9,9,,,L3475,
422.187,422.187+,23686.2,370,,,13981.67,37667.86,4d7.(a 4P).5s,b 3P,1,4d7.(a 4P).5p,x 5D*,2,3,5,,,L3475,
423.150,423.151+,23632.3,550,,,8575.42,32207.65,4d6.5s2,a 5D,3,4d7.(a 4F).5p,z 3D*,2,7,5,,,L3475,
424.224,424.225+,23572.4,760,,,8770.93,32343.30,4d7.(a 4P).5s,a 5P,3,4d6.5s.(a 6D).5p,z 7P*,2,7,5,,,L3475,
424.425,424.425+,23561.3,760,,,7483.07,31044.35,4d6.5s2,a 5D,4,4d7.(a 4F).5p,z 3D*,3,9,7,,,L3475,
424.793,424.793+,23540.9,370,,,20055.71,43596.58,4d7.(a 2H).5s,a 1H,5,4d7.(a 2H).5p,y 1H*,5,11,11,,,L3475,
426.019,426.019+,23473.1,310,,,13645.75,37118.90,4d7.(a 4P).5s,b 3P,2,4d7.(a 4P).5p,z 3P*,2,5,5,,,L3475,
428.554,428.553+,23334.3,760,,,9057.64,32391.95,4d6.5s2,a 5D,2,4d7.(a 4F).5p,z 3F*,3,5,7,,,L3475,
429.449,429.449+,23285.7,220,,,9057.64,32343.30,4d6.5s2,a 5D,2,4d6.5s.(a 6D).5p,z 7P*,2,5,5,,,L3475,
429.600,429.600+,23277.5,260,,,8575.42,31852.90,4d6.5s2,a 5D,3,4d7.(a 4F).5p,z 3G*,3,7,7,,,L3475,
429.714,429.713+,23271.3,550,,,9120.63,32391.95,4d8,b 3F,4,4d7.(a 4F).5p,z 3F*,3,9,7,,,L3475,
429.892,429.892+,23261.7,3700,,,8084.12,31345.79,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).5p,z 5G*,4,7,9,,,L3475,
430.881,430.881+,23208.3,930,,,9183.66,32391.95,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).5p,z 3F*,3,5,7,,,L3475,
431.964,431.965+,23150.1,370,,,9057.64,32207.65,4d6.5s2,a 5D,2,4d7.(a 4F).5p,z 3D*,2,5,5,,,L3475,
432.108,432.108+,23142.3,550,,,8043.69,31186.03,4d7.(a 4P).5s,a 5P,2,4d7.(a 4P).5p,z 5S*,2,5,5,,,L3475,
434.329,434.330+,23024.0,550,,,9183.66,32207.65,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).5p,z 3D*,2,5,5,,,L3475,
435.092,435.093+,22983.6,350,,,13981.67,36965.28,4d7.(a 4P).5s,b 3P,1,4d7.(a 4P).5p,y 3D*,2,3,5,,,L3475,
435.535,435.536+,22960.2,710,,,8084.12,31044.35,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).5p,z 3D*,3,7,7,,,L3475,
436.244,436.243+,22923.0,870,,,6545.03,29468.04,4d7.(a 4F).5s,a 3F,4,4d6.5s.(a 6D).5p,z 7F*,5,9,11,,,L3475,
437.344,437.342+,22865.3,2400,,,7483.07,30348.45,4d6.5s2,a 5D,4,4d7.(a 4F).5p,z 3F*,4,9,9,,,L3475,
438.662,438.662+,22796.6,870,,,7483.07,30279.68,4d6.5s2,a 5D,4,4d7.(a 4F).5p,z 5G*,5,9,11,,,L3475,
438.688,438.688+,22795.2,1300,,,9057.64,31852.90,4d6.5s2,a 5D,2,4d7.(a 4F).5p,z 3G*,3,5,7,,,L3475,
439.167,439.167+,22770.4,1700,,,8575.42,31345.79,4d6.5s2,a 5D,3,4d7.(a 4F).5p,z 5G*,4,7,9,,,L3475,
441.127,441.126+,22669.2,1600,,,9183.66,31852.90,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).5p,z 3G*,3,5,7,,,L3475,
442.270,442.270+,22610.6,160,,,8575.42,31186.03,4d6.5s2,a 5D,3,4d7.(a 4P).5p,z 5S*,2,7,5,,,L3475,
442.970,442.971+,22574.9,330,,,8770.93,31345.79,4d7.(a 4P).5s,a 5P,3,4d7.(a 4F).5p,z 5G*,4,7,9,,,L3475,
444.101,444.101+,22517.4,460,,,10654.62,33172.02,4d8,b 3F,3,4d7.(a 4F).5p,z 3F*,2,7,5,,,L3475,
445.059,445.059+,22468.9,440,,,8575.42,31044.35,4d6.5s2,a 5D,3,4d7.(a 4F).5p,z 3D*,3,7,7,,,L3475,
446.129,446.128+,22415.0,1100,,,8770.93,31186.03,4d7.(a 4P).5s,a 5P,3,4d7.(a 4P).5p,z 5S*,2,7,5,,,L3475,
447.519,447.519+,22345.4,190,,,6545.03,28890.47,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).5p,z 5F*,3,9,7,,,L3475,
448.171,448.170+,22312.9,150,,,15054.07,37367.02,4d7.(a 2D).5s,a 3D,2,4d7.(a 4P).5p,x 5D*,3,5,7,,,L3475,
449.940,449.941+,22225.2,350,,,9120.63,31345.79,4d8,b 3F,4,4d7.(a 4F).5p,z 5G*,4,9,9,,,L3475,
451.136,451.136+,22166.2,120,,,8084.12,30250.40,4d7.(a 4F).5s,a 3F,3,4d6.5s.(a 6D).5p,z 7P*,4,7,9,,,L3475,
451.816,451.816+,22132.9,220,,,11447.31,33580.22,4d8,b 3F,2,4d7.(a 4F).5p,z 3D*,1,5,3,,,L3475,
451.909,451.908+,22128.4,220,,,9057.64,31186.03,4d6.5s2,a 5D,2,4d7.(a 4P).5p,z 5S*,2,5,5,,,L3475,
452.222,452.222+,22113.0,110,,,9072.98,31186.03,4d6.5s2,a 5D,1,4d7.(a 4P).5p,z 5S*,2,3,5,,,L3475,
454.860,454.856+,21984.8,170,,,7483.07,29468.04,4d6.5s2,a 5D,4,4d6.5s.(a 6D).5p,z 7F*,5,9,11,,,L3475,
454.912,454.914+,21982.2,110,,,13981.67,35963.87,4d7.(a 4P).5s,b 3P,1,4d6.5s.(a 6D).5p,y 5F*,2,3,5,,,L3475,
455.579,455.579+,21950.1,5400,,,6545.03,28495.10,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).5p,z 3G*,5,9,11,,,L3475,
456.126,456.127+,21923.8,110,,,9120.63,31044.35,4d8,b 3F,4,4d7.(a 4F).5p,z 3D*,3,9,7,,,L3475,
458.572,458.573+,21806.8,1700,,,8084.12,29890.91,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).5p,z 3G*,4,7,9,,,L3475,
459.239,459.239+,21775.2,110,,,9183.66,30958.80,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).5p,z 5G*,2,5,5,,,L3475,
459.381,459.381+,21768.4,150,,,10623.53,32391.95,4d7.(a 2P).5s,a 3P,2,4d7.(a 4F).5p,z 3F*,3,5,7,,,L3475,
460.037,460.038+,21737.4,330,,,10654.62,32391.95,4d8,b 3F,3,4d7.(a 4F).5p,z 3F*,3,7,7,,,L3475,
463.699,463.698+,21565.7,170,,,9620.29,31186.03,4d7.(a 4P).5s,a 5P,1,4d7.(a 4P).5p,z 5S*,2,3,5,,,L3475,
464.639,464.640+,21522.1,200,,,20055.71,41577.75,4d7.(a 2H).5s,a 1H,5,4d7.(a 2H).5p,z 3I*,6,11,13,,,L3475,
464.891,464.891+,21510.4,720,,,8084.12,29594.56,4d7.(a 4F).5s,a 3F,3,4d6.5s.(a 6D).5p,z 7F*,4,7,9,,,L3475,
465.562,465.562+,21479.4,290,,,9057.64,30537.06,4d6.5s2,a 5D,2,4d7.(a 4F).5p,z 5G*,3,5,7,,,L3475,
468.310,468.309+,21353.4,290,,,9183.66,30537.06,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).5p,z 5G*,3,5,7,,,L3475,
468.533,468.533+,21343.2,190,,,8084.12,29427.32,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).5p,z 5F*,2,7,5,,,L3475,
469.142,469.142+,21315.5,290,,,8575.42,29890.91,4d6.5s2,a 5D,3,4d7.(a 4F).5p,z 3G*,4,7,9,,,L3475,
