obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""118.6346""","=""118.6347""","=""60g,a""","=""""",,"=""0.000""","=""84292.4""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).10p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""119.0939""","=""119.0939""","=""94g,a""","=""""",,"=""112.061""","=""84079.4""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).9p?""","=""2S?""","=""3/2?""",,"=""""","=""L3597""",
"=""119.134""","=""119.134""","=""75g,a""","=""""",,"=""112.061""","=""84051""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).9p?""","=""2D?""","=""5/2?""",,"=""""","=""L3597""",
"=""119.2211""","=""119.2212""","=""130g,a""","=""""",,"=""0.000""","=""83877.7""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(1P*).4p?""","=""2P?""","=""3/2?""",,"=""""","=""L3597""",
"=""119.2320""","=""119.2321""","=""140g,a""","=""""",,"=""0.000""","=""83870.0""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).9p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""119.3807""","=""119.3807""","=""86g,a""","=""""",,"=""112.061""","=""83877.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(1P*).4p?""","=""2P?""","=""3/2?""",,"=""""","=""L3597""",
"=""119.4955""","=""119.4955""","=""62g,a""","=""""",,"=""112.061""","=""83797.2""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(1P*).4p?""","=""2P?""","=""1/2?""",,"=""""","=""L3597""",
"=""119.773""","=""119.773""","=""36g,a""","=""""",,"=""0.000""","=""83491""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(1P*).4p?""","=""2D?""","=""3/2""",,"=""""","=""L3597""",
"=""119.8482""","=""119.848""","=""65g,a""","=""""",,"=""0.000""","=""83439""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).8p?""","=""2D?""","=""3/2?""",,"=""""","=""L3597""",
"=""119.8686""","=""119.8687""","=""125g,a""","=""""",,"=""112.061""","=""83536.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""2S?""","=""1/2?""",,"=""""","=""L3597""",
"=""119.934""","=""119.934""","=""86g,a""","=""""",,"=""112.061""","=""83491""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(1P*).4p?""","=""2D?""","=""5/2""",,"=""""","=""L3597""",
"=""119.9959""","=""119.996""","=""120g,a""","=""""",,"=""112.061""","=""83448""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""2D?""","=""5/2?""",,"=""""","=""L3597""",
"=""120.0095""","=""120.009""","=""91g,a""","=""""",,"=""112.061""","=""83439""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""2D?""","=""3/2?""",,"=""""","=""L3597""",
"=""120.0459""","=""120.0454""","=""96g,a""","=""""",,"=""0.000""","=""83301.8""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""120.0853""","=""120.0849""","=""150g,a""","=""""",,"=""0.000""","=""83274.4""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""120.2066""","=""120.2071""","=""34g,a""","=""""",,"=""112.061""","=""83301.8""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""120.2463""","=""120.2467""","=""160g,a""","=""""",,"=""112.061""","=""83274.4""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""120.9165""","=""120.9164""","=""55g,a""","=""""",,"=""0.000""","=""82701.8""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""121.0803""","=""121.0804""","=""110g,a""","=""""",,"=""112.061""","=""82701.8""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""121.233""","=""121.233""","=""105g,a""","=""""",,"=""112.061""","=""82598""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""2D""","=""5/2""",,"=""""","=""L3597""",
"=""121.3425""","=""121.3429""","=""165g,a""","=""""",,"=""0.000""","=""82411.1""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""121.3954""","=""121.3955""","=""78g,a""","=""""",,"=""0.000""","=""82375.4""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""121.4553""","=""121.4555""","=""265g,a""","=""""",,"=""0.000""","=""82334.7""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""121.5084""","=""121.5081""","=""96g,a""","=""""",,"=""112.061""","=""82411.1""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""121.6212""","=""121.6210""","=""260g,a""","=""""",,"=""112.061""","=""82334.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""122.9783""","=""122.9785""","=""160g,a""","=""""",,"=""0.000""","=""81315.0""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""2S""","=""3/2""",,"=""""","=""L3597""",
"=""123.1484""","=""123.1483""","=""455g,a""","=""""",,"=""112.061""","=""81315.0""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""2S""","=""3/2""",,"=""""","=""L3597""",
"=""123.485""","=""123.484""","=""1000g,a""","=""""",,"=""112.061""","=""81094""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""2D""","=""5/2""",,"=""""","=""L3597""",
"=""123.5587""","=""123.5585""","=""50g,a""","=""""",,"=""0.000""","=""80933.3""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""123.7298""","=""123.7299""","=""100g,a""","=""""",,"=""112.061""","=""80933.3""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""123.7442""","=""123.7443""","=""590g,a""","=""""",,"=""0.000""","=""80811.8""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""123.7986""","=""123.7985""","=""230g,a""","=""""",,"=""0.000""","=""80776.4""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""1/2?""",,"=""""","=""L3597""",
