obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""101.0902""","=""0.0008""","=""101.0902""","=""0.0008""","=""a""","=""""",,"=""0.0000""","=""98921.6""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).5p""","=""2P""","=""3/2""",,"=""""","=""L3744""",
"=""101.1058""","=""0.0008""","=""101.1058""","=""0.0008""","=""a""","=""""",,"=""15.287""","=""98921.6""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).5p""","=""2P""","=""3/2""",,"=""""","=""L3744""",
"=""104.7647""","=""0.0008""","=""104.7652""","=""0.0006""","=""a""","=""3.5e+06""",D,"=""0.0000""","=""95451.5""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""u27""","=""L3744""",
"=""104.7695""","=""0.0008""","=""104.7697""","=""0.0006""","=""a""","=""1.4e+07""",D,"=""0.0000""","=""95447.4""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""u27""","=""L3744""",
"=""104.7825""","=""0.0008""","=""104.7820""","=""0.0006""","=""a""","=""1.8e+07""",D,"=""15.287""","=""95451.5""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""u27""","=""L3744""",
"=""104.7867""","=""0.0008""","=""104.7865""","=""0.0006""","=""a""","=""7.0e+06""",D,"=""15.287""","=""95447.4""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""u27""","=""L3744""",
"=""112.9701""","=""0.0008""","=""112.9693""","=""0.0006""","=""a""","=""""",,"=""0.0000""","=""88519.6""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L3744""",
"=""112.9881""","=""0.0008""","=""112.9888""","=""0.0006""","=""a""","=""""",,"=""15.287""","=""88519.6""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L3744""",
"=""114.2269""","=""0.0008""","=""114.2270""","=""0.0008""","=""a""","=""""",,"=""15.287""","=""87560.3""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""""","=""L3744""",
"=""114.2304""","=""0.0008""","=""114.2303""","=""0.0008""","=""a""","=""""",,"=""15.287""","=""87557.7""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""L3744""",
"=""115.1207""","=""0.0008""","=""115.1213""","=""0.0006""","=""a""","=""4.88e+07""",C,"=""0.0000""","=""86864.9""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""L3744""",
"=""115.1281""","=""0.0008""","=""115.1283""","=""0.0006""","=""a""","=""1.95e+08""",C,"=""0.0000""","=""86859.6""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""L3744""",
"=""115.1422""","=""0.0008""","=""115.1416""","=""0.0006""","=""a""","=""2.4e+08""",C,"=""15.287""","=""86864.9""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""L3744""",
"=""115.1489""","=""0.0008""","=""115.1486""","=""0.0006""","=""a""","=""9.75e+07""",C,"=""15.287""","=""86859.6""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""L3744""",
"=""137.8654""","=""0.0005""","=""137.8653""","=""0.0004""","=""2""","=""3.42e+08""",C+,"=""0.0000""","=""72534.55""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""L2166""",
"=""137.8875""","=""0.0005""","=""137.8875""","=""0.0004""","=""3""","=""1.37e+09""",C+,"=""0.0000""","=""72522.90""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""L2166""",
