obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
251.4535,0.0005,251.4535+,39768.79,900D,5.3e+06,B+,0.000,39768.79,4f13.(2F*).6s2,2F*,7/2,4f12.(1G<4>).5d<5/2>.6s2,"(4,5/2)",9/2,8,10,,T6708,"L2006,L3475",
252.7782,0.0005,252.7780+,39560.37,1300,1.47e+07,B+,0.000,39560.41,4f13.(2F*).6s2,2F*,7/2,4f12.(1G<4>).5d<3/2>.6s2,,7/2,8,8,,T3042n,"L2006,L3475",
252.861,0.002,252.8617+,39547.42,350,6.4e+06,C+,0.000,39547.31,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).5d.6p.(3F*<2>),"(7/2,2)",5/2,8,6,,T3042n,L3475,
255.0575,0.0005,255.0575+,39206.84,400,2.7e+06,C+,0.000,39206.84,4f13.(2F*).6s2,2F*,7/2,,,9/2,8,10,,T3042n,L2006,
255.3530,0.0005,255.3532+,39161.48,3600,3.68e+07,B+,0.000,39161.45,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,7/2?,8,8,,T3042n,"L2006,L3475",
258.419,0.002,258.4194+,38696.80,350,3.5e+06,C+,0.000,38696.79,4f13.(2F*).6s2,2F*,7/2,,,5/2,8,6,,T3042n,L3475,
259.7265,0.0005,259.7268+,38502.04,1700h,1.40e+07,B+,0.000,38502.00,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,9/2,8,10,,T3042n,"L2006,L3475",
260.1869,0.0005,260.1868+,38433.91,1100,1.49e+07,B+,0.000,38433.92,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,5/2,8,6,,T3042n,"L2006,L3475",
262.2718,0.0005,262.2719+,38128.38,230,6.2e+05,C+,0.000,38128.37,4f13.(2F*).6s2,2F*,7/2,,,5/2,8,6,,T3042n,L2006,
262.3249,0.0005,262.3246+,38120.66,400,5.2e+06,C+,0.000,38120.71,4f13.(2F*).6s2,2F*,7/2,4f12.(1G<4>).5d<3/2>.6s2,"(4,3/2)",9/2,8,10,,T3042n,"L2006,L3475",
265.1739,0.0005,265.17410+,37711.10,150,3.8e+05,C+,0.000,37711.074,4f13.(2F*).6s2,2F*,7/2,,,9/2,8,10,,T3042n,L2006,
266.1209,0.0005,266.12118+,37576.91,260,4.6e+05,C+,0.000,37576.866,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,9/2,8,10,,T3042n,L2006,
283.5932,0.0005,283.59332+,35261.78,210,1.13e+06,C+,0.000,35261.762,4f13.(2F*).6s2,2F*,7/2,,,5/2,8,6,,T3042n,L2006,
284.1958,0.0005,284.1960+,35187.00,800,1.4e+07,D+,8771.243,43958.23,4f13.(2F*).6s2,2F*,5/2,4f13.(2F*<7/2>).5d.6p.(3D*<3>),"(7/2,3)",5/2,6,6,,T3338n,"L2006,L3475",
