obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
216.4739,0.0010,,,46194.94,3800,,,,,,,,,,,1,1,,,L16323,
216.5880,0.0010,216.59003,0.00010,46170.62,3700,,,0.0000,46170.176,5d2.6s2,a 3F,2,5d3.(b 4F).6p,x 5D*,2,5,5,,,L16323,
217.2561,0.0010,,,46028.63,2800,,,,,,,,,,,1,1,,,L16323,
217.3451,0.0010,,,46009.77,2800,,,,,,,,,,,1,1,,,L16323,
217.6442,0.0010,,,45946.55,1800,,,,,,,,,,,1,1,,,L16323,
217.7092,0.0010,,,45932.83,920,,,,,,,,,,,1,1,,,L16323,
218.3413,0.0010,218.34285,0.00006,45799.85,900,,,0.0000,45799.531,5d2.6s2,a 3F,2,5d3.(b 4F).6p,x 5D*,1,5,3,,,L16323,
218.4984,0.0010,,,45766.93,2700,,,,,,,,,,,1,1,,,L16323,
218.6974,0.0010,218.69953,0.00004,45725.28,1800,,,2356.6756,48081.510,5d2.6s2,a 3F,3,,4808*,3,7,7,,,L16323,
218.8114,0.0010,,,45701.45,1800,,,,,,,,,,,1,1,,,L16323,
218.8594,0.0010,218.86031,0.00007,45691.43,2700,,,2356.6756,48047.920,5d2.6s2,a 3F,3,5d3.(b 4F).6p,x 5D*,4,7,9,,,L16323,
218.9112,0.0003,,,45680.61,2700,,,,,,,,,,,1,1,,,L16323,
218.9405,0.0010,,,45674.52,890,,,,,,,,,,,1,1,,,L16323,
219.3881,0.0005,219.38844,0.00010,45581.31,3500,,,2356.6756,47937.928,5d2.6s2,a 3F,3,,4794*,2,7,5,,,L16323,
219.4526,0.0010,,,45567.94,1800,,,,,,,,,,,1,1,,,L16323,
219.4806,0.0010,,,45562.12,880,,,,,,,,,,,1,1,,,L16323,
219.5654,0.0003,,,45544.52,8800,,,,,,,,,,,1,1,,,L16323,
219.6206,0.0010,,,45533.07,2600,,,,,,,,,,,1,1,,,L16323,
219.6716,0.0010,219.67222,0.00008,45522.50,3500,,,0.0000,45522.369,5d2.6s2,a 3F,2,,4552*,3,5,7,,,L16323,
220.0527,0.0010,,,45443.66,1700,,,,,,,,,,,1,1,,,L16323,
220.2867,0.0010,,,45395.38,1700,,,,,,,,,,,1,1,,,L16323,
220.4088,0.0010,,,45370.25,870,,,,,,,,,,,1,1,,,L16323,
220.4858,0.0010,,,45354.40,3500,,,,,,,,,,,1,1,,,L16323,
220.5318,0.0010,,,45344.94,1700,,,,,,,,,,,1,1,,,L16323,
220.6778,0.0010,,,45314.93,5200,,,,,,,,,,,1,1,,,L16323,
221.0739,0.0010,221.07524,0.00008,45233.74,1700,,,2356.6756,47590.144,5d2.6s2,a 3F,3,,4759*,3,7,7,,,L16323,
221.2009,0.0010,,,45207.77,1700,,,,,,,,,,,1,1,,,L16323,
221.5365,0.0003,,,45139.29,1700,,,,,,,,,,,1,1,,,L16323,
221.9141,0.0010,,,45062.49,840,,,,,,,,,,,1,1,,,L16323,
222.0141,0.0010,,,45042.19,840,,,,,,,,,,,1,1,,,L16323,
222.0291,0.0010,,,45039.14,840,,,,,,,,,,,1,1,,,L16323,
222.1171,0.0010,,,45021.29,1700,,,,,,,,,,,1,1,,,L16323,
222.2281,0.0010,,,44998.80,840,,,,,,,,,,,1,1,,,L16323,
222.4632,0.0010,,,44951.26,830,,,,,,,,,,,1,1,,,L16323,
223.1043,0.0010,223.10551,0.00007,44822.08,3300,,,4567.6413,49389.483,5d2.6s2,a 3F,4,5d3.(b 4F).6p,w 3G*,5,9,11,,,L16323,
223.5824,0.0010,223.58339,0.00008,44726.23,1600,,,5638.6151,50364.656,5d2.6s2,a 1D,2,5d3.(b 4P).6p,w 5D*,2,5,5,,,L16323,
223.6104,0.0010,,,44720.63,810,,,,,,,,,,,1,1,,,L16323,
223.6329,0.0012,223.63382,0.00006,44716.13,3300,,,5638.6151,50354.571,5d2.6s2,a 1D,2,5d3.(b 4F).6p,t 3F*,3,5,7,,,L16323,
224.0895,0.0010,224.09198,0.00010,44625.02,810,,,2356.6756,46981.209,5d2.6s2,a 3F,3,,4698*,2,7,5,,,L16323,
224.3856,0.0010,,,44566.14,4000,,,,,,,,,,,1,1,,,L16323,
224.4936,0.0010,,,44544.70,1600,,,,,,,,,,,1,1,,,L16323,
224.6987,0.0010,224.70023,0.00009,44504.05,800,,,0.0000,44503.737,5d2.6s2,a 3F,2,5d3.(b 4F).6p,y 5F*,2,5,5,,,L16323,
224.9027,0.0010,224.90355,0.00007,44463.67,790i,,,0.0000,44463.504,5d2.6s2,a 3F,2,5d3.(b 4P).6p,t 3D*,3,5,7,,,L16323c153,
224.9647,0.0010,,,44451.41,2400,,,,,,,,,,,1,1,,,L16323,
225.9019,0.0010,,,44267.00,1600,,,,,,,,,,,1,1,,,L16323,
226.0950,0.0010,,,44229.20,1500,,,,,,,,,,,1,1,,,L16323,
226.2240,0.0010,,,44203.98,1500,,,,,,,,,,,1,1,,,L16323,
226.2715,0.0003,,,44194.69,3900,,,,,,,,,,,1,1,,,L16323,
226.2900,0.0010,,,44191.08,770,,,,,,,,,,,1,1,,,L16323,
226.4070,0.0010,,,44168.24,1500,,,,,,,,,,,1,1,,,L16323,
226.8283,0.0003,,,44086.20,1500,,,,,,,,,,,1,1,,,L16323,
226.8611,0.0010,226.86077,0.00010,44079.83,1500,,,4567.6413,48647.541,5d2.6s2,a 3F,4,5d3.(b 4P).6p,y 5P*,3,9,7,,,L16323,
226.9387,0.0003,,,44064.75,3000,,,,,,,,,,,1,1,,,L16323,
226.9622,0.0010,,,44060.21,760,,,,,,,,,,,1,1,,,L16323,
227.0185,0.0003,227.01852,0.00006,44049.28,2300,,,0.0000,44049.269,5d2.6s2,a 3F,2,5d3.(b 2G).6p,v 1F*,3,5,7,,,L16323,
227.0562,0.0010,,,44041.96,3000,,,,,,,,,,,1,1,,,L16323,
227.2155,0.0003,,,44011.08,3800,,,,,,,,,,,1,1,,,L16323,
227.4623,0.0010,,,43963.34,2300,,,,,,,,,,,1,1,,,L16323,
227.4883,0.0010,,,43958.31,750,,,,,,,,,,,1,1,,,L16323,
227.5248,0.0003,,,43951.26,1500,,,,,,,,,,,1,1,,,L16323,
227.5963,0.0010,,,43937.45,750,,,,,,,,,,,1,1,,,L16323,
227.6186,0.0005,227.61917,0.00006,43933.14,4500,,,2356.6756,46289.706,5d2.6s2,a 3F,3,5d3.(b 4F).6p,y 5F*,4,7,9,,,L16323,
227.9899,0.0003,227.99018,0.00009,43861.60,3000,,,2356.6756,46218.213,5d2.6s2,a 3F,3,,4622*,3,7,7,,,L16323,
228.0776,0.0005,228.07798,0.00006,43844.73,3000,,,0.0000,43844.653,5d2.6s2,a 3F,2,,4384*,1,5,3,,,L16323,
228.2387,0.0003,,,43813.77,3700,,,,,,,,,,,1,1,,,L16323,
228.3505,0.0010,228.35166,0.00009,43792.34,2200,,,6572.5498,50364.656,5d2.6s2,a 3P,1,5d3.(b 4P).6p,w 5D*,2,3,5,,,L16323,
228.3794,0.0009,228.38025,0.00008,43786.79,3700,,,0.0000,43786.623,5d2.6s2,a 3F,2,5d3.(b 4F).6p,y 5F*,1,5,3,,,L16323,
228.9257,0.0003,228.92546,0.00010,43682.30,2900,,,5521.7776,49204.119,5d2.6s2,a 3P,0,5d3.(b 4F).6p,s 3D*,1,1,3,,,L16323,
228.9986,0.0010,228.99771,0.00007,43668.39,1500,,,4567.6413,48236.200,5d2.6s2,a 3F,4,5d3.(b 4F).6p,w 3G*,4,9,9,,,L16323,
229.1766,0.0010,,,43634.47,1500,,,,,,,,,,,1,1,,,L16323,
229.3477,0.0010,,,43601.92,1500,,,,,,,,,,,1,1,,,L16323,
229.5587,0.0010,,,43561.84,720,,,,,,,,,,,1,1,,,L16323,
229.813,0.004,229.81179,0.00005,43513.7,720i,,,4567.6413,48081.510,5d2.6s2,a 3F,4,,4808*,3,9,7,,,L16323c153,
229.8418,0.0010,,,43508.19,1400,,,,,,,,,,,1,1,,,L16323,
229.9278,0.0010,229.92876,0.00007,43491.91,720,,,2356.6756,45848.407,5d2.6s2,a 3F,3,,4585*,2,7,5,,,L16323,
229.9898,0.0005,229.98933,0.00007,43480.19,3600,,,4567.6413,48047.920,5d2.6s2,a 3F,4,5d3.(b 4F).6p,x 5D*,4,9,9,,,L16323,
230.5052,0.0003,,,43382.96,4300,,,,,,,,,,,1,1,,,L16323,
230.8750,0.0010,230.87547,0.00006,43313.48,1400,,,5638.6151,48952.008,5d2.6s2,a 1D,2,5d3.(b 4P).6p,y 5P*,2,5,5,,,L16323,
231.1631,0.0010,,,43259.50,700,,,,,,,,,,,1,1,,,L16323,
231.3531,0.0010,,,43223.97,1400,,,,,,,,,,,1,1,,,L16323,
231.6032,0.0010,,,43177.30,2100,,,,,,,,,,,1,1,,,L16323,
231.6642,0.0010,231.66545,0.00009,43165.93,2800,,,2356.6756,45522.369,5d2.6s2,a 3F,3,,4552*,3,7,7,,,L16323,
231.9923,0.0010,231.99311,0.00005,43104.89,2800,,,0.0000,43104.728,5d2.6s2,a 3F,2,5d2.(b 1D).6s.(b 2D).6p,v 3F*,3,5,7,,,L16323,
