obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
140.54,,71150,100,,,,,,,L3316,
140.64,,71100,100,,,,,,,L3316,
140.66,,71090,100,,,,,,,L3316,
143.53,,69670,120,,,,,,,L3316,
143.58,,69650,120,,,,,,,L3316,
144.48,,69210,100,,,,,,,L3316,
144.68,,69120,100,,,,,,,L3316,
144.70,,69110,100,,,,,,,L3316,
144.92,,69000,150,,,,,,,L3316,
145.63,,68670,120,,,,,,,L3316,
150.09,,66630,150,,,,,,,L3316,
153.04,,65340,250,,,,,,,L3316,
153.13,,65300,150,,,,,,,L3316,
153.18,,65280,200,,,,,,,L3316,
154.71,,64640,120,,,,,,,L3316,
156.03,,64090,120,,,,,,,L3316,
157.53,,63480,150,,,,,,,L3316,
157.76,,63390,150,,,,,,,L3316,
157.79,,63380,150,,,,,,,L3316,
157.95,,63310,150,,,,,,,L3316,
158.00,,63290,200,,,,,,,L3316,
158.75,,62990,150,,,,,,,L3316,
159.32,,62770,150,,,,,,,L3316,
160.65,,62250,250,,,,,,,L3316,
161.07,,62080,100,,,,,,,L3316,
161.13,,62060,100,,,,,,,L3316,
161.74,,61830,200,,,,,,,L3316,
162.12,,61680,150,,,,,,,L3316,
162.27,,61630,100,,,,,,,L3316,
162.62,,61490,120,,,,,,,L3316,
164.34,,60850,150,,,,,,,L3316,
167.12,,59840,250,,,,,,,L3316,
167.53,,59690,250,,,,,,,L3316,
169.07,,59150,250,,,,,,,L3316,
179.33,,55760,250,,,,,,,L3316,
179.53,,55700,300,,,,,,,L3316,
185.52,,53900,300,,,,,,,L3316,
185.88,,53800,250,,,,,,,L3316,
189.86,,52670,400,,,,,,,L3316,
191.38,,52250,350,,,,,,,L3316,
191.92,,52110,300,,,,,,,L3316,
196.09,,51000,500,,,,,,,L3316,
199.51,,50120,150,,,,,,,L3316,
204.05,,49009,500,,,,,,,L3316,
207.55,,48182,500,,,,,,,L3316,
216.49,,46192,500,,,,,,,L3316,
233.35,,42854,150,,,,,,,L3316,
241.42,,41421,600,,,,,,,L3316,
254.88,,39235,300,,,,,,,L3316,
432.99,,23095,120,,,,,,,L3316,
433.15,,23087,100,,,,,,,L3316,
473.21,,21132,500,,,,,,,L3316,
474.03,,21096,400,,,,,,,L3316,
474.35,,21081,300,,,,,,,L3316,
536.70,,18632,100,,,,,,,L3316,
537.14,,18617,120,,,,,,,L3316,
537.56,,18603,110,,,,,,,L3316,
632.73,,15804.4,200,,,,,,,L3316,
683.32,,14634.5,150,,,,,,,L3316,
699.2618,,14300.795,120,,,,,,,L1791,
699.3720,,14298.541,100,,,,,,,L1791,
701.2742,,14259.757,200,,,,,,,L1791,
701.5809,,14253.523,150,,,,,,,L1791,
706.4012,,14156.261,300,,,,,,,L1791,
757.72,,13197.5,200,,,,,,,L3316,
758.55,,13183.1,250,,,,,,,L3316,
759.43,,13167.8,150,,,,,,,L3316,
760.89,,13142.5,120,,,,,,,L3316,
800.32,,12495.0,300,,,,,,,L3316,
803.86,,12440.0,200,,,,,,,L3316,
806.31,,12402.2,120,,,,,,,L3316,
806.75,,12395.4,120,,,,,,,L3316,
808.33,,12371.2,120,,,,,,,L3316,
809.54,,12352.7,150,,,,,,,L3316,
809.69,,12350.4,150,,,,,,,L3316,
815.15,,12267.6,180,,,,,,,L3316,
815.42,,12263.6,150,,,,,,,L3316,
815.99,,12255.0,200,,,,,,,L3316,
816.53,,12246.9,180,,,,,,,L3316,
818.51,,12217.2,150,,,,,,,L3316,
818.73,,12214.1,100,,,,,,,L3316,
819.69,,12199.8,120,,,,,,,L3316,
844.279,,11844.43,150,,,,,,,L2647,
845.270,,11830.54,150,,,,,,,L2647,
874.473,,11435.46,150,,,,,,,L2647,
892.131,,11209.12,300,,,,,,,L2647,
897.215,,11145.60,100,,,,,,,L2647,
900.444,,11105.63,200,,,,,,,L2647,
904.109,,11060.61,200,,,,,,,L2647,
908.563,,11006.39,80,,,,,,,L2647,
909.128,,10999.55,120,,,,,,,L2647,
914.334,,10936.92,80,,,,,,,L2647,
918.440,,10888.03,60,,,,,,,L2647,
927.366,,10783.22,60,,,,,,,L2647,
943.509,,10598.74,100,,,,,,,L2647,
982.827,,10174.73,60,,,,,,,L2647,
1022.005,,9784.69,200,,,,,,,L2647,
1031.027,,9699.06,377,,,,,,,L2647,
1033.009,,9680.46,900,,,,,,,L2647,
1038.921,,9625.37,640,,,,,,,L2647,
1065.322,,9386.84,124,,,,,,,L2647,
1193.783,,8376.73,125,,,,,,,L2647,
1195.014,,8368.10,275,,,,,,,L2647,
1195.119,,8367.37,100,,,,,,,L2647,
1195.554,,8364.32,105,,,,,,,L2647,
1195.591,,8364.06,170,,,,,,,L2647,
1196.931,,8354.70,100,,,,,,,L2647,
1197.621,,8349.89,205,,,,,,,L2647,
1197.635,,8349.79,115,,,,,,,L2647,
1482.198,,6746.74,315,,,,,,,L2647,
1492.155,,6701.72,410,,,,,,,L2647,
1515.558,,6598.23,500,,,,,,,L2647,
1547.329,,6462.75,115,,,,,,,L2647,
1547.523,,6461.94,320,,,,,,,L2647,
1552.521,,6441.14,265,,,,,,,L2647,
1562.267,,6400.96,395,,,,,,,L2647,
1562.465,,6400.14,115,,,,,,,L2647,
1666.399,,6000.96,360,,,,,,,L2647,
1681.837,,5945.88,505,,,,,,,L2647,
1682.235,,5944.47,165,,,,,,,L2647,
1687.115,,5927.28,205,,,,,,,L2647,
1697.735,,5890.20,115,,,,,,,L2647,
2138.007,,4677.253,235,,,,,,,L2647,
2144.841,,4662.350,680,,,,,,,L2647,
2147.934,,4655.637,415,,,,,,,L2647,
2172.229,,4603.566,270,,,,,,,L2647,
2173.653,,4600.550,240,,,,,,,L2647,
2313.997,,4321.527,105,,,,,,,L2647,
2339.523,,4274.376,150,,,,,,,L2647,
2363.462,,4231.081,110,,,,,,,L2647,
2415.477,,4139.969,265,,,,,,,L2647,
2416.582,,4138.076,170,,,,,,,L2647,
2421.104,,4130.347,185,,,,,,,L2647,
2439.264,,4099.597,375,,,,,,,L2647,
2442.033,,4094.949,160,,,,,,,L2647,
2447.785,,4085.326,225,,,,,,,L2647,
2502.434,,3996.109,255,,,,,,,L2647,
2513.429,,3978.628,510,,,,,,,L2647,
