obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
257.904,,38774.1,25,,,,,,,L3475,
258.008,,38758.5,30,,,,,,,L3475,
284.382,,35164.0,20,,,,,,,L3475,
285.146,,35069.8,20,,,,,,,L3475,
288.245,,34692.8,50,,,,,,,L3475,
396.056,,25249.0,190,,,,,,,L3475,
463.358,,21581.6,140,,,,,,,L3475,
463.698,,21565.8,140,,,,,,,L3475,
464.085,,21547.8,200,,,,,,,L3475,
468.911,,21326.0,180,,,,,,,L3475,
469.708,,21289.8,290,,,,,,,L3475,
471.084,,21227.6,140,,,,,,,L3475,
473.199,,21132.7,180,,,,,,,L3475,
473.801,,21105.9,250,,,,,,,L3475,
474.549,,21072.7,100,,,,,,,L3475,
490.836,,20373.4,110,,,,,,,L3475,
491.539,,20344.3,140,,,,,,,L3475,
492.597,,20300.6,200,,,,,,,L3475,
493.738,,20253.7,140,,,,,,,L3475,
494.112,,20238.3,320,,,,,,,L3475,
494.168,,20236.0,160,,,,,,,L3475,
495.275,,20190.8,380,,,,,,,L3475,
497.714,,20091.9,110,,,,,,,L3475,
501.999,,19920.4,120,,,,,,,L3475,
502.116,,19915.7,200,,,,,,,L3475,
502.836,,19887.2,200,,,,,,,L3475,
503.478,,19861.8,100,,,,,,,L3475,
504.524,,19820.7,110,,,,,,,L3475,
504.693,,19814.0,320,,,,,,,L3475,
505.481,,19783.1,160,,,,,,,L3475,
508.854,,19652.0,180,,,,,,,L3475,
513.487,,19474.7,270,,,,,,,L3475,
514.124,,19450.6,100,,,,,,,L3475,
519.588,,19246.0,120,,,,,,,L3475,
522.943,,19122.6,110,,,,,,,L3475,
550.303,,18171.8,16,,,,,,,L3475,
552.568,,18097.3,28c,,,,,,,L3475,
552.947,,18084.9,16c,,,,,,,L3475,
553.175,,18077.5,13,,,,,,,L3475,
553.270,,18074.4,45,,,,,,,L3475,
553.991,,18050.8,28,,,,,,,L3475,
556.360,,17974.0,45c,,,,,,,L3475,
556.707,,17962.8,13,,,,,,,L3475,
558.036,,17920.0,11,,,,,,,L3475,
559.647,,17868.4,22,,,,,,,L3475,
