obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
78.0390,0.0015,78.03935+,128141.1,15,,,0.000,128140.48,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,5/2,4,6,,,L7481,
78.0519,0.0030,78.05422+,128120,10*,,,404.141,128520.22,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2P,1/2,2,2,,,L7481,
78.0519,0.0030,78.05235+,128120,10*,,,404.141,128523.28,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,4P,3/2,2,4,,,L7481,
78.0519,0.0030,78.05017+,128120,10*,,,0.000,128122.72,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4D,3/2,4,4,,,L7481,
78.2378,0.0015,78.23766+,127815.5,10,,,404.141,128219.83,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2D,3/2,2,4,,,L7481,
79.1875,0.0015,79.18749+,126282.6,12,,,0.000,126282.58,2s2.2p5,2P*,3/2,2s2.2p4.(3P).4s,2P,3/2,4,4,,,L7481,
79.2536,0.0015,79.25372+,126177.2,10,,,404.141,126581.18,2s2.2p5,2P*,1/2,2s2.2p4.(3P).4s,2P,1/2,2,2,,,L7481,
79.4417,0.0030,79.44172+,125878,10*,,,404.141,126282.58,2s2.2p5,2P*,1/2,2s2.2p4.(3P).4s,2P,3/2,2,4,,,L7481,
79.4417,0.0030,79.44245+,125878,10*,,,0.000,125877.28,2s2.2p5,2P*,3/2,2s2.2p4.(3P).4s,4P,3/2,4,4,,,L7481,
80.6970,0.0005,80.697051+,123920.3,150*,3.13e+08,B,0.000,123920.265,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3s,2D,5/2,4,6,,"T7663,T2177",L7481,
80.6970,0.0005,80.696474+,123920.3,150*,,,0.000,123921.152,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3s,2D,3/2,4,4,,,L7481,
80.9607,0.0005,80.960508+,123516.7,125,2.64e+08,B,404.141,123921.152,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3s,2D,3/2,2,4,,"T7663,T2177",L7481,
95.1871,0.0003,95.18707+,105056.3,500,2.42e+08,B+,0.000,105056.28,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,1/2,4,2,,"T7663,T7574",L7481,
95.4825,0.0003,95.48267+,104731.2,1000,5.98e+08,B+,0.000,104731.05,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,3/2,4,4,,"T7663,T7574",L7481,
95.5545,0.0003,95.55466+,104652.3,750,4.74e+08,B+,404.141,105056.28,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,1/2,2,2,,"T7663,T7574",L7481,
95.8524,0.0003,95.85255+,104327.1,500,1.15e+08,B+,404.141,104731.05,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,3/2,2,4,,"T7663,T7574",L7481,
97.2401,0.0003,97.23807+,102838.2,20,,,0.000,102840.38,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,1/2,4,2,,,L7481,
97.3895,0.0003,97.38953+,102680.5,350,,,0.000,102680.44,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,3/2,4,4,,,L7481,
97.6217,0.0003,97.62170+,102436.2,100,,,404.141,102840.38,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,4P,1/2,2,2,,,L7481,
97.6505,0.0003,97.65080+,102406.0,40,,,0.000,102405.71,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,5/2,4,6,,,L7481,
97.7745,0.0003,97.77436+,102276.2,100,,,404.141,102680.44,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,4P,3/2,2,4,,,L7481,
359.5129,0.0010,359.5129+,27815.42,6,,,102405.71,130221.12,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).4p,4S*,3/2,6,4,,,L7481,
366.9219,0.0010,366.9214+,27253.76,12,,,102405.71,129659.50,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).4p,4D*,7/2,6,8,,,L7481,
389.9582,0.0010,389.9577+,25643.77,5,,,104731.05,130374.86,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).4p,2P*,3/2,4,4,,,L7481,
393.1802,0.0010,393.1799+,25433.63,8,,,105056.28,130489.93,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).4p,2P*,1/2,2,2,,,L7481,
393.5376,0.0010,393.5366+,25410.53,5,,,104731.05,130141.65,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).4p,2D*,3/2,4,4,,,L7481,
394.9681,0.0010,394.9669+,25318.50,5,,,105056.28,130374.86,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).4p,2P*,3/2,2,4,,,L7481,
496.203,0.003,496.205+,20153.02,6,,,115917.91,136070.88,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).5d,4D,7/2,6,8,,,L7481,
523.187,0.003,523.186+,19113.64,15,,,116987.39,136101.06,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).5d,4F,9/2,8,10,,,L7481,
528.048,0.003,528.049+,18937.68,12,,,117164.01,136101.65,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).5d,2F,7/2,6,8,,,L7481,
554.206,0.003,554.205+,18043.84,18,,,116040.88,134084.75,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,2F,5/2,4,6,,,L7481,
555.397,0.003,555.396+,18005.13,12,,,115917.91,133923.07,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,4F,7/2,6,8,,,L7481,
557.888,0.003,557.886+,17924.75,10,,,116040.88,133965.68,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4P,5/2,4,6,,,L7481,
562.562,0.003,562.559+,17775.81,20,,,116143.58,133919.49,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).4d,4P,3/2,2,4,,,L7481,
562.849,0.003,562.847+,17766.75,12,,,116143.58,133910.39,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).4d,2P,1/2,2,2,,,L7481,
566.072,0.003,566.070+,17665.60,15,,,115917.91,133583.57,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,2D,5/2,6,6,,,L7481,
566.9105,0.0010,566.909+,17639.47,40,,,115917.91,133557.43,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,4D,5/2,6,6,,,L7481,
567.3242,0.0010,567.323+,17626.61,90,,,115917.91,133544.54,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,4D,7/2,6,8,,,L7481,
569.072,0.003,569.070+,17572.47,18,,,116040.88,133613.41,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4D,1/2,4,2,,,L7481,
570.240,0.003,570.239+,17536.47,25,,,116040.88,133577.40,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4D,3/2,4,4,,,L7481,
570.889,0.003,570.889+,17516.53,25,,,116040.88,133557.43,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4D,5/2,4,6,,,L7481,
595.1795,0.0010,595.179+,16801.65,12,,,117164.01,133965.68,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).4d,4P,5/2,6,6,,,L7481,
596.0838,0.0010,596.083+,16776.17,25,,,117308.56,134084.75,2s2.2p4.(3P).3p,4D*,3/2,2s2.2p4.(3P).4d,2F,5/2,4,6,,,L7481,
