obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
433.7489,0.0006,433.74865,0.00006,23054.81,240,,,9863.589,32918.416,6d2.(3F).7s,4F,5/2,6d2.(3P).7p,2D*,3/2,6,4,,,L7344,
434.8732,0.0013,,,22995.21,160c,,,,,,,,,,,1,1,,,L7344,
437.6298,0.0010,437.62856,0.00006,22850.36,320,,,10906.027,33756.455,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,2F*,7/2,8,8,,,L7344,
438.5761,0.0010,438.57514,0.00012,22801.06,4900c,1.9e+07,D+,0.000,22801.11,6d.7s2,2D,3/2,6d.7s.(3D).7p,4P*,5/2,4,6,,T10463,L7344,
439.7945,0.0006,439.79509,0.00006,22737.89,5800,7.37e+07,B,2231.432,24969.294,6d.7s2,2D,5/2,6d.7s.(3D).7p,2F*,7/2,6,8,,T10463,L7344,
440.3346,0.0006,440.33421,0.00010,22710.00,860,2.98e+07,B,12078.067,34788.09,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,4F*,9/2,10,10,,T10463,L7344,
441.8499,0.0006,441.85049,0.00008,22632.12,220,3.33e+07,B,9863.589,32495.679,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,2F*,5/2,6,6,,T10463,L7344,
442.1661,0.0013,,,22615.93,280,,,,,,,,,,,1,1,,,L7344,
442.4392,0.0013,,,22601.98,300,,,,,,,,,,,1,1,,,L7344,
442.8094,0.0006,442.80975,0.00008,22583.08,180,,,9217.288,31800.350,6d2.(3F).7s,4F,3/2,5f.7s2,2F*,5/2,4,6,,,L7344,
446.2412,0.0013,,,22409.41,170,,,,,,,,,,,1,1,,,L7344,
446.3982,0.0006,446.39832,0.00012,22401.52,6900,7.16e+07,B,2231.432,24632.95,6d.7s2,2D,5/2,6d.7s.(1D).7p,2F*,7/2,6,8,,T10463,L7344,
447.3066,0.0006,447.30655,0.00008,22356.03,850,2.68e+07,B,9863.589,32219.622,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,4F*,7/2,6,8,,T10463,L7344,
448.7889,0.0006,448.78912,0.00008,22282.19,160,6.e+06,E,12078.067,34360.247,6d2.(3F).7s,4F,9/2,6d2.(1G).7p,2G*,7/2,10,8,,T10463,L7344,
448.8858,0.0006,448.88560,0.00006,22277.38,450,8.9e+06,D,9217.288,31494.679,6d2.(3F).7s,4F,3/2,6d2.(3F).7p,4F*,5/2,4,6,,T10463,L7344,
455.3456,0.0006,455.34504,0.00008,21961.34,1000c,3.18e+07,B,10906.027,32867.395,6d2.(3F).7s,4F,7/2,6d2.(1G).7p,2G*,9/2,8,10,,T10463,L7344,
455.8558,0.0006,455.85581,0.00008,21936.76,250,,,9863.589,31800.350,6d2.(3F).7s,4F,5/2,5f.7s2,2F*,5/2,6,6,,,L7344,
457.9523,0.0013,,,21836.34,510,,,,,,,,,,,1,1,,,L7344,
461.1391,0.0006,461.13969,0.00009,21685.43,1100,2.4e+07,D+,2231.432,23916.835,6d.7s2,2D,5/2,6d.7s.(1D).7p,2D*,3/2,6,4,,T10463,L7344,
461.2882,0.0006,461.28891,0.00009,21678.42,81,2.12e+07,B,12078.067,33756.455,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,2F*,7/2,10,8,,T10463,L7344,
461.5222,0.0006,461.52210,0.00009,21667.43,4000,1.2e+07,D+,2231.432,23898.867,6d.7s2,2D,5/2,6d.7s.(3D).7p,2F*,5/2,6,6,,T10463,L7344,
462.2984,0.0006,462.29755,0.00006,21631.05,710,1.5e+07,D+,9863.589,31494.679,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,4F*,5/2,6,6,,T10463,L7344,
468.3470,0.0006,,,21351.69,1300c,,,,,,,,,,,1,1,,,L7344,
469.1834,0.0006,469.18411,0.00009,21313.63,960,2.68e+07,B,10906.027,32219.622,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4F*,7/2,8,8,,T10463,L7344,
469.4603,0.0013,,,21301.05,240,,,,,,,,,,,1,1,,,L7344,
470.7099,0.0006,470.70978,0.00013,21244.51,2200c,8.43e+07,B,12078.067,33322.58,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,4G*,11/2,10,12,,T10463,L7344,
470.9287,0.0013,,,21234.64,1200c,,,,,,,,,,,1,1,,,L7344,
471.7901,0.0006,471.79002,0.00009,21195.87,6900,3.18e+07,B,0.000,21195.870,6d.7s2,2D,3/2,6d.7s.(1D).7p,2F*,5/2,4,6,,T10463,L7344,
,,472.15943,0.00013,21179.287,m(Ac II),4.03e+07,B,9217.288,30396.575,6d2.(3F).7s,4F,3/2,6d2.(3F).7p,4F*,3/2,4,4,,T10463,,
477.8106,0.0013,,,20928.80,440c,,,,,,,,,,,1,1,,,L7344,
478.8298,0.0013,478.8302,0.0003,20884.25,320c,5.84e+07,B,13877.59,34761.82,6d2.(3P).7s,4P,5/2,6d2.(3P).7p,4P*,3/2,6,4,,T10463,L7344,
481.0155,0.0006,481.01603,0.00012,20789.35,530,3.00e+07,B,12078.067,32867.395,6d2.(3F).7s,4F,9/2,6d2.(1G).7p,2G*,9/2,10,10,,T10463,L7344,
482.7229,0.0013,,,20715.82,1000,,,,,,,,,,,1,1,,,L7344,
485.7037,0.0006,485.70446,0.00009,20588.68,1400c,4.03e+07,B,10906.027,31494.679,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4F*,5/2,8,6,,T10463,L7344,
486.1518,0.0010,486.15248,0.00019,20569.71,5500c,2.65e+07,B,2231.432,22801.11,6d.7s2,2D,5/2,6d.7s.(3D).7p,4P*,5/2,6,6,,T10463,L7344,
487.0230,0.0020,487.02123,0.00014,20532.91,890,3.32e+07,B,9863.589,30396.575,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,4F*,3/2,6,4,,T10463,L7344,
496.4866,0.0006,496.48600,0.00010,20141.530,590c,2.86e+07,B,12078.067,32219.622,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,4F*,7/2,10,8,,T10463,L7344,
506.2971,0.0013,,,19751.25,260,,,,,,,,,,,1,1,,,L7344,
506.6062,0.0013,506.60568,0.00021,19739.20,300,,,13712.902,33452.12,6d.7s.(3D).7p,4F*,3/2,6d.7s.(3D).8s,4D,5/2,4,6,,,L7344,
510.7253,0.0013,510.72698,0.00023,19580.00,1300c,4.12e+07,B,10906.027,30485.96,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4G*,9/2,8,10,,T10463,L7344,
522.9766,0.0013,522.9764,0.0004,19121.32,1300,2.7e+06,E,0.000,19121.32?,6d.7s2,2D,3/2,6d.7s.(3D).7p,4D*,5/2,4,6,,T10463,L7344,
525.9704,0.0006,525.97114,0.00011,19012.480,8100c,2.56e+07,B,0.000,19012.450,6d.7s2,2D,3/2,6d.7s.(3D).7p,2D*,3/2,4,4,,T10463,L7344,
526.2914,0.0013,526.2915,0.0004,19000.88,790c,1.3e+06,E,2231.432,21232.31?,6d.7s2,2D,5/2,6d.7s.(3D).7p,4D*,7/2,6,8,,T10463,L7344,
526.5945,0.0013,526.5946,0.0004,18989.94,890,3.7e+07,D+,7477.36,26467.30?,7s2.7p,2P*,1/2,7s2.8s,2S,1/2,2,2,,T10463,L7344,
