obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
362.439,362.439,0.026,27590.8,10w,,,61242.25,88833.1,4d9.5s.(3D).5p,4F*,3/2,4d9.5s.(3D).5d,2D,3/2,4,4,,,L2489,
362.5723,362.57208,0.00011,27580.70,50,,,30472.66516,58053.388,4d10.5p,2P*,3/2,4d10.8d,2D,5/2,4,6,,,L11755,
368.3552,368.35432,0.00004,27147.71,30,,,29552.05741,56699.832,4d10.5p,2P*,1/2,4d10.7d,2D,3/2,2,4,,,L11755,
371.0247,371.02430,0.00011,26952.38,50,,,30472.66516,57425.078,4d10.5p,2P*,3/2,4d10.9s,2S,1/2,4,2,,,L11755,
372.848,372.848,0.028,26820.6,10w,,,61773.12,88593.7,4d9.5s.(3D).5p,4D*,7/2,4d9.5s.(3D).5d,4G,9/2,8,10,,,L3326,
375.421,375.421,0.028,26636.8,20w,,,62181.85,88818.6,4d9.5s.(3D).5p,4D*,5/2,4d9.5s.(3D).5d,4F,7/2,6,8,,,L3326,
381.2023,381.20213,0.00003,26232.79,200,,,30472.66516,56705.467,4d10.5p,2P*,3/2,4d10.7d,2D,5/2,4,6,,,L11755,
381.2855,381.28404,0.00004,26227.07,50,,,30472.66516,56699.832,4d10.5p,2P*,3/2,4d10.7d,2D,3/2,4,4,,,L11755,
384.1839,384.18408,0.00004,26029.20,100,,,29552.05741,55581.246,4d10.5p,2P*,1/2,4d10.8s,2S,1/2,2,2,,,L11755,
384.8937,384.89383,0.00006,25981.20,20,,,30242.298349,56223.489,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4P*,5/2,6,6,,,L11755,
390.852,390.867,0.031,25585.2,50w,,,61773.12,87357.3,4d9.5s.(3D).5p,4D*,7/2,4d9.5s.(3D).5d,4F,9/2,8,10,,,L3326,
391.551,391.552,0.031,25539.5,50w,,,61773.12,87312.5,4d9.5s.(3D).5p,4D*,7/2,4d9.5s.(3D).5d,4D,7/2,8,8,,,L3326,
392.864,392.866,0.031,25454.1,6w,,,61773.12,87227.1?,4d9.5s.(3D).5p,4D*,7/2,4d9.5s.(3D).5d,2F,7/2,8,8,,,L2489,
392.948,392.949,0.031,25448.6,4w,,,61773.12,87221.7,4d9.5s.(3D).5p,4D*,7/2,4d9.5s.(3D).5d,4P,5/2,8,6,,,L2489,
394.155,394.159,0.031,25370.8,10w,,,61773.12,87143.6,4d9.5s.(3D).5p,4D*,7/2,4d9.5s.(3D).5d,2D,5/2,8,6,,,L3326,
394.402,394.403,0.031,25354.9,10w,,,63531.35,88886.1,4d9.5s.(3D).5p,2D*,3/2,4d9.5s.(3D).5d,2F,5/2,4,6,,,L2489,
398.2706,398.27022,0.00005,25108.56,30,,,30472.66516,55581.246,4d10.5p,2P*,3/2,4d10.8s,2S,1/2,4,2,,,L11755,
399.281,399.277,0.032,25045.0,5w,,,62181.85,87227.1?,4d9.5s.(3D).5p,4D*,5/2,4d9.5s.(3D).5d,2F,7/2,6,8,,,L2489,
399.359,399.363,0.032,25040.1,5w,,,62181.85,87221.7,4d9.5s.(3D).5p,4D*,5/2,4d9.5s.(3D).5d,4P,5/2,6,6,,,L2489,
405.6621,405.66204,0.00003,24651.06,400,,,29552.05741,54203.119,4d10.5p,2P*,1/2,4d10.6d,2D,3/2,2,4,,,L11755,
408.458,,,24482.3,10w,,,,,,,,,,,1,1,,,L3326,
421.2146,421.21404,0.00005,23740.87,700,,,30472.66516,54213.564,4d10.5p,2P*,3/2,4d10.6d,2D,5/2,4,6,,,L11755,
421.4001,421.39944,0.00004,23730.42,70,,,30472.66516,54203.119,4d10.5p,2P*,3/2,4d10.6d,2D,3/2,4,4,,,L11755,
431.2287,431.229,0.037,23189.55,50,,,56223.489,79413.0,4d9.5s.(3D).5p,4P*,5/2,4d9.5s.(3D).6s,4D,7/2,6,8,,,L3326,
439.746,439.739,0.039,22740.4,20,,,61242.25,83983.0,4d9.5s.(3D).5p,4F*,3/2,4d9.5s.(3D).6s,4D,1/2,4,2,,,L3326,
447.7296,447.729634,0.000020,22334.91,80,,,29552.05741,51886.965,4d10.5p,2P*,1/2,4d10.7s,2S,1/2,2,2,,,L11755,
455.680,455.685,0.042,21945.2,20w,,,59321.40,81266.4,4d9.5s.(3D).5p,4F*,5/2,4d9.5s.(3D).6s,4D,3/2,6,4,,,L2489,
461.698,461.693,0.043,21659.2,30w,,,58504.586,80164.0,4d9.5s.(3D).5p,4P*,3/2,4d9.5s.(3D).6s,4D,5/2,4,6,,,L3326,
466.9784,466.977677,0.000022,21414.27,130,,,30472.66516,51886.965,4d10.5p,2P*,3/2,4d10.7s,2S,1/2,4,2,,,L11755,
467.891,467.855,0.044,21372.5,30w*,,,58789.879,80164.0,4d9.5s.(3D).5p,4F*,7/2,4d9.5s.(3D).6s,4D,5/2,8,6,,,L3326,
467.891,467.925,0.044,21372.5,30w*,,,58042.063,79413.0,4d10.6f,2F*,7/2,4d9.5s.(3D).6s,4D,7/2,8,8,,,L3326,
479.780,479.787,0.046,20842.9,20w,,,59321.40,80164.0,4d9.5s.(3D).5p,4F*,5/2,4d9.5s.(3D).6s,4D,5/2,6,6,,,L2489,
484.917,484.893,0.047,20622.1,30w,,,58789.879,79413.0,4d9.5s.(3D).5p,4F*,7/2,4d9.5s.(3D).6s,4D,7/2,8,8,,,L3326,
487.5461,487.544,0.048,20510.88,100,,,58902.05,79413.0,4d9.5s.(3D).5p,4F*,9/2,4d9.5s.(3D).6s,4D,7/2,10,8,,,L3326,
488.958,488.958,0.048,20451.7,20,,,63531.35,83983.0,4d9.5s.(3D).5p,2D*,3/2,4d9.5s.(3D).6s,4D,1/2,4,2,,,L3326,
491.885,491.872,0.048,20329.9,10w,,,64264.5,84595.0,4d9.5s.(3D).5p,2F*,5/2,4d9.5s.(3D).6s,2D,3/2,6,4,,,L2489,
493.713,493.710,0.049,20254.7,10,,,66972.30,87227.1?,4d9.5s.(3D).5p,2D*,5/2,4d9.5s.(3D).5d,2F,7/2,6,8,,,L3326,
499.425,499.397,0.050,20023.0,20w,,,61242.25,81266.4,4d9.5s.(3D).5p,4F*,3/2,4d9.5s.(3D).6s,4D,3/2,4,4,,,L2489,
512.493,512.497,0.053,19512.5,15w,,,66972.30,86484.6,4d9.5s.(3D).5p,2D*,5/2,4d9.5s.(1D).6s,2D,5/2,6,6,,,L3326,
521.0528,521.05284,0.00005,19191.91,1000,7.5e+07,D,29552.05741,48743.969,4d10.5p,2P*,1/2,4d10.5d,2D,3/2,2,4,,T4515,L11755,
533.510,533.46567,0.00006,18743.8,10w,,,29552.05741,48297.406,4d10.5p,2P*,1/2,4d10.6p,2P*,1/2,2,2,M1,,L3326,
546.7016,546.70041,0.00006,18291.51,1000,8.6e+07,D,30472.66516,48764.219,4d10.5p,2P*,3/2,4d10.5d,2D,5/2,4,6,,T4515,L11755,
547.3075,547.30632,0.00006,18271.26,50,1.4e+07,D,30472.66516,48743.969,4d10.5p,2P*,3/2,4d10.5d,2D,3/2,4,4,,T4515,L11755,
547.6897,547.689752,0.000012,18258.51,20,,,30242.298349,48500.8105,4d9.5s2,2D,5/2,4d10.6p,2P*,3/2,6,4,,,L11755,
554.721,554.688228,0.000015,18027.1,20w,,,30472.66516,48500.8105,4d10.5p,2P*,3/2,4d10.6p,2P*,3/2,4,4,M1,,L3326,
556.108,556.107,0.062,17982.1,10w,,,62181.85,80164.0,4d9.5s.(3D).5p,4D*,5/2,4d9.5s.(3D).6s,4D,5/2,6,6,,,L2489,
