index,energy (cm-1),J,state degeneracy,Uncertainty (cm-1),Config,term,parity
61,42995.510000,3/2,4.0,0.100000,1s2.15p,2P,-
62,42995.510000,1/2,2.0,0.100000,1s2.15p,2P,-
63,43055.340000,1/2,2.0,0.100000,1s2.16p,2P,-
64,43055.340000,3/2,4.0,0.100000,1s2.16p,2P,-
65,43105.420000,1/2,2.0,0.100000,1s2.17p,2P,-
66,43105.420000,3/2,4.0,0.100000,1s2.17p,2P,-
67,43146.960000,3/2,4.0,0.100000,1s2.18p,2P,-
68,43146.960000,1/2,2.0,0.100000,1s2.18p,2P,-
69,43181.840000,3/2,4.0,0.100000,1s2.19p,2P,-
70,43181.840000,1/2,2.0,0.100000,1s2.19p,2P,-
71,43211.390000,1/2,2.0,0.100000,1s2.20p,2P,-
72,43211.390000,3/2,4.0,0.100000,1s2.20p,2P,-
73,43237.160000,1/2,2.0,0.100000,1s2.21p,2P,-
74,43237.160000,3/2,4.0,0.100000,1s2.21p,2P,-
75,43259.140000,3/2,4.0,0.100000,1s2.22p,2P,-
76,43259.140000,1/2,2.0,0.100000,1s2.22p,2P,-
77,43278.960000,3/2,4.0,0.100000,1s2.23p,2P,-
78,43278.960000,1/2,2.0,0.100000,1s2.23p,2P,-
79,43296.030000,1/2,2.0,0.100000,1s2.24p,2P,-
80,43296.030000,3/2,4.0,0.100000,1s2.24p,2P,-
81,43311.450000,1/2,2.0,0.100000,1s2.25p,2P,-
82,43311.450000,3/2,4.0,0.100000,1s2.25p,2P,-
83,43324.810000,3/2,4.0,0.100000,1s2.26p,2P,-
84,43324.810000,1/2,2.0,0.100000,1s2.26p,2P,-
85,43336.400000,3/2,4.0,0.100000,1s2.27p,2P,-
86,43336.400000,1/2,2.0,0.100000,1s2.27p,2P,-
87,43346.390000,1/2,2.0,0.100000,1s2.28p,2P,-
88,43346.390000,3/2,4.0,0.100000,1s2.28p,2P,-
89,43354.910000,1/2,2.0,0.100000,1s2.29p,2P,-
90,43354.910000,3/2,4.0,0.100000,1s2.29p,2P,-
91,43363.710000,3/2,4.0,0.100000,1s2.30p,2P,-
92,43363.710000,1/2,2.0,0.100000,1s2.30p,2P,-
93,43372.060000,3/2,4.0,0.100000,1s2.31p,2P,-
94,43372.060000,1/2,2.0,0.100000,1s2.31p,2P,-
95,43378.310000,3/2,4.0,0.100000,1s2.32p,2P,-
96,43378.310000,1/2,2.0,0.100000,1s2.32p,2P,-
97,43384.900000,1/2,2.0,1.000000,1s2.33p,2P,-
98,43384.900000,3/2,4.0,1.000000,1s2.33p,2P,-
99,43390.300000,3/2,4.0,1.000000,1s2.34p,2P,-
100,43390.300000,1/2,2.0,1.000000,1s2.34p,2P,-
101,43395.400000,3/2,4.0,1.000000,1s2.35p,2P,-
102,43395.400000,1/2,2.0,1.000000,1s2.35p,2P,-
103,43400.500000,3/2,4.0,1.000000,1s2.36p,2P,-
104,43400.500000,1/2,2.0,1.000000,1s2.36p,2P,-
105,43404.700000,1/2,2.0,1.000000,1s2.37p,2P,-
106,43404.700000,3/2,4.0,1.000000,1s2.37p,2P,-
107,43408.600000,3/2,4.0,1.000000,1s2.38p,2P,-
108,43408.600000,1/2,2.0,1.000000,1s2.38p,2P,-
109,43412.400000,3/2,4.0,1.000000,1s2.39p,2P,-
110,43412.400000,1/2,2.0,1.000000,1s2.39p,2P,-
111,43416.900000,1/2,2.0,1.000000,1s2.40p,2P,-
112,43416.900000,3/2,4.0,1.000000,1s2.40p,2P,-
113,43420.900000,1/2,2.0,1.000000,1s2.41p,2P,-
