obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
65.090,,3,,,,,,,,,,,,,L3272,
67.087,,5r,,,,,,,,,,,,,L3272,
67.410,,4,,,,,,,,,,,,,L3272,
69.630,,15r,,,,,,,,,,,,,L3272,
70.923,,5r,,,,,,,,,,,,,L3272,
81.718,,10r,,,,,,,,,,,,,L3272,
83.634,,5r,,,,,,,,,,,,,L3272,
101.885,,8r,,,,,,,,,,,,,L3272,
104.973,,10r,,,,,,,,,,,,,L3272,
105.030,,8r,,,,,,,,,,,,,L3272,
107.497,,5r,,,,,,,,,,,,,L3272,
113.017,,10r,,,,,,,,,,,,,L3272,
116.255,,15r,,,,,,,,,,,,,L3272,
116.743,,10r,,,,,,,,,,,,,L3272,
118.341,,10r,,,,,,,,,,,,,L3272,
119.484,,12r,,,,,,,,,,,,,L3272,
123.181,,8,,,,,,,,,,,,,L3272,
124.600,,5r,,,,,,,,,,,,,L3272,
130.750,,15r,,,,,,,,,,,,,L3272,
131.020,,8r,,,,,,,,,,,,,L3272,
132.171,132.16442+,25r,1.69e+09,,0.00,75663.33,5d10.6s2,1S,0,5d10.6s.6p,1P*,1,,T7307,L3272,
133.040,,8r,,,,,,,,,,,,,L3272,
137.352,,10r,,,,,,,,,,,,,L3272,
149.050,,5,,,,,,,,,,,,,L3272,
149.930,,10r,,,,,,,,,,,,,L3272,
150.782,,10r,,,,,,,,,,,,,L3272,
156.158,,15r,,,,,,,,,,,,,L3272,
156.857,,10r,,,,,,,,,,,,,L3272,
159.326,,7r,,,,,,,,,,,,,L3272,
179.276,179.2827+,10r,,,49451.45,105229.28,5d10.6s.6p,3P*,0,5d10.6s.7s,3S,1,,,L3272,
181.485,181.4762+,12r,,,61727.26,116830.90,5d10.6s.6p,3P*,2,5d10.6s.6d,3D,3,,,L3272,
189.272,,8,,,,,,,,,,,,,L3272,
190.864,190.8617+,25r,2.6e+07,,0.00,52393.96,5d10.6s2,1S,0,5d10.6s.6p,3P*,1,,T7307,L3272,
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
229.804,229.8036+,30,,,61727.26,105229.28,5d10.6s.6p,3P*,2,5d10.6s.7s,3S,1,,,L3272,
245.183,,8,,,,,,,,,,,,,L3272,
246.903,,6,,,,,,,,,,,,,L3272,
253.086,253.0739+,20,1.18e+08,,75663.33,115165.60,5d10.6s.6p,1P*,1,5d10.6s.6d,1D,2,,T7307,L3272,
284.980,,10,,,,,,,,,,,,,L3272,
302.901,,5,,,,,,,,,,,,,L3272,
309.156,309.1571+,20,,,75663.33,107999.96,5d10.6s.6p,1P*,1,5d10.6s.7s,1S,0,,,L3272,
318.551,,15,,,,,,,,,,,,,L3272,
318.656,,15,,,,,,,,,,,,,L3272,
318.774,,15,,,,,,,,,,,,,L3272,
329.101,,15,,,,,,,,,,,,,L3272,
331.991,,12,,,,,,,,,,,,,L3272,
332.104,,12,,,,,,,,,,,,,L3272,
332.225,,8,,,,,,,,,,,,,L3272,
336.915,,15,,,,,,,,,,,,,L3272,
338.100,,8,,,,,,,,,,,,,L3272,
338.180,,6,,,,,,,,,,,,,L3272,
346.048,,6bl,,,,,,,,,,,,,L3272,
354.008,,8,,,,,,,,,,,,,L3272,
356.068,,9,,,,,,,,,,,,,L3272,
356.767,,5,,,,,,,,,,,,,L3272,
379.395,,8,,,,,,,,,,,,,L3272,
383.230,,10,,,,,,,,,,,,,L3272,
386.915,,6,,,,,,,,,,,,,L3272,
388.715,,10,,,,,,,,,,,,,L3272,
422.305,,8,,,,,,,,,,,,,L3272,
427.498,,20,,,,,,,,,,,,,L3272,
430.680,,40,,,,,,,,,,,,,L3272,
449.077,,8,,,,,,,,,,,,,L3272,
473.705,,20,,,,,,,,,,,,,L3272,
498.135,,15,,,,,,,,,,,,,L3272,
507.854,,25,,,,,,,,,,,,,L3272,
515.214,,25,,,,,,,,,,,,,L3272,
518.195,,6,,,,,,,,,,,,,L3272,
518.310,,6,,,,,,,,,,,,,L3272,
538.485,,15bl,,,,,,,,,,,,,L3272,
540.992,,7,,,,,,,,,,,,,L3272,
541.097,,10,,,,,,,,,,,,,L3272,
594.948,,25,,,,,,,,,,,,,L3272,
617.998,,10,,,,,,,,,,,,,L3272,
623.903,,8bl,,,,,,,,,,,,,L3272,
637.832,,10,,,,,,,,,,,,,L3272,
696.65,,10,,,,,,,,,,,,,L3272,
844.58,,8,,,,,,,,,,,,,L3272,
863.29,,8,,,,,,,,,,,,,L3272,
866.41,,10,,,,,,,,,,,,,L3272,
913,,20,,,,,,,,,,,,,L3272,
922.5,,4,,,,,,,,,,,,,L3272,
925.4,,3,,,,,,,,,,,,,L3272,
