obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
360.139,,180,,,,,,,,,,,,,L369,
360.284,,190,,,,,,,,,,,,,L369,
,364.0884,,1.37e+07,C,237507.65,264965.68,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*).3d,3F*,4,,"T1115CA,LS",,
,364.0961,,9.2e+05,C,237508.23,264965.68,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3F*,4,,"T1115CA,LS",,
,364.1864,,1.18e+06,C,237507.65,264958.29,2s2.2p3.(2D*).3p,3F,4,2s2.2p3.(2D*).3d,3F*,3,,"T1115CA,LS",,
,364.1941,,1.23e+07,C,237508.23,264958.29,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3F*,3,,"T1115CA,LS",,
,364.2033,,1.16e+06,C,237508.92,264958.29,2s2.2p3.(2D*).3p,3F,2,2s2.2p3.(2D*).3d,3F*,3,,"T1115CA,LS",,
,364.2685,,1.63e+06,C,237508.23,264952.69,2s2.2p3.(2D*).3p,3F,3,2s2.2p3.(2D*).3d,3F*,2,,"T1115CA,LS",,
,364.2776,,1.30e+07,C,237508.92,264952.69,2s2.2p3.(2D*).3p,3F,2,2s2.2p3.(2D*).3d,3F*,2,,"T1115CA,LS",,
370.453,,180,,,,,,,,,,,,,L369,
371.035,,160,,,,,,,,,,,,,L369,
373.957,,160,,,,,,,,,,,,,L369,
380.583,,140,,,,,,,,,,,,,L369,
384.709,384.7086,270,1.3e+08,D,176493.93,202480.26,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,3,,"T1115CA,LS",L369,
384.999,384.9985,260,1.3e+08,D,176493.93,202460.69,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,2,,"T1115CA,LS",L369,
385.167,385.1668,250,1.3e+08,D,176493.93,202449.35,2s2.2p3.(4S*).3s,5S*,2,2s2.2p3.(4S*).3p,5P,1,,"T1115CA,LS",L369,
389.883,,190,,,,,,,,,,,,,L369,
390.193,,180,,,,,,,,,,,,,L369,
390.382,,170,,,,,,,,,,,,,L369,
397.204,,150,,,,,,,,,,,,,L369,
397.267,,160,,,,,,,,,,,,,L369,
397.478,,170,,,,,,,,,,,,,L369,
402.473,402.4726,240,1.2e+08,D,182864.40,207703.79,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,2,,"T1115CA,LS",L369,
402.501,402.5010,220,1.2e+08,D,182864.40,207702.04,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,0,,"T1115CA,LS",L369,
402.549,402.5491,230,1.2e+08,D,182864.40,207699.07,2s2.2p3.(4S*).3s,3S*,1,2s2.2p3.(4S*).3p,3P,1,,"T1115CA,LS",L369,
