obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
,,93.30682,0.00017,,2.e+04,E,0.000,107173.3,3d5.(6S).4s,a 7S,3,3d4.(b 3F).4s.4p.(3P*),u 5P*,3,,"T7574,c88",,
,,93.67690,0.00018,,2.e+04,E,0.000,106749.9,3d5.(6S).4s,a 7S,3,3d4.(b 3F).4s.4p.(3P*),u 5P*,2,,"T7574,c88",,
95.304,0.002,95.30441,0.00014,1,3.e+08,E,14325.866,119252.80,3d6,a 5D,4,3d5.(6S).8f,5F*,5,,c88,L562,
95.548,0.002,95.54573,0.00009,0,,,14593.835,119255.76,3d6,a 5D,3,3d5.(6S).8f,5F*,4,,,L562,
95.720,0.002,95.72099,0.00018,0,,,14781.205,119251.5,3d6,a 5D,2,3d5.(6S).8f,5F*,3,,,L562,
97.255,0.002,97.25495,0.00019,10,2.e+08,E,14325.866,117148.4,3d6,a 5D,4,3d5.(6S).7f,5F*,5,,c88,L562,
97.519,0.002,97.5191,0.0004,8,,,14593.835,117137.8,3d6,a 5D,3,3d5.(6S).7f,5F*,4,,,L562,
97.696,0.002,97.6960,0.0015,7,,,14781.205,117139.5,3d6,a 5D,2,3d5.(6S).7f,5F*,3,,,L562,
97.811,0.002,97.8110,0.0015,5,,,14901.203,117139.2,3d6,a 5D,1,3d5.(6S).7f,5F*,2,,,L562,
97.870,0.002,97.8700,0.0015,0,,,14959.876,117136.2,3d6,a 5D,0,3d5.(6S).7f,5F*,1,,,L562,
98.290,0.002,98.2896,0.0003,25,,,9472.993,111213.2,3d5.(6S).4s,a 5S,2,,s 5P*,3,,,L562,
98.324,0.002,98.32288,0.00010,20,,,9472.993,111178.72,3d5.(6S).4s,a 5S,2,,s 5P*,2,,,L562,
