obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
108.58184,0.00007,108.581955,0.000006,410,,,40745.3671,132841.701,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).6p,2[3/2]*,1,,,L11881c113,
109.08380,0.00007,109.083862,0.000011,260,,,43742.7348,135415.323,4d9.(2D<3/2>).5s,2[3/2],1,4d8.(3F).5s.5p.(3P*),5G*,2,,,L11881c113,
109.22152,0.00007,109.22153,0.00003,460,,,39168.0177,130725.061,4d9.(2D<5/2>).5s,2[5/2],3,4d8.(3F).5s.5p.(3P*),5D*,3,,,L11881c113,
109.38620,0.00007,109.386220,0.000012,310,,,46049.0620,137468.255,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).6p,2[3/2]*,2,,,L11881c113,
109.56237,0.00007,109.562361,0.000017,550,,,40745.3671,132017.588,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).6p,2[7/2]*,3,,,L11881c113,
109.67758,0.00007,109.677568,0.000008,150,,,46049.0620,137225.409,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).6p,2[3/2]*,1,,,L11881c113,
109.73638,0.00007,109.73641,0.00003,550,,,46049.0620,137176.52,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).6p,2[5/2]*,3,,,L11881c113,
109.8242,0.0012,109.822009,0.000005,530,,,43742.7348,134799.164,4d9.(2D<3/2>).5s,2[3/2],1,4d8.(3F).5s.5p.(3P*),5D*,1,,,L647c114,
110.15221,0.00007,110.152218,0.000017,500,,,46049.0620,136832.527,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).6p,2[1/2]*,1,,,L11881c113,
110.53407,0.00007,110.534083,0.000021,490,,,46049.0620,136518.895,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).6p,2[5/2]*,2,,,L11881c113,
110.69930,0.00007,110.69922,0.00007,550000,6.9e+08,D+,0.00,90334.8716,4d10,1S,0,4d9.(2D<3/2>).5p,2[1/2]*,1,,T6767,L11881c113,
