obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
202.932,,3300,,,,,,,L3475,
203.299,,3000,,,,,,,L3475,
210.942,,2000,,,,,,,L3475,
212.521,,1700,,,,,,,L3475,
212.654,,1100,,,,,,,L3475,
213.118,,1500,,,,,,,L3475,
229.568,,370,,,,,,,L3475,
230.208,,280,,,,,,,L3475,
237.640,,170,,,,,,,L3475,
238.709,,110,,,,,,,L3475,
238.752,,140,,,,,,,L3475,
238.827,,45,,,,,,,L3475,
239.848,,160,,,,,,,L3475,
240.534,,55,,,,,,,L3475,
240.585,,55,,,,,,,L3475,
241.246,,140,,,,,,,L3475,
241.699,,160,,,,,,,L3475,
241.869,,140,,,,,,,L3475,
243.380,,75,,,,,,,L3475,
243.595,,40,,,,,,,L3475,
243.742,,45,,,,,,,L3475,
244.214,,40,,,,,,,L3475,
244.268,,28,,,,,,,L3475,
245.187,,65,,,,,,,L3475,
245.395,,65,,,,,,,L3475,
245.809,,55,,,,,,,L3475,
247.738,,110,,,,,,,L3475,
247.829,,65,,,,,,,L3475,
247.994,,65,,,,,,,L3475,
248.388,,35,,,,,,,L3475,
251.100,,110,,,,,,,L3475,
252.140,,110,,,,,,,L3475,
254.480,,390,,,,,,,L3475,
255.138,,110,,,,,,,L3475,
255.694,,130,,,,,,,L3475,
256.241,,130,,,,,,,L3475,
257.133,,110,,,,,,,L3475,
258.399,,390,,,,,,,L3475,
259.094,,390,,,,,,,L3475,
264.224,,200,,,,,,,L3475,
264.626,,320,,,,,,,L3475,
265.608,,310,,,,,,,L3475,
266.525,,110,,,,,,,L3475,
266.659,,110,,,,,,,L3475,
266.730,,110,,,,,,,L3475,
267.193,,400,,,,,,,L3475,
267.357,,200,,,,,,,L3475,
267.594,,200,,,,,,,L3475,
269.177,,160,,,,,,,L3475,
269.706,,1000,,,,,,,L3475,
269.886,,320,,,,,,,L3475,
270.220,,320,,,,,,,L3475,
270.252,,150,,,,,,,L3475,
271.662,,470,,,,,,,L3475,
272.198,,470,,,,,,,L3475,
273.326,,310,,,,,,,L3475,
273.709,,110,,,,,,,L3475,
276.813,,240,,,,,,,L3475,
278.024,,270,,,,,,,L3475,
279.305,,110,,,,,,,L3475,
282.708,,190,,,,,,,L3475,
284.115,,250,,,,,,,L3475,
284.265,,280,,,,,,,L3475,
284.628,,160,,,,,,,L3475,
286.109,,240,,,,,,,L3475,
286.561,,100,,,,,,,L3475,
286.852,,500,,,,,,,L3475,
287.539,,800,,,,,,,L3475,
287.695,,270,,,,,,,L3475,
287.703,,530,,,,,,,L3475,
288.072,,100,,,,,,,L3475,
288.318,,570,,,,,,,L3475,
288.883,,280,,,,,,,L3475,
289.781,,470,,,,,,,L3475,
289.924,,400,,,,,,,L3475,
290.824,,470,,,,,,,L3475,
291.059,,670,,,,,,,L3475,
291.174,,470,,,,,,,L3475,
292.781,,1100,,,,,,,L3475,
293.147,,110,,,,,,,L3475,
294.154,,870,,,,,,,L3475,
294.588,,110w,,,,,,,L3475,
294.612,,110,,,,,,,L3475,
294.690,,110,,,,,,,L3475,
295.088,,1100,,,,,,,L3475,
297.257,,400,,,,,,,L3475,
297.410,,320,,,,,,,L3475,
297.768,,210,,,,,,,L3475,
298.211,,200,,,,,,,L3475,
299.026,,330,,,,,,,L3475,
299.473,,470,,,,,,,L3475,
302.474,,140,,,,,,,L3475,
302.844,,350,,,,,,,L3475,
303.277,,300,,,,,,,L3475,
304.476,,100,,,,,,,L3475,
305.552,,100,,,,,,,L3475,
306.453,,220,,,,,,,L3475,
306.968,,110,,,,,,,L3475,
307.090,,100,,,,,,,L3475,
307.156,,110,,,,,,,L3475,
307.324,,100,,,,,,,L3475,
307.687,,400,,,,,,,L3475,
308.035,,110,,,,,,,L3475,
309.418,,1800,,,,,,,L3475,
309.919,,140,,,,,,,L3475,
312.753,,270,,,,,,,L3475,
313.079,,1500,,,,,,,L3475,
314.540,,390,,,,,,,L3475,
316.340,,1200,,,,,,,L3475,
317.578,,150,,,,,,,L3475,
318.029,,390,,,,,,,L3475,
319.110,,300,,,,,,,L3475,
319.143,,150,,,,,,,L3475,
319.498,,1000,,,,,,,L3475,
320.335,,120,,,,,,,L3475,
320.634,,300,,,,,,,L3475,
321.560,,390,,,,,,,L3475,
322.548,,800,,,,,,,L3475,
322.956,,140,,,,,,,L3475,
323.640,,400,,,,,,,L3475,
324.747,,200,,,,,,,L3475,
324.894,,120,,,,,,,L3475,
325.407,,320,,,,,,,L3475,
326.056,,230,,,,,,,L3475,
326.337,,160,,,,,,,L3475,
328.346,,200,,,,,,,L3475,
329.202,,160,,,,,,,L3475,
331.958,,120,,,,,,,L3475,
334.160,,130,,,,,,,L3475,
336.558,,130,,,,,,,L3475,
336.916,,130,,,,,,,L3475,
338.624,,170,,,,,,,L3475,
340.868,,230,,,,,,,L3475,
340.919,,180,,,,,,,L3475,
341.294,,230,,,,,,,L3475,
342.542,,230,,,,,,,L3475,
342.657,,230,,,,,,,L3475,
343.270,,180,,,,,,,L3475,
344.059,,180,,,,,,,L3475,
347.956,,200,,,,,,,L3475,
348.405,,100,,,,,,,L3475,
351.026,,200,,,,,,,L3475,
351.542,,200,,,,,,,L3475,
351.767,,200,,,,,,,L3475,
354.096,,250,,,,,,,L3475,
361.951,,300,,,,,,,L3475,
365.119,,400,,,,,,,L3475,
365.961,,200,,,,,,,L3475,
374.073,,670,,,,,,,L3475,
381.886,,210,,,,,,,L3475,
