obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
236.868,236.8699+,5,,,105313.33,147517.71,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<0>).4f,2[3]*,5/2,,,L6925,
236.903,236.9090+,0,,,114905.15,157102.56,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(1D<2>).4f,2[3]*,7/2,,,L6991,
236.962,236.9586+,4h,,,114913.98,157102.56,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(1D<2>).4f,2[3]*,7/2,,,L6925,
237.911,237.9123+,0,,,111958.89,153978.37,5s2.5p4.(3P<2>).6p,2[2]*,5/2,5s2.5p4.(1D<2>).6d,2[3],7/2,,,L6991,
238.585,238.5914+,1,,,106475.21,148375.10,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
238.614,238.6152+,2h,,,107904.50,149800.20,5s2.5p4.(3P<1>).5d,2[1],3/2,5s2.5p4.(3P<1>).4f,2[3]*,5/2,,,L6925,
238.775,238.7770+,4,,,90873.83,132741.15,5s.5p6,2S,1/2,5s2.5p4.(1D<2>).6p,2[1]*,1/2,,,L6925,
239.110,239.1047+,2,,,107381.74,149191.69,5s2.5p4.(3P<0>).5d,2[2],3/2,5s2.5p4.(1S<0>).6p,2[1]*,3/2,,,L7270,
239.233,239.2263+,2h,,,108423.07,150211.76,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(3P<2>).5f,2[5]*,9/2,,,L6925,
239.876,239.8768+,4,,,108007.28,149682.65,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(3P<1>).4f,2[3]*,7/2,,,L6925,
240.484,240.4846+,1,,,107381.74,148951.80,5s2.5p4.(3P<0>).5d,2[2],3/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6991,
240.592,240.5946+,3h,,,114751.08,156302.13,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L6925,
240.974,240.9793+,40,,,114751.08,156235.80,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[2]*,5/2,,,L6925,
241.072,241.0708+,7,,,106906.12,148375.10,5s2.5p4.(3P<1>).6s,2[1],1/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
241.950,241.9484+,0,,,106906.12,148224.69,5s2.5p4.(3P<1>).6s,2[1],1/2,5s2.5p4.(1S<0>).6p,2[1]*,1/2,,,L6991,
242.087,242.0766+,2bl,,,114905.15,156201.84,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(1D<2>).4f,2[5]*,9/2,,,L5583,
242.127,242.1284+,20h,,,114913.98,156201.84,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(1D<2>).4f,2[5]*,9/2,,,L6925,
242.212,242.2149+,2,,,108007.28,149280.40,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(3P<1>).4f,2[4]*,7/2,,,L6925,
242.294,242.2944+,10,,,108423.07,149682.65,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(3P<1>).4f,2[3]*,7/2,,,L6925,
242.505,242.5076+,40h,,,114905.15,156128.46,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(1D<2>).4f,2[5]*,11/2,,,L6925,
243.272,243.2714+,12,,,106475.21,147569.10,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<0>).4f,2[3]*,7/2,,,L6925,
243.547,243.5475+,6,,,107904.50,148951.80,5s2.5p4.(3P<1>).5d,2[1],3/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
243.876,243.8680+,1-,,,107381.74,148375.10,5s2.5p4.(3P<0>).5d,2[2],3/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
244.160,244.1589+,2h,,,108007.28,148951.80,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
244.254,244.2571+,1,,,114913.98,155842.04,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).6f,2[5]*,9/2,,,L6991,
244.278,244.2839+,1H,,,114905.15,155828.73,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).6f,2[5]*,11/2,,,L6925,
244.679,244.6800+,0,,,108423.07,149280.40,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(3P<1>).4f,2[4]*,7/2,,,L6991,
246.660,246.6640+,2h,,,108423.07,148951.80,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
246.843,246.8472+,5,,,99404.99,139903.63,5s2.5p4.(3P<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).4f,2[5]*,9/2,,,L6925,
247.018,247.0183+,5,,,107904.50,148375.10,5s2.5p4.(3P<1>).5d,2[1],3/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
247.589,247.591+,100,,,99404.99,139782.0,5s2.5p4.(3P<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).4f,2[5]*,11/2,,,L6925,
247.882,247.8863+,4,,,99404.99,139733.89,5s2.5p4.(3P<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).7p,2[3]*,7/2,,,L6925,
247.940,247.9398+,1,,,107904.50,148224.69,5s2.5p4.(3P<1>).5d,2[1],3/2,5s2.5p4.(1S<0>).6p,2[1]*,1/2,,,L6991,
248.911,248.9114+,50,,,108423.07,148585.89,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(3P<1>).4f,2[4]*,9/2,,,L6925,
249.076,249.0779+,20,,,107381.74,147517.71,5s2.5p4.(3P<0>).5d,2[2],3/2,5s2.5p4.(3P<0>).4f,2[3]*,5/2,,,L6925,
249.178,249.1801+,5,,,109563.14,149682.65,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(3P<1>).4f,2[3]*,7/2,,,L6925,
250.998,250.9952+,0,,,101157.48,140986.89,5s2.5p4.(3P<0>).6s,2[0],1/2,5s2.5p4.(3P<2>).7p,2[2]*,3/2,,,L6991,
251.706,251.7039+,1,,,109563.14,149280.40,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(3P<1>).4f,2[4]*,7/2,,,L5583,
252.367,252.3651+,0,,,107904.50,147517.71,5s2.5p4.(3P<1>).5d,2[1],3/2,5s2.5p4.(3P<0>).4f,2[3]*,5/2,,,L5583,
252.397,252.3904+,1,,,121628.82,161238.07,5s2.5p4.(3P<0>).6p,2[1]*,3/2,5s2.5p4.(3P<1>).5g,2[3],5/2,,,L6991,
252.446,252.4475+,3,,,99404.99,139005.27,5s2.5p4.(3P<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).4f,2[3]*,7/2,,,L6925,
252.679,252.6862+,12,,,99404.99,138967.87,5s2.5p4.(3P<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).4f,2[4]*,9/2,,,L6925,
252.698,252.6930+,12,,,108007.28,147569.10,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(3P<0>).4f,2[3]*,7/2,,,L6925,
253.018,253.0217+,2,,,108007.28,147517.71,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(3P<0>).4f,2[3]*,5/2,,,L6925,
253.802,253.8039+,3h,,,109563.14,148951.80,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
255.170,255.1713+,3,,,101157.48,140335.09,5s2.5p4.(3P<0>).6s,2[0],1/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
255.379,255.3771+,0,,,108423.07,147569.10,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(3P<0>).4f,2[3]*,7/2,,,L6991,
255.420,255.4209+,1-,,,93068.44,132207.76,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).6p,2[2]*,5/2,,,L6925,
256.148,256.1483+,2,,,101157.48,140185.67,5s2.5p4.(3P<0>).6s,2[0],1/2,5s2.5p4.(3P<2>).4f,2[1]*,1/2,,,L6925,
257.293,257.2877+,0*,,,93068.44,131923.79,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).6p,2[2]*,3/2,,,L6991,
257.293,257.2960+,0*,,,101157.48,140011.58,5s2.5p4.(3P<0>).6s,2[0],1/2,5s2.5p4.(3P<2>).7p,2[1]*,1/2,,,L6991,
257.697,257.6978+,15,,,90873.83,129667.35,5s.5p6,2S,1/2,5s2.5p4.(1D<2>).6p,2[1]*,3/2,,,L6925,
258.488,258.4922+,1,,,101535.67,140209.99,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L6925,
259.701,259.7009+,4,,,101535.67,140029.99,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).4f,2[4]*,7/2,,,L6925,
259.842,259.8432+,2,,,111326.96,149800.20,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(3P<1>).4f,2[3]*,5/2,,,L6925,
260.554,260.5563+,50,,,101535.67,139903.63,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).4f,2[5]*,9/2,,,L6925,
260.693,260.6978+,5,,,119085.49,157432.63,5s2.5p4.(1D<2>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[4]*,7/2,,,L6925,
260.752,260.7397+,1,,,101157.48,139498.46,5s2.5p4.(3P<0>).6s,2[0],1/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L6925,
261.714,261.7142+,0,,,101535.67,139733.89,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).7p,2[3]*,7/2,,,L6991,
262.139,262.1444+,2h,,,119085.49,157221.03,5s2.5p4.(1D<2>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[3]*,5/2,,,L6925,
262.317,262.3179+,2,,,101535.67,139645.98,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).7p,2[3]*,5/2,,,L6991,
262.954,262.9613+,5h,,,119085.49,157102.56,5s2.5p4.(1D<2>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[3]*,7/2,,,L6925,
263.040,263.0382+,6h,,,109563.14,147569.10,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(3P<0>).4f,2[3]*,7/2,,,L6925,
263.388,263.3944+,2,,,109563.14,147517.71,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(3P<0>).4f,2[3]*,5/2,,,L6925,
264.054,264.0578+,1,,,113705.40,151564.61,5s2.5p4.(3P<2>).6p,2[3]*,7/2,5s2.5p4.(3P<2>).5g,2[2],5/2,,,L6991,
264.883,264.8835+,1,,,113705.40,151446.61,5s2.5p4.(3P<2>).6p,2[3]*,7/2,5s2.5p4.(3P<2>).5g,2[4],7/2,,,L6991,
265.539,265.5470+,2h,,,101535.67,139182.58,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L6925,
265.700,265.7028+,5h,,,111326.96,148951.80,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
265.928,265.9271+,1h,,,101535.67,139128.78,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).7p,2[2]*,5/2,,,L6925,
266.329,266.3316+,3,,,102799.07,140335.09,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
266.802,266.8037+,5,,,101535.67,139005.27,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).4f,2[3]*,7/2,,,L6925,
267.068,267.0703+,1,,,101535.67,138967.87,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).4f,2[4]*,9/2,,,L6925,
267.222,267.2222+,4,,,102799.07,140209.99,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L6925,
268.372,268.3815+,0,,,116783.09,154032.42,5s2.5p4.(3P<2>).6p,2[1]*,3/2,5s2.5p4.(1D<2>).6d,2[2],5/2,,,L6991,
268.614,268.6172+,3h,,,119085.49,156302.13,5s2.5p4.(1D<2>).5d,2[3],5/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L6925,
269.153,269.1471+,1,,,95064.38,132207.76,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).6p,2[2]*,5/2,,,L6925,
269.839,269.8390+,0,,,111326.96,148375.10,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6991,
270.222,270.2228+,2,,,93068.44,130063.96,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).6p,2[3]*,7/2,,,L6925,
270.344,270.3435+,10,,,112703.64,149682.65,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(3P<1>).4f,2[3]*,7/2,,,L6925,
270.538,270.529+,0,,,120414.87,157368.5,5s2.5p4.(3P<0>).6p,2[1]*,1/2,5s2.5p4.(3P<1>).8s,2[1],1/2,,,L6991,
271.102,271.1034+,1h,,,112924.84,149800.20,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(3P<1>).4f,2[3]*,5/2,,,L6925,
271.217,271.2207+,1,,,95064.38,131923.79,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).6p,2[2]*,3/2,,,L6991,
271.576,271.5773+,3,,,95396.74,132207.76,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(1D<2>).6p,2[2]*,5/2,,,L6925,
271.879,271.8796+,1-,,,95437.67,132207.76,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(1D<2>).6p,2[2]*,5/2,,,L6925,
272.128,272.1258+,1-^,,,104250.06,140986.89,5s2.5p4.(3P<1>).5d,2[1],1/2,5s2.5p4.(3P<2>).7p,2[2]*,3/2,,,L6925,
272.340,272.3420+,1^,,,96033.48,132741.15,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(1D<2>).6p,2[1]*,1/2,,,L6925,
272.566,272.569+,1-,,,120414.87,157091.9,5s2.5p4.(3P<0>).6p,2[1]*,1/2,5s2.5p4.(3P<1>).8s,2[1],3/2,,,L6925,
273.146,273.1513+,1-,,,93068.44,129667.35,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).6p,2[1]*,3/2,,,L6925,
273.315,273.3167+,25hs,,,112703.64,149280.40,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(3P<1>).4f,2[4]*,7/2,,,L6925,
273.414,273.4165+,50,,,120853.16,157416.58,5s2.5p4.(1D<2>).5d,2[3],7/2,5s2.5p4.(1D<2>).4f,2[4]*,9/2,,,L6925,
273.977,273.9813+,1-,,,112703.64,149191.69,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(1S<0>).6p,2[1]*,3/2,,,L6925,
274.677,274.6838+,1-,,,102799.07,139193.80,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<2>).7p,2[1]*,3/2,,,L6925,
274.768,274.7685+,1^,,,102799.07,139182.58,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L6925,
274.879,274.8867+,1h,,,120853.16,157221.03,5s2.5p4.(1D<2>).5d,2[3],7/2,5s2.5p4.(1D<2>).4f,2[3]*,5/2,,,L6925,
275.176,275.1755+,0,,,102799.07,139128.78,5s2.5p4.(3P<1>).6s,2[1],3/2,5s2.5p4.(3P<2>).7p,2[2]*,5/2,,,L6991,
275.648,275.6524+,1-,,,112924.84,149191.69,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(1S<0>).6p,2[1]*,3/2,,,L6925,
275.786,275.7851+,40h*,,,120853.16,157102.56,5s2.5p4.(1D<2>).5d,2[3],7/2,5s2.5p4.(1D<2>).4f,2[3]*,7/2,,,L6925,
275.786,275.7946+,40h*,,,112703.64,148951.80,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
276.225,276.2321+,0,,,111326.96,147517.71,5s2.5p4.(3P<1>).5d,2[2],3/2,5s2.5p4.(3P<0>).4f,2[3]*,5/2,,,L6991,
276.277,276.2769+,2,,,113512.36,149697.24,5s2.5p4.(3P<2>).6p,2[3]*,5/2,5s2.5p4.(1D<2>).7s,2[2],5/2,,,L6925,
276.356,276.3579+,1,,,96033.48,132207.76,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(1D<2>).6p,2[2]*,5/2,,,L6925,
276.700,276.6973+,1,,,113672.89,149802.80,5s2.5p4.(3P<2>).6p,2[1]*,1/2,5s2.5p4.(1D<2>).7s,2[2],3/2,,,L6925,
277.041,277.0414+,2h,,,104250.06,140335.09,5s2.5p4.(3P<1>).5d,2[1],1/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
277.486,277.4880+,15h,,,112924.84,148951.80,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
278.192,278.1934+,0,,,104250.06,140185.67,5s2.5p4.(3P<1>).5d,2[1],1/2,5s2.5p4.(3P<2>).4f,2[1]*,1/2,,,L5583,
278.380,278.376+,1h^,,,121179.80,157091.9,5s2.5p4.(3P<1>).6p,2[0]*,1/2,5s2.5p4.(3P<1>).8s,2[1],3/2,,,L6925,
278.542,278.5446+,3,,,96033.48,131923.79,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(1D<2>).6p,2[2]*,3/2,,,L6925,
279.252,279.2569+,1-,,,93068.44,128867.20,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).6p,2[3]*,5/2,,,L6925,
279.468,279.4642+,1^,,,111792.17,147564.38,5s2.5p4.(3P<2>).6p,2[2]*,3/2,5s2.5p4.(3P<2>).8s,2[2],3/2,,,L6925,
280.250,280.2536+,1h,,,112703.64,148375.10,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
281.902,281.900+,1H,,,121628.82,157091.9,5s2.5p4.(3P<0>).6p,2[1]*,3/2,5s2.5p4.(3P<1>).8s,2[1],3/2,,,L6925,
282.006,282.0024+,4h,,,112924.84,148375.10,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6925,
282.534,282.5413+,1h,,,120853.16,156235.80,5s2.5p4.(1D<2>).5d,2[3],7/2,5s2.5p4.(1D<2>).4f,2[2]*,5/2,,,L6925,
282.790,282.7890+,2h,,,111958.89,147310.54,5s2.5p4.(3P<2>).6p,2[2]*,5/2,5s2.5p4.(3P<2>).8s,2[2],5/2,,,L6925,
283.200,283.2040+,2h,,,112924.84,148224.69,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(1S<0>).6p,2[1]*,1/2,,,L6925,
283.616,283.6174+,1h,,,104250.06,139498.46,5s2.5p4.(3P<1>).5d,2[1],1/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L6925,
284.064,284.0744+,0,,,114905.15,150096.85,5s2.5p4.(1D<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).5f,2[5]*,11/2,,,L6991,
285.095,285.0959+,3,,,96858.18,131923.79,5s2.5p4.(3P<2>).5d,2[1],1/2,5s2.5p4.(1D<2>).6p,2[2]*,3/2,,,L6925,
285.239,285.2301+,3h,,,114751.08,149800.20,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[3]*,5/2,,,L6925,
285.311,285.3097+,1,,,105947.55,140986.89,5s2.5p4.(3P<2>).5d,2[0],1/2,5s2.5p4.(3P<2>).7p,2[2]*,3/2,,,L6925,
285.453,285.4529+,60,,,105313.33,140335.09,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
285.732,285.7212+,1h,,,120853.16,155842.04,5s2.5p4.(1D<2>).5d,2[3],7/2,5s2.5p4.(3P<2>).6f,2[5]*,9/2,,,L6925,
286.190,286.1899+,20h,,,114751.08,149682.65,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[3]*,7/2,,,L6925,
286.473,286.4763+,150,,,105313.33,140209.99,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L6925,
286.676,286.6761+,5h,,,105313.33,140185.67,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<2>).4f,2[1]*,1/2,,,L6925,
286.736,286.7326+,2h,,,112703.64,147569.10,5s2.5p4.(3P<1>).5d,2[2],5/2,5s2.5p4.(3P<0>).4f,2[3]*,7/2,,,L6925,
288.114,288.1145+,1-^,,,105313.33,140011.58,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<2>).7p,2[1]*,1/2,,,L6925,
288.371,288.3724+,12,,,95396.74,130063.96,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(1D<2>).6p,2[3]*,7/2,,,L6925,
288.712,288.7132+,10,,,95437.67,130063.96,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(1D<2>).6p,2[3]*,7/2,,,L6925,
288.907,288.9078+,10,,,95064.38,129667.35,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).6p,2[1]*,3/2,,,L6925,
289.522,289.5241+,150h,,,114751.08,149280.40,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[4]*,7/2,,,L6925,
290.268,290.2699+,3,,,114751.08,149191.69,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(1S<0>).6p,2[1]*,3/2,,,L6925,
290.510,290.5087+,2h,,,113672.89,148085.19,5s2.5p4.(3P<2>).6p,2[1]*,1/2,5s2.5p4.(3P<1>).6d,2[1],3/2,,,L6925,
290.718,290.7178+,80h,,,105947.55,140335.09,5s2.5p4.(3P<2>).5d,2[0],1/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
291.064,291.0640+,1h,,,111958.89,146305.54,5s2.5p4.(3P<2>).6p,2[2]*,5/2,5s2.5p4.(3P<1>).6d,2[2],5/2,,,L6925,
291.701,291.7098+,1-,,,95396.74,129667.35,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(1D<2>).6p,2[1]*,3/2,,,L6925,
291.987,291.9866+,40,,,105947.55,140185.67,5s2.5p4.(3P<2>).5d,2[0],1/2,5s2.5p4.(3P<2>).4f,2[1]*,1/2,,,L6925,
292.303,292.3060+,1-^,,,114751.08,148951.80,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[2]*,5/2,,,L6925,
292.438,292.4393+,2,,,105313.33,139498.46,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<2>).4f,2[2]*,3/2,,,L6925,
292.758,292.7558+,2,,,111792.17,145940.34,5s2.5p4.(3P<2>).6p,2[2]*,3/2,5s2.5p4.(3P<1>).6d,2[2],3/2,,,L6925,
293.334,293.3348+,1h,,,106906.12,140986.89,5s2.5p4.(3P<1>).6s,2[1],1/2,5s2.5p4.(3P<2>).7p,2[2]*,3/2,,,L6925,
293.480,293.4790+,2h,,,105947.55,140011.58,5s2.5p4.(3P<2>).5d,2[0],1/2,5s2.5p4.(3P<2>).7p,2[1]*,1/2,,,L6925,
293.586,293.5825+,60h,,,113512.36,147564.38,5s2.5p4.(3P<2>).6p,2[3]*,5/2,5s2.5p4.(3P<2>).8s,2[2],3/2,,,L6925,
294.210,294.210+,20h,,,123112.54,157091.9,5s2.5p4.(3P<1>).6p,2[2]*,5/2,5s2.5p4.(3P<1>).8s,2[1],3/2,,,L6925,
294.977,294.9731+,4h,,,113672.89,147564.38,5s2.5p4.(3P<2>).6p,2[1]*,1/2,5s2.5p4.(3P<2>).8s,2[2],3/2,,,L6925,
295.069,295.0691+,1h,,,105313.33,139193.80,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<2>).7p,2[1]*,3/2,,,L6925,
295.158,295.1668+,2,,,105313.33,139182.58,5s2.5p4.(3P<2>).5d,2[1],3/2,5s2.5p4.(3P<2>).4f,2[3]*,5/2,,,L6925,
295.248,295.2485+,2,,,106475.21,140335.09,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
295.441,295.446+,1,,,123254.60,157091.9,5s2.5p4.(3P<1>).6p,2[2]*,3/2,5s2.5p4.(3P<1>).8s,2[1],3/2,,,L6991,
295.850,295.8445+,0*,,,123112.54,156904.21,5s2.5p4.(3P<1>).6p,2[2]*,5/2,5s2.5p4.(3P<2>).6g,2[3],7/2,,,L6991,
295.850,295.859+,0*,,,123112.54,156902.5,5s2.5p4.(3P<1>).6p,2[2]*,5/2,5s2.5p4.(3P<2>).6g,2[3],5/2,,,L6991,
296.341,296.3434+,50,,,106475.21,140209.99,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<2>).4f,2[2]*,5/2,,,L6925,
296.674,296.6734+,2^,,,90873.83,124571.09,5s.5p6,2S,1/2,5s2.5p4.(3P<1>).6p,2[1]*,1/2,,,L6925,
296.895,296.8968+,1^,,,114913.98,148585.89,5s2.5p4.(1D<2>).5d,2[4],7/2,5s2.5p4.(3P<1>).4f,2[4]*,9/2,,,L6925,
297.231,297.2326+,8,,,96033.48,129667.35,5s2.5p4.(3P<2>).5d,2[2],3/2,5s2.5p4.(1D<2>).6p,2[1]*,3/2,,,L6925,
297.278,297.2781+,1,,,111958.89,145587.61,5s2.5p4.(3P<2>).6p,2[2]*,5/2,5s2.5p4.(3P<1>).6d,2[3],7/2,,,L6925,
297.321,297.3196+,0,,,114751.08,148375.10,5s2.5p4.(3P<1>).5d,2[3],5/2,5s2.5p4.(3P<1>).4f,2[2]*,3/2,,,L6991,
297.486,297.4867+,20Hl,,,113705.40,147310.54,5s2.5p4.(3P<2>).6p,2[3]*,7/2,5s2.5p4.(3P<2>).8s,2[2],5/2,,,L6925,
297.932,297.9332+,300,,,106475.21,140029.99,5s2.5p4.(3P<2>).5d,2[3],5/2,5s2.5p4.(3P<2>).4f,2[4]*,7/2,,,L6925,
298.682,298.6838+,8,,,95396.74,128867.20,5s2.5p4.(3P<2>).5d,2[2],5/2,5s2.5p4.(1D<2>).6p,2[3]*,5/2,,,L6925,
299.054,299.0545+,12*,,,106906.12,140335.09,5s2.5p4.(3P<1>).6s,2[1],1/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L6925,
299.054,299.0608+,12*,,,121179.80,154608.07,5s2.5p4.(3P<1>).6p,2[0]*,1/2,5s2.5p4.(1D<2>).6d,2[2],3/2,,,L6925,
299.173,299.1740+,3*,,,90873.83,124289.45,5s.5p6,2S,1/2,5s2.5p4.(3P<1>).6p,2[1]*,3/2,,,L6925,
