obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
92.5866,92.58635+,5,,,0.00,108007.28,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).5d,2[2],5/2,,,L6925,
92.6741,92.67454+,3,,,0.00,107904.50,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[1],3/2,,,L6925,
93.1260,93.12570+,5,,,0.00,107381.74,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).5d,2[2],3/2,,,L6925,
93.5405,93.54001+,,,,0.00,106906.12,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).6s,2[1],1/2,,,L6925,
93.9186,93.91858+,6,,,0.00,106475.21,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[3],5/2,,,L6925,
94.3859,94.38633+,3,,,0.00,105947.55,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[0],1/2,,,L6925,
94.9544,94.95474+,7,,,0.00,105313.33,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[1],3/2,,,L6925,
95.9230,95.92321+,7,,,0.00,104250.06,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[1],1/2,,,L6925,
97.2769,97.27714+,6,,,0.00,102799.07,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).6s,2[1],3/2,,,L6925,
97.6678,97.66786+,5,,,10537.01,112924.84,5s2.5p5,2P*,1/2,5s2.5p4.(1D<2>).6s,2[2],3/2,,,L6925,
98.8555,98.85576+,8,,,0.00,101157.48,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).6s,2[0],1/2,,,L6925,
99.2165,99.21624+,6,,,10537.01,111326.96,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).5d,2[2],3/2,,,L6925,
102.7050,102.70368+,5,,,10537.01,107904.50,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).5d,2[1],3/2,,,L6925,
103.2438,103.24373+,3,,,0.00,96858.18,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[1],1/2,,,L6925,
103.2596,103.25807+,5,,,10537.01,107381.74,5s2.5p5,2P*,1/2,5s2.5p4.(3P<0>).5d,2[2],3/2,,,L6925,
103.7680,103.76769+,6,,,10537.01,106906.12,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).6s,2[1],1/2,,,L6925,
104.1306,104.13035+,10,,,0.00,96033.48,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[2],3/2,,,L6925,
104.8120,104.81022+,2c,,,10537.01,105947.55,5s2.5p5,2P*,1/2,5s2.5p4.(3P<2>).5d,2[0],1/2,,,L6925,
104.8272,104.82539+,8,,,0.00,95396.74,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[2],5/2,,,L6925,
105.1920,105.19187+,10,,,0.00,95064.38,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6s,2[2],3/2,,,L6925,
106.7088,106.70872+,6,,,10537.01,104250.06,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).5d,2[1],1/2,,,L6925,
107.4476,107.44781+,12,,,0.00,93068.44,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6s,2[2],5/2,,,L6925,
108.3860,108.38691+,5,,,10537.01,102799.07,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).6s,2[1],3/2,,,L6925,
110.0432,110.04268+,10,,,0.00,90873.83,5s2.5p5,2P*,3/2,5s.5p6,2S,1/2,,,L6925,
110.3515,110.35034+,0,,,10537.01,101157.48,5s2.5p5,2P*,1/2,5s2.5p4.(3P<0>).6s,2[0],1/2,,,L6925,
115.8474,115.84644+,5,,,10537.01,96858.18,5s2.5p5,2P*,1/2,5s2.5p4.(3P<2>).5d,2[1],1/2,,,L6925,
116.9633,116.96389+,2,,,10537.01,96033.48,5s2.5p5,2P*,1/2,5s2.5p4.(3P<2>).5d,2[2],3/2,,,L6925,
118.3053,118.30488+,8,,,10537.01,95064.38,5s2.5p5,2P*,1/2,5s2.5p4.(3P<2>).6s,2[2],3/2,,,L6925,
124.4756,124.47593+,5,,,10537.01,90873.83,5s2.5p5,2P*,1/2,5s.5p6,2S,1/2,,,L6925,
188.1485,188.1531+,0,,,95437.67,148585.89,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<1>).4f,2[4]*,9/2,,,L6925,
197.2673,197.2703+,0,,,99404.99,150096.85,5s2.5p4.(3P<2>).5d,2[4],9/2,5s2.5p4.(3P<2>).5f,2[5]*,11/2,,,L6925,
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
202.114,202.1133+,1,,,90873.83,140335.09,5s.5p6,2S,1/2,5s2.5p4.(3P<2>).4f,2[1]*,3/2,,,L7270,
203.616,203.6201+,0a,,,108007.28,157102.56,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(1D<2>).4f,2[3]*,7/2,,,L7270,
204.042,204.0431+,0,,,108423.07,157416.58,5s2.5p4.(3P<1>).5d,2[3],7/2,5s2.5p4.(1D<2>).4f,2[4]*,9/2,,,L5583,
204.346,204.3482+,0a,,,107381.74,156302.13,5s2.5p4.(3P<0>).5d,2[2],3/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L5583,
205.3697,205.3739+,0,,,101535.67,150211.76,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<2>).5f,2[5]*,9/2,,,L6925,
206.555,206.5557+,0,,,107904.50,156302.13,5s2.5p4.(3P<1>).5d,2[1],3/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L5583,
206.833,206.8392+,0a,,,107904.50,156235.80,5s2.5p4.(3P<1>).5d,2[1],3/2,5s2.5p4.(1D<2>).4f,2[2]*,5/2,,,L5583,
206.995,206.9953+,0,,,108007.28,156302.13,5s2.5p4.(3P<0>).5d,2[2],5/2,5s2.5p4.(1D<2>).4f,2[2]*,3/2,,,L5583,
207.632,207.6311+,1,,,101535.67,149682.65,5s2.5p4.(3P<2>).5d,2[4],7/2,5s2.5p4.(3P<1>).4f,2[3]*,7/2,,,L5583,
