obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
68.3529,68.35274,2g,,,0.00,146299.92,2p6.3s2,1S,0,3s.10p,1P*,1,,,L4575,
68.9936,68.99354,5g,,,0.00,144941.10,2p6.3s2,1S,0,3s.9p,1P*,1,,,L4575,
69.9489,69.94905,10g,,,0.00,142961.20,2p6.3s2,1S,0,3s.8p,1P*,1,,,L4575,
71.4695,71.46993,20g,,,0.00,139918.98,2p6.3s2,1S,0,3s.7p,1P*,1,,,L4575,
74.1182,74.11833,25g,,,0.00,134919.40,2p6.3s2,1S,0,3s.6p,1P*,1,,,L4575,
79.4475,79.44767,20g,,,0.00,125869.015,2p6.3s2,1S,0,3s.5p,1P*,1,,,L4575,
90.5152,90.51550,20,,,37577.79,148056.1,3s.3p,3P*,2,3s.12s,3S,1,,,L4575,
90.8342,90.83491,1,1.16e+04,A+,0.00,110089.83,2p6.3s2,1S,0,3s.3d,1D,2,E2,c41,L6526,
91.0916,91.09166,10,,,37453.91,147233.45,3s.3p,3P*,1,3s.11s,3S,1,,,L4575,
91.1497,91.14997,10,,,37577.79,147287.10,3s.3p,3P*,2,3s.10d,3D,3,,,L4575,
91.19457,91.19456,40,,,37577.79,147233.45,3s.3p,3P*,2,3s.11s,3S,1,,,L3460,
91.9672,91.96705,30,,,37453.91,146188.5,3s.3p,3P*,1,3s.9d,3D,2,,,L4575,
92.03166,92.03169,50,,,37453.91,146112.14,3s.3p,3P*,1,3s.10s,3S,1,,,L3460,
92.07160,92.07161,50,,,37577.79,146188.9,3s.3p,3P*,2,3s.9d,3D,3,,,L3460,
92.13670,92.13673,75,,,37577.79,146112.14,3s.3p,3P*,2,3s.10s,3S,1,,,L3460,
93.24075,93.24099,20,,,37393.03,144642.0,3s.3p,3P*,0,3s.8d,3D,1,,,L3460,
93.29385,93.29379,40,,,37453.91,144642.18,3s.3p,3P*,1,3s.8d,3D,2,,,L3460,
93.34077,93.34077,50,,,37393.03,144527.35,3s.3p,3P*,0,3s.9s,3S,1,,,L3460,
93.39382,93.39384,75,,,37453.91,144527.35,3s.3p,3P*,1,3s.9s,3S,1,,,L3460,
93.40150,93.40150,100,,,37577.79,144642.45,3s.3p,3P*,2,3s.8d,3D,3,,,L3460,
93.50198,93.50202,100,,,37577.79,144527.35,3s.3p,3P*,2,3s.9s,3S,1,,,L3460,
93.52752,93.52738,100g,,,0.00,106920.56,2p6.3s2,1S,0,3s.4p,1P*,1,,,L3460,
95.26301,95.26304,75,,,37393.03,142365.54,3s.3p,3P*,0,3s.7d,3D,1,,,L3460,
95.31822,95.31818,100,,,37453.91,142365.69,3s.3p,3P*,1,3s.7d,3D,2,,,L3460,
95.43050,95.43060,125,,,37577.79,142365.98,3s.3p,3P*,2,3s.7d,3D,3,,,L3460,
95.48466,95.48451,100,,,37453.91,142182.94,3s.3p,3P*,1,3s.8s,3S,1,,,L3460,
95.59766,95.59759,125,,,37577.79,142182.94,3s.3p,3P*,2,3s.8s,3S,1,,,L3460,
98.59802,98.59809,100,9.29e+06,D,37393.03,138814.87,3s.3p,3P*,0,3s.6d,3D,1,,"T6298c4,LS",L3460,
98.65712,98.65731,125,1.25e+07,D,37453.91,138814.87,3s.3p,3P*,1,3s.6d,3D,2,,"T6298c4,LS",L3460,
,98.65731,,6.99e+06,D,37453.91,138814.87,3s.3p,3P*,1,3s.6d,3D,1,,"T6298c4,LS",,
98.77772,98.77779,150,1.67e+07,C,37577.79,138815.12,3s.3p,3P*,2,3s.6d,3D,3,,"T6298c4,LS",L3460,
,98.77804,,4.63e+05,E,37577.79,138814.87,3s.3p,3P*,2,3s.6d,3D,1,,"T6298c4,LS",,
,98.77804,,4.16e+06,D,37577.79,138814.87,3s.3p,3P*,2,3s.6d,3D,2,,"T6298c4,LS",,
98.90525,98.90526,75,,,37393.03,138499.89,3s.3p,3P*,0,3s.7s,3S,1,,,L3460,
98.96475,98.96485,100,,,37453.91,138499.89,3s.3p,3P*,1,3s.7s,3S,1,,,L3460,
99.08623,99.08632,125,,,37577.79,138499.89,3s.3p,3P*,2,3s.7s,3S,1,,,L3460,
104.78893,104.78894,150,2.33e+07,C,37393.03,132822.95,3s.3p,3P*,0,3s.5d,3D,1,,"T6298c4,LS",L3460,
,104.85583,,1.75e+07,D,37453.91,132822.95,3s.3p,3P*,1,3s.5d,3D,1,,"T6298c4,LS",,
104.85588,104.85600,170,3.14e+07,C,37453.91,132822.80,3s.3p,3P*,1,3s.5d,3D,2,,"T6298c4,LS",L3460,
,104.99221,,1.16e+06,E,37577.79,132822.95,3s.3p,3P*,2,3s.5d,3D,1,,"T6298c4,LS",,
104.99233,104.99228,190,4.17e+07,C+,37577.79,132822.89,3s.3p,3P*,2,3s.5d,3D,3,,"T6298c4,LS",L3460,
,104.99238,,1.04e+07,D,37577.79,132822.80,3s.3p,3P*,2,3s.5d,3D,2,,"T6298c4,LS",,
105.46031,105.46022,100,1.18e+07,D,37393.03,132215.517,3s.3p,3P*,0,3s.6s,3S,1,,"T6298c4,LS",L3460,
105.52802,105.52797,125,3.53e+07,C,37453.91,132215.517,3s.3p,3P*,1,3s.6s,3S,1,,"T6298c4,LS",L3460,
105.66613,105.66611,150,5.85e+07,C,37577.79,132215.517,3s.3p,3P*,2,3s.6s,3S,1,,"T6298c4,LS",L3460,
113.2726,113.27195,35,,,59852.02,148135.13,3s.3p,1P*,1,3s.11d,1D,2,,,L3460,
114.29529,114.29503,100,,,59852.02,147344.89,3s.3p,1P*,1,3s.10d,1D,2,,,L3460,
115.70881,115.70863,125,,,59852.02,146276.0,3s.3p,1P*,1,3s.9d,1D,2,,,L3460,
115.82103,115.82106,100,,,59852.02,146192.1,3s.3p,1P*,1,3s.10s,1S,0,,,L3460,
116.9860,116.98458,3,8.37e+03,A+,0.00,85481.35,2p6.3s2,1S,0,3p2,1D,2,E2,c41,L6526,
117.74371,117.74373,125,,,59852.02,144782.23,3s.3p,1P*,1,3s.8d,1D,2,,,L3460,
117.93541,117.93549,125,,,59852.02,144644.14,3s.3p,1P*,1,3s.9s,1S,0,,,L3460,
118.91854,118.91848,125,8.29e+07,C+,37393.03,121484.252,3s.3p,3P*,0,3s.4d,3D,1,,"T6298c4,LS",L3460,
,119.00463,,6.22e+07,C,37453.91,121484.252,3s.3p,3P*,1,3s.4d,3D,1,,"T6298c4,LS",,
119.00518,119.00510,150,1.12e+08,C+,37453.91,121483.92,3s.3p,3P*,1,3s.4d,3D,2,,"T6298c4,LS",L3460,
,119.18033,,4.12e+06,D,37577.79,121484.252,3s.3p,3P*,2,3s.4d,3D,1,,"T6298c4,LS",,
,119.18080,,3.70e+07,C,37577.79,121483.92,3s.3p,3P*,2,3s.4d,3D,2,,"T6298c4,LS",,
119.18111,119.18140,190,1.48e+08,C+,37577.79,121483.50,3s.3p,3P*,2,3s.4d,3D,3,,"T6298c4,LS",L3460,
120.83522,120.83533,150,,,59852.02,142609.27,3s.3p,1P*,1,3s.7d,1D,2,,,L3460,
120.91914,120.91915,100,2.51e+07,C,37393.03,120092.919,3s.3p,3P*,0,3s.5s,3S,1,,"T6298c4,LS",L3460,
121.00817,121.00823,125,7.47e+07,C+,37453.91,120092.919,3s.3p,3P*,1,3s.5s,3S,1,,"T6298c4,LS",L3460,
121.18983,121.18990,150,1.24e+08,C+,37577.79,120092.919,3s.3p,3P*,2,3s.5s,3S,1,,"T6298c4,LS",L3460,
121.1953,121.19590,125,,,59852.02,142363.06,3s.3p,1P*,1,3s.8s,1S,0,,,L3460,
125.88585,125.88572,125,1.02e+08,C+,59852.02,139289.15,3s.3p,1P*,1,3s.6d,1D,2,,T6533,L3460,
126.66481,126.66472,150,,,59852.02,138800.60,3s.3p,1P*,1,3s.7s,1S,0,,,L3460,
135.01782,135.01773,150,2.37e+08,B,59852.02,133916.368,3s.3p,1P*,1,3s.5d,1D,2,,T6533,L3460,
137.12401,137.12415,150,5.83e+07,C+,59852.02,132778.633,3s.3p,1P*,1,3s.6s,1S,0,,T6533,L3460,
153.98303,153.98329,340,6.70e+08,B+,59852.02,124794.13,3s.3p,1P*,1,3s.4d,1D,2,,T6533,L3460,
155.5943,155.5940,1,,,85481.35,149751.2,3p2,1D,2,3s.16p,1P*,1,,,L4575,
156.3580,156.35794,1,,,85481.35,149437.17,3p2,1D,2,3s.15p,1P*,1,,,L4575,
