obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
5.738,0.003,5.738,0.003,3a,,,0.00,1742870,1s2.2s2,1S,0,1s.2s2.6p,1P*,1,,,L12120,
5.759,0.003,5.759,0.003,7a,,,0.00,1736400,1s2.2s2,1S,0,1s.2s2.5p,1P*,1,,,L12120,
5.801,0.003,5.801,0.003,10a,,,0.00,1723840,1s2.2s2,1S,0,1s.2s2.4p,1P*,1,,,L12120,
5.901,0.003,5.901,0.003,30a,,,0.00,1694630,1s2.2s2,1S,0,1s.2s2.3p,1P*,1,,,L12120,
6.379,0.003,6.379,0.003,80a,,,0.00,1567640,1s2.2s2,1S,0,1s.2s2.2p,1P*,1,,,L12120,
40.5091,0.0010,40.5091,0.0010,10a*,,,0.00,246858,1s2.2s2,1S,0,1s2.2p.10d,1P*,1,,,L12120,
40.573,0.010,40.573,0.010,1a*,,,0.00,246470,1s2.2s2,1S,0,1s2.2p.10s,1P*,1,,,L12120,
40.67,0.09,40.67,0.08,30a*,,,0.00,245900,1s2.2s2,1S,0,1s2.2p.9d,1P*,1,,,L12120,
40.778,0.010,40.778,0.010,7a*,,,0.00,245230,1s2.2s2,1S,0,1s2.2p.9s,1P*,1,,,L12120,
40.898,0.002,40.8980,0.0020,22a*,,,0.00,244511,1s2.2s2,1S,0,1s2.2p.8d,1P*,1,,,L12120,
41.054,0.003,41.054,0.003,6a*,,,0.00,243582,1s2.2s2,1S,0,1s2.2p.8s,1P*,1,,,L12120,
41.247,0.002,41.2470,0.0020,53a*,,,0.00,242442,1s2.2s2,1S,0,1s2.2p.7d,1P*,1,,,L12120,
41.481,0.003,41.481,0.003,8a*,,,0.00,241074,1s2.2s2,1S,0,1s2.2p.7s,1P*,1,,,L12120,
41.7886,0.0010,41.7885,0.0010,82a*,,,0.00,239300,1s2.2s2,1S,0,1s2.2p.6d,1P*,1,,,L12120,
42.153,0.003,42.153,0.003,3a*,,,0.00,237231,1s2.2s2,1S,0,1s2.2p.6s,1P*,1,,,L12120,
42.7058,0.0010,42.7058,0.0009,109a*,,,0.00,234160,1s2.2s2,1S,0,1s2.2p.5d,1P*,1,,,L12120,
43.397,0.003,43.397,0.003,13a*,,,0.00,230431,1s2.2s2,1S,0,1s2.2p.5s,1P*,1,,,L12120,
44.4766,0.0015,44.4765,0.0016,177a*,,,0.00,224838,1s2.2s2,1S,0,1s2.2p.4d,1P*,1,,,L12120,
46.079,0.008,46.079,0.008,110a*,,,0.00,217020,1s2.2s2,1S,0,1s2.2p.4s,1P*,1,,,L12120,
47.352,0.005,47.349,0.005,23a*,,,37335.54,248534,1s2.2s.2p,3P*,0,1s2.2p.13p,3P,"0,1,2",,,L12120,
47.352,0.005,47.350,0.005,23a*,,,37341.65,248534,1s2.2s.2p,3P*,1,1s2.2p.13p,3P,"0,1,2",,,L12120,
47.352,0.005,47.354,0.005,23a*,,,37357.80,248534,1s2.2s.2p,3P*,2,1s2.2p.13p,3P,"0,1,2",,,L12120,
47.457,0.003,47.454,0.003,27a*,,,37335.54,248067,1s2.2s.2p,3P*,0,1s2.2p.12p,3P,"0,1,2",,,L12120,
47.457,0.003,47.455,0.003,27a*,,,37341.65,248067,1s2.2s.2p,3P*,1,1s2.2p.12p,3P,"0,1,2",,,L12120,
47.457,0.003,47.459,0.003,27a*,,,37357.80,248067,1s2.2s.2p,3P*,2,1s2.2p.12p,3P,"0,1,2",,,L12120,
47.604,0.003,47.601,0.003,43a*,,,37335.54,247416,1s2.2s.2p,3P*,0,1s2.2p.11p,3P,"0,1,2",,,L12120,
47.604,0.003,47.602,0.003,43a*,,,37341.65,247416,1s2.2s.2p,3P*,1,1s2.2p.11p,3P,"0,1,2",,,L12120,
47.604,0.003,47.606,0.003,43a*,,,37357.80,247416,1s2.2s.2p,3P*,2,1s2.2p.11p,3P,"0,1,2",,,L12120,
47.790,0.002,47.7867,0.0021,31a*,,,37335.54,246599,1s2.2s.2p,3P*,0,1s2.2p.10p,3P,"0,1,2",,,L12120,
47.790,0.002,47.7880,0.0021,31a*,,,37341.65,246599,1s2.2s.2p,3P*,1,1s2.2p.10p,3P,"0,1,2",,,L12120,
47.790,0.002,47.7917,0.0021,31a*,,,37357.80,246599,1s2.2s.2p,3P*,2,1s2.2p.10p,3P,"0,1,2",,,L12120,
48.035,0.002,48.0318,0.0021,29a*,,,37335.54,245531,1s2.2s.2p,3P*,0,1s2.2p.9p,3P,"0,1,2",,,L12120,
48.035,0.002,48.0332,0.0021,29a*,,,37341.65,245531,1s2.2s.2p,3P*,1,1s2.2p.9p,3P,"0,1,2",,,L12120,
