obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
219.67785,219.677857,0.000063,10,,,14967.745,60474.732,,,5/2,,,5/2,,,L11762,
219.71238,219.71215,0.00019,3,,,23234.778,68734.663,,,9/2,,,9/2,,,L11762,
219.75101,219.751004,0.000072,9,,,10592.485,56084.326,,,3/2,,,3/2,,,L11762,
219.80081,219.800814,0.000145,5,,,7420.261,52901.794,5d5,6S,5/2,,,7/2,,,L11762,
219.8449,219.84413,0.00145,9,,,26929.008,72401.581,5d4.(1I).6s,2I,11/2,,,9/2,,,L6520,
219.86827,219.868282,0.000020,36,,,11301.024,56768.602,5d3.6s2,4F,5/2,,,7/2,,,L11762,
219.9215,219.92191,0.00145,9,,,14967.745,60424.237,,,5/2,,,7/2,,,L6520,
219.97434,219.974256,0.000145,5,,,19070.550,64516.226,,,9/2,,,9/2,,,L11762,
219.9925,219.99530,0.00145,5?,,,20039.682,65481.012,,,7/2,5d3.(4P).6s.(5P).6p,6S*,5/2,,,L6520,
220.0711,220.06978,0.00145,9,,,8711.274,54137.225,5d3.6s2,4F,3/2,,,3/2,,,L6520,
220.09105,220.091031,0.000058,11,,,14857.160,60278.726,,,9/2,,,9/2,,,L11762,
220.19858,220.198564,0.000063,11,,,14857.160,60256.547,,,9/2,,,7/2,,,L11762,
220.20982,220.20985,0.00015,4,,,23046.724,68443.785,,,7/2,,,5/2,,,L11762,
220.26737,220.26734,0.00010,6,,,23234.778,68619.990,,,9/2,,,7/2,,,L11762,
220.38078,220.380773,0.000039,18,,,14857.160,60219.015,,,9/2,,,11/2,,,L11762,
220.399291,220.399296,0.000015,48,,,14634.336,59992.379,5d4.(5D).6s,4D,3/2,,,5/2,,,L11762,
220.448262,220.448262,0.000006,276,,,6147.085,51495.054,5d4.(5D).6s,6D,9/2,,,11/2,,,L11762,
220.54665,220.546582,0.000097,8,,,15146.977,60474.732,5d4.(3H).6s,4H,7/2,,,5/2,,,L11762,
220.5885,220.58829,0.00146,5,,,18990.929,64310.114,,,3/2,,,5/2,,,L6520,
220.60411,220.604119,0.000097,7,,,16234.715,61550.649,,,5/2,,,7/2,,,L11762,
220.60849,220.608496,0.000097,6,,,8711.274,54026.309,5d3.6s2,4F,3/2,,,5/2,,,L11762,
220.61365,220.61367,0.00007,9,,,13434.070,58748.042,,,5/2,,,3/2,,,L11762,
220.6248,220.62419,0.00146,5,,,11301.024,56612.836,5d3.6s2,4F,5/2,,,7/2,,,L6520,
220.659816,220.659816,0.000015,46,,,8832.728,54137.225,,,1/2,,,3/2,,,L11762,
220.67168,220.67162,0.00024,93bl,,,23803.702,69105.775,,,7/2,,,9/2,,,L11762,
220.69309,220.69305,0.00003,18,,,13411.939,58709.614,5d3.6s2,4F,7/2,,,7/2,,,L11762,
220.7458,220.74898,0.00146,50bl,,,19070.550,64356.750,,,9/2,,,7/2,,,L6520,
220.78299,220.78298,0.00024,3,,,17436.932,62716.159,5d4.(3H).6s,4H,11/2,5d3.(4P).6s.(5P).6p,6D*,9/2,,,L11762,
220.79257,220.79257,0.00004,16,,,15146.977,60424.237,5d4.(3H).6s,4H,7/2,,,7/2,,,L11762,
220.79859,220.798588,0.000034,20,,,13411.939,58687.965,5d3.6s2,4F,7/2,,,9/2,,,L11762,
220.80093,220.80094,0.00007,9,,,13434.070,58709.614,,,5/2,,,7/2,,,L11762,
220.8540,220.85612,0.00146,11?,,,18990.929,64255.162,,,3/2,,,3/2,,,L6520,
220.88158,220.88158,0.00004,16,,,19637.309,64896.325,,,5/2,,,7/2,,,L11762,
220.91753,220.91767,0.00015,4,,,26929.008,72180.632,5d4.(1I).6s,2I,11/2,,,11/2,,,L11762,
220.94296,220.94295,0.00006,11,,,20780.358,66026.803,,,9/2,,,7/2,,,L11762,
220.9562,220.95742,0.00147,5,,,11301.024,56544.508,5d3.6s2,4F,5/2,5d3.(4P).6s.(5P).6p,6P*,5/2,,,L6520,
221.25813,221.25789,0.00024,3,,,14634.336,59816.385,5d4.(5D).6s,4D,3/2,,,3/2,,,L11762,
221.3188,221.31901,0.00147,9,,,23450.418,68619.990,5d4.(3D).6s,4D,5/2,,,7/2,,,L6520,
221.3326,221.33228,0.00147,5,,,19637.309,64804.173,,,5/2,,,3/2,,,L6520,
221.4133,221.41287,0.00147,5,,,23955.349,69105.775,,,11/2,,,9/2,,,L6520,
221.478564,221.478564,0.000015,54,,,19070.550,64207.585,,,9/2,,,9/2,,,L11762,
221.4884,221.48628,0.00147,9,,,13173.337,58308.799,5d4.(5D).6s,4D,1/2,,,1/2,,,L6520,
221.52496,221.52375,0.00029,16bl*,,,27273.753,72401.581,,,7/2,,,9/2,,,L11762,
221.52496,221.52515,0.00029,16bl*,,,23234.778,68362.322,,,9/2,,,7/2,,,L11762,
221.53425,221.534246,0.000029,23,,,13411.939,58537.630,5d3.6s2,4F,7/2,,,7/2,,,L11762,
221.601368,221.601364,0.000010,87,,,3172.473,48284.498,5d4.(5D).6s,6D,5/2,,,5/2,,,L11762,
221.62864,221.62875,0.00010,6,,,1518.829,46625.281,5d4.(5D).6s,6D,3/2,,,1/2,,,L11762,
221.63324,221.63340,0.00039,2,,,29341.426,74446.931,,,9/2,,,9/2,,,L11762,
221.642963,221.642958,0.000015,44,,,13434.070,58537.630,,,5/2,,,7/2,,,L11762,
221.72709,221.72707,0.00015,5,,,26158.581,71245.032,5d5,4G,9/2,,,9/2,,,L11762,
221.75735,221.75724,0.00010,6,,,19276.431,64356.750,,,5/2,,,7/2,,,L11762,
221.77589,221.775869,0.000034,20,,,14857.160,59933.692,,,9/2,,,7/2,,,L11762,
221.9120,221.91109,0.00148,9,,,23450.418,68499.486,5d4.(3D).6s,4D,5/2,,,3/2,,,L6520,
221.95786,221.95783,0.00010,9,,,18990.929,64030.511,,,3/2,,,5/2,,,L11762,
221.97365,221.973661,0.000054,14,,,16553.087,61589.457,5d4.(3H).6s,4H,9/2,,,11/2,,,L11762,
221.98698,221.98685,0.00044,5*,,,22139.861,67173.555,5d4.(3F2).6s,4F,5/2,,,5/2,,,L11762,
221.98698,221.98691,0.00044,5*,,,19276.431,64310.114,,,5/2,,,5/2,,,L11762,
222.09391,222.093901,0.000020,41,,,14857.160,59869.150,,,9/2,,,7/2,,,L11762,
222.14040,222.14041,0.00010,6,,,25209.233,70211.800,,,9/2,,,7/2,,,L11762,
222.15231,222.152323,0.000040,17,,,17436.932,62437.086,5d4.(3H).6s,4H,11/2,,,9/2,,,L11762,
222.16512,222.165121,0.000148,5,,,16553.087,61550.649,5d4.(3H).6s,4H,9/2,,,7/2,,,L11762,
222.18595,222.18584,0.00020,4,,,23450.418,68443.785,5d4.(3D).6s,4D,5/2,,,5/2,,,L11762,
222.20733,222.20735,0.00003,20,,,18000.627,62989.639,,,7/2,,,5/2,,,L11762,
222.25815,222.25814,0.00003,21,,,19276.431,64255.162,,,5/2,,,3/2,,,L11762,
222.3214,222.32134,0.00148,9,,,14967.745,59933.692,,,5/2,,,7/2,,,L6520,
222.33294,222.332894,0.000099,7,,,20039.682,65003.292,,,7/2,,,9/2,,,L11762,
222.34558,222.345574,0.000040,17,,,16589.603,61550.649,,,7/2,,,7/2,,,L11762,
222.590100,222.590100,0.000006,162,8.51e+07,B,0.000,44911.659,5d4.(5D).6s,6D,1/2,,,3/2,,T7162,L11762,
222.632889,222.632899,0.000015,58,,,13434.070,58337.096,,,5/2,,,5/2,,,L11762,
222.64078,222.640938,0.000045,14,,,14967.745,59869.150,,,5/2,,,7/2,,,L11762,
222.65679,222.656797,0.000020,35,,,6147.085,51045.292,5d4.(5D).6s,6D,9/2,5d3.(4F).6s.(5F).6p,6F*,7/2,,,L11762,
222.66944,222.66948,0.00003,21,,,10592.485,55488.134,,,3/2,5d3.(4P).6s.(5P).6p,6P*,3/2,,,L11762,
222.678041,222.678046,0.000015,51,,,17436.932,62330.855,5d4.(3H).6s,4H,11/2,,,9/2,,,L11762,
222.73250,222.73251,0.00004,17,,,16234.715,61117.662,,,5/2,,,3/2,,,L11762,
222.82859,222.82852,0.00025,3,,,20780.358,65643.968,,,9/2,,,7/2,,,L11762,
222.87110,222.871146,0.000298,3,,,7420.261,52275.291,5d5,6S,5/2,,,7/2,,,L11762,
222.89031,222.89032,0.00003,22,,,19403.991,64255.162,,,1/2,,,3/2,,,L11762,
222.90292,222.90290,0.00010,8,,,14967.745,59816.385,,,5/2,,,3/2,,,L11762,
222.9190,222.91900,0.00149,3,,,15146.977,59992.379,5d4.(3H).6s,4H,7/2,,,5/2,,,L6520,
222.962885,222.962890,0.000006,153,,,1518.829,46355.404,5d4.(5D).6s,6D,3/2,,,5/2,,,L11762,
222.97265,222.97260,0.00006,12,,,22194.031,67028.654,,,7/2,,,9/2,,,L11762,
223.10761,223.107626,0.000025,28,,,16553.087,61360.578,5d4.(3H).6s,4H,9/2,,,9/2,,,L11762,
223.1423,223.14221,0.00149,5,,,23046.724,67847.271,,,7/2,,,9/2,,,L6520,
223.16560,223.16562,0.00025,3,,,28631.688,73427.537,,,7/2,,,7/2,,,L11762,
223.18303,223.183025,0.000150,5,,,20534.191,65326.546,,,11/2,,,11/2,,,L11762,
223.2108,223.21113,0.00150,5,,,15146.977,59933.692,5d4.(3H).6s,4H,7/2,,,7/2,,,L6520,
223.22807,223.228146,0.000249,3,,,11301.024,56084.326,5d3.6s2,4F,5/2,,,3/2,,,L11762,
223.24796,223.24803,0.00015,5,,,23955.349,68734.663,,,11/2,,,9/2,,,L11762,
223.25534,223.25533,0.00010,7,,,23234.778,68012.627,,,9/2,,,11/2,,,L11762,
223.26590,223.26594,0.00025,3,,,24804.612,69580.334,,,7/2,,,7/2,,,L11762,
223.27866,223.278547,0.000249,3,,,16553.087,61326.281,5d4.(3H).6s,4H,9/2,,,7/2,,,L11762,
223.42488,223.42480,0.00005,12,,,26158.581,70902.470,5d5,4G,9/2,,,9/2,,,L11762,
223.46084,223.460815,0.000065,10,,,16589.603,61326.281,,,7/2,,,7/2,,,L11762,
223.46346,223.46343,0.00010,8,,,14634.336,59370.490,5d4.(5D).6s,4D,3/2,,,3/2,,,L11762,
223.53329,223.533298,0.000050,13,,,15146.977,59869.150,5d4.(3H).6s,4H,7/2,,,7/2,,,L11762,
223.5452,223.54696,0.00150,15,,,19637.309,64356.750,,,5/2,,,7/2,,,L6520,
223.56405,223.564055,0.000030,28,,,6147.085,50863.106,5d4.(5D).6s,6D,9/2,5d4.(5D).6p,6F*,9/2,,,L11762,
223.58528,223.585282,0.000100,8,,,8711.274,53423.050,5d3.6s2,4F,3/2,,,3/2,,,L11762,
223.70565,223.705623,0.000015,50,,,16553.087,61240.813,5d4.(3H).6s,4H,9/2,,,11/2,,,L11762,
223.75884,223.75883,0.00006,11,,,24804.612,69481.712,,,7/2,,,5/2,,,L11762,
223.94451,223.94440,0.00015,5,,,23803.702,68443.785,,,7/2,,,5/2,,,L11762,
223.977122,223.977112,0.000010,65,,,28187.578,72821.142,5d4.(1I).6s,2I,13/2,5d4.(1I).6p,2K*,15/2,,,L11762,
224.05601,224.05599,0.00040,2,,,19637.309,64255.162,,,5/2,,,3/2,,,L11762,
224.08290,224.08291,0.00008,9,,,23234.778,67847.271,,,9/2,,,9/2,,,L11762,
224.10806,224.108069,0.000015,53,,,8832.728,53440.213,,,1/2,,,1/2,,,L11762,
224.12646,224.12641,0.00010,6,,,19276.431,63880.265,,,5/2,,,5/2,,,L11762,
224.27145,224.271408,0.000065,11,,,13411.939,57986.939,5d3.6s2,4F,7/2,,,9/2,,,L11762,
224.29703,224.297048,0.000035,19,,,10592.485,55162.390,,,3/2,,,5/2,,,L11762,
224.34459,224.344579,0.000151,4,,,18000.627,62561.090,,,7/2,,,7/2,,,L11762,
224.41644,224.416478,0.000040,17,,,20780.358,65326.546,,,9/2,,,11/2,,,L11762,
224.51942,224.519428,0.000015,54,4.91e+07,B,4716.278,49242.042,5d4.(5D).6s,6D,7/2,,,5/2,,T7162,L11762,
224.5710,224.57068,0.00151,9,,,26158.581,70674.184,5d5,4G,9/2,,,7/2,,,L6520,
224.5905,224.58981,0.00151,5,,,19276.431,63788.242,,,5/2,,,7/2,,,L6520,
224.63543,224.635486,0.000076,9,,,16553.087,61055.849,5d4.(3H).6s,4H,9/2,,,9/2,,,L11762,
224.66441,224.664406,0.000015,53,,,8832.728,53329.762,,,1/2,,,3/2,,,L11762,
224.76796,224.767917,0.000030,23,,,20039.682,64516.226,,,7/2,,,9/2,,,L11762,
224.77420,224.77417,0.00010,6,,,14967.745,59443.051,,,5/2,,,5/2,,,L11762,
224.827515,224.827510,0.000006,128,,,4716.278,49181.034,5d4.(5D).6s,6D,7/2,,,9/2,,,L11762,
224.875783,224.875783,0.000006,253,3.19e+08,B,0.000,44455.212,5d4.(5D).6s,6D,1/2,5d3.(4F).6s.(5F).6p,6F*,1/2,,T7162,L11762,
224.92834,224.92837,0.00010,8,,,13411.939,57856.759,5d3.6s2,4F,7/2,,,5/2,,,L11762,
224.93893,224.938906,0.000051,14,,,7420.261,51862.999,5d5,6S,5/2,,,7/2,,,L11762,
224.97067,224.970694,0.000066,12,,,18000.627,62437.086,,,7/2,,,9/2,,,L11762,
224.97819,224.97818,0.00004,19,,,20534.191,64969.172,,,11/2,,,11/2,,,L11762,
224.988740,224.988740,0.000006,249,,,19442.466,63875.361,5d4.(3H).6s,4H,13/2,5d4.(3H).6p,4I*,15/2,,,L11762,
225.04481,225.044813,0.000051,13,,,16234.715,60656.540,,,5/2,,,5/2,,,L11762,
225.05573,225.055611,0.000152,5,,,14857.160,59276.854,,,9/2,,,7/2,,,L11762,
225.073448,225.073448,0.000011,74,7.21e+07,B,3172.473,47588.647,5d4.(5D).6s,6D,5/2,5d4.(5D).6p,6P*,3/2,,T7162,L11762,
225.11372,225.113714,0.000020,42,,,4716.278,49124.508,5d4.(5D).6s,6D,7/2,,,7/2,,,L11762,
225.14396,225.143989,0.000056,15,,,8711.274,53113.533,5d3.6s2,4F,3/2,,,5/2,,,L11762,
225.18989,225.18993,0.00010,7,,,19637.309,64030.511,,,5/2,,,5/2,,,L11762,
225.2649,225.26424,0.00152,5,,,25209.233,69587.792,,,9/2,,,11/2,,,L6520,
225.30193,225.30210,0.00015,4,,,25209.233,69580.334,,,9/2,,,7/2,,,L11762,
225.3357,225.33543,0.00152,5,,,29341.426,73705.965,,,9/2,,,9/2,,,L6520,
225.4184,225.41803,0.00153,5,,,20455.888,64804.173,5d4.(3F2).6s,4F,3/2,,,3/2,,,L6520,
225.49768,225.49769,0.00003,26,,,18000.627,62333.247,,,7/2,,,5/2,,,L11762,
225.50986,225.509855,0.000102,8,,,18000.627,62330.855,,,7/2,,,9/2,,,L11762,
225.57199,225.571802,0.000102,7,,,13411.939,57729.994,5d3.6s2,4F,7/2,,,7/2,,,L11762,
225.57688,225.57683,0.00036,2,,,20039.682,64356.750,,,7/2,,,7/2,,,L11762,
225.58214,225.58214,0.00008,9,,,26929.008,71245.032,5d4.(1I).6s,2I,11/2,,,9/2,,,L11762,
225.6175,225.61735,0.00153,15,,,14967.745,59276.854,,,5/2,,,7/2,,,L6520,
225.68403,225.68375,0.00046,16p,,,15146.977,59443.051,5d4.(3H).6s,4H,7/2,,,5/2,,,L11762,
225.68448,225.684512,0.000016,59,,,13434.070,57729.994,,,5/2,,,7/2,,,L11762,
225.70929,225.709304,0.000026,31,,,26929.008,71220.067,5d4.(1I).6s,2I,11/2,5d4.(1I).6p,2I*,13/2,,,L11762,
225.81442,225.81448,0.00015,4,,,20039.682,64310.114,,,7/2,,,5/2,,,L11762,
225.88761,225.88762,0.00015,5,,,24804.612,69060.711,,,7/2,,,5/2,,,L11762,
225.90668,225.906697,0.000036,22,,,15146.977,59399.339,5d4.(3H).6s,4H,7/2,,,9/2,,,L11762,
225.95474,225.95473,0.00005,14,,,19637.309,63880.265,,,5/2,,,5/2,,,L11762,
225.96573,225.965757,0.000153,5,,,3172.473,47413.270,5d4.(5D).6s,6D,5/2,,,5/2,,,L11762,
225.96975,225.969741,0.000036,20,,,16234.715,60474.732,,,5/2,,,5/2,,,L11762,
225.99452,225.99452,0.00008,9,,,26929.008,71164.174,5d4.(1I).6s,2I,11/2,,,11/2,,,L11762,
226.05704,226.057040,0.000077,9,,,20780.358,65003.292,,,9/2,,,9/2,,,L11762,
226.1940,226.19528,0.00154,150bl,,,19070.550,63266.459,,,9/2,,,7/2,,,L6520,
226.22800,226.22798,0.00007,10,,,16234.715,60424.237,,,5/2,,,7/2,,,L11762,
226.23173,226.23160,0.00031,3,,,20780.358,64969.172,,,9/2,,,11/2,,,L11762,
226.24038,226.24033,0.00036,2,,,11301.024,55488.134,5d3.6s2,4F,5/2,5d3.(4P).6s.(5P).6p,6P*,3/2,,,L11762,
226.27515,226.27515,0.00026,3,,,28377.585,72557.895,,,11/2,,,9/2,,,L11762,
226.33879,226.338722,0.000256,3,,,20039.682,64207.585,,,7/2,,,9/2,,,L11762,
226.351879,226.351879,0.000006,127,,,17436.932,61602.268,5d4.(3H).6s,4H,11/2,,,13/2,,,L11762,
226.41757,226.417561,0.000021,33,,,17436.932,61589.457,5d4.(3H).6s,4H,11/2,,,11/2,,,L11762,
226.53379,226.533773,0.000026,29,,,15146.977,59276.854,5d4.(3H).6s,4H,7/2,,,7/2,,,L11762,
226.56574,226.565709,0.000046,14,,,23955.349,68079.006,,,11/2,5d4.(1I).6p,2K*,13/2,,,L11762,
226.60520,226.60521,0.00007,10,,,20780.358,64896.325,,,9/2,,,7/2,,,L11762,
226.613138,226.613138,0.000011,73,,,4716.278,48830.701,5d4.(5D).6s,6D,7/2,,,7/2,,,L11762,
226.62507,226.625073,0.000016,52,,,10592.485,54704.585,,,3/2,,,5/2,,,L11762,
226.75869,226.75868,0.00003,23,,,29341.426,73427.537,,,9/2,,,7/2,,,L11762,
226.8053,226.80570,0.00154,5,,,22194.031,66271.003,,,7/2,,,9/2,,,L6520,
226.85740,226.857357,0.000257,3,,,16589.603,60656.540,,,7/2,,,5/2,,,L11762,
226.90708,226.90710,0.00021,4,,,23955.349,68012.627,,,11/2,,,11/2,,,L11762,
226.9260,226.92801,0.00155,5d,,,26158.581,70211.800,5d5,4G,9/2,,,7/2,,,L6520,
226.97780,226.97773,0.00026,3,,,23803.702,67847.271,,,7/2,,,9/2,,,L11762,
227.02288,227.022816,0.000413,70p,3.51e+07,B,1518.829,45553.652,5d4.(5D).6s,6D,3/2,,,3/2,,T7162,L11762,
227.02409,227.024059,0.000206,110p,,,14857.160,58891.742,,,9/2,,,11/2,,,L11762,
227.07866,227.07865,0.00015,5,,,28377.585,72401.581,,,11/2,,,9/2,,,L11762,
227.08982,227.08982,0.00015,5,,,16234.715,60256.547,,,5/2,,,7/2,,,L11762,
227.11061,227.110605,0.000067,11,,,7420.261,51438.064,5d5,6S,5/2,,,5/2,,,L11762,
227.17856,227.17857,0.00021,3,,,22139.861,66144.496,5d4.(3F2).6s,4F,5/2,,,5/2,,,L11762,
227.2098,227.20917,0.00155,15,,,18990.929,62989.639,,,3/2,,,5/2,,,L6520,
227.23836,227.23838,0.00005,15,,,28187.578,72180.632,5d4.(1I).6s,2I,13/2,,,11/2,,,L11762,
227.24988,227.24988,0.00003,25,,,20039.682,64030.511,,,7/2,,,5/2,,,L11762,
227.28054,227.28050,0.00010,6,,,26226.897,70211.800,,,5/2,,,7/2,,,L11762,
227.29571,227.295318,0.000103,12*,,,20534.191,64516.226,,,11/2,,,9/2,,,L11762,
227.29571,227.29586,0.00010,12*,,,23046.724,67028.654,,,7/2,,,9/2,,,L11762,
227.35090,227.35092,0.00016,4,,,27273.753,71245.032,,,7/2,,,9/2,,,L11762,
227.35611,227.35607,0.00021,4,,,8832.728,52803.012,,,1/2,,,3/2,,,L11762,
227.56433,227.56431,0.00010,6,,,24804.612,68734.663,,,7/2,,,9/2,,,L11762,
227.5863,227.58423,0.00155,5,,,28631.688,72557.895,,,7/2,,,9/2,,,L6520,
227.59115,227.59104,0.00021,3,,,29341.426,73266.317,,,9/2,,,11/2,,,L11762,
227.59759,227.597496,0.000207,3,,,17436.932,61360.578,5d4.(3H).6s,4H,11/2,,,9/2,,,L11762,
227.67730,227.67739,0.00021,4,,,25672.099,69580.334,,,5/2,,,7/2,,,L11762,
227.74103,227.741039,0.000104,6,,,19070.550,62966.514,,,9/2,,,11/2,,,L11762,
227.75531,227.75530,0.00004,22,,,10592.485,54485.701,,,3/2,,,1/2,,,L11762,
227.76783,227.76766,0.00026,3,,,25169.877,69060.711,,,3/2,,,5/2,,,L11762,
227.79726,227.797272,0.000026,26,,,16589.603,60474.732,,,7/2,,,5/2,,,L11762,
227.81096,227.810962,0.000047,17,,,8711.274,52593.766,5d3.6s2,4F,3/2,,,1/2,,,L11762,
227.86978,227.86986,0.00010,7,,,16553.087,60424.237,5d4.(3H).6s,4H,9/2,,,7/2,,,L11762,
227.92067,227.920698,0.000208,4,,,11301.024,55162.390,5d3.6s2,4F,5/2,,,5/2,,,L11762,
227.93629,227.93641,0.00026,3,,,19276.431,63134.773,,,5/2,,,3/2,,,L11762,
227.9694,227.96702,0.00156,5,,,14857.160,58709.614,,,9/2,,,7/2,,,L6520,
228.02874,228.02876,0.00003,25,,,20039.682,63880.265,,,7/2,,,5/2,,,L11762,
228.06222,228.06213,0.00010,8,,,7420.261,51254.429,5d5,6S,5/2,,,3/2,,,L11762,
228.07965,228.079630,0.000062,11,,,14857.160,58687.965,,,9/2,,,9/2,,,L11762,
228.1600,228.15994,0.00104,5,,,24804.612,68619.990,,,7/2,,,7/2,,,L6520,
228.16706,228.16710,0.00010,7,,,30632.927,74446.931,,,9/2,,,9/2,,,L11762,
228.219826,228.219832,0.000011,79,,,17436.932,61240.813,5d4.(3H).6s,4H,11/2,,,11/2,,,L11762,
228.24386,228.24384,0.00007,10,,,20455.888,64255.162,5d4.(3F2).6s,4F,3/2,,,3/2,,,L11762,
228.2717,228.27197,0.00104,5,,,23234.778,67028.654,,,9/2,,,9/2,,,L6520,
228.32690,228.32673,0.00010,6,,,10592.485,54375.859,,,3/2,,,5/2,,,L11762,
228.34278,228.34278,0.00016,4,,,14967.745,58748.042,,,5/2,,,3/2,,,L11762,
228.39704,228.39706,0.00005,14,,,28631.688,72401.581,,,7/2,,,9/2,,,L11762,
228.39876,228.39877,0.00007,10,,,23046.724,66816.290,,,7/2,,,9/2,,,L11762,
228.44328,228.443284,0.000052,15,,,8832.728,52593.766,,,1/2,,,1/2,,,L11762,
228.46086,228.460900,0.000031,24,,,16234.715,59992.379,,,5/2,,,5/2,,,L11762,
228.5087,228.50845,0.00104,5d,,,20039.682,63788.242,,,7/2,,,7/2,,,L6520,
228.5436,228.54340,0.00105,3,,,14967.745,58709.614,,,5/2,,,7/2,,,L6520,
228.57469,228.574765,0.000366,2,,,20780.358,64516.226,,,9/2,,,9/2,,,L11762,
228.62831,228.628242,0.000063,11,,,16553.087,60278.726,5d4.(3H).6s,4H,9/2,,,9/2,,,L11762,
228.6510,228.64775,0.00105,"15bl,d",,,11301.024,55022.932,5d3.6s2,4F,5/2,,,7/2,,,L6520,
228.6931,228.69326,0.00105,5,,,19276.431,62989.639,,,5/2,,,5/2,,,L6520,
228.7447,228.74428,0.00105,5,,,16553.087,60256.547,5d4.(3H).6s,4H,9/2,,,7/2,,,L6520,
228.74789,228.747943,0.000314,3,,,14634.336,58337.096,5d4.(5D).6s,4D,3/2,,,5/2,,,L11762,
228.86470,228.864682,0.000047,15,,,14857.160,58537.630,,,9/2,,,7/2,,,L11762,
228.8813,228.88002,0.00105,5d,,,13411.939,57089.482,5d3.6s2,4F,7/2,,,9/2,,,L6520,
228.8958,228.89616,0.00105,5d,,,14634.336,58308.799,5d4.(5D).6s,4D,3/2,,,1/2,,,L6520,
228.90179,228.901767,0.000047,14,,,20534.191,64207.585,,,11/2,,,9/2,,,L11762,
228.93560,228.93558,0.00021,3,,,16589.603,60256.547,,,7/2,,,7/2,,,L11762,
228.94091,228.940908,0.000105,7,,,16553.087,60219.015,5d4.(3H).6s,4H,9/2,,,11/2,,,L11762,
228.95463,228.95479,0.00016,5,,,23234.778,66898.059,,,9/2,,,7/2,,,L11762,
229.04768,229.04750,0.00010,7,,,19070.550,62716.159,,,9/2,5d3.(4P).6s.(5P).6p,6D*,9/2,,,L11762,
229.05609,229.056071,0.000037,24,,,8711.274,52355.250,5d3.6s2,4F,3/2,5d4.(5D).6p,4D*,1/2,,,L11762,
229.0822,229.08128,0.00105,5,,,24804.612,68443.785,,,7/2,,,5/2,,,L6520,
229.13392,229.13392,0.00026,3,,,19637.309,63266.459,,,5/2,,,7/2,,,L11762,
229.13614,229.13619,0.00006,12,,,27273.753,70902.470,,,7/2,,,9/2,,,L11762,
229.15560,229.155552,0.000105,9,,,7420.261,51045.292,5d5,6S,5/2,5d3.(4F).6s.(5F).6p,6F*,7/2,,,L11762,
229.38459,229.38440,0.00011,7,,,23234.778,66816.290,,,9/2,,,9/2,,,L11762,
229.4195,229.42067,0.00105,25bl,,,20455.888,64030.511,5d4.(3F2).6s,4F,3/2,,,5/2,,,L6520,
229.454387,229.454387,0.000011,75,,,4716.278,48284.498,5d4.(5D).6s,6D,7/2,,,5/2,,,L11762,
229.48376,229.48380,0.00004,18,,,15146.977,58709.614,5d4.(3H).6s,4H,7/2,,,7/2,,,L11762,
229.55026,229.550276,0.000158,5,,,18000.627,61550.649,,,7/2,,,7/2,,,L11762,
229.57813,229.578123,0.000037,21,,,10592.485,54137.225,,,3/2,,,3/2,,,L11762,
229.59793,229.597908,0.000021,33,,,15146.977,58687.965,5d4.(3H).6s,4H,7/2,,,9/2,,,L11762,
229.68721,229.687278,0.000106,6,,,19442.466,62966.514,5d4.(3H).6s,4H,13/2,,,11/2,,,L11762,
229.69533,229.695332,0.000069,11,,,8832.728,52355.250,,,1/2,5d4.(5D).6p,4D*,1/2,,,L11762,
229.79255,229.79257,0.00004,17,,,22139.861,65643.968,5d4.(3F2).6s,4F,5/2,,,7/2,,,L11762,
229.82340,229.823381,0.000021,38,,,13434.070,56932.345,,,5/2,,,3/2,,,L11762,
229.86427,229.864260,0.000021,33,,,19070.550,62561.090,,,9/2,,,7/2,,,L11762,
229.97985,229.979872,0.000042,17,,,23234.778,66703.457,,,9/2,,,11/2,,,L11762,
230.00661,230.00659,0.00011,7,,,18990.929,62454.559,,,3/2,,,3/2,,,L11762,
230.00991,230.009692,0.000265,95bl,,,13411.939,56874.983,5d3.6s2,4F,7/2,,,5/2,,,L11762,
230.05627,230.05625,0.00006,12,,,25045.238,68499.486,5d4.(3D).6s,4D,1/2,,,3/2,,,L11762,
230.0799,230.07908,0.00106,5,,,22194.031,65643.968,,,7/2,,,7/2,,,L6520,
230.08790,230.08797,0.00032,2,,,19276.431,62724.690,,,5/2,,,3/2,,,L11762,
230.09120,230.09124,0.00026,3,,,23450.418,66898.059,5d4.(3D).6s,4D,5/2,,,7/2,,,L11762,
230.12705,230.126881,0.000212,3,,,13434.070,56874.983,,,5/2,,,5/2,,,L11762,
230.16444,230.164444,0.000016,50,,,10592.485,54026.309,,,3/2,,,5/2,,,L11762,
230.1900,230.18889,0.00106,11,,,26158.581,69587.792,5d5,4G,9/2,,,11/2,,,L6520,
230.2127,230.21452,0.00106,9,,,20455.888,63880.265,5d4.(3F2).6s,4F,3/2,,,5/2,,,L6520,
230.22844,230.22843,0.00011,7,,,26158.581,69580.334,5d5,4G,9/2,,,7/2,,,L11762,
230.28674,230.28676,0.00021,4,,,25209.233,68619.990,,,9/2,,,7/2,,,L11762,
