obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
186.1593,186.15863,0.00139,5,,,10592.485,64310.114,,,3/2,,,5/2,,,L6520,
186.2295,186.22875,0.00139,11,,,7420.261,61117.662,5d5,6S,5/2,,,3/2,,,L6520,
186.4948,186.49473,0.00139,50bl,,,4716.278,58337.096,5d4.(5D).6s,6D,7/2,,,5/2,,,L6520,
186.5815,186.58064,0.00139,25bl,,,3172.473,56768.602,5d4.(5D).6s,6D,5/2,,,7/2,,,L6520,
187.1260,187.12500,0.00140,7,,,0.000,53440.213,5d4.(5D).6s,6D,1/2,,,1/2,,,L6520,
187.1848,187.18512,0.00140,15,,,0.000,53423.050,5d4.(5D).6s,6D,1/2,,,3/2,,,L6520,
187.36395,187.36404,0.00018,3,,,3172.473,56544.508,5d4.(5D).6s,6D,5/2,5d3.(4P).6s.(5P).6p,6P*,5/2,,,L11762,
187.5126,187.51256,0.00141,15,,,0.000,53329.762,5d4.(5D).6s,6D,1/2,,,3/2,,,L6520,
187.6614,187.66029,0.00141,3,,,10592.485,63880.265,,,3/2,,,5/2,,,L6520,
187.7218,187.72059,0.00141,5,,,4716.278,57986.939,5d4.(5D).6s,6D,7/2,,,9/2,,,L6520,
187.78540,187.785479,0.000212,3,,,6147.085,59399.339,5d4.(5D).6s,6D,9/2,,,9/2,,,L11762,
188.0202,188.02027,0.00141,25,,,1518.829,54704.585,5d4.(5D).6s,6D,3/2,,,5/2,,,L6520,
188.1807,188.18046,0.00142,15,,,4716.278,57856.759,5d4.(5D).6s,6D,7/2,,,5/2,,,L6520,
188.2187,188.21840,0.00142,15,,,6147.085,59276.854,5d4.(5D).6s,6D,9/2,,,7/2,,,L6520,
188.6305,188.63043,0.00142,25,,,4716.278,57729.994,5d4.(5D).6s,6D,7/2,,,7/2,,,L6520,
188.6464,188.64689,0.00142,50bl,,,11301.024,64310.114,5d3.6s2,4F,5/2,,,5/2,,,L6520,
188.6677,188.66509,0.00142,3?,,,7420.261,60424.237,5d5,6S,5/2,,,7/2,,,L6520,
189.1835,189.18231,0.00143,3,,,13411.939,66271.003,5d3.6s2,4F,7/2,,,9/2,,,L6520,
189.1886,189.18959,0.00143,50,,,1518.829,54375.859,5d4.(5D).6s,6D,3/2,,,5/2,,,L6520,
189.6352,189.63617,0.00144,3,,,13411.939,66144.496,5d3.6s2,4F,7/2,,,5/2,,,L6520,
189.6468,189.64721,0.00144,25,,,11301.024,64030.511,5d3.6s2,4F,5/2,,,5/2,,,L6520,
189.94381,189.94370,0.00040,2,,,20780.358,73427.537,,,9/2,,,7/2,,,L11762,
190.0477,190.04760,0.00144,15,,,1518.829,54137.225,5d4.(5D).6s,6D,3/2,,,3/2,,,L6520,
190.1367,190.13660,0.00145,3,,,0.000,52593.766,5d4.(5D).6s,6D,1/2,,,1/2,,,L6520,
190.24950,190.249598,0.000145,3,,,6147.085,58709.614,5d4.(5D).6s,6D,9/2,,,7/2,,,L11762,
190.3470,190.34617,0.00145,15,,,4716.278,57252.138,5d4.(5D).6s,6D,7/2,,,5/2,,,L6520,
190.4500,190.44906,0.00145,5,,,1518.829,54026.309,5d4.(5D).6s,6D,3/2,,,5/2,,,L6520,
190.6625,190.66181,0.00145,11bl,,,7420.261,59869.150,5d5,6S,5/2,,,7/2,,,L6520,
190.9368,190.93734,0.00146,3,,,4716.278,57089.482,5d4.(5D).6s,6D,7/2,,,9/2,,,L6520,
191.0017,191.00281,0.00146,3bl,,,0.000,52355.250,5d4.(5D).6s,6D,1/2,5d4.(5D).6p,4D*,1/2,,,L6520,
191.14742,191.147351,0.000110,4,,,3172.473,55488.134,5d4.(5D).6s,6D,5/2,5d3.(4P).6s.(5P).6p,6P*,3/2,,,L11762,
191.5350,191.53456,0.00147,7,,,13434.070,65643.968,,,5/2,,,7/2,,,L6520,
191.6092,191.60851,0.00147,5,,,8711.274,60901.023,5d3.6s2,4F,3/2,,,5/2,,,L6520,
192.3454,192.34499,0.00148,11,,,3172.473,55162.390,5d4.(5D).6s,6D,5/2,,,5/2,,,L6520,
192.47768,192.47766,0.00015,4,,,8711.274,60665.356,5d3.6s2,4F,3/2,,,3/2,,,L11762,
192.5990,192.59887,0.00148,25,,,1518.829,53440.213,5d4.(5D).6s,6D,3/2,,,1/2,,,L6520,
192.86230,192.862324,0.000074,7,,,3172.473,55022.932,5d4.(5D).6s,6D,5/2,,,7/2,,,L11762,
192.9027,192.90178,0.00112,3,,,6147.085,57986.939,5d4.(5D).6s,6D,9/2,,,9/2,,,L6520,
192.92873,192.92867,0.00019,3,,,8832.728,60665.356,,,1/2,,,3/2,,,L11762,
192.93137,192.93131,0.00019,3,,,19070.550,70902.470,,,9/2,,,9/2,,,L11762,
192.94508,192.94504,0.00007,8,,,4716.278,56544.508,5d4.(5D).6s,6D,7/2,5d3.(4P).6s.(5P).6p,6P*,5/2,,,L11762,
193.00935,193.009456,0.000186,3,,,1518.829,53329.762,5d4.(5D).6s,6D,3/2,,,3/2,,,L11762,
193.18647,193.186475,0.000187,3,,,8711.274,60474.732,5d3.6s2,4F,3/2,,,5/2,,,L11762,
193.34227,193.34242,0.00022,3,,,19442.466,71164.174,5d4.(3H).6s,4H,13/2,,,11/2,,,L11762,
193.43337,193.433434,0.000187,3,,,4716.278,56413.649,5d4.(5D).6s,6D,7/2,,,9/2,,,L11762,
193.54023,193.54023,0.00030,2,,,17436.932,69105.775,5d4.(3H).6s,4H,11/2,,,9/2,,,L11762,
193.80558,193.80547,0.00015,4,,,17436.932,69035.063,5d4.(3H).6s,4H,11/2,5d3.(2H).6s.(3H).6p,4I*,13/2,,,L11762,
193.81826,193.818342,0.000056,10,,,1518.829,53113.533,5d4.(5D).6s,6D,3/2,,,5/2,,,L11762,
193.8298,193.83093,0.00113,5bl,,,13411.939,65003.292,5d3.6s2,4F,7/2,,,9/2,,,L6520,
193.8626,193.86266,0.00113,5,,,6147.085,57729.994,5d4.(5D).6s,6D,9/2,,,7/2,,,L6520,
193.8797,193.87944,0.00113,3,,,13411.939,64990.383,5d3.6s2,4F,7/2,,,5/2,,,L6520,
194.0540,194.05376,0.00113,11,,,3172.473,54704.585,5d4.(5D).6s,6D,5/2,,,5/2,,,L6520,
194.12983,194.12977,0.00019,3,,,22194.031,73705.965,,,7/2,,,9/2,,,L11762,
194.3271,194.32743,0.00113,3,,,16553.087,68012.627,5d4.(3H).6s,4H,9/2,,,11/2,,,L6520,
194.49996,194.500147,0.000189,3,,,14857.160,66271.003,,,9/2,,,9/2,,,L11762,
194.83253,194.832516,0.000076,8,,,3172.473,54498.608,5d4.(5D).6s,6D,5/2,,,7/2,,,L11762,
194.95379,194.95388,0.00008,7,,,16553.087,67847.271,5d4.(3H).6s,4H,9/2,,,9/2,,,L11762,
194.9919,194.99189,0.00114,7,,,1518.829,52803.012,5d4.(5D).6s,6D,3/2,,,3/2,,,L6520,
195.10506,195.10509,0.00003,18,,,0.000,51254.429,5d4.(5D).6s,6D,1/2,,,3/2,,,L11762,
195.29966,195.299584,0.000191,3,,,3172.473,54375.859,5d4.(5D).6s,6D,5/2,,,5/2,,,L11762,
195.6775,195.67830,0.00115,3,,,13411.939,64516.226,5d3.6s2,4F,7/2,,,9/2,,,L6520,
195.7916,195.79075,0.00115,3,,,1518.829,52593.766,5d4.(5D).6s,6D,3/2,,,1/2,,,L6520,
196.1403,196.14129,0.00115,3,,,8832.728,59816.385,,,1/2,,,3/2,,,L6520,
196.21408,196.214042,0.000038,15,,,3172.473,54137.225,5d4.(5D).6s,6D,5/2,,,3/2,,,L11762,
196.29066,196.290845,0.000154,4,,,13411.939,64356.750,5d3.6s2,4F,7/2,,,7/2,,,L11762,
196.29993,196.300147,0.000347,4w,,,6147.085,57089.482,5d4.(5D).6s,6D,9/2,,,9/2,,,L11762,
196.47083,196.47070,0.00031,2,,,13411.939,64310.114,5d3.6s2,4F,7/2,,,5/2,,,L11762,
196.54169,196.54155,0.00012,5,,,15146.977,66026.803,5d4.(3H).6s,4H,7/2,,,7/2,,,L11762,
196.5565,196.55616,0.00116,9,,,13434.070,64310.114,,,5/2,,,5/2,,,L6520,
