obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
468.728,468.727+,10hl,,,151826.36,173154.78,4s2.4p4.(1D).4d,2P,3/2,4s2.4p4.(3P<1>).4f,2[3]*,5/2,,,L7386,
468.83,468.828+,3h,,,152314.48,173638.28,4s2.4p4.(1D).5p,2D*,5/2,4s2.4p4.(3P).7s,4P,3/2,,,L7386,
469.13012,469.129+,100,,,127861.51,149171.64,4s2.4p4.(1D).5s,2D,5/2,4s2.4p4.(1D).5p,2F*,5/2,,,L605,
469.43596,469.4420+,200hl,,,135781.415,157077.34,4s2.4p4.(3P).5p,4D*,7/2,4s2.4p4.(3P).6s,4P,5/2,,,L605,
469.484,469.4839+,,,,120426.93,141720.955,4s2.4p4.(3P).4d,4D,5/2,4s2.4p4.(3P).5p,4S*,3/2,,,L8549,
469.566,469.5651+,50hl,,,140117.228,161407.57,4s2.4p4.(3P).5p,2D*,5/2,4s2.4p4.(1S).4d,2D,3/2,,,L7386,
469.969,469.9662+,30H,,,140135.395,161407.57,4s2.4p4.(3P).5p,2P*,3/2,4s2.4p4.(1S).4d,2D,3/2,,,L7386,
470.544,470.5428+,2hl,,,140161.462,161407.57,4s2.4p4.(3P).5p,4D*,1/2,4s2.4p4.(1S).4d,2D,3/2,,,L7386,
470.631,470.631+,3,,,127929.52,149171.64,4s2.4p4.(3P).4d,4F,7/2,4s2.4p4.(1D).5p,2F*,5/2,,,L7386,
473.90019,473.9002+,3000,7.6e+07,D,112828.27,133923.859,4s2.4p4.(3P).5s,4P,5/2,4s2.4p4.(3P).5p,4P*,5/2,,T3408,L605,
475.202,475.1981+,100hl,,,141993.940,163031.91,4s2.4p4.(3P).5p,2D*,3/2,4s2.4p4.(3P).6s,2P,1/2,,,L7386,
475.877,475.8735+,1h,,,136069.229,157077.34,4s2.4p4.(3P).5p,4D*,5/2,4s2.4p4.(3P).6s,4P,5/2,,,L7386,
476.24353,476.2435+,300,4.2e+07,D,121002.149,141993.940,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P).5p,2D*,3/2,,T3408,L605,
476.57441,476.5744+,1000,6.7e+07,D,115092.012,136069.229,4s2.4p4.(3P).5s,4P,3/2,4s2.4p4.(3P).5p,4D*,5/2,,T3408,L605,
477.301,477.301+,40h,,,151826.36,172771.65,4s2.4p4.(1D).4d,2P,3/2,4s2.4p4.(3P<1>).4f,2[2]*,5/2,,,L7386,
477.444,477.444+,2,,,131375.45,152314.48,4s2.4p4.(3P).4d,2P,3/2,4s2.4p4.(1D).5p,2D*,5/2,,,L8549,
478.656,478.651+,1h,,,151826.36,172712.56,4s2.4p4.(1D).4d,2P,3/2,4s2.4p4.(3P<1>).4f,2[2]*,3/2,,,L7386,
478.876,478.8751+,5h,,,140135.395,161011.83,4s2.4p4.(3P).5p,2P*,3/2,4s2.4p4.(1S).4d,2D,5/2,,,L7386,
479.633,479.6328+,60hl,,,141720.955,162564.41,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(3P).5d,4D,1/2,,,L7386,
480.296,480.296+,4,,,131375.45,152190.13,4s2.4p4.(3P).4d,2P,3/2,4s2.4p4.(1D).5p,2D*,3/2,,,L8549,
481.177,481.1764+,300,1.7e+07,D,117603.016,138379.610,4s2.4p4.(3P).5s,4P,1/2,4s2.4p4.(3P).5p,4D*,3/2,,T3408,L8549,
482.519,482.5185+,300,1.9e+07,D,121002.149,141720.955,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P).5p,4S*,3/2,,T3408,L8549,
483.20773,483.2077+,800,7.3e+07,D,115092.012,135781.264,4s2.4p4.(3P).5s,4P,3/2,4s2.4p4.(3P).5p,4P*,1/2,,T3408,L605,
483.270,483.270+,,,,129515.08,150201.68,4s2.4p4.4d,,1/2,4s2.4p4.(1D).5p,2P*,3/2,,,L8549,
483.368,483.369+,4h,,,131632.11,152314.48,4s2.4p4.(3P).4d,2F,7/2,4s2.4p4.(1D).5p,2D*,5/2,,,L8549,
483.656,483.6562+,20hl,,,142361.840,163031.91,4s2.4p4.(3P).5p,2S*,1/2,4s2.4p4.(3P).6s,2P,1/2,,,L7386,
483.904,483.9028+,4h,,,140135.395,160794.93,4s2.4p4.(3P).5p,2P*,3/2,4s2.4p4.(1D).4d,2S,1/2,,,L7386,
484.514,484.5141+,2h,,,140161.462,160794.93,4s2.4p4.(3P).5p,4D*,1/2,4s2.4p4.(1D).4d,2S,1/2,,,L7386,
484.66115,484.6612+,700,,,118474.359,139101.568,4s2.4p4.(3P).5s,2P,3/2,4s2.4p4.(3P).5p,2P*,1/2,,,L605,
485.719,485.7187+,150,,,121779.54,142361.840,4s2.4p4.(3P).4d,4D,1/2,4s2.4p4.(3P).5p,2S*,1/2,,,L8549,
487.014,487.014+,20Hs,,,152185.02,172712.56,4s2.4p4.(1D).4d,2P,1/2,4s2.4p4.(3P<1>).4f,2[2]*,3/2,,,L7386,
487.563,487.562+,1-,,,129697.19,150201.68,4s2.4p4.(3P).4d,4F,5/2,4s2.4p4.(1D).5p,2P*,3/2,,,L7386,
490.834,490.836+,2hl,,,150201.68,170569.38,4s2.4p4.(1D).5p,2P*,3/2,4s2.4p4.(3P).5d,2D,3/2,,,L7386,
491.462,491.468+,2h,,,145811.90,166153.43,4s2.4p4.(1S).5s,2S,1/2,4s2.4p4.(3P).6p,4D*,3/2,,,L7386,
491.594,491.5930+,100hl,,,141720.955,162057.31,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(3P).5d,4D,3/2,,,L7386,
494.559,494.5588+,300,,,121779.54,141993.940,4s2.4p4.(3P).4d,4D,1/2,4s2.4p4.(3P).5p,2D*,3/2,,,L7386,
494.850,494.8484+,50hl,,,142361.840,162564.41,4s2.4p4.(3P).5p,2S*,1/2,4s2.4p4.(3P).5d,4D,1/2,,,L7386,
496.025,496.0246+,100hl,,,141720.955,161875.62,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(3P).6s,4P,1/2,,,L7386,
497.889,497.8885+,100hl,,,141720.955,161800.17,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(3P).6s,2P,3/2,,,L7386,
498.283,498.2817+,50hl,,,141993.940,162057.31,4s2.4p4.(3P).5p,2D*,3/2,4s2.4p4.(3P).5d,4D,3/2,,,L7386,
499.722,499.720+,1,,,129697.19,149702.80,4s2.4p4.(3P).4d,4F,5/2,4s2.4p4.(1D).5p,2F*,7/2,,,L7386,
499.854,499.852+,5Hl,,,149702.80,169703.13,4s2.4p4.(1D).5p,2F*,7/2,4s2.4p4.(3P).5d,2D,5/2,,,L7386,
501.330,501.329+,100,,,121779.54,141720.955,4s2.4p4.(3P).4d,4D,1/2,4s2.4p4.(3P).5p,4S*,3/2,,,L8549,
501.571,501.567+,1,,,163031.91,182963.85,4s2.4p4.(3P).6s,2P,1/2,4s2.4p4.(3P<1>).5f,2[2]*,3/2,,,L7386,
502.187,502.187+,100,,,120209.87,140117.228,4s2.4p4.(3P).4d,4D,7/2,4s2.4p4.(3P).5p,2D*,5/2,,,L8549,
502.240,502.2399+,200,,,118474.359,138379.610,4s2.4p4.(3P).5s,2P,3/2,4s2.4p4.(3P).5p,4D*,3/2,,,L8549,
502.836,502.835+,30hl,,,141993.940,161875.62,4s2.4p4.(3P).5p,2D*,3/2,4s2.4p4.(3P).6s,4P,1/2,,,L7386,
503.385,503.385+,100Hl,,,152190.13,172050.11,4s2.4p4.(1D).5p,2D*,3/2,4s2.4p4.(1D).6s,2D,3/2,,,L7386,
504.631,504.631+,80Hl,,,152239.19,172050.11,4s2.4p4.(1D).5p,2P*,1/2,4s2.4p4.(1D).6s,2D,3/2,,,L7386,
504.752,504.751+,4hl,,,141993.940,161800.17,4s2.4p4.(3P).5p,2D*,3/2,4s2.4p4.(3P).6s,2P,3/2,,,L7386,
505.453,505.453+,30Hl,,,152190.13,171968.85,4s2.4p4.(1D).5p,2D*,3/2,4s2.4p4.(1D).6s,2D,5/2,,,L7386,
506.558,506.557+,20Hl,,,152314.48,172050.11,4s2.4p4.(1D).5p,2D*,5/2,4s2.4p4.(1D).6s,2D,3/2,,,L7386,
506.722,506.723+,1H,,,141720.955,161450.10,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(3P).5d,4D,5/2,,,L7386,
507.255,507.255+,40,,,120426.93,140135.395,4s2.4p4.(3P).4d,4D,5/2,4s2.4p4.(3P).5p,2P*,3/2,,,L8549,
507.592,507.589+,4Hl,,,142361.840,162057.31,4s2.4p4.(3P).5p,2S*,1/2,4s2.4p4.(3P).5d,4D,3/2,,,L7386,
507.723,507.723+,40,,,120426.93,140117.228,4s2.4p4.(3P).4d,4D,5/2,4s2.4p4.(3P).5p,2D*,5/2,,,L8549,
507.819,507.818+,2Hl,,,141720.955,161407.57,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(1S).4d,2D,3/2,,,L7386,
508.652,508.651+,250hl,,,152314.48,171968.85,4s2.4p4.(1D).5p,2D*,5/2,4s2.4p4.(1D).6s,2D,5/2,,,L7386,
512.316,512.316+,15Hl,,,142361.840,161875.62,4s2.4p4.(3P).5p,2S*,1/2,4s2.4p4.(3P).6s,4P,1/2,,,L7386,
512.573,512.571+,400Hl,,,138379.610,157883.65,4s2.4p4.(3P).5p,4D*,3/2,4s2.4p4.(3P).6s,4P,3/2,,,L7386,
512.633,512.640+,1,,,150201.68,169703.13,4s2.4p4.(1D).5p,2P*,3/2,4s2.4p4.(3P).5d,2D,5/2,,,L10563,
513.352,513.350+,1,,,129697.19,149171.64,4s2.4p4.(3P).4d,4F,5/2,4s2.4p4.(1D).5p,2F*,5/2,,,L7386,
514.305,514.304+,60hl,,,142361.840,161800.17,4s2.4p4.(3P).5p,2S*,1/2,4s2.4p4.(3P).6s,2P,3/2,,,L7386,
514.961,514.959+,3hl,,,141993.940,161407.57,4s2.4p4.(3P).5p,2D*,3/2,4s2.4p4.(1S).4d,2D,3/2,,,L7386,
516.680,516.680+,80,,,132965.52,152314.48,4s2.4p4.4d,,3/2,4s2.4p4.(1D).5p,2D*,5/2,,,L8549,
516.812,516.812+,,,,132970.49,152314.48,4s2.4p4.(3P).4d,4P,5/2,4s2.4p4.(1D).5p,2D*,5/2,,,L8549,
517.770,517.770+,6Hs,,,130893.45,150201.68,4s2.4p4.(3P).4d,4P,1/2,4s2.4p4.(1D).5p,2P*,3/2,,,L8549,
518.230,518.235+,1h,,,141720.955,161011.83,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(1S).4d,2D,5/2,,,L7386,
518.698,518.698+,60Hs,,,132965.52,152239.19,4s2.4p4.4d,,3/2,4s2.4p4.(1D).5p,2P*,1/2,,,L8549,
520.022,520.022+,60Hs,,,132965.52,152190.13,4s2.4p4.4d,,3/2,4s2.4p4.(1D).5p,2D*,3/2,,,L8549,
520.156,520.156+,2h,,,132970.49,152190.13,4s2.4p4.(3P).4d,4P,5/2,4s2.4p4.(1D).5p,2D*,3/2,,,L7386,
520.834,520.8333+,500,1.4e+07,D,115092.012,134286.667,4s2.4p4.(3P).5s,4P,3/2,4s2.4p4.(3P).5p,4P*,3/2,,T3408,L8549,
521.746,521.746+,30,,,121000.37,140161.462,4s2.4p4.(3P).4d,4D,3/2,4s2.4p4.(3P).5p,4D*,1/2,,,L8549,
521.794,521.7941+,12,,,121002.149,140161.462,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P).5p,4D*,1/2,,,L8549,
522.456,522.456+,7,,,121000.37,140135.395,4s2.4p4.(3P).4d,4D,3/2,4s2.4p4.(3P).5p,2P*,3/2,,,L8549,
522.505,522.5050+,3,,,121002.149,140135.395,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P).5p,2P*,3/2,,,L7386,
522.953,522.953+,60,,,121000.37,140117.228,4s2.4p4.(3P).4d,4D,3/2,4s2.4p4.(3P).5p,2D*,5/2,,,L8549,
524.129,524.129+,2hl,,,141720.955,160794.93,4s2.4p4.(3P).5p,4S*,3/2,4s2.4p4.(1D).4d,2S,1/2,,,L7386,
524.524,524.539+,1,,,165075.60,184134.64,4s2.4p4.(3P).5d,4F,5/2,4s2.4p4.(3P<2>).6f,2[1]*,3/2,,,L10563,
524.906,524.906+,4hl,,,142361.840,161407.57,4s2.4p4.(3P).5p,2S*,1/2,4s2.4p4.(1S).4d,2D,3/2,,,L7386,
525.675,525.674+,30,,,141993.940,161011.83,4s2.4p4.(3P).5p,2D*,3/2,4s2.4p4.(1S).4d,2D,5/2,,,L7386,
527.650,527.652+,100h,,,149514.06,168460.67,4s2.4p4.(1D).4d,2D,5/2,4s2.4p4.(3P<2>).4f,2[2]*,5/2,,,L7386,
530.868,530.8677+,200,2.4e+06,D,115092.012,133923.859,4s2.4p4.(3P).5s,4P,3/2,4s2.4p4.(3P).5p,4P*,5/2,,T3408,L8549,
531.026,531.026+,4h,,,131375.45,150201.68,4s2.4p4.(3P).4d,2P,3/2,4s2.4p4.(1D).5p,2P*,3/2,,,L8549,
531.741,531.739+,30hl,,,141993.940,160794.93,4s2.4p4.(3P).5p,2D*,3/2,4s2.4p4.(1D).4d,2S,1/2,,,L7386,
532.277,532.274+,60hl,,,139101.568,157883.65,4s2.4p4.(3P).5p,2P*,1/2,4s2.4p4.(3P).6s,4P,3/2,,,L7386,
532.915,532.918+,4h,,,150178.13,168937.54,4s2.4p4.(1D).4d,2D,3/2,4s2.4p4.(1S).5p,2P*,3/2,,,L7386,
533.341,533.342+,500h,,,149514.06,168258.54,4s2.4p4.(1D).4d,2D,5/2,4s2.4p4.(3P<2>).4f,2[3]*,7/2,,,L7386,
534.676,534.676+,60hl,,,138379.610,157077.34,4s2.4p4.(3P).5p,4D*,3/2,4s2.4p4.(3P).6s,4P,5/2,,,L7386,
535.545,535.545+,10h,,,149514.06,168181.44,4s2.4p4.(1D).4d,2D,5/2,4s2.4p4.(3P<2>).4f,2[3]*,5/2,,,L7386,
537.419,537.420+,3h,,,149514.06,168116.32,4s2.4p4.(1D).4d,2D,5/2,4s2.4p4.(3P<2>).4f,2[4]*,7/2,,,L7386,
541.843,541.845+,30Hs,,,150178.13,168628.47,4s2.4p4.(1D).4d,2D,3/2,4s2.4p4.(3P<2>).4f,2[1]*,1/2,,,L7386,
542.356,542.352+,1H,,,142361.840,160794.93,4s2.4p4.(3P).5p,2S*,1/2,4s2.4p4.(1D).4d,2S,1/2,,,L7386,
543.862,543.862+,40,,,121779.54,140161.462,4s2.4p4.(3P).4d,4D,1/2,4s2.4p4.(3P).5p,4D*,1/2,,,L8549,
543.938,543.941+,1h,,,152190.13,170569.38,4s2.4p4.(1D).5p,2D*,3/2,4s2.4p4.(3P).5d,2D,3/2,,,L7386,
544.634,544.634+,80,,,121779.54,140135.395,4s2.4p4.(3P).4d,4D,1/2,4s2.4p4.(3P).5p,2P*,3/2,,,L8549,
546.817,546.818+,200hs,,,150178.13,168460.67,4s2.4p4.(1D).4d,2D,3/2,4s2.4p4.(3P<2>).4f,2[2]*,5/2,,,L7386,
547.646,547.646+,4Hl,,,152314.48,170569.38,4s2.4p4.(1D).5p,2D*,5/2,4s2.4p4.(3P).5d,2D,3/2,,,L7386,
549.143,549.143+,4h,,,150178.13,168383.26,4s2.4p4.(1D).4d,2D,3/2,4s2.4p4.(3P<2>).4f,2[2]*,3/2,,,L7386,
549.956,549.9552+,50,,,117603.016,135781.264,4s2.4p4.(3P).5s,4P,1/2,4s2.4p4.(3P).5p,4P*,1/2,,,L8549,
552.297,552.296+,60,,,121000.37,139101.568,4s2.4p4.(3P).4d,4D,3/2,4s2.4p4.(3P).5p,2P*,1/2,,,L8549,
552.351,552.3505+,30,,,121002.149,139101.568,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P).5p,2P*,1/2,,,L8549,
553.229,553.229+,5,,,131632.11,149702.80,4s2.4p4.(3P).4d,2F,7/2,4s2.4p4.(1D).5p,2F*,7/2,,,L8549,
555.299,555.299+,100Hs,,,150178.13,168181.44,4s2.4p4.(1D).4d,2D,3/2,4s2.4p4.(3P<2>).4f,2[3]*,5/2,,,L7386,
556.866,556.865+,100,,,120426.93,138379.610,4s2.4p4.(3P).4d,4D,5/2,4s2.4p4.(3P).5p,4D*,3/2,,,L8549,
558.44,558.426+,1-h*,,,133923.859,151826.36,4s2.4p4.(3P).5p,4P*,5/2,4s2.4p4.(1D).4d,2P,3/2,,,L7386,
558.54,558.556+,1-h*,,,134286.667,152185.02,4s2.4p4.(3P).5p,4P*,3/2,4s2.4p4.(1D).4d,2P,1/2,,,L7386,
561.763,561.762+,2,,,131375.45,149171.64,4s2.4p4.(3P).4d,2P,3/2,4s2.4p4.(1D).5p,2F*,5/2,,,L7386,
