obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
284.33726,0.00005,284.337074,0.000004,9,,,167307.9822,202467.1718,3s2.3p4.(1S).4s,2S,1/2,3s2.3p4.(3P).6p,4D*,3/2,,,L11520,
284.4129,0.0006,284.412859,0.000003,4,2.e+05,C,138243.6444,173393.4658,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2D*,5/2,,T926,L14821,
284.7146,0.0006,284.714423,0.000005,2,,,167307.9822,202420.5754,3s2.3p4.(1S).4s,2S,1/2,3s2.3p4.(3P).6p,4P*,1/2,,,L14821,
284.7816,0.0006,284.781921,0.000003,3,3.e+05,C,138243.6444,173347.9158,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2D*,3/2,,T926,L14821,
285.316,0.002,285.315338,0.000016,0,,,157673.4134,192712.058,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,2D,3/2,,,L14821,
285.7278,0.0006,285.7288,0.0006,0.5*,,,174409.8916,209397.84,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(3P).7p,1*,3/2,,,L14821,
285.7278,0.0006,285.72942,0.00025,0.5*,,,174409.8916,209397.76,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(3P).7p,1*,5/2,,,L14821,
286.0742,0.0006,286.074445,0.000004,3,,,167307.9822,202253.6552,3s2.3p4.(1S).4s,2S,1/2,3s2.3p4.(3P).6p,4P*,3/2,,,L14821,
286.58432,0.00003,286.584304,0.000005,20,,,157673.4134,192556.9179,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,2D,5/2,,,L11520,
286.9283,0.0006,286.928905,0.000017,1,,,174409.8916,209251.5031,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(1D<2>).4f,2[3]*,5/2,,,L14821,
287.1022,0.0006,287.102918,0.000017,1,,,170401.0170,205221.512,3s2.3p4.(1D).4p,2F*,5/2,3s2.3p4.(3P).5d,2P,3/2,,,L14821,
287.1399,0.0006,287.140082,0.000004,1,,,161048.7411,195864.7296,3s2.3p4.(3P).4p,4S*,3/2,3s2.3p4.(1D).5s,2D,5/2,,,L14821,
287.45820,0.00008,287.458160,0.000004,7,,,161089.3846,195866.8503,3s2.3p4.(3P).4p,2S*,1/2,3s2.3p4.(1D).5s,2D,3/2,,,L11520,
287.6889,0.0006,287.688623,0.000005,0.5,,,173393.4658,208143.0731,3s2.3p4.(1D).4p,2D*,5/2,3s2.3p4.(3P).6d,4F,7/2,,,L14821,
289.16123,0.00001,289.161218,0.000004,234,1.82e+07,B,138243.6444,172816.2926,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2P*,1/2,,T926,L11520,
289.3985,0.0006,289.398876,0.000017,1,,,158167.7999,192712.058,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,2D,3/2,,,L14821,
289.6564,0.0006,289.656017,0.000018,2,,,174409.8916,208923.4846,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(1D<2>).4f,2[2]*,3/2,,,L14821,
289.67465,0.00002,289.674651,0.000018,33,,,174409.8916,208921.2645,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(1D<2>).4f,2[2]*,5/2,,,L11520,
289.7332,0.0006,289.73285,0.00007,6,,,174409.8916,208914.333,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(3P<2>).7p,2[2]*,5/2,,,L14821,
290.704,0.002,290.704505,0.000006,0,,,158167.7999,192556.9179,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,2D,5/2,,,L14821,
291.4932,0.0006,291.492821,0.000009,1,,,172335.5985,206631.7185,3s2.3p4.(1D).3d,2D,5/2,3s2.3p4.(3P<0>).5f,2[3]*,5/2,,,L14821,
291.5593,0.0006,291.559174,0.000009,4,,,172335.5985,206623.9138,3s2.3p4.(1D).3d,2D,5/2,3s2.3p4.(3P<0>).5f,2[3]*,7/2,,,L14821,
291.5967,0.0006,291.596305,0.000017,1,,,158428.1087,192712.058,3s2.3p4.(3P).4p,4D*,1/2,3s2.3p4.(3P).4d,2D,3/2,,,L14821,
292.46339,0.00012,292.463391,0.000014,13bl,,,174409.8916,208592.2016,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(1D<2>).4f,2[1]*,3/2,,,L11520,
292.46677,0.00005,292.466794,0.000016,12,,,174409.8916,208591.8039,3s2.3p4.(1D).3d,2P,3/2,3s2.3p4.(1D<2>).4f,2[1]*,1/2,,,L11520,
293.14809,0.00005,293.148090,0.000020,11,,,174821.0098,208923.4846,3s2.3p4.(1D).3d,2P,1/2,3s2.3p4.(1D<2>).4f,2[2]*,3/2,,,L11520,
293.25905,0.00010,293.259008,0.000003,6,8.e+05,C,139258.3389,173347.9158,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2D*,3/2,,T926,L11520,
293.5538,0.0006,293.55453,0.00010,3,,,170530.4040,204585.664,3s2.3p4.(1D).4p,2F*,7/2,3s2.3p4.(3P).5d,2D,5/2,,,L14821,
293.890,0.002,293.890926,0.000017,1p,,,170401.0170,204417.2985,3s2.3p4.(1D).4p,2F*,5/2,3s2.3p4.(3P).5d,2D,3/2,,,L14821,
294.1893,0.0006,294.189511,0.000017,1,,,158730.2995,192712.058,3s2.3p4.(3P).4p,2D*,5/2,3s2.3p4.(3P).4d,2D,3/2,,,L14821,
294.28932,0.00001,294.289308,0.000003,1047,5.3e+07,B,138243.6444,172213.8798,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2P*,3/2,,T926,L11520,
294.7275,0.0006,294.728037,0.000009,2,,,172335.5985,206255.2684,3s2.3p4.(1D).3d,2D,5/2,3s2.3p4.(3P<1>).5f,2[3]*,5/2,,,L14821,
