obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,37.45722,,,,0.00,266971.23,2s2.2p3,4S*,3/2,2s2.2p2.(3P).6s,4P,5/2,,,L11267,
,37.48098,,,,0.00,266802.0,2s2.2p3,4S*,3/2,2s2.2p2.(3P).6s,4P,3/2,,,L11267,
,37.49559,,,,0.00,266698.0,2s2.2p3,4S*,3/2,2s2.2p2.(3P).6s,4P,1/2,,,L11267,
37.6693,37.6693,1,,,0.00,265468.2,2s2.2p3,4S*,3/2,2s2.2p2.(3P).5d,4P,3/2,,,L3492,
37.6745,37.6745,1,,,0.00,265431.5,2s2.2p3,4S*,3/2,2s2.2p2.(3P).5d,4P,5/2,,,L3492,
37.7045,37.7045,1*,,,0.00,265220.3,2s2.2p3,4S*,3/2,2s2.2p2.(3P).5d,4D,3/2,,,L3492,
37.7045,37.7045,1*,,,0.00,265220.3,2s2.2p3,4S*,3/2,2s2.2p2.(3P).5d,4D,5/2,,,L3492,
,38.42658,,,,26810.55,287047.1,2s2.2p3,2D*,5/2,2s2.2p2.(1D).6s,2D,5/2,,,L11267,
,38.42680,,,,26810.55,287045.6,2s2.2p3,2D*,5/2,2s2.2p2.(1D).6s,2D,3/2,,,L11267,
,38.42953,,,,26830.57,287047.1,2s2.2p3,2D*,3/2,2s2.2p2.(1D).6s,2D,5/2,,,L11267,
,38.42976,,,,26830.57,287045.6,2s2.2p3,2D*,3/2,2s2.2p2.(1D).6s,2D,3/2,,,L11267,
,38.7649,,5.59e+07,C+,0.00,257965.11,2s2.2p3,4S*,3/2,2s2.2p2.(3P).5s,4P,5/2,,T5723LS,,
,38.7898,,5.58e+07,C+,0.00,257799.93,2s2.2p3,4S*,3/2,2s2.2p2.(3P).5s,4P,3/2,,T5723LS,,
,38.8055,,5.58e+07,C+,0.00,257695.74,2s2.2p3,4S*,3/2,2s2.2p2.(3P).5s,4P,1/2,,T5723LS,,
39.1912,39.19062,5,2.38e+09,C+,0.00,255163.08,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4d,4P,1/2,,T5723LS,L3492,
