obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
105.888,,,15,,,,,,,,,,,,,L3331,
108.547,,,20,,,,,,,,,,,,,L3331,
109.920,,,10,,,,,,,,,,,,,L3331,
116.319,,,8,,,,,,,,,,,,,L3331,
116.706,,,8,,,,,,,,,,,,,L3331,
122.543,,,10,,,,,,,,,,,,,L3331,
123.278,,,15,,,,,,,,,,,,,L3331,
124.1045,124.10478,0.00010,10,,,0.000,80577.071,6s2.6p2,3P,0,6s2.6p.6d,"(1/2,3/2)*",1,,,L9843,
126.535,,,10,,,,,,,,,,,,,L3331,
128.3715,128.37145,0.00010,15,,,17031.698,94930.640,6s2.6p2,3P,2,6s.6p3,3D*,2,,,L9843,
130.618,,,10,,,,,,,,,,,,,L3331,
132.546,,,20,,,,,,,,,,,,,L3331,
132.947,,,20,,,,,,,,,,,,,L3331,
135.007,,,20,,,,,,,,,,,,,L3331,
137.261,,,25,,,,,,,,,,,,,L3331,
137.602,,,15,,,,,,,,,,,,,L3331,
139.392,,,20,,,,,,,,,,,,,L3331,
143.6810,143.68131,0.00010,45,3.47e+06,,0.000,69598.475,6s2.6p2,3P,0,6s2.6p.7s,"(1/2,1/2)*",1,,T7227,L9843,
144.794,,,25,,,,,,,,,,,,,L3331,
145.5091,,,50,,,,,,,,,,,,,L9843,
146.214,,,25,,,,,,,,,,,,,L3331,
148.6954,,,35,,,,,,,,,,,,,L9843,
150.250,,,20,,,,,,,,,,,,,L3331,
152.0549,,,40,,,,,,,,,,,,,L9843,
153.3139,,,40,,,,,,,,,,,,,L9843,
153.6745,,,30,,,,,,,,,,,,,L9843,
153.8037,,,35,,,,,,,,,,,,,L9843,
156.367,,,20,,,,,,,,,,,,,L3331,
157.369,,,40,,,,,,,,,,,,,L9843,
159.176,159.1766,0.0010,60,,,13325.401,76148.712,6s2.6p2,3P,1,6s.6p3,5S*,2,,,L9843,
160.158,,,25,,,,,,,,,,,,,L3331,
160.969,,,40,,,,,,,,,,,,,L9843,
161.1358,,,40,,,,,,,,,,,,,L9843,
165.281,,,20,,,,,,,,,,,,,L3331,
