obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
246.822,,100,,,,,,,,,,,,,L3475,
247.158,,55,,,,,,,,,,,,,L3475,
248.567,,35,,,,,,,,,,,,,L3475,
248.746,,70,,,,,,,,,,,,,L3475,
248.872,,110,,,,,,,,,,,,,L3475,
249.329,,55,,,,,,,,,,,,,L3475,
249.635,,35,,,,,,,,,,,,,L3475,
249.904,,45,,,,,,,,,,,,,L3475,
254.368,,28,,,,,,,,,,,,,L3475,
258.613,,28,,,,,,,,,,,,,L3475,
266.150,,28,,,,,,,,,,,,,L3475,
272.050,,70,,,,,,,,,,,,,L3475,
275.022,,430,,,,,,,,,,,,,L3475,
276.408,,460,,,,,,,,,,,,,L3475,
276.851,,40,,,,,,,,,,,,,L3475,
276.981,,320,,,,,,,,,,,,,L3475,
277.017,,230,,,,,,,,,,,,,L3475,
277.098,,21,,,,,,,,,,,,,L3475,
277.914,,45,,,,,,,,,,,,,L3475,
278.140,,440,,,,,,,,,,,,,L3475,
279.196,,390,,,,,,,,,,,,,L3475,
279.466,,100,,,,,,,,,,,,,L3475,
279.693,,930,,,,,,,,,,,,,L3475,
280.838,,60,,,,,,,,,,,,,L3475,
280.972,,750,,,,,,,,,,,,,L3475,
281.093,,160,,,,,,,,,,,,,L3475,
281.401,,45,,,,,,,,,,,,,L3475,
283.375,,300,,,,,,,,,,,,,L3475,
283.669,,35,,,,,,,,,,,,,L3475,
283.700,,70,,,,,,,,,,,,,L3475,
284.023,,560,,,,,,,,,,,,,L3475,
284.133,,140,,,,,,,,,,,,,L3475,
285.391,,40,,,,,,,,,,,,,L3475,
285.652,,60,,,,,,,,,,,,,L3475,
285.978,,19,,,,,,,,,,,,,L3475,
286.248,,120,,,,,,,,,,,,,L3475,
286.506,,60,,,,,,,,,,,,,L3475,
286.633,,40,,,,,,,,,,,,,L3475,
287.175,,40,,,,,,,,,,,,,L3475,
288.133,,460,,,,,,,,,,,,,L3475,
288.213,,40,,,,,,,,,,,,,L3475,
288.560,,130,,,,,,,,,,,,,L3475,
290.744,,35,,,,,,,,,,,,,L3475,
291.053,,170,,,,,,,,,,,,,L3475,
291.308,,60,,,,,,,,,,,,,L3475,
291.852,,45,,,,,,,,,,,,,L3475,
292.332,,95,,,,,,,,,,,,,L3475,
292.425,,35,,,,,,,,,,,,,L3475,
292.834,,35,,,,,,,,,,,,,L3475,
294.780,,35,,,,,,,,,,,,,L3475,
294.801,,70,,,,,,,,,,,,,L3475,
295.560,,35,,,,,,,,,,,,,L3475,
296.093,,70,,,,,,,,,,,,,L3475,
296.360,,130,,,,,,,,,,,,,L3475,
296.543,,80,,,,,,,,,,,,,L3475,
297.274,,29,,,,,,,,,,,,,L3475,
298.015,,560,,,,,,,,,,,,,L3475,
298.374,,35,,,,,,,,,,,,,L3475,
299.152,,40,,,,,,,,,,,,,L3475,
299.304,,95,,,,,,,,,,,,,L3475,
299.904,,1200,,,,,,,,,,,,,L3475,
300.286,,370,,,,,,,,,,,,,L3475,
300.509,,100,,,,,,,,,,,,,L3475,
301.013,,2100,,,,,,,,,,,,,L3475,
301.219,,130,,,,,,,,,,,,,L3475,
302.760,,1900,,,,,,,,,,,,,L3475,
302.898,,120,,,,,,,,,,,,,L3475,
303.284,,2100,,,,,,,,,,,,,L3475,
303.405,,1600,,,,,,,,,,,,,L3475,
305.357,,280,,,,,,,,,,,,,L3475,
306.864,,1000,,,,,,,,,,,,,L3475,
307.256,,560,,,,,,,,,,,,,L3475,
307.692,,640,,,,,,,,,,,,,L3475,
307.708,,150,,,,,,,,,,,,,L3475,
308.199,,2100,,,,,,,,,,,,,L3475,
308.401,,140,,,,,,,,,,,,,L3475,
308.995,,280,,,,,,,,,,,,,L3475,
309.206,,140,,,,,,,,,,,,,L3475,
