obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
1136.57982,0.00008,1136.57982,0.00008,170,,,308101.2468,316897.1647,2s2.2p4.(1D).4s,2D,5/2,2s2.2p4.(1D).4p,2F*,7/2,,,L11301,
1138.5200,0.0008,1138.5196,0.0003,10,,,308101.2468,316882.1781,2s2.2p4.(1D).4s,2D,5/2,2s2.2p4.(1D).4p,2F*,5/2,,,L11301,
1138.56642,0.00010,1138.56643,0.00011,126,,,308101.6076,316882.1781,2s2.2p4.(1D).4s,2D,3/2,2s2.2p4.(1D).4p,2F*,5/2,,,L11301,
1147.68672,0.00008,1147.68671,0.00008,190,,,283322.3319,292033.1263,2s2.2p4.(3P).4s,2P,3/2,2s2.2p4.(3P).4p,2D*,5/2,,,L11301,
1155.4469,0.0005,1155.4470,0.0003,16,,,283894.3965,292546.687,2s2.2p4.(3P).4s,2P,1/2,2s2.2p4.(3P).4p,2S*,1/2,,,L11301,
1164.51892,0.00012,1164.51894,0.00012,96,,,281998.2635,290583.1503,2s2.2p4.(3P).4s,4P,5/2,2s2.2p4.(3P).4p,4P*,3/2,,,L11301,
1168.26452,0.00008,1168.26454,0.00008,204,,,283894.3965,292451.7592,2s2.2p4.(3P).4s,2P,1/2,2s2.2p4.(3P).4p,2D*,3/2,,,L11301,
1186.12692,0.00011,1186.12693,0.00011,104,,,282375.3049,290803.7989,2s2.2p4.(3P).4s,4P,3/2,2s2.2p4.(3P).4p,4P*,1/2,,,L11301,
1193.89372,0.00008,1193.89370,0.00009,251,,,281998.2635,290371.9268,2s2.2p4.(3P).4s,4P,5/2,2s2.2p4.(3P).4p,4P*,5/2,,,L11301,
1198.8053,0.0008,1198.80569,0.00022,12,,,294086.4608,302425.8139,2s2.2p4.(3P).4p,2P*,3/2,2s2.2p4.(3P).4d,2D,3/2,,,L11301,
