obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
241.941,,60,,,,,,,L3475,
244.985,,150,,,,,,,L3475,
245.744,,21,,,,,,,L3475,
248.729,,75,,,,,,,L3475,
249.648,,45,,,,,,,L3475,
253.246,,180,,,,,,,L3475,
254.210,,220,,,,,,,L3475,
255.074,,220,,,,,,,L3475,
256.764,,570,,,,,,,L3475,
256.887,,1600,,,,,,,L3475,
257.139,,2100,,,,,,,L3475,
258.340,,75,,,,,,,L3475,
258.907,,130,,,,,,,L3475,
263.091,,150,,,,,,,L3475,
263.909,,210,,,,,,,L3475,
264.340,,70,,,,,,,L3475,
265.038,,110,,,,,,,L3475,
266.780,,180,,,,,,,L3475,
266.949,,55,,,,,,,L3475,
267.096,,120,,,,,,,L3475,
267.863,,1800,,,,,,,L3475,
268.176,,35,,,,,,,L3475,
269.260,,90,,,,,,,L3475,
269.353,,160,,,,,,,L3475,
269.406,,180,,,,,,,L3475,
269.543,,70,,,,,,,L3475,
269.960,,95,,,,,,,L3475,
270.013,,750,,,,,,,L3475,
271.151,,280,,,,,,,L3475,
271.242,,140,,,,,,,L3475,
271.426,,140,,,,,,,L3475,
272.261,,1300,,,,,,,L3475,
272.649,,800,,,,,,,L3475,
273.272,,490,,,,,,,L3475,
273.486,,1400,,,,,,,L3475,
274.051,,110,,,,,,,L3475,
274.155,,140,,,,,,,L3475,
274.256,,1100,,,,,,,L3475,
274.586,,660,,,,,,,L3475,
275.221,,660,,,,,,,L3475,
275.881,,530,,,,,,,L3475,
276.873,,200bl,,,,,,,L3475,
276.885,,,,,,,,,L3475,
277.416,,,,,,,,,L3475,
279.690,,160,,,,,,,L3475,
279.915,,110,,,,,,,L3475,
281.091,,180,,,,,,,L3475,
281.874,,390,,,,,,,L3475,
282.556,,530,,,,,,,L3475,
283.391,,110,,,,,,,L3475,
283.934,,120,,,,,,,L3475,
284.352,,130,,,,,,,L3475,
284.458,,660,,,,,,,L3475,
284.819,,210,,,,,,,L3475,
285.197,,350,,,,,,,L3475,
286.981,,340,,,,,,,L3475,
290.523,,160,,,,,,,L3475,
291.599,,300,,,,,,,L3475,
291.664,,110,,,,,,,L3475,
291.824,,270,,,,,,,L3475,
292.699,,320,,,,,,,L3475,
293.461,,160,,,,,,,L3475,
293.631,,160,,,,,,,L3475,
294.894,,320,,,,,,,L3475,
295.148,,210,,,,,,,L3475,
295.578,,320,,,,,,,L3475,
296.268,,320,,,,,,,L3475,
296.896,,320,,,,,,,L3475,
296.963,,230,,,,,,,L3475,
297.661,,130,,,,,,,L3475,
297.805,,320,,,,,,,L3475,
297.918,,230,,,,,,,L3475,
298.102,,160,,,,,,,L3475,
300.374,,320,,,,,,,L3475,
301.332,,100,,,,,,,L3475,
301.984,,160,,,,,,,L3475,
302.047,,350,,,,,,,L3475,
302.804,,500,,,,,,,L3475,
303.092,,180,,,,,,,L3475,
303.639,,350bl,,,,,,,L3475,
305.484,,690,,,,,,,L3475,
306.011,,100,,,,,,,L3475,
306.463,,100,,,,,,,L3475,
309.507,,250,,,,,,,L3475,
309.923,,280,,,,,,,L3475,
310.658,,690,,,,,,,L3475,
311.088,,210,,,,,,,L3475,
312.592,,320,,,,,,,L3475,
312.918,,500,,,,,,,L3475,
312.976,,500,,,,,,,L3475,
313.348,,350,,,,,,,L3475,
313.868,,690,,,,,,,L3475,
315.567,,290,,,,,,,L3475,
315.700,,150,,,,,,,L3475,
316.431,,540,,,,,,,L3475,
316.545,,150,,,,,,,L3475,
316.597,,880,,,,,,,L3475,
316.626,,150,,,,,,,L3475,
317.809,,190,,,,,,,L3475,
318.158,,190,,,,,,,L3475,
318.192,,150,,,,,,,L3475,
318.286,,880,,,,,,,L3475,
319.190,,210,,,,,,,L3475,
321.419,,760,,,,,,,L3475,
322.247,,110,,,,,,,L3475,
322.881,,200,,,,,,,L3475,
323.169,,630,,,,,,,L3475,
323.658,,110,,,,,,,L3475,
324.105,,760,,,,,,,L3475,
327.113,,150,,,,,,,L3475,
327.222,,540,,,,,,,L3475,
327.305,,1000,,,,,,,L3475,
327.926,,1300,,,,,,,L3475,
328.471,,880,,,,,,,L3475,
328.588,,140,,,,,,,L3475,
328.880,,150,,,,,,,L3475,
330.515,,540,,,,,,,L3475,
330.628,,880,,,,,,,L3475,
331.370,,150,,,,,,,L3475,
331.450,,210,,,,,,,L3475,
331.902,,150,,,,,,,L3475,
332.299,,380,,,,,,,L3475,
332.680,,380,,,,,,,L3475,
333.425,,380,,,,,,,L3475,
333.462,,210,,,,,,,L3475,
333.841,,190,,,,,,,L3475,
334.056,,760,,,,,,,L3475,
334.479,,380,,,,,,,L3475,
335.439,,180,,,,,,,L3475,
335.609,,760,,,,,,,L3475,
335.726,,540,,,,,,,L3475,
335.996,,180,,,,,,,L3475,
336.382,,150,,,,,,,L3475,
