obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
235.851,,110,,,,,,,,,,,,,L3475,
238.658,,100,,,,,,,,,,,,,L3475,
238.717,,120,,,,,,,,,,,,,L3475,
244.639,,140,,,,,,,,,,,,,L3475,
253.702,,100,,,,,,,,,,,,,L3475,
254.728,,110,,,,,,,,,,,,,L3475,
258.673,,290,,,,,,,,,,,,,L3475,
258.704,,110,,,,,,,,,,,,,L3475,
259.257,,130,,,,,,,,,,,,,L3475,
259.503,,120,,,,,,,,,,,,,L3475,
262.418,,140,,,,,,,,,,,,,L3475,
267.026,,490,,,,,,,,,,,,,L3475,
267.225,,330,,,,,,,,,,,,,L3475,
267.535,,100,,,,,,,,,,,,,L3475,
273.931,,270,,,,,,,,,,,,,L3475,
275.019,,310,,,,,,,,,,,,,L3475,
275.501,,230,,,,,,,,,,,,,L3475,
275.563,,610,,,,,,,,,,,,,L3475,
277.002,,510,,,,,,,,,,,,,L3475,
277.897,,230,,,,,,,,,,,,,L3475,
280.253,,230,,,,,,,,,,,,,L3475,
280.435,,310,,,,,,,,,,,,,L3475,
282.019,,410,,,,,,,,,,,,,L3475,
283.391,,270bl,,,,,,,,,,,,,L3475,
283.871,,390,,,,,,,,,,,,,L3475,
284.837,,270,,,,,,,,,,,,,L3475,
285.541,,250,,,,,,,,,,,,,L3475,
285.984,,310,,,,,,,,,,,,,L3475,
289.696,,310,,,,,,,,,,,,,L3475,
289.752,,390,,,,,,,,,,,,,L3475,
290.447,,1000,,,,,,,,,,,,,L3475,
290.958,,210,,,,,,,,,,,,,L3475,
291.036,,1500,,,,,,,,,,,,,L3475,
291.562,,270,,,,,,,,,,,,,L3475,
292.927,,350,,,,,,,,,,,,,L3475,
294.528,,270,,,,,,,,,,,,,L3475,
294.662,,230,,,,,,,,,,,,,L3475,
296.452,,1500,,,,,,,,,,,,,L3475,
296.876,,410,,,,,,,,,,,,,L3475,
297.447,,210,,,,,,,,,,,,,L3475,
297.568,,230,,,,,,,,,,,,,L3475,
298.380,,270,,,,,,,,,,,,,L3475,
300.241,,1200,,,,,,,,,,,,,L3475,
300.265,,310,,,,,,,,,,,,,L3475,
