obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,43.7265,,4.43e+08,C+,0.0,228694.30,2s2.2p2,3P,0,2s.2p2.(4P).3p,3D*,1,,T5520LS,,
,43.7286,,5.98e+08,C+,48.7,228731.81,2s2.2p2,3P,1,2s.2p2.(4P).3p,3D*,2,,T5520LS,,
,43.7329,,7.97e+08,C+,130.8,228791.83,2s2.2p2,3P,2,2s.2p2.(4P).3p,3D*,3,,T5520LS,,
,43.7358,,3.32e+08,C+,48.7,228694.30,2s2.2p2,3P,1,2s.2p2.(4P).3p,3D*,1,,T5520LS,,
,43.7443,,1.99e+08,C+,130.8,228731.81,2s2.2p2,3P,2,2s.2p2.(4P).3p,3D*,2,,T5520LS,,
,43.7515,,2.21e+07,D,130.8,228694.30,2s2.2p2,3P,2,2s.2p2.(4P).3p,3D*,1,,T5520LS,,
,47.4493,,4.30e+08,C+,0.0,210751.43,2s2.2p2,3P,0,2s2.2p.4d,3P*,1,,T5520LS,,
,47.4546,,1.29e+09,C+,48.7,210776.45,2s2.2p2,3P,1,2s2.2p.4d,3P*,0,,T5520LS,,
,47.4602,,3.22e+08,C+,48.7,210751.43,2s2.2p2,3P,1,2s2.2p.4d,3P*,1,,T5520LS,,
,47.4706,,3.22e+08,C+,48.7,210705.26,2s2.2p2,3P,1,2s2.2p.4d,3P*,2,,T5520LS,,
,47.4787,,5.37e+08,C+,130.8,210751.43,2s2.2p2,3P,2,2s2.2p.4d,3P*,1,,T5520LS,,
,47.4891,,9.66e+08,C+,130.8,210705.26,2s2.2p2,3P,2,2s2.2p.4d,3P*,2,,T5520LS,,
,47.5647,,1.17e+09,C+,0.0,210239.83,2s2.2p2,3P,0,2s2.2p.4d,3D*,1,,T5520LS,,
,47.5698,,1.58e+09,C+,48.7,210266.04,2s2.2p2,3P,1,2s2.2p.4d,3D*,2,,T5520LS,,
,47.5757,,8.75e+08,C+,48.7,210239.83,2s2.2p2,3P,1,2s2.2p.4d,3D*,1,,T5520LS,,
