obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
211.667,211.6675+,2500,3.41e+08,,0.00,47228.96,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(1D),1[1/2]*,1/2,,T7227,L3475,
212.674,212.6741+,3000,4.91e+07,,0.00,47005.46,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(1D),1[3/2]*,3/2,,T7227,L3475,
216.160,,370,,,,,,,,,,,,,L3475,
218.571,218.5716+,850,3.16e+07,,0.00,45737.29,4f14.6s,2S,1/2,4f13.(2F*<7/2>).5d2.(3F),*,3/2,,T7227,L3475,
222.446,222.4467+,640,4.79e+07,,0.00,44940.61,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(3D),*,3/2,,T7227,L3475,
232.081,,140,,,,,,,,,,,,,L3475,
236.289,,50,,,,,,,,,,,,,L3475,
239.074,,170,,,,,,,,,,,,,L3475,
239.802,,18,,,,,,,,,,,,,L3475,
242.135,,28,,,,,,,,,,,,,L3475,
244.726,,25,,,,,,,,,,,,,L3475,
246.025,,28,,,,,,,,,,,,,L3475,
248.489,,14,,,,,,,,,,,,,L3475,
250.202,,70,,,,,,,,,,,,,L3475,
250.548,,28,,,,,,,,,,,,,L3475,
250.807,,11,,,,,,,,,,,,,L3475,
251.206,,140,,,,,,,,,,,,,L3475,
251.635,,18,,,,,,,,,,,,,L3475,
252.244,,50,,,,,,,,,,,,,L3475,
253.765,,65,,,,,,,,,,,,,L3475,
253.867,,270,,,,,,,,,,,,,L3475,
255.006,,14,,,,,,,,,,,,,L3475,
255.215,,70,,,,,,,,,,,,,L3475,
255.270,,55,,,,,,,,,,,,,L3475,
256.557,,21,,,,,,,,,,,,,L3475,
257.136,,28,,,,,,,,,,,,,L3475,
257.315,,13,,,,,,,,,,,,,L3475,
259.616,,18,,,,,,,,,,,,,L3475,
