obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
263.09832,0.00003,263.098362,0.000013,16,,,31350.8736,69348.1427,3d5,a 2D,5/2,3d4.(a 3P).4p,2D*,3/2,,,L18847,
263.10423,0.00007,263.104140,0.000014,9,,,67369.0687,105365.5034,3d4.(3H).4p,y 4G*,11/2,3d4.(3H).4d,g 4G,9/2,,,L18847,
263.11907,0.00008,263.119062,0.000014,7,,,69506.0652,107500.3451,3d4.(3G).4p,4F*,7/2,3d4.(3G).4d,4G,7/2,,,L18847,
263.18582,0.00003,263.185796,0.000014,19,,,67353.2671,105337.9137,3d4.(3H).4p,y 4G*,9/2,3d4.(a 3F).4d,g 4H,11/2,,,L18847,
263.2109,0.0005,263.210759,0.000012,3,,,32603.3491,70584.3934,3d5,a 2F,5/2,3d4.(3G).4p,y 2F*,5/2,,,L18847,
263.22378,0.00014,263.22379,0.00003,4,,,67070.4394,105049.604,3d4.(a 3F).4p,y 4F*,3/2,3d4.(a 3P).4d,4P,3/2,,,L18847,
263.233030,0.000008,263.233032,0.000012,110,,,49492.7111,87470.5419,3d4.(5D).4p,z 6D*,1/2,3d4.(5D).4d,f 6D,3/2,,,L18847,
263.25063,0.00003,263.250624,0.000014,46,,,66354.7570,104330.050,3d4.(a 3P).4p,y 4P*,3/2,3d4.(a 3P).4d,4D,5/2,,,L18847,
263.254044,0.000010,263.254037,0.000014,59,,,67448.5405,105423.3412,3d4.(a 3F).4p,y 4F*,9/2,3d4.(3H).4d,g 4G,11/2,,,L18847,
263.273076,0.000015,263.273082,0.000014,37,,,67393.4495,105365.5034,3d4.(a 3F).4p,y 4F*,7/2,3d4.(3H).4d,g 4G,9/2,,,L18847,
263.33747,0.00015,263.337554,0.000014,3,,,68759.7991,106722.557,3d4.(a 3F).4p,z 2F*,7/2,3d4.(5D).5d,4P,5/2,,,L18847,
263.351346,0.000013,263.351310,0.000012,50,,,49492.7111,87453.4861,3d4.(5D).4p,z 6D*,1/2,3d4.(5D).4d,f 6D,1/2,,,L18847,
263.357066,0.000012,263.357064,0.000012,48,,,49706.2607,87666.2064,3d4.(5D).4p,z 4P*,5/2,3d4.(5D).4d,e 6F,3/2,,,L18847,
263.391547,0.000011,263.391554,0.000014,20,,,67859.5593,105814.5345,3d4.(a 3F).4p,x 4D*,1/2,3d4.(a 3F).4d,4F,3/2,,,L18847,
263.41100,0.00004,263.41098,0.00003,13,,,68583.3148,106535.491,3d4.(a 3F).4p,z 2F*,5/2,3d4.(a 3F).4d,2F,5/2,,,L18847,
263.424043,0.000008,263.424040,0.000012,190,,,49564.5038,87514.7986,3d4.(5D).4p,z 6D*,3/2,3d4.(5D).4d,f 6D,5/2,,,L18847,
263.44658,0.00012,263.446431,0.000014,4*,,,69903.4828,107850.5523,3d4.(a 3F).4p,y 2G*,7/2,3d4.(5D).5d,4F,7/2,,,L18847c153,
263.44658,0.00012,263.446727,0.000014,4*,,,65680.0091,103627.036,3d4.(3H).4p,z 2G*,9/2,3d4.(3G).5s,f 4G,9/2,,,L18847c153,
263.45942,0.00011,263.459408,0.000014,8,,,67333.7774,105278.978,3d4.(3H).4p,y 4G*,7/2,3d4.(3H).4d,g 4G,7/2,,,L18847,
263.46549,0.00009,263.465489,0.000014,6*,,,67506.0890,105450.4138,3d4.(3H).4p,z 2I*,11/2,3d4.(3H).4d,2H,11/2,,,L18847,
