obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
255.858,,25,,,,,,,,,,,,,L3475,
259.804,,40h,,,,,,,,,,,,,L3475,
260.892,,25,,,,,,,,,,,,,L3475,
261.575,,25,,,,,,,,,,,,,L3475,
264.848,,25,,,,,,,,,,,,,L3475,
265.475,,30,,,,,,,,,,,,,L3475,
266.670,,25,,,,,,,,,,,,,L3475,
267.252,,20,,,,,,,,,,,,,L3475,
268.519,,30,,,,,,,,,,,,,L3475,
268.570,,45,,,,,,,,,,,,,L3475,
269.892,,50,,,,,,,,,,,,,L3475,
270.038,,60,,,,,,,,,,,,,L3475,
270.225,,30,,,,,,,,,,,,,L3475,
270.737,,100h,,,,,,,,,,,,,L3475,
271.416,,20,,,,,,,,,,,,,L3475,
272.017,,60,,,,,,,,,,,,,L3475,
272.190,,30,,,,,,,,,,,,,L3475,
272.650,,50,,,,,,,,,,,,,L3475,
273.178,,12,,,,,,,,,,,,,L3475,
273.312,,25,,,,,,,,,,,,,L3475,
273.430,,50,,,,,,,,,,,,,L3475,
273.790,,25,,,,,,,,,,,,,L3475,
274.212,,40,,,,,,,,,,,,,L3475,
274.466,,25,,,,,,,,,,,,,L3475,
274.628,,20,,,,,,,,,,,,,L3475,
276.035,,60,,,,,,,,,,,,,L3475,
276.960,,50,,,,,,,,,,,,,L3475,
277.594,,50D*,,,,,,,,,,,,,L3475,
277.603,,50D*,,,,,,,,,,,,,L3475,
277.880,,40,,,,,,,,,,,,,L3475,
278.331,,50,,,,,,,,,,,,,L3475,
278.905,,30,,,,,,,,,,,,,L3475,
279.251,,35,,,,,,,,,,,,,L3475,
280.205,,50,,,,,,,,,,,,,L3475,
282.317,,20,,,,,,,,,,,,,L3475,
282.414,,20,,,,,,,,,,,,,L3475,
282.829,,20,,,,,,,,,,,,,L3475,
284.401,,20,,,,,,,,,,,,,L3475,
285.399,,25,,,,,,,,,,,,,L3475,
286.564,,30,,,,,,,,,,,,,L3475,
288.231,,30,,,,,,,,,,,,,L3475,
288.489,,30,,,,,,,,,,,,,L3475,
294.397,,30,,,,,,,,,,,,,L3475,
296.758,,30,,,,,,,,,,,,,L3475,
