obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
342.996,,850,,,,,,,,,,,,,L3475,
343.119,,420,,,,,,,,,,,,,L3475,
344.150,344.1500+,4900,5.60e+07,,236.95,29285.72,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",3,4f13.6p,,2,,T6708,L3475,
345.366,345.3667+,4900,2.66e+07,,236.95,29183.39,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",3,4f12.5d.6s,,4,,T6708,L3475,
346.220,346.2197+,8500,5.40e+07,,0.00,28875.12,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,4f12.5d.6s,,5,,T6708,L3475,
348.175,,340,,,,,,,,,,,,,L3475,
349.258,,210,,,,,,,,,,,,,L3475,
351.302,,250,,,,,,,,,,,,,L3475,
353.485,,250,,,,,,,,,,,,,L3475,
353.552,,1700,,,,,,,,,,,,,L3475,
353.621,,490,,,,,,,,,,,,,L3475,
353.658,,850,,,,,,,,,,,,,L3475,
355.779,,420,,,,,,,,,,,,,L3475,
356.591,,490,,,,,,,,,,,,,L3475,
356.647,,1300,,,,,,,,,,,,,L3475,
357.406,,280,,,,,,,,,,,,,L3475,
360.877,,2100,,,,,,,,,,,,,L3475,
360.953,,250,,,,,,,,,,,,,L3475,
364.365,,950,,,,,,,,,,,,,L3475,
364.772,,240,,,,,,,,,,,,,L3475,
365.361,,600,,,,,,,,,,,,,L3475,
366.581,,500,,,,,,,,,,,,,L3475,
366.809,,1100,,,,,,,,,,,,,L3475,
367.798,,410,,,,,,,,,,,,,L3475,
367.885,,450bl,,,,,,,,,,,,,L3475,
369.474,,410,,,,,,,,,,,,,L3475,
370.026,370.0256+,4800,2.23e+07,,236.95,27254.42,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",3,4f12.5d.6s,,4,,T6708,L3475,
370.136,370.1363+,3800,1.57e+07,,0.00,27009.39,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,4f12.5d.6s,,4,,T6708,L3475,
370.485,,330,,,,,,,,,,,,,L3475,
372.506,,890,,,,,,,,,,,,,L3475,
373.412,,2400,,,,,,,,,,,,,L3475,
375.686,,310,,,,,,,,,,,,,L3475,
376.133,376.1333+,6000,3.51e+07,,0.00,26578.77,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,4f12.(3F).6s2,3F,3,,T6708,L3475,
376.191,376.1914+,4800,1.94e+07,,0.00,26574.66,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,4f12.5d.6s,,4,,T6708,L3475,
378.355,,260,,,,,,,,,,,,,L3475,
379.516,,380,,,,,,,,,,,,,L3475,
379.575,379.5760+,7100,3.00e+07,,236.95,26574.66,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",3,4f12.5d.6s,,4,,T6708,L3475,
379.875,,240,,,,,,,,,,,,,L3475,
