obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
67.55994,0.00020,67.560192,0.000008,73000,,,0.000,148016.157,3d10,1S,0,3d9.(2D<3/2>).5f,2[3/2]*,1,,,L19804c170,
67.7675,0.0003,67.767816,0.000008,29000,,,0.000,147562.672,3d10,1S,0,3d9.(2D<5/2>).7p,2[3/2]*,1,,,L19804c170,
68.51377,0.00020,68.514058,0.000008,240000,,,0.000,145955.447,3d10,1S,0,3d9.(2D<5/2>).5f,2[3/2]*,1,,,L19804c170,
68.53922,0.00020,68.539671,0.000008,45000,,,0.000,145900.904,3d10,1S,0,3d9.(2D<5/2>).5f,2[1/2]*,1,,,L19804c170,
70.93098,0.00020,70.931287,0.000009,250000,,,0.000,140981.510,3d10,1S,0,3d9.(2D<3/2>).6p,2[1/2]*,1,,,L19804c170,
71.81766,0.00020,71.817860,0.000009,310000,,,0.000,139241.130,3d10,1S,0,3d9.(2D<5/2>).6p,2[3/2]*,1,,,L19804c170,
72.44881,0.00020,72.448867,0.000009,490000,,,0.000,138028.384,3d10,1S,0,3d9.(2D<3/2>).4f,2[3/2]*,1,,,L19804c170,
73.55215,0.00011,73.552023,0.000009,780000,,,0.000,135958.1919,3d10,1S,0,3d9.(2D<5/2>).4f,2[3/2]*,1,,,L19804c170,
73.60331,0.00008,73.603185,0.000009,870000,,,0.000,135863.6857,3d10,1S,0,3d9.(2D<5/2>).4f,2[1/2]*,1,,,L19804c170,
76.32658,0.00020,76.32692,0.00003,140000,,,21928.7326,152944.11,3d9.4s,3D,3,3d8.(3P).4s.4p.(1P*),3P*,2,,,L19804c170,
76.84821,0.00020,76.848565,0.000018,150000,,,21928.7326,152054.78,3d9.4s,3D,3,3d9.(2D<5/2>).8p,2[3/2]*,2,,,L19804c170,
77.6484,0.0003,77.64877,0.00003,58000,,,23998.3718,152783.41,3d9.4s,3D,1,3d8.(3P).4s.4p.(1P*),3P*,0,,,L19804c170,
77.7739,0.0003,77.774333,0.000003,56000,,,22847.1176,151424.241,3d9.4s,3D,2,3d9.(2D<5/2>).8p,2[3/2]*,1,,,L19804c170,
77.92932,0.00020,77.929473,0.000005,590000,,,21928.7326,150249.887,3d9.4s,3D,3,3d8.(1D).4s.4p.(1P*),1D*,2,,,L19804c170,
77.9328,0.0003,77.933660,0.000004,480000,,,22847.1176,151161.379,3d9.4s,3D,2,3d9.(2D<5/2>).6f,2[1/2]*,1,,,L19804c170,
78.49098,0.00020,78.491229,0.000005,69000,,,22847.1176,150249.887,3d9.4s,3D,2,3d8.(1D).4s.4p.(1P*),1D*,2,,,L19804c170,
78.6392,0.0003,78.639222,0.000004,21000*,,,23998.3718,151161.379,3d9.4s,3D,1,3d9.(2D<5/2>).6f,2[1/2]*,1,,,L19804c170,
78.6392,0.0003,78.639795,0.000004,21000*,,,26264.5502,153426.632,3d9.4s,1D,2,3d9.(2D<3/2>).6f,2[3/2]*,2,,,L19804c170,
78.7907,0.0003,78.79056,0.00003,33000,,,22847.1176,149765.88,3d9.4s,3D,2,3d9.(2D<3/2>).7p,2[3/2]*,1,,,L19804c170,
78.8012,0.0003,78.801778,0.000019,45000,,,26264.5502,153165.24,3d9.4s,1D,2,3d8.(1D).4s.4p.(1P*),1P*,1,,,L19804c170,
78.93937,0.00020,78.93933,0.00003,100000*,,,26264.5502,152944.11,3d9.4s,1D,2,3d8.(3P).4s.4p.(1P*),3P*,2,,,L19804c170,
78.93937,0.00020,78.93977,0.00003,100000*,,,22847.1176,149525.97,3d9.4s,3D,2,3d9.(2D<3/2>).7p,2[5/2]*,2,,,L19804c170,
78.96575,0.00020,78.965867,0.000005,59000,,,22847.1176,149484.111,3d9.4s,3D,2,3d9.(2D<3/2>).7p,2[1/2]*,1,,,L19804c170,
79.49719,0.00020,79.497430,0.000019,56000,,,26264.5502,152054.78,3d9.4s,1D,2,3d9.(2D<5/2>).8p,2[3/2]*,2,,,L19804c170,
79.74530,0.00020,79.745499,0.000004,560000,,,21928.7326,147327.659,3d9.4s,3D,3,3d9.(2D<5/2>).7p,2[3/2]*,2,,,L19804c170,
79.76193,0.00020,79.76218,0.00005,35000,,,23998.3718,149371.08,3d9.4s,3D,1,3d9.(2D<3/2>).7p,2[1/2]*,0,,,L19804c170,
79.8977,0.0003,79.897928,0.000003,23000,,,26264.5502,151424.241,3d9.4s,1D,2,3d9.(2D<5/2>).8p,2[3/2]*,1,,,L19804c170,
80.06592,0.00020,80.066084,0.000005,26000,,,26264.5502,151161.379,3d9.4s,1D,2,3d9.(2D<5/2>).6f,2[1/2]*,1,,,L19804c170,
80.18229,0.00020,80.182460,0.000004,84000,,,22847.1176,147562.672,3d9.4s,3D,2,3d9.(2D<5/2>).7p,2[3/2]*,1,,,L19804c170,
80.33370,0.00020,80.333841,0.000004,77000,,,22847.1176,147327.659,3d9.4s,3D,2,3d9.(2D<5/2>).7p,2[3/2]*,2,,,L19804c170,
80.65454,0.00020,80.654699,0.000005,180000,,,26264.5502,150249.887,3d9.4s,1D,2,3d8.(1D).4s.4p.(1P*),1D*,2,,,L19804c170,
80.92942,0.00020,80.929524,0.000004,17000,,,23998.3718,147562.672,3d9.4s,3D,1,3d9.(2D<5/2>).7p,2[3/2]*,1,,,L19804c170,
80.9706,0.0003,80.97079,0.00003,12000,,,26264.5502,149765.88,3d9.4s,1D,2,3d9.(2D<3/2>).7p,2[3/2]*,1,,,L19804c170,
80.99630,0.00020,80.99649,0.00003,45000,,,26264.5502,149726.69,3d9.4s,1D,2,3d9.(2D<3/2>).7p,2[3/2]*,2,,,L19804c170,
81.06365,0.00020,81.06361,0.00003,86000,,,26264.5502,149624.47,3d9.4s,1D,2,3d9.(2D<3/2>).7p,2[5/2]*,3,,,L19804c170,
81.09987,0.00020,81.099829,0.000011,520000,,,0.000,123304.823,3d10,1S,0,3d9.(2D<3/2>).5p,2[3/2]*,1,,,L19804c170,
81.12843,0.00020,81.12839,0.00004,110000,,,26264.5502,149525.97,3d9.4s,1D,2,3d9.(2D<3/2>).7p,2[5/2]*,2,,,L19804c170,
81.15559,0.00020,81.155946,0.000005,13000,,,26264.5502,149484.111,3d9.4s,1D,2,3d9.(2D<3/2>).7p,2[1/2]*,1,,,L19804c170,
81.3882,0.0003,81.388328,0.000011,760000,,,0.000,122867.7407,3d10,1S,0,3d9.(2D<3/2>).5p,2[1/2]*,1,,,L19804c170,
82.3059,0.0003,82.305584,0.000004,2000,,,26264.5502,147762.990,3d9.4s,1D,2,3d9.(2D<5/2>).7p,2[5/2]*,3,,,L19804c170,
82.38361,0.00018,82.383758,0.000006,90000,,,26264.5502,147647.699,3d9.4s,1D,2,3d9.(2D<5/2>).7p,2[5/2]*,2,,,L19804c170,
82.44127,0.00020,82.441507,0.000004,6100,,,26264.5502,147562.672,3d9.4s,1D,2,3d9.(2D<5/2>).7p,2[3/2]*,1,,,L19804c170,
82.46630,0.00019,82.46649,0.00004,90000,,,26264.5502,147525.93,3d9.4s,1D,2,3d9.(2D<5/2>).7p,2[7/2]*,3,,,L19804c170,
82.6014,0.0003,82.601546,0.000005,4400,,,26264.5502,147327.659,3d9.4s,1D,2,3d9.(2D<5/2>).7p,2[3/2]*,2,,,L19804c170,
82.69946,0.00022,82.699598,0.000012,1100000,,,0.000,120919.5715,3d10,1S,0,3d9.(2D<5/2>).5p,2[3/2]*,1,,,L19804c170,
82.9360,0.0005,82.935106,0.000014,7400,,,22847.1176,143423.319,3d9.4s,3D,2,3d8.(1G).4s.4p.(3P*),3G*,3,,,L19804c170,
83.6042,0.0020,83.602765,0.000003,27000,,,21928.7326,141542.001,3d9.4s,3D,3,3d9.(2D<3/2>).6p,2[3/2]*,2,,,L14468c171,
84.1136,0.0003,84.113445,0.000003,30000,,,22847.1176,141734.175,3d9.4s,3D,2,3d9.(2D<3/2>).6p,2[3/2]*,1,,,L19804c170,
84.24973,0.00024,84.249630,0.000003,66000,,,22847.1176,141542.001,3d9.4s,3D,2,3d9.(2D<3/2>).6p,2[3/2]*,2,,,L19804c170,
84.46125,0.00021,84.461287,0.000004,88000,,,22847.1176,141244.556,3d9.4s,3D,2,3d9.(2D<3/2>).6p,2[5/2]*,2,,,L19804c170,
84.49124,0.00021,84.491208,0.000004,410000,,,22847.1176,141202.628,3d9.4s,3D,2,3d9.(2D<3/2>).6p,2[5/2]*,3,,,L19804c170,
84.88062,0.00020,84.880734,0.000003,920000,,,21928.7326,139741.097,3d9.4s,3D,3,3d9.(2D<5/2>).6p,2[5/2]*,3,,,L19804c170,
84.93599,0.00019,84.935931,0.000003,240000,,,23998.3718,141734.175,3d9.4s,3D,1,3d9.(2D<3/2>).6p,2[3/2]*,1,,,L19804c170,
85.07481,0.00019,85.074794,0.000003,140000,,,23998.3718,141542.001,3d9.4s,3D,1,3d9.(2D<3/2>).6p,2[3/2]*,2,,,L19804c170,
85.13012,0.00016,85.130253,0.000003,1100000,,,21928.7326,139395.786,3d9.4s,3D,3,3d9.(2D<5/2>).6p,2[7/2]*,4,,,L19804c170,
85.1776,0.0003,85.177122,0.000003,21000,,,21928.7326,139331.149,3d9.4s,3D,3,3d8.(1G).4s.4p.(3P*),3F*,3,,,L19804c170,
85.29074,0.00021,85.290622,0.000004,370000,,,23998.3718,141244.556,3d9.4s,3D,1,3d9.(2D<3/2>).6p,2[5/2]*,2,,,L19804c170,
85.35444,0.00024,85.354260,0.000015,45000,,,26264.5502,143423.319,3d9.4s,1D,2,3d8.(1G).4s.4p.(3P*),3G*,3,,,L19804c170,
85.54770,0.00019,85.5476052,0.0000022,270000,,,22847.1176,139741.097,3d9.4s,3D,2,3d9.(2D<5/2>).6p,2[5/2]*,3,,,L19804c170,
85.56994,0.00021,85.570010,0.000003,720000,,,22847.1176,139710.491,3d9.4s,3D,2,3d8.(3F).4s.4p.(1P*),3F*,2,,,L19804c170,
85.84844,0.00020,85.8486771,0.0000022,990000,,,22847.1176,139331.149,3d9.4s,3D,2,3d8.(1G).4s.4p.(3P*),3F*,3,,,L19804c170,
85.85639,0.00020,85.8566433,0.0000022,890000,,,21928.7326,138401.956,3d9.4s,3D,3,3d9.(2D<5/2>).6p,2[7/2]*,3,,,L19804c170,
85.91522,0.00024,85.915072,0.000003,14000,,,22847.1176,139241.130,3d9.4s,3D,2,3d9.(2D<5/2>).6p,2[3/2]*,1,,,L19804c170,
