obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
209.241,,4700,,,,,,,L3475,
213.904,,3400,,,,,,,L3475,
214.274,,1600,,,,,,,L3475,
221.426,,4200c,,,,,,,L3475,
227.525,,5200c,,,,,,,L3475,
229.809,,390,,,,,,,L3475,
236.853,,180,,,,,,,L3475,
237.076,,220,,,,,,,L3475,
237.348,,150,,,,,,,L3475,
237.853,,75,,,,,,,L3475,
238.690,,180,,,,,,,L3475,
240.304,,75,,,,,,,L3475,
241.820,,60,,,,,,,L3475,
242.384,,60,,,,,,,L3475,
244.903,,85,,,,,,,L3475,
244.952,,85,,,,,,,L3475,
245.583,,200,,,,,,,L3475,
246.184,,800c,,,,,,,L3475,
246.757,,200,,,,,,,L3475,
246.785,,120,,,,,,,L3475,
246.936,,150c,,,,,,,L3475,
247.061,,120,,,,,,,L3475,
247.105,,75,,,,,,,L3475,
247.372,,150,,,,,,,L3475,
247.517,,160,,,,,,,L3475,
247.743,,75,,,,,,,L3475,
249.016,,75,,,,,,,L3475,
250.235,,570,,,,,,,L3475,
250.460,,230,,,,,,,L3475,
253.410,,150,,,,,,,L3475,
255.009,,160,,,,,,,L3475,
255.359,,150c,,,,,,,L3475,
255.463,,370,,,,,,,L3475,
256.864,,540,,,,,,,L3475,
257.181,,370,,,,,,,L3475,
260.850,,660,,,,,,,L3475,
261.672,,160c,,,,,,,L3475,
263.583,,310,,,,,,,L3475,
263.701,,190,,,,,,,L3475,
264.102,,90,,,,,,,L3475,
264.846,,65,,,,,,,L3475,
273.156,,200,,,,,,,L3475,
273.304,,610,,,,,,,L3475,
275.364,,110w,,,,,,,L3475,
280.328,,120,,,,,,,L3475,
281.978,,75,,,,,,,L3475,
288.806,,130c,,,,,,,L3475,
291.673,,65w,,,,,,,L3475,
295.791,,130w,,,,,,,L3475,
296.898,,90,,,,,,,L3475,
310.306,,140,,,,,,,L3475,
330.321,,320,,,,,,,L3475,
337.906,,320,,,,,,,L3475,
358.015,,810c,,,,,,,L3475,
374.226,,130,,,,,,,L3475,
435.798,,40,,,,,,,L3475,
