obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
201.278,201.2776+,6200,,,3050.88,52717.46,5d.6s2,a 2D,5/2,5d2.(3P).6p,x 4D*,3/2,,,L3475,
202.818,202.818+,8500,,,13485.56,62774.9,5d2.(3P).6s,a 4P,5/2,5d2.(1G).6p,v 2F*,5/2,,,L3475,
209.618,,1200,,,,,,,,,,,,,L3475,
221.082,,540,,,,,,,,,,,,,L3475,
225.401,,320,,,,,,,,,,,,,L3475,
225.515,,160,,,,,,,,,,,,,L3475,
226.683,,250,,,,,,,,,,,,,L3475,
227.716,,620,,,,,,,,,,,,,L3475,
232.114,,230,,,,,,,,,,,,,L3475,
232.247,,580,,,,,,,,,,,,,L3475,
232.325,,300,,,,,,,,,,,,,L3475,
232.450,,120,,,,,,,,,,,,,L3475,
232.489,,300,,,,,,,,,,,,,L3475,
233.297,,200,,,,,,,,,,,,,L3475,
233.733,,200,,,,,,,,,,,,,L3475,
234.332,,230,,,,,,,,,,,,,L3475,
234.744,,320,,,,,,,,,,,,,L3475,
235.122,,540,,,,,,,,,,,,,L3475,
236.598,,90,,,,,,,,,,,,,L3475,
238.030,,250,,,,,,,,,,,,,L3475,
238.100,,100,,,,,,,,,,,,,L3475,
239.318,,170,,,,,,,,,,,,,L3475,
239.336,,450,,,,,,,,,,,,,L3475,
239.383,,670,,,,,,,,,,,,,L3475,
240.078,,130,,,,,,,,,,,,,L3475,
240.456,,70,,,,,,,,,,,,,L3475,
240.542,,540,,,,,,,,,,,,,L3475,
240.644,,130,,,,,,,,,,,,,L3475,
241.014,,370,,,,,,,,,,,,,L3475,
241.333,,90,,,,,,,,,,,,,L3475,
241.596,,55,,,,,,,,,,,,,L3475,
241.769,,320,,,,,,,,,,,,,L3475,
242.598,,120,,,,,,,,,,,,,L3475,
242.899,,120,,,,,,,,,,,,,L3475,
243.357,,130,,,,,,,,,,,,,L3475,
243.474,,45,,,,,,,,,,,,,L3475,
244.725,,390,,,,,,,,,,,,,L3475,
244.944,,140,,,,,,,,,,,,,L3475,
245.230,,35,,,,,,,,,,,,,L3475,
245.334,,110,,,,,,,,,,,,,L3475,
246.049,,450,,,,,,,,,,,,,L3475,
246.397,,70,,,,,,,,,,,,,L3475,
246.419,,430,,,,,,,,,,,,,L3475,
246.506,,90,,,,,,,,,,,,,L3475,
246.797,,140,,,,,,,,,,,,,L3475,
246.918,,210,,,,,,,,,,,,,L3475,
247.392,,100,,,,,,,,,,,,,L3475,
248.144,,55,,,,,,,,,,,,,L3475,
249.699,,290,,,,,,,,,,,,,L3475,
251.269,,580,,,,,,,,,,,,,L3475,
251.303,,580,,,,,,,,,,,,,L3475,
251.548,,130,,,,,,,,,,,,,L3475,
251.688,251.6886+,890,,,3050.88,42770.56,5d.6s2,a 2D,5/2,5d.6s.(1D).6p,y 2P*,3/2,,,L3475,
253.119,,340,,,,,,,,,,,,,L3475,
253.733,,200,,,,,,,,,,,,,L3475,
254.820,,110,,,,,,,,,,,,,L3475,
255.140,,320,,,,,,,,,,,,,L3475,
255.919,,130,,,,,,,,,,,,,L3475,
256.361,,250,,,,,,,,,,,,,L3475,
257.167,,890,,,,,,,,,,,,,L3475,
257.390,,320,,,,,,,,,,,,,L3475,
257.682,,320,,,,,,,,,,,,,L3475,
257.814,,300,,,,,,,,,,,,,L3475,
258.254,,320,,,,,,,,,,,,,L3475,
259.133,,130,,,,,,,,,,,,,L3475,
260.637,,390,,,,,,,,,,,,,L3475,
260.703,,450,,,,,,,,,,,,,L3475,
261.360,,230,,,,,,,,,,,,,L3475,
262.274,,450,,,,,,,,,,,,,L3475,
263.871,,1100,,,,,,,,,,,,,L3475,
264.141,264.1410+,1100,,,8361.76,46209.05,5d2.(3F).6s,a 4F,9/2,5d2.(3F).6p,z 4G*,11/2,,,L3475,
264.729,,670,,,,,,,,,,,,,L3475,
265.116,,100,,,,,,,,,,,,,L3475,
265.784,,160,,,,,,,,,,,,,L3475,
266.188,,210,,,,,,,,,,,,,L3475,
268.335,,290,,,,,,,,,,,,,L3475,
270.673,,110,,,,,,,,,,,,,L3475,
271.242,,210,,,,,,,,,,,,,L3475,
273.876,,710,,,,,,,,,,,,,L3475,
275.181,,360,,,,,,,,,,,,,L3475,
277.336,277.3356+,980,,,6344.34,42391.09,5d2.(3F).6s,a 4F,7/2,5d2.(3F).6p,z 4G*,9/2,,,L3475,
277.402,,180,,,,,,,,,,,,,L3475,
278.950,,100,,,,,,,,,,,,,L3475,
278.973,,140,,,,,,,,,,,,,L3475,
280.800,,230,,,,,,,,,,,,,L3475,
281.386,,230,,,,,,,,,,,,,L3475,
281.448,,170,,,,,,,,,,,,,L3475,
282.022,282.0231+,1200,,,3050.88,38498.53,5d.6s2,a 2D,5/2,5d2.(3F).6p,z 4G*,7/2,,,L3475,
282.268,,490,,,,,,,,,,,,,L3475,
284.921,,270,,,,,,,,,,,,,L3475,
285.121,,180,,,,,,,,,,,,,L3475,
286.101,,760,,,,,,,,,,,,,L3475,
286.170,,760,,,,,,,,,,,,,L3475,
286.982,,130,,,,,,,,,,,,,L3475,
287.633,,150,,,,,,,,,,,,,L3475,
289.871,,130,,,,,,,,,,,,,L3475,
290.991,,140,,,,,,,,,,,,,L3475,
291.959,,320,,,,,,,,,,,,,L3475,
292.963,,490,,,,,,,,,,,,,L3475,
293.780,,710,,,,,,,,,,,,,L3475,
296.180,,120,,,,,,,,,,,,,L3475,
296.723,,140,,,,,,,,,,,,,L3475,
296.881,,710,,,,,,,,,,,,,L3475,
297.588,,890,,,,,,,,,,,,,L3475,
300.010,,170,,,,,,,,,,,,,L3475,
301.290,,1100,,,,,,,,,,,,,L3475,
301.694,,1100,,,,,,,,,,,,,L3475,
302.529,,140,,,,,,,,,,,,,L3475,
303.116,,410,,,,,,,,,,,,,L3475,
304.608,,110,,,,,,,,,,,,,L3475,
306.468,,130,,,,,,,,,,,,,L3475,
308.066,,150,,,,,,,,,,,,,L3475,
310.140,,340,,,,,,,,,,,,,L3475,
310.912,,710,,,,,,,,,,,,,L3475,
311.087,,130,,,,,,,,,,,,,L3475,
313.472,313.4725+,850,,,3050.88,34942.36,5d.6s2,a 2D,5/2,5d2.(3F).6p,z 4G*,5/2,,,L3475,
313.965,,170,,,,,,,,,,,,,L3475,
314.076,,120,,,,,,,,,,,,,L3475,
314.532,,220,,,,,,,,,,,,,L3475,
316.261,,710,,,,,,,,,,,,,L3475,
317.686,,450,,,,,,,,,,,,,L3475,
319.353,,360,,,,,,,,,,,,,L3475,
319.419,,670,,,,,,,,,,,,,L3475,
319.999,,130,,,,,,,,,,,,,L3475,
321.730,,180,,,,,,,,,,,,,L3475,
322.061,,180,,,,,,,,,,,,,L3475,
325.370,325.3702+,890,2.1e+07,,3050.88,33776.24,5d.6s2,a 2D,5/2,5d.6s.(3D).6p,z 4F*,7/2,,T7227,L3475,
325.528,,270,,,,,,,,,,,,,L3475,
327.366,,180,,,,,,,,,,,,,L3475,
327.998,,270,,,,,,,,,,,,,L3475,
331.799,,180,,,,,,,,,,,,,L3475,
332.821,,130,,,,,,,,,,,,,L3475,
335.206,,370,,,,,,,,,,,,,L3475,
338.414,,140,,,,,,,,,,,,,L3475,
338.470,,230,,,,,,,,,,,,,L3475,
338.983,,800,,,,,,,,,,,,,L3475,
339.459,,230,,,,,,,,,,,,,L3475,
339.498,,140,,,,,,,,,,,,,L3475,
