obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
371.490,,95,,,,,,,,,,,,,L3475,
371.694,,35,,,,,,,,,,,,,L3475,
371.769,,35,,,,,,,,,,,,,L3475,
372.494,372.4931+,"20000c,w",4.5e+07,,0.00,26838.50,4f7.(8S*).6s,a 9S*,4,4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",4,,T6288,L3475,
372.968,,45,,,,,,,,,,,,,L3475,
372.974,,45,,,,,,,,,,,,,L3475,
373.808,,45,,,,,,,,,,,,,L3475,
374.131,,350,,,,,,,,,,,,,L3475,
374.356,,100,,,,,,,,,,,,,L3475,
376.112,,260,,,,,,,,,,,,,L3475,
376.593,,95,,,,,,,,,,,,,L3475,
378.140,,60,,,,,,,,,,,,,L3475,
378.876,,40,,,,,,,,,,,,,L3475,
379.150,,45,,,,,,,,,,,,,L3475,
379.901,,130,,,,,,,,,,,,,L3475,
380.754,,95,,,,,,,,,,,,,L3475,
381.550,,120,,,,,,,,,,,,,L3475,
381.967,381.9672+,"39000c,w",1.27e+08,,0.00,26172.83,4f7.(8S*).6s,a 9S*,4,4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",5,,T6288,L3475,
382.668,,120,,,,,,,,,,,,,L3475,
384.423,,140,,,,,,,,,,,,,L3475,
387.727,,70,,,,,,,,,,,,,L3475,
390.710,390.7107+,"28000c,w",1.37e+08,,1669.21,27256.35,4f7.(8S*).6s,a 7S*,3,4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",2,,T6288,L3475,
391.524,,45,,,,,,,,,,,,,L3475,
391.770,,23,,,,,,,,,,,,,L3475,
391.909,,100,,,,,,,,,,,,,L3475,
392.887,,40,,,,,,,,,,,,,L3475,
393.048,393.0499+,"32000c,w",1.07e+08,,1669.21,27104.07,4f7.(8S*).6s,a 7S*,3,4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",3,,T7237,L3475,
394.156,,55,,,,,,,,,,,,,L3475,
394.221,,30w,,,,,,,,,,,,,L3475,
394.294,,60,,,,,,,,,,,,,L3475,
394.308,,120,,,,,,,,,,,,,L3475,
394.459,,30,,,,,,,,,,,,,L3475,
394.567,,30,,,,,,,,,,,,,L3475,
394.913,,30,,,,,,,,,,,,,L3475,
395.076,,45,,,,,,,,,,,,,L3475,
395.133,,55,,,,,,,,,,,,,L3475,
395.792,,40,,,,,,,,,,,,,L3475,
396.490,,120,,,,,,,,,,,,,L3475,
396.659,,150,,,,,,,,,,,,,L3475,
397.196,397.1972+,"30000c,w",8.9e+07,,1669.21,26838.50,4f7.(8S*).6s,a 7S*,3,4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",4,,T6288,L3475,
397.963,,30,,,,,,,,,,,,,L3475,
398.824,,40,,,,,,,,,,,,,L3475,
399.393,,30,,,,,,,,,,,,,L3475,
399.598,,55,,,,,,,,,,,,,L3475,
400.371,,60,,,,,,,,,,,,,L3475,
401.169,,180,,,,,,,,,,,,,L3475,
401.758,,150,,,,,,,,,,,,,L3475,
408.538,,120,,,,,,,,,,,,,L3475,
409.680,,75,,,,,,,,,,,,,L3475,
411.204,,90w,,,,,,,,,,,,,L3475,
411.930,,45,,,,,,,,,,,,,L3475,
412.970,412.9725+,"33000c,w",6.8e+07,,0.00,24207.86,4f7.(8S*).6s,a 9S*,4,4f7.(8S*<7/2>).6p<1/2>,"(7/2,1/2)",4,,T6288,L3475,
413.659,,30,,,,,,,,,,,,,L3475,
414.102,,30,,,,,,,,,,,,,L3475,
414.172,,60,,,,,,,,,,,,,L3475,
415.152,,30,,,,,,,,,,,,,L3475,
415.164,,45,,,,,,,,,,,,,L3475,
417.280,,110,,,,,,,,,,,,,L3475,
417.516,,30,,,,,,,,,,,,,L3475,
419.536,,40,,,,,,,,,,,,,L3475,
419.618,,40,,,,,,,,,,,,,L3475,
420.505,420.504+,"60000c,w",7.1e+07,,0.00,23774.28,4f7.(8S*).6s,a 9S*,4,4f7.(8S*<7/2>).6p<1/2>,"(7/2,1/2)",3,,T6288,L3475,
422.108,,45,,,,,,,,,,,,,L3475,
422.388,,40,,,,,,,,,,,,,L3475,
422.740,,90w,,,,,,,,,,,,,L3475,
422.933,,75,,,,,,,,,,,,,L3475,
423.245,,75,,,,,,,,,,,,,L3475,
423.751,,90,,,,,,,,,,,,,L3475,
423.869,,45,,,,,,,,,,,,,L3475,
424.706,,45,,,,,,,,,,,,,L3475,
425.380,,45,,,,,,,,,,,,,L3475,
427.024,,30,,,,,,,,,,,,,L3475,
