obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
218.787,218.7874+,240,,,0.00,45692.17,5d2,a 3F,2,6s.6p,x 1P*,1,,,L3475,
225.676,225.6754+,770,,,1394.46,45692.17,5d2,,2,6s.6p,x 1P*,1,,,L3475,
231.782,231.7813+,90,,,18895.41,62026.27,4f.5d,z 1D*,2,4f2,i 1D,2,,,L3475,
231.944,231.9442+,200,,,2591.60,45692.17,5d.6s,a 3D,2,6s.6p,x 1P*,1,,,L3475,
232.875,232.8744+,75,,,16599.17,59527.60,4f.5d,z 1G*,4,4f2,g 1G,4,,,L3475,
243.801,243.8007+,20,,,18895.41,59900.08,4f.5d,z 1D*,2,6p2,h 1D,2,,,L3475,
247.190,247.1901+,65,,,5249.70,45692.17,5d2,a 3P,0,6s.6p,x 1P*,1,,,L3475,
247.244,247.2432+,35,,,17825.62,58259.41,4f.5d,z 3H*,4,4f2,g 3F,4,,,L3475,
247.985,247.9837+,35,,,19214.54,59527.60,4f.5d,y 3F*,4,4f2,g 1G,4,,,L3475,
248.759,248.7576+,65,,,17211.93,57399.58,4f.5d,y 3F*,2,4f2,g 3F,2,,,L3475,
253.314,253.3146+,45,,,6227.42,45692.17,5d2,a 3P,2,6s.6p,x 1P*,1,,,L3475,
256.037,256.0388+,45,,,19214.54,58259.41,4f.5d,y 3F*,4,4f2,g 3F,4,,,L3475,
258.082,258.0811+,18,,,15698.74,54434.65,4f.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,5d.6d,f 3G,5,,,L3475,
258.256,258.2546+,22,,,14147.98,52857.88,4f.(2F*<5/2>).6s<1/2>,"(5/2,1/2)*",2,5d.6d,f 3G,3,,,L3475,
259.609,259.6081+,35,,,16599.17,55107.25,4f.5d,z 1G*,4,4f2,e 3H,4,,,L3475,
261.034,261.0350+,400,,,7394.57,45692.17,6s2,a 1S,0,6s.6p,x 1P*,1,,,L3475,
267.291,267.2882+,55,,,18580.41,55982.09,4f.5d,z 3H*,5,4f2,e 3H,5,,,L3475,
269.547,269.5467+,60,,,19749.62,56837.94,4f.5d,z 3H*,6,4f2,e 3H,6,,,L3475,
279.151,279.1499+,55,,,22106.02,57918.50,4f.5d,z 3D*,2,4f2,g 3F,3,,,L3475,
279.856,279.8562+,55,,,22537.30,58259.41,4f.5d,z 3D*,3,4f2,g 3F,4,,,L3475,
280.839,280.8374+,420,,,10094.86,45692.17,5d.6s,,2,6s.6p,x 1P*,1,,,L3475,
283.845,283.8452+,11,,,19214.54,54434.65,4f.5d,y 3F*,4,5d.6d,f 3G,5,,,L3475,
284.051,284.0515+,16,,,29498.05,64692.59,6s.6p,*,2,6s.6d,h 3D,3,,,L3475,
285.590,285.5904+,45,,,24522.70,59527.60,4f.5d,y 1F*,3,4f2,g 1G,4,,,L3475,
286.298,286.2968+,26,,,20402.82,55321.35,4f.5d,z 3G*,3,5d.6d,f 3F,4,,,L3475,
288.065,288.0631+,90,,,20402.82,55107.25,4f.5d,z 3G*,3,4f2,e 3H,4,,,L3475,
288.514,288.5116+,130,,,21331.60,55982.09,4f.5d,z 3G*,4,4f2,e 3H,5,,,L3475,
289.307,289.3086+,160,,,22282.90,56837.94,4f.5d,z 3G*,5,4f2,e 3H,6,,,L3475,
295.050,295.0497+,110,,,28525.71,62408.40,4f.5d,z 1H*,5,4f2,e 1I,6,,,L3475,
310.459,310.4588+,180,,,0.00,32201.05,5d2,a 3F,2,5d.6p,x 1F*,3,,,L3475,
