obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
55.9305,,350,,,,,,,,,,,,,L1617,
57.1904,,400,,,,,,,,,,,,,L1617,
57.4406,,800,,,,,,,,,,,,,L1617,
58.624,,500,,,,,,,,,,,,,L1617,
61.8057,,700,,,,,,,,,,,,,L1617,
61.9982,,600,,,,,,,,,,,,,L1617,
62.0298,,800,,,,,,,,,,,,,L1617,
62.6735,,700,,,,,,,,,,,,,L1617,
63.5881,,800,,,,,,,,,,,,,L1617,
63.6626,,1000,,,,,,,,,,,,,L1617,
65.0894,,1000,,,,,,,,,,,,,L1617,
65.9811,,1000,,,,,,,,,,,,,L1617,
66.1841,,1300,,,,,,,,,,,,,L1617,
66.3074,,2000,,,,,,,,,,,,,L1617,
68.2053,,1500,,,,,,,,,,,,,L1617,
68.7656,,1500,,,,,,,,,,,,,L1617,
69.3594,,1500,,,,,,,,,,,,,L1617,
72.5271,,2000,,,,,,,,,,,,,L1617,
72.8951,,2500,,,,,,,,,,,,,L1617,
77.7562,,2000,,,,,,,,,,,,,L1617,
78.7580,,5000,,,,,,,,,,,,,L1617,
78.8740,,5000,,,,,,,,,,,,,L1617,
79.3342,,5000,,,,,,,,,,,,,L1617,
83.9297,,6000,,,,,,,,,,,,,L1617,
83.9599,,8000,,,,,,,,,,,,,L1617,
84.141,,7000p,,,,,,,,,,,,,L1617,
85.1691,,5000,,,,,,,,,,,,,L1617,
88.8026,,2000,,,,,,,,,,,,,L1617,
89.3549,,2000,,,,,,,,,,,,,L1617,
96.1499,,2000,,,,,,,,,,,,,L1617,
106.3831,106.3831,6000,4.77e+07,C,0.00,93999.88,3s2.3p4,3P,2,3s.3p5,3P*,1,,T1220LS,L1617,
106.7945,106.7944,3000,1.13e+08,C,696.00,94333.84,3s2.3p4,3P,1,3s.3p5,3P*,0,,T1220LS,L1617,
107.1036,107.1036,9000,8.4e+07,C,0.00,93367.56,3s2.3p4,3P,2,3s.3p5,3P*,2,,T1220LS,L1617,
107.1767,107.1767,6000,2.80e+07,C,696.00,93999.88,3s2.3p4,3P,1,3s.3p5,3P*,1,,T1220LS,L1617,
107.5230,107.5229,5000,3.69e+07,C,996.47,93999.88,3s2.3p4,3P,0,3s.3p5,3P*,1,,T1220LS,L1617,
107.9080,107.9080,5000,2.74e+07,C,696.00,93367.56,3s2.3p4,3P,1,3s.3p5,3P*,2,,T1220LS,L1617,
113.9214,,800,,,,,,,,,,,,,L1617,
144.1470,,500,,,,,,,,,,,,,L1617,
152.8569,,500,,,,,,,,,,,,,L1617,
154.2942,,500,,,,,,,,,,,,,L1617,
155.8144,,500,,,,,,,,,,,,,L1617,
156.5050,,500,,,,,,,,,,,,,L1617,
185.7488,,500,,,,,,,,,,,,,L1617,
199.7370,,450w,,,,,,,,,,,,,L1617,
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
203.2116,,450,,,,,,,,,,,,,L1617,
208.8583,,350w,,,,,,,,,,,,,L1617,
209.1458,,350w,,,,,,,,,,,,,L1617,
242.779,242.7775,170,2.5e+07,D,128622.99,169800.47,3s2.3p3.(4S*).4p,5P,1,3s2.3p3.(4S*).5d,5D*,2,,"T1619CA,LS",L1617,
,243.0140,,4.8e+07,D,128663.57,169800.98,3s2.3p3.(4S*).4p,5P,2,3s2.3p3.(4S*).5d,5D*,3,,"T1619CA,LS",,
,243.0170,,4.2e+07,D,128663.57,169800.47,3s2.3p3.(4S*).4p,5P,2,3s2.3p3.(4S*).5d,5D*,2,,"T1619CA,LS",,
243.407,243.4071,360,7.2e+07,D,128730.82,169801.79,3s2.3p3.(4S*).4p,5P,3,3s2.3p3.(4S*).5d,5D*,4,,"T1619CA,LS",L1617,
,243.4119,,2.4e+07,D,128730.82,169800.98,3s2.3p3.(4S*).4p,5P,3,3s2.3p3.(4S*).5d,5D*,3,,"T1619CA,LS",,
,249.6002,,1.3e+07,D,128622.99,168674.98,3s2.3p3.(4S*).4p,5P,1,3s2.3p3.(4S*).6s,5S*,2,,"T1619CA,LS",,
249.853,249.8534,340,2.2e+07,D,128663.57,168674.98,3s2.3p3.(4S*).4p,5P,2,3s2.3p3.(4S*).6s,5S*,2,,"T1619CA,LS",L1617,
250.274,250.2741,470,3.1e+07,D,128730.82,168674.98,3s2.3p3.(4S*).4p,5P,3,3s2.3p3.(4S*).6s,5S*,2,,"T1619CA,LS",L1617,
,254.3997,,3.3e+07,E,131756.12,171052.55,3s2.3p3.(4S*).4p,3P,1,3s2.3p3.(4S*).5d,3D*,1,,"T1619CA,LS",,
,254.4809,,2.2e+06,E,131768.66,171052.55,3s2.3p3.(4S*).4p,3P,2,3s2.3p3.(4S*).5d,3D*,1,,"T1619CA,LS",,
,254.4857,,4.3e+07,D,131769.41,171052.55,3s2.3p3.(4S*).4p,3P,0,3s2.3p3.(4S*).5d,3D*,1,,"T1619CA,LS",,
254.696,254.6957,260,5.8e+07,D,131756.12,171006.87,3s2.3p3.(4S*).4p,3P,1,3s2.3p3.(4S*).5d,3D*,2,,"T1619CA,LS",L1617,
,254.7771,,1.9e+07,E,131768.66,171006.87,3s2.3p3.(4S*).4p,3P,2,3s2.3p3.(4S*).5d,3D*,2,,"T1619CA,LS",,
254.988,254.9881,500,7.6e+07,D,131768.66,170974.41,3s2.3p3.(4S*).4p,3P,2,3s2.3p3.(4S*).5d,3D*,3,,"T1619CA,LS",L1617,
256.484,,460,,,,,,,,,,,,,L1617,
260.331,,320,,,,,,,,,,,,,L1617,
265.872,,950,,,,,,,,,,,,,L1617,
