obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
131.722,,500,,,,,,,,,,,,,L897,
133.520,,400,,,,,,,,,,,,,L897,
137.014,,500,,,,,,,,,,,,,L897,
174.155,,1000,,,,,,,,,,,,,L897,
174.828,,500,,,,,,,,,,,,,L897,
,175.1910,,4.8e+07,C,0.00,57080.55,3p6.3d9,2D,5/2,3p6.3d8.(3F).4p,2F*,7/2,,T2757n,,
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,203.3389,,2.3e+06,C,9330.04,58493.21,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,2F*,5/2,,T1024n,,
,205.3293,,2.5e+06,B,8393.90,57080.55,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(3F).4p,2F*,7/2,,T1024n,,
,208.0847,,8.0e+06,C,10663.89,58705.95,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3F).4p,2D*,3/2,,T1024n,,
,209.0103,,7.0e+06,C,10663.89,58493.21,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3F).4p,2F*,5/2,,T1024n,,
,209.3553,,6.5e+06,C+,9330.04,57080.55,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,2F*,7/2,,T1024n,,
,212.5117,,6.4e+06,C,9330.04,56371.41,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,2G*,7/2,,T1024n,,
,212.5905,,5.0e+06,B,8393.90,55417.83,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(3F).4p,4F*,7/2,,T1024n,,
,212.8578,,2.48e+07,B,10115.66,57080.55,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3F).4p,2F*,7/2,,T1024n,,
,213.8582,,1.77e+07,C+,9330.04,56075.26,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,4F*,5/2,,T1024n,,
,215.8737,,3.5e+07,C,10115.66,56424.49,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3F).4p,4F*,3/2,,T1024n,,
,216.1215,,2.0e+07,C,10115.66,56371.41,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3F).4p,2G*,7/2,,T1024n,,
216.555,216.5550,1000,2.4e+08,C,8393.90,54557.05,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(3F).4p,4F*,9/2,,T1024n,L897,
216.910,216.9092,2000,1.58e+08,B,9330.04,55417.83,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,4F*,7/2,,T1024n,L897,
217.467,217.4669,2000,1.43e+08,B,9330.04,55299.65,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,2G*,9/2,,T1024n,L897,
217.515,217.5142,1500,1.77e+08,B,10115.66,56075.26,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3F).4p,4F*,5/2,,T1024n,L897,
217.709,,500,,,,,,,,,,,,,L897,
217.736,,400,,,,,,,,,,,,,L897,
217.935,,400,,,,,,,,,,,,,L897,
