obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
164.377,164.3798,20,1.4e+06,D,13650.19,74484.92,3p6.3d,2D,3/2,3p6.6p,2P*,1/2,,"u7,LS",L7256,
164.444,164.4443,36,1.3e+06,D,13710.88,74521.75,3p6.3d,2D,5/2,3p6.6p,2P*,3/2,,"u7,LS",L7256,
164.986,,60,,,,,,,,,,,,,L7256,
165.199,,32,,,,,,,,,,,,,L7256,
167.386,167.3860,12,2.24e+07,C,25191.51,84933.65,3p6.4p,2P*,1/2,3p6.7d,2D,3/2,,"u7,LS",L7256,
168.005,168.0051,20,2.65e+07,C,25414.40,84936.41,3p6.4p,2P*,3/2,3p6.7d,2D,5/2,,"u7,LS",L7256,
168.013,168.0129,2,4.41e+06,C,25414.40,84933.65,3p6.4p,2P*,3/2,3p6.7d,2D,3/2,,"u7,LS",L7256,
169.178,169.1779,8,9.0e+06,C,25191.51,84300.89,3p6.4p,2P*,1/2,3p6.8s,2S,1/2,,"u7,LS",L7256,
169.818,169.8182,16,1.79e+07,C,25414.40,84300.89,3p6.4p,2P*,3/2,3p6.8s,2S,1/2,,"u7,LS",L7256,
180.734,180.7337,20,4.12e+07,C,25191.51,80521.53,3p6.4p,2P*,1/2,3p6.6d,2D,3/2,,"u7,LS",L7256,
181.450,181.4495,40,4.86e+07,C,25414.40,80526.16,3p6.4p,2P*,3/2,3p6.6d,2D,5/2,,"u7,LS",L7256,
181.465,181.4647,4,7.0e+06,C,25414.40,80521.53,3p6.4p,2P*,3/2,3p6.6d,2D,3/2,,T8043,L7256,
183.801,183.8008,40,2.44e+08,C,13650.19,68056.91,3p6.3d,2D,3/2,3p6.4f,2F*,5/2,,"u7,LS",L7256,
184.006,184.0061,60*,1.73e+07,C,13710.88,68056.91,3p6.3d,2D,5/2,3p6.4f,2F*,5/2,,"u7,LS",L7256,
184.006,184.0061,60*,2.60e+08,C,13710.88,68056.91,3p6.3d,2D,5/2,3p6.4f,2F*,7/2,,"u7,LS",L7256,
