obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
235.691,,260,,,,,,,,,,,,,L3475,
238.736,,130,,,,,,,,,,,,,L3475,
240.229,,180,,,,,,,,,,,,,L3475,
241.001,,240,,,,,,,,,,,,,L3475,
242.275,,150,,,,,,,,,,,,,L3475,
243.984,,260,,,,,,,,,,,,,L3475,
245.515,,90,,,,,,,,,,,,,L3475,
245.999,,110,,,,,,,,,,,,,L3475,
247.140,,90,,,,,,,,,,,,,L3475,
248.093,,110,,,,,,,,,,,,,L3475,
249.061,,170,,,,,,,,,,,,,L3475,
251.031,,90,,,,,,,,,,,,,L3475,
251.355,,170,,,,,,,,,,,,,L3475,
251.761,,170,,,,,,,,,,,,,L3475,
254.381,,130,,,,,,,,,,,,,L3475,
254.512,,90,,,,,,,,,,,,,L3475,
255.229,,150,,,,,,,,,,,,,L3475,
255.794,,180,,,,,,,,,,,,,L3475,
256.021,,90,,,,,,,,,,,,,L3475,
256.625,,90,,,,,,,,,,,,,L3475,
259.156,,90,,,,,,,,,,,,,L3475,
259.254,,75,,,,,,,,,,,,,L3475,
260.016,,130,,,,,,,,,,,,,L3475,
260.076,,130,,,,,,,,,,,,,L3475,
260.869,,75,,,,,,,,,,,,,L3475,
263.480,,440,,,,,,,,,,,,,L3475,
264.535,,110,,,,,,,,,,,,,L3475,
267.684,,55,,,,,,,,,,,,,L3475,
267.734,,50,,,,,,,,,,,,,L3475,
268.931,,85,,,,,,,,,,,,,L3475,
269.283,,85,,,,,,,,,,,,,L3475,
270.901,,55,,,,,,,,,,,,,L3475,
272.717,,55,,,,,,,,,,,,,L3475,
272.950,,85,,,,,,,,,,,,,L3475,
273.930,,40,,,,,,,,,,,,,L3475,
274.070,,85,,,,,,,,,,,,,L3475,
275.575,,220,,,,,,,,,,,,,L3475,
275.708,,55,,,,,,,,,,,,,L3475,
276.650,,70,,,,,,,,,,,,,L3475,
