obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
34.443,0.002,34.444*,a,,,0.000,290330,3d10.4s2,1S,0,3d9.4s2.11p,"(5/2,3/2)*",1,,,L12180,
34.455,0.002,34.455*,a,,,0.000,290230,3d10.4s2,1S,0,3d9.4s2.7f,"(3/2,5/2)*",1,,,L12180,
34.473,0.002,34.473*,a,,,0.000,290080,3d10.4s2,1S,0,3d9.4s2.9f,"(5/2,7/2)*",1,,,L12180,
34.610,0.002,34.610*,a,,,0.000,288930,3d10.4s2,1S,0,3d9.4s2.10p,"(5/2,3/2)*",1,,,L12180,
34.633,0.002,34.633*,a,,,0.000,288740,3d10.4s2,1S,0,3d9.4s2.8f,"(5/2,7/2)*",1,,,L12180,
34.816,0.002,34.817*,a,,,0.000,287220,3d10.4s2,1S,0,3d9.4s2.8p,"(3/2,1/2)*",1,,,L12180,
34.858,0.002,34.858*,a,,,0.000,286880,3d10.4s2,1S,0,3d9.4s2.9p,"(5/2,3/2)*",1,,,L12180,
34.866,0.002,34.866*,a,,,0.000,286810,3d10.4s2,1S,0,3d9.4s2.6f,"(3/2,5/2)*",1,,,L12180,
34.885,0.002,34.885*,a,,,0.000,286660,3d10.4s2,1S,0,3d9.4s2.7f,"(5/2,7/2)*",1,,,L12180,
35.200,0.002,35.200*,a,,,0.000,284090,3d10.4s2,1S,0,3d9.4s2.6f,"(5/2,7/2)*",1,,,L12180,
35.243,0.002,35.244*,a,,,0.000,283740,3d10.4s2,1S,0,3d9.4s2.8p,"(5/2,3/2)*",1,,,L12180,
35.447,0.002,35.447*,a,,,0.000,282110,3d10.4s2,1S,0,3d9.4s2.7p,"(3/2,1/2)*",1,,,L12180,
35.472,0.002,35.472*,a,,,0.000,281910,3d10.4s2,1S,0,3d9.4s2.7p,"(3/2,3/2)*",1,,,L12180,
35.556,0.002,35.556*,a,,,0.000,281250,3d10.4s2,1S,0,3d9.4s2.5f,"(3/2,5/2)*",1,,,L12180,
35.899,0.002,35.899*,a,,,0.000,278560,3d10.4s2,1S,0,3d9.4s2.7p,"(5/2,3/2)*",1,,,L12180,
36.000,0.002,36.000*,a,,,0.000,277780,3d10.4s2,1S,0,3d9.4s2.5f,"(5/2,7/2)*",1,,,L12180,
36.709,0.002,36.709*,a,,,0.000,272410,3d10.4s2,1S,0,3d9.4s2.6p,"(3/2,1/2)*",1,,,L12180,
36.745,0.002,36.746*,a,,,0.000,272140,3d10.4s2,1S,0,3d9.4s2.6p,"(3/2,3/2)*",1,,,L12180,
36.894,0.002,36.894*,a,,,0.000,271050,3d10.4s2,1S,0,3d9.4s2.4f,"(3/2,5/2)*",1,,,L12180,
37.193,0.002,37.193*,a,,,0.000,268870,3d10.4s2,1S,0,3d9.4s2.6p,"(5/2,3/2)*",1,,,L12180,
37.376,0.002,37.376*,a,,,0.000,267550,3d10.4s2,1S,0,3d9.4s2.4f,"(5/2,7/2)*",1,,,L12180,
39.847,0.002,39.847*,a,,,0.000,250960,3d10.4s2,1S,0,3d9.4s2.5p,"(3/2,1/2)*",1,,,L12180,
39.920,0.002,39.9200+,a,,,0.000,250501,3d10.4s2,1S,0,3d9.4s2.5p,"(3/2,3/2)*",1,,,L12180,
40.436,0.002,40.4361+,a,,,0.000,247304,3d10.4s2,1S,0,3d9.4s2.5p,"(5/2,3/2)*",1,,,L12180,
82.9529,0.0004,82.952835+,3,2.2e+07,,0.000,120550.431,3d10.4s2,1S,0,4s.5p,1P*,1,,T8042,L12180,
84.3752,0.0009,84.375041+,0,,,0.000,118518.461,3d10.4s2,1S,0,4s.5p,3P*,1,,,L12180,
92.9050,0.0009,92.9050+,0,,,48749.85,156386.7,4s.4p,3P*,2,4s.8d,3D,3,,,L12180,
95.8545,0.0006,95.85554+,1,,,48749.85,153073.50,4s.4p,3P*,2,4s.7d,3D,3,,,L12180,
96.057,0.005,96.05242+,0,,,47814.114,151923.93,4s.4p,3P*,1,4s.8s,3S,1,,,L12180,
96.919,0.005,96.92357+,2,,,48749.85,151923.93,4s.4p,3P*,2,4s.8s,3S,1,,,L12180,
99.8467,0.0006,99.84744+,1,,,47367.55,147520.34,4s.4p,3P*,0,4s.6d,3D,1,,,L12180,
100.2895,0.0006,100.28886+,2,,,47814.114,147526.09,4s.4p,3P*,1,4s.6d,3D,2,,,L12180,
101.2299,0.0006,101.22991+,2,,,48749.85,147534.881,4s.4p,3P*,2,4s.6d,3D,3,,,L12180,
101.910,0.005,101.90911+,3,,,47367.55,145494.205,4s.4p,3P*,0,4s.7s,3S,1,,,L12180,
102.3735,0.0009,102.375007+,0,,,47814.114,145494.205,4s.4p,3P*,1,4s.7s,3S,1,,,L12180,
103.3663,0.0009,103.36520+,0,,,48749.85,145494.205,4s.4p,3P*,2,4s.7s,3S,1,,,L12180,
111.3708,0.0003,111.37101+,4,,,47367.55,137157.524,4s.4p,3P*,0,4s.5d,3D,1,,,L12180,
111.9133,0.0003,111.913809+,4,,,47814.114,137168.592,4s.4p,3P*,1,4s.5d,3D,2,,,L12180,
111.9270,0.0006,111.927673+,2,,,47814.114,137157.524,4s.4p,3P*,1,4s.5d,3D,1,,,L12180,
113.0760,0.0003,113.07661+,6,,,48749.85,137185.466,4s.4p,3P*,2,4s.5d,3D,3,,,L12180,
113.0979,0.0004,113.09819+,3,,,48749.85,137168.592,4s.4p,3P*,2,4s.5d,3D,2,,,L12180,
116.7639,0.0004,116.76412+,3,,,47367.55,133010.30,4s.4p,3P*,0,4s.6s,3S,1,,,L12180,
117.3761,0.0003,117.37615+,6,,,47814.114,133010.30,4s.4p,3P*,1,4s.6s,3S,1,,,L12180,
118.6795,0.0003,118.67964+,6,,,48749.85,133010.30,4s.4p,3P*,2,4s.6s,3S,1,,,L12180,
120.7521,0.0006,120.752121+,2,,,70701.427,153515.707,4s.4p,1P*,1,4s.7d,1D,2,,,L12180,
