Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
3s2.3p5,2P*,3/2,,0.0000,,0.0008,,L15349
3s2.3p5,2P*,1/2,,1431.5831,,0.0008,,L15349
3s.3p6,2S,1/2,,108721.537,,0.012,,L15349
3s2.3p4.(3P).3d,4D,7/2,,132327.3616,,0.0004,,L15349
3s2.3p4.(3P).3d,4D,5/2,,132481.2068,,0.0004,,L15349
3s2.3p4.(3P).3d,4D,3/2,,132630.7277,,0.0004,,L15349
3s2.3p4.(3P).3d,4D,1/2,,132737.7039,,0.0006,,L15349
3s2.3p4.(3P).4s,4P,5/2,,134241.7389,,0.0003,1.598,L15349
3s2.3p4.(3P).4s,4P,3/2,,135085.9958,,,1.722,L15349
3s2.3p4.(3P).4s,4P,1/2,,135601.7336,,0.0003,2.650,L15349
3s2.3p4.(3P).4s,2P,3/2,,138243.6444,,0.0002,1.334,L15349
3s2.3p4.(3P).4s,2P,1/2,,139258.3389,,0.0002,0.676,L15349
3s2.3p4.(3P).3d,4F,9/2,,142186.3153,,0.0003,,L15349
3s2.3p4.(3P).3d,4F,7/2,,142717.0965,,0.0003,,L15349
3s2.3p4.(3P).3d,4F,5/2,,143107.6801,,0.0003,,L15349
3s2.3p4.(3P).3d,4F,3/2,,143371.4364,,0.0005,,L15349
3s2.3p4.(3P).3d,2P,1/2,,144709.9818,,0.0003,,L15349
3s2.3p4.(3P).3d,2P,3/2,,145668.8845,,0.0003,,L15349
3s2.3p4.(3P).3d,4P,1/2,,147228.0521,,0.0008,,L15349
3s2.3p4.(3P).3d,4P,3/2,,147503.1134,,0.0005,,L15349
3s2.3p4.(3P).3d,4P,5/2,,147875.9477,,0.0004,,L15349
3s2.3p4.(1D).4s,2D,3/2,,148620.1414,,0.0002,0.803,L15349
3s2.3p4.(1D).4s,2D,5/2,,148842.4674,,0.0002,1.202,L15349
3s2.3p4.(3P).3d,2F,7/2,,149179.2444,,0.0002,,L15349
3s2.3p4.(3P).3d,2F,5/2,,150147.7021,,0.0002,,L15349
3s2.3p4.(3P).3d,2D,3/2,,150474.9903,,0.0002,,L15349
3s2.3p4.(3P).3d,2D,5/2,,151087.3128,,0.0002,,L15349
3s2.3p4.(1D).3d,2G,9/2,,154181.4942,,0.0003,,L15349
3s2.3p4.(1D).3d,2G,7/2,,154204.0240,,0.0003,,L15349
3s2.3p4.(3P).4p,4P*,5/2,,155043.1619,,0.0002,1.599,L15349
3s2.3p4.(3P).4p,4P*,3/2,,155351.1206,,0.0002,1.720,L15349
3s2.3p4.(3P).4p,4P*,1/2,,155708.1075,,0.0003,2.638,L15349
3s2.3p4.(3P).4p,4D*,7/2,,157234.0196,,0.0003,1.427,L15349
3s2.3p4.(3P).4p,4D*,5/2,,157673.4134,,0.0002,1.334,L15349
3s2.3p4.(3P).4p,4D*,3/2,,158167.7999,,0.0003,1.199,L15349
3s2.3p4.(3P).4p,4D*,1/2,,158428.1087,,0.0004,0.000,L15349
3s2.3p4.(3P).4p,2D*,5/2,,158730.2995,,0.0002,1.241,L15349
3s2.3p4.(3P).4p,2D*,3/2,,159393.3850,,0.0002,0.918,L15349
3s2.3p4.(3P).4p,2P*,1/2,,159706.5337,,0.0002,0.983,L15349
3s2.3p4.(3P).4p,2P*,3/2,,160239.4280,,0.0002,1.244,L15349
3s2.3p4.(3P).4p,4S*,3/2,,161048.7411,,0.0003,1.987,L15349
3s2.3p4.(3P).4p,2S*,1/2,,161089.3846,,0.0002,1.695,L15349
3s2.3p4.(1D).3d,2F,5/2,,163299.5616,,0.0004,,L15349
3s2.3p4.(1D).3d,2F,7/2,,163506.5368,,0.0002,,L15349
3s2.3p4.(1S).4s,2S,1/2,,167307.9822,,0.0004,1.993,L15349
3s2.3p4.(1D).4p,2F*,5/2,,170401.0170,,0.0002,0.857,L15349
3s2.3p4.(1D).4p,2F*,7/2,,170530.4040,,0.0002,1.140,L15349
3s2.3p4.(1D).4p,2P*,3/2,,172213.8798,,0.0002,1.332,L15349
3s2.3p4.(1D).4p,2P*,1/2,,172816.2926,,0.0004,0.677,L15349
3s2.3p4.(1D).3d,2D,5/2,,172335.5985,,0.0009,,L15349
3s2.3p4.(1D).3d,2D,3/2,,172829.6539,,0.0015,,L15349
3s2.3p4.(1D).4p,2D*,3/2,,173347.9158,,0.0002,0.804,L15349
3s2.3p4.(1D).4p,2D*,5/2,,173393.4658,,0.0002,1.202,L15349
3s2.3p4.(1D).3d,2P,3/2,,174409.8916,,0.0015,,L15349
3s2.3p4.(1D).3d,2P,1/2,,174821.0098,,0.0018,,L15349
3s2.3p4.(1S).3d,2D,5/2,,179592.2248,,0.0008,,L15349
3s2.3p4.(1S).3d,2D,3/2,,179931.8393,,0.0012,,L15349
3s2.3p4.(3P).5s,4P,5/2,,181594.1404,,0.0002,1.603,L15349
3s2.3p4.(3P).5s,4P,3/2,,182222.1209,,0.0002,1.609,L15349
3s2.3p4.(3P).5s,4P,1/2,,182951.2609,,0.0002,2.550,L15349
3s2.3p4.(3P).5s,2P,3/2,,183090.8927,,0.0001,1.445,L15349
3s2.3p4.(3P).5s,2P,1/2,,183914.6440,,0.0002,0.816,L15349
3s2.3p4.(3P).4d,4D,7/2,,183675.6614,,0.0003,1.427,L15349
3s2.3p4.(3P).4d,4D,5/2,,183797.4473,,0.0003,1.370,L15349
3s2.3p4.(3P).4d,4D,3/2,,183986.0137,,0.0003,1.198,L15349
3s2.3p4.(3P).4d,4D,1/2,,184191.7917,,0.0006,0.380,L15349
3s2.3p4.(1D).3d,2S,1/2,,184093.1337,,0.0005,,L15349
3s2.3p4.(3P).4d,4F,9/2,,185093.3298,,0.0005,1.330,L15349
3s2.3p4.(3P).4d,4F,7/2,,185624.8282,,0.0003,1.217,L15349
3s2.3p4.(3P).4d,4F,5/2,,186074.4375,,0.0002,1.045,L15349
3s2.3p4.(3P).4d,4F,3/2,,186340.5616,,0.0002,0.612,L15349
3s2.3p4.(3P).4d,4P,1/2,,186171.3330,,0.0004,2.600,L15349
3s2.3p4.(3P).4d,4P,3/2,,186470.3603,,0.0003,1.494,L15349
3s2.3p4.(3P).4d,4P,5/2,,186891.0393,,0.0003,1.588,L15349
3s2.3p4.(3P).4d,2F,7/2,,186816.0496,,0.0002,1.167,L15349
3s2.3p4.(3P).4d,2F,5/2,,187589.3383,,0.0002,0.861,L15349
3s2.3p4.(3P).5p,4P*,5/2,,188766.2129,,0.0002,,L15349
3s2.3p4.(3P).5p,4P*,3/2,,189040.9351,,0.0002,,L15349
3s2.3p4.(3P).5p,4P*,1/2,,189437.7396,,0.0003,,L15349
3s2.3p4.(3P).5p,4D*,7/2,,189415.0280,,0.0002,,L15349
3s2.3p4.(3P).5p,4D*,5/2,,189654.8487,,0.0002,,L15349
3s2.3p4.(3P).5p,4D*,3/2,,190106.3000,,0.0002,,L15349
3s2.3p4.(3P).5p,4D*,1/2,,190733.0156,,0.0004,,L15349
3s2.3p4.(3P).4d,2P,1/2,,189934.6322,,0.0007,0.667,L15349
3s2.3p4.(3P).4d,2P,3/2,,190592.2306,,0.0007,1.322,L15349
3s2.3p4.(3P).5p,2P*,1/2,,190196.2066,,0.0005,,L15349
3s2.3p4.(3P).5p,2P*,3/2,,190507.4128,,0.0002,,L15349
3s2.3p4.(3P).5p,2D*,5/2,,190511.2674,,0.0002,,L15349
3s2.3p4.(3P).5p,2D*,3/2,,191012.4246,,0.0002,,L15349
3s2.3p4.(3P).5p,2S*,1/2,,190942.7220,,0.0003,,L15349
3s2.3p4.(3P).5p,4S*,3/2,,191169.5946,,0.0002,,L15349
3s2.3p4.(1S).4p,2P*,3/2,,191974.5800,,0.0005,1.332,L15349
3s2.3p4.(1S).4p,2P*,1/2,,192333.4986,,0.0004,0.760,L15349
3s2.3p4.(3P).4d,2D,5/2,,192556.9179,,0.0006,1.198,L15349
3s2.3p4.(3P).4d,2D,3/2,,192712.058,,0.002,0.833,L15349
3s2.3p4.(3P<2>).4f,2[4]*,9/2,,194800.2662,,0.0003,,L15349
3s2.3p4.(3P<2>).4f,2[4]*,7/2,,194822.1833,,0.0006,,L15349
3s2.3p4.(3P<2>).4f,2[3]*,5/2,,194861.3529,,0.0005,,L15349
3s2.3p4.(3P<2>).4f,2[3]*,7/2,,194883.0921,,0.0003,,L15349
3s2.3p4.(3P<2>).4f,2[2]*,3/2,,194996.5613,,0.0007,,L15349
3s2.3p4.(3P<2>).4f,2[2]*,5/2,,195031.2028,,0.0010,,L15349
3s2.3p4.(3P<2>).4f,2[5]*,11/2,,195123.6464,,0.0003,,L15349
3s2.3p4.(3P<2>).4f,2[5]*,9/2,,195128.3735,,0.0005,,L15349
3s2.3p4.(3P<2>).4f,2[1]*,1/2,,195281.4505,,0.0011,,L15349
3s2.3p4.(3P<2>).4f,2[1]*,3/2,,195297.6798,,0.0006,,L15349
3s2.3p4.(1D).5s,2D,5/2,,195864.7296,,0.0002,,L15349
3s2.3p4.(1D).5s,2D,3/2,,195866.8503,,0.0004,,L15349
3s2.3p4.(3P<1>).4f,2[2]*,3/2,,196076.4715,,0.0009,,L15349
3s2.3p4.(3P<1>).4f,2[2]*,5/2,,196089.9385,,0.0005,,L15349
3s2.3p4.(3P<1>).4f,2[4]*,9/2,,196103.4029,,0.0002,,L15349
3s2.3p4.(3P<1>).4f,2[4]*,7/2,,196119.1021,,0.0003,,L15349
3s2.3p4.(3P<1>).4f,2[3]*,7/2,,196305.1289,,0.0006,,L15349
3s2.3p4.(3P<1>).4f,2[3]*,5/2,,196315.5916,,0.0004,,L15349
3s2.3p4.(3P<0>).4f,2[3]*,7/2,,196621.9658,,0.0004,,L15349
3s2.3p4.(3P<0>).4f,2[3]*,5/2,,196633.1005,,0.0008,,L15349
