Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d2.(3F).4s,a 4F,3/2,,0.0000,,0.0006,, 100                                            ,L17885
3d2.(3F).4s,a 4F,5/2,,94.1142,,0.0012,, 100                                            ,L17885
3d2.(3F).4s,a 4F,7/2,,225.7039,,0.0006,, 100                                            ,L17885
3d2.(3F).4s,a 4F,9/2,,393.4459,,0.0007,, 100                                            ,L17885
3d3,b 4F,3/2,,907.9672,,0.0008,, 100                                            ,L17885
3d3,b 4F,5/2,,983.9157,,0.0006,, 100                                            ,L17885
3d3,b 4F,7/2,,1087.3561,,0.0006,, 100                                            ,L17885
3d3,b 4F,9/2,,1215.8329,,0.0007,, 100                                            ,L17885
3d2.(3F).4s,a 2F,5/2,,4628.6571,,0.0017,,  99                                            ,L17885
3d2.(3F).4s,a 2F,7/2,,4897.7179,,0.0006,,  99                                            ,L17885
3d2.(1D).4s,a 2D,3/2,,8710.5675,,0.0007,0.80,  72         :    17  3d3                 b 2D2 ,L17885
3d2.(1D).4s,a 2D,5/2,,8744.3406,,0.0007,,  74         :    16  3d3                 b 2D2 ,L17885
3d3,a 2G,7/2,,8997.7874,,0.0009,,  96                                            ,L17885
3d3,a 2G,9/2,,9118.2849,,0.0011,,  96                                            ,L17885
3d3,a 4P,1/2,,9363.7425,,0.0012,2.63,  96                                            ,L17885
3d3,a 4P,3/2,,9395.8020,,0.0016,1.74,  93                                            ,L17885
3d3,a 4P,5/2,,9518.1516,,0.0011,, 100                                            ,L17885
3d3,a 2P,1/2,,9851.0145,,0.0010,0.66,  62         :    24  3d2.(3P).4s         b 2P  ,L17885
3d3,a 2P,3/2,,9975.9994,,0.0007,1.33,  48         :    27  3d2.(3P).4s         b 4P  ,L17885
3d2.(3P).4s,b 4P,1/2,,9872.899,,0.003,2.60,  90                                            ,L17885
3d2.(3P).4s,b 4P,3/2,,9930.7766,,0.0007,,  72         :    18  3d3                 a 2P  ,L17885
3d2.(3P).4s,b 4P,5/2,,10024.8009,,0.0007,,  99                                            ,L17885
3d3,b 2D2,3/2,,12628.8455,,0.0009,,  53         :    26  3d2.(1D).4s         a 2D  ,L17885
3d3,b 2D2,5/2,,12758.2597,,0.0007,,  54         :    24  3d2.(1D).4s         a 2D  ,L17885
3d3,a 2H,9/2,,12677.1050,,0.0012,, 100                                            ,L17885
