Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4d7,4F,9/2,,0.000,,,,  96                                    ,L9882
4d7,4F,7/2,,1523.267,,,,  98                                    ,L9882
4d7,4F,5/2,,2493.945,,,,  97                                    ,L9882
4d7,4F,3/2,,3104.260,,,,  96                                    ,L9882
4d7,4P,5/2,,8256.689,,,1.57,  89         :     6  4d6.(a3P).5s 4P   ,L9882
4d7,4P,3/2,,8477.540,,,1.68,  80         :    11  4d7          2P   ,L9882
4d7,4P,1/2,,9373.745,,,2.60,  86         :     5  4d6.(a3P).5s 4P   ,L9882
4d6.(5D).5s,6D,9/2,,9151.835,,,1.53,  99                                    ,L9882
4d6.(5D).5s,6D,7/2,,10150.929,,,1.576,  99                                    ,L9882
4d6.(5D).5s,6D,5/2,,10852.172,,,1.641,  98                                    ,L9882
4d6.(5D).5s,6D,3/2,,11303.975,,,1.849,  97                                    ,L9882
4d6.(5D).5s,6D,1/2,,11604.409,,,3.271,  96                                    ,L9882
4d7,2G,9/2,,10860.9,,,,                                        ,L17219
4d7,2G,7/2,,12293.4,,,,                                        ,L17219
4d7,2P,3/2,,12956.6,,,,                                        ,L17219
4d7,2P,1/2,,14799.5,,,,                                        ,L17219
4d7,2D2,5/2,,14581.2,,,,                                        ,L17219
4d7,2D2,3/2,,17017.6,,,,                                        ,L17219
4d7,2H,11/2,,14663.4,,,,                                        ,L17219
4d7,2H,9/2,,16125.0,,,,                                        ,L17219
4d6.(5D).5s,4D,7/2,,19379.147,,,1.402,  94                                    ,L9882
4d6.(5D).5s,4D,5/2,,20515.359,,,1.337,  92                                    ,L9882
4d6.(5D).5s,4D,3/2,,21246.795,,,1.188,  96                                    ,L9882
4d6.(5D).5s,4D,1/2,,21645.959,,,-0.015,  96                                    ,L9882
4d7,2F,5/2,,21558.076,,,0.863,  84         :     5  4d6.(5D).5s  4D   ,L9882
