Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
6s2.6p.8f,"(1/2,5/2)",3,,125133.866,,0.020,"  72         :    16         (1/2,7/2)  ",L9887
6s2.6p.8f,"(1/2,7/2)",4,,125249.299,,0.020,"  88         :    12  6p.5f  (3/2,7/2)  ",L9887
6s2.6p.5f,"(3/2,5/2)",3,,125385.746,,0.020,"  82         :     8  6p.8f  (1/2,5/2)  ",L9887
6s2.6p.5f,"(3/2,5/2)",2,,126299.205,,0.020,  91                                    ,L9887
6s2.6p.5f,"(3/2,5/2)",4,,126653.813,,0.020,"  81         :    16         (3/2,7/2)  ",L9887
6s2.6p.5f,"(3/2,5/2)",1,,127062.615,,0.020,  98                                    ,L9887
6s2.6p.5f,"(3/2,7/2)",4,,125536.550,,0.020,"  72         :    18         (3/2,5/2)  ",L9887
6s2.6p.5f,"(3/2,7/2)",5,,125946.915,+x,0.007, 100                                    ,L9887
6s2.6p.5f,"(3/2,7/2)",3,,126107.642,,0.020,"  84         :     9         (3/2,5/2)  ",L9887
6s2.6p.5f,"(3/2,7/2)",2,,127184.243,,0.020,  97                                    ,L9887
6s2.6p.10d,"(1/2,3/2)*",2,,125612.129,,0.020,  90                                    ,L9887
6s2.6p.10d,"(1/2,3/2)*",1,,125786,,16,  96     or  :               3D*        ,L6771
6s2.6p.7d,"(3/2,3/2)*",3,,126949.444,,0.020,"  72         :    26         (3/2,5/2)* ",L9887
6s2.6p.11d,"(1/2,3/2)*",1,,127902,,16,  94     or  :               3D*        ,L6771
6s2.6p.7d,"(3/2,5/2)*",3,,128544.088,,0.020,"  71         :    26         (3/2,3/2)* ",L9887
6s2.6p.12d,"(1/2,3/2)*",1,,129383,,17,  79     or  :               3D*        ,L6771
6s2.6p.13d,"(1/2,3/2)*",1,,130369,,17,  95     or  :               3D*        ,L6771
6s2.6p.14d,"(1/2,3/2)*",1,,131117,,17,  97     or  :               3D*        ,L6771
Bi III (6s2.6p 2P*<1/2>),Limit,---,,134720,,30,                                        ,L6771
