Configuration,Term,J,Prefix,Level (cm-1),Suffix,Lande,Reference
4d2.(3F).5s,a 4F,3/2,,0.00,,0.398,L3465
4d2.(3F).5s,a 4F,5/2,,314.67,,1.023,L3465
4d2.(3F).5s,a 4F,7/2,,763.44,,1.235,L3465
4d2.(3F).5s,a 4F,9/2,,1322.91,,1.324,L3465
4d3,b 4F,3/2,,2572.21,,0.413,L3465
4d3,b 4F,5/2,,2895.05,,1.025,L3465
4d3,b 4F,7/2,,3299.64,,1.227,L3465
4d3,b 4F,9/2,,3757.66,,1.326,L3465
4d2.(1D).5s,a 2D,3/2,,4248.30,,0.812,L3465
4d2.(1D).5s,a 2D,5/2,,4505.50,,1.172,L3465
4d2.(3P).5s,a 2P,1/2,,5724.38,,0.690,L3465
4d2.(3P).5s,a 2P,3/2,,6111.70,,1.304,L3465
4d2.(3F).5s,a 2F,5/2,,5752.92,,0.883,L3465
4d2.(3F).5s,a 2F,7/2,,6467.61,,1.144,L3465
4d2.(3P).5s,a 4P,1/2,,7512.67,,2.656,L3465
4d2.(3P).5s,a 4P,3/2,,7736.02,,1.720,L3465
4d2.(3P).5s,a 4P,5/2,,8058.16,,1.585,L3465
4d3,a 2G,7/2,,7837.74,,0.887,L3465
4d3,a 2G,9/2,,8152.80,,1.107,L3465
4d3,b 4P,1/2,,9553.10,,2.649,L3465
4d3,b 4P,3/2,,9742.80,,1.721,L3465
4d3,b 4P,5/2,,9968.65,,1.593,L3465
4d3,a 2H,9/2,,11984.46,,0.910,L3465
4d3,a 2H,11/2,,12359.66,,1.091,L3465
4d3,b 2D,3/2,,13428.50,,0.800,L3465
4d3,b 2D,5/2,,14162.90,,1.209,L3465
4d2.(1G).5s,b 2G,7/2,,14059.76,,0.890,L3465
4d2.(1G).5s,b 2G,9/2,,14190.45,,1.103,L3465
4d.5s2,c 2D,3/2,,14298.64,,0.807,L3465
4d.5s2,c 2D,5/2,,14733.37,,1.188,L3465
4d3,b 2F,7/2,,19433.24,,1.153,L3465
4d3,b 2F,5/2,,19514.84,,0.855,L3465
4d3,b 2P,1/2,,19613.54,,0.514,L3465
4d3,b 2P,3/2,,20080.30,,1.326,L3465
4d2.(1S).5s,a 2S,1/2,,25201.57,,1.990,L3465
4d3,d 2D,5/2,,27640.60,,,L807
4d3,d 2D,3/2,,27699.96,,,L807
4d2.(3F).5p,z 4G*,5/2,,27983.83,,0.664,L3465
4d2.(3F).5p,z 4G*,7/2,,28909.04,,0.998,L3465
4d2.(3F).5p,z 4G*,9/2,,29839.87,,1.164,L3465
4d2.(3F).5p,z 4G*,11/2,,30795.74,,1.275,L3465
4d2.(3F).5p,z 2F*,5/2,,29504.97,,0.841,L3465
4d2.(3F).5p,z 2F*,7/2,,30561.75,,1.132,L3465
4d2.(3F).5p,z 4F*,3/2,,29777.60,,0.700,L3465
4d2.(3F).5p,z 4F*,5/2,,30551.48,,1.046,L3465
4d2.(3F).5p,z 4F*,7/2,,31249.28,,1.238,L3465
4d2.(3F).5p,z 4F*,9/2,,31866.49,,1.321,L3465
4d2.(3F).5p,z 2D*,3/2,,30435.38,,0.589,L3465
4d2.(3F).5p,z 2D*,5/2,,31160.04,,1.117,L3465
4d2.(3F).5p,z 4D*,1/2,,31981.25,,0.016,L3465
4d2.(3F).5p,z 4D*,3/2,,32256.71,,1.166,L3465
4d2.(3F).5p,z 4D*,5/2,,32614.71,,1.342,L3465
4d2.(3F).5p,z 4D*,7/2,,32899.46,,1.408,L3465
4d2.(3P).5p,y 2D*,3/2,,32983.73,,0.810,L3465
4d2.(3P).5p,y 2D*,5/2,,33419.45,,1.195,L3465
4d2.(3F).5p,z 2G*,7/2,,34485.42,,0.889,L3465
4d2.(3F).5p,z 2G*,9/2,,35185.64,,1.109,L3465
4d2.(3P).5p,z 2S*,1/2,,34810.03,,1.956,L3465
4d2.(1D).5p,z 2P*,3/2,,35914.81,,1.340,L3465
4d2.(1D).5p,z 2P*,1/2,,36196.57,,0.610,L3465
4d2.(3P).5p,y 4D*,1/2,,36237.04,,0.144,L3465
4d2.(3P).5p,y 4D*,3/2,,36638.50,,1.038,L3465
4d2.(3P).5p,y 4D*,5/2,,37171.22,,1.140,L3465
4d2.(3P).5p,y 4D*,7/2,,38041.49,,1.306,L3465
4d.5s.(3D).5p,y 4F*,3/2,,36451.79,,0.579,L3465
4d.5s.(3D).5p,y 4F*,5/2,,36869.00,,1.091,L3465
4d.5s.(3D).5p,y 4F*,7/2,,37429.76,,1.266,L3465
4d.5s.(3D).5p,y 4F*,9/2,,38644.12,,1.321,L3465
4d2.(1G).5p,y 2F*,5/2,,37346.31,,0.975,L3465
4d2.(1G).5p,y 2F*,7/2,,37787.59,,1.212,L3465
4d2.(3P).5p,z 4S*,3/2,,37681.75,,1.908,L3465
4d.5s.(3D).5p,z 4P*,1/2,,38063.40,,2.448,L3465
4d.5s.(3D).5p,z 4P*,3/2,,38133.50,,1.734,L3465
4d.5s.(3D).5p,z 4P*,5/2,,38482.64,,1.606,L3465
4d.5s.(3D).5p,x 4D*,1/2,,38934.37,,0.055,L3465
4d.5s.(3D).5p,x 4D*,3/2,,39192.35,,1.209,L3465
4d.5s.(3D).5p,x 4D*,5/2,,39640.08,,1.370,L3465
4d.5s.(3D).5p,x 4D*,7/2,,40238.55,,1.408,L3465
4d2.(3P).5p,y 2P*,1/2,,40727.26,,0.677,L3465
4d2.(3P).5p,y 2P*,3/2,,41337.36,,1.326,L3465
4d2.(1G).5p,y 2G*,7/2,,40852.74,,0.915,L3465
4d2.(1G).5p,y 2G*,9/2,,40878.25,,1.083,L3465
4d2.(1D).5p,x 2D*,3/2,,41467.72,,0.821,L3465
4d2.(1D).5p,x 2D*,5/2,,41676.82,,1.184,L3465
4d2.(1G).5p,z 2H*,9/2,,41738.21,,0.954,L3465
4d2.(1G).5p,z 2H*,11/2,,42409.93,,1.080,L3465
4d2.(1D).5p,x 2F*,7/2,,42504.11,,1.134,L3465
4d2.(1D).5p,x 2F*,5/2,,42860.72,,0.887,L3465
4d2.(3P).5p,y 4P*,1/2,,42789.24,,2.632,L3465
4d2.(3P).5p,y 4P*,3/2,,42893.54,,1.710,L3465
4d2.(3P).5p,y 4P*,5/2,,43202.45,,1.561,L3465
4d.5s.(1D).5p,w 2D*,3/2,,45054.87,,0.870,L3465
4d.5s.(1D).5p,w 2D*,5/2,,45186.05,,1.226,L3465
4d2.(1S).5p,x 2P*,3/2,,45568.21,,1.14,L3465
4d2.(1S).5p,x 2P*,1/2,,45944.00,,0.724,L3465
4d.5s.(1D).5p,w 2F*,5/2,,47881.88,,0.871,L3465
4d.5s.(1D).5p,w 2F*,7/2,,48344.91,,1.142,L3465
4d.5s.(1D).5p,w 2P*,1/2,,52585.80,,0.659,L3465
4d.5s.(1D).5p,w 2P*,3/2,,52876.80,,1.318,L3465
4d.5s.(3D).5p,v 2D*,3/2,,55835.53,,,L3465
4d.5s.(3D).5p,v 2D*,5/2,,56569.44,,1.16,L3465
