Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d10.6s,2S,1/2,,0.000,,0.006,                                                  ,L11760
5d9.6s2,2D,5/2,,35514.624,,0.002,                                                  ,
5d9.6s2,2D,3/2,,50555.567,,0.004,                                                  ,
5d10.6p,2P*,1/2,,51486.070,,0.008,"  98         :     1  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.6p,2P*,3/2,,60608.362,,0.003,"  96         :     2  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,,79705.262,,0.010,"  61         :    32  5d9.6s.6p  (2D<5/2>,3P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,,84212.404,,0.015,"  91         :     7  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,,84836.143,,0.007,"  56         :    35  5d9.6s.6p  (2D<5/2>,3P<0>)* ",
5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,,86178.478,,0.009,"  79         :     6  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,,91139.508,,0.027,  99                                              ,
5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,,94092.834,,0.023,"  59         :    24  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,,95187.361,,0.020,"  96         :     1  5d8.6s2.6p (3F<4>,1/2)*     ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,,95304.138,,0.020,"  87         :     4  5d9.6s.6p  (2D<5/2>,3P<1>)* ",
5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,,96187.932,,0.027,"  64         :    22  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d10.7s,2S,1/2,,95714.406,,0.004,                                                  ,
5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,,97095.774,,0.018,"  62         :    14  5d9.6s.6p  (2D<5/2>,3P<2>)* ",
5d9.6s.6p,"(2D<3/2>,3P<1>)*",5/2,,100861.369,,0.016,"  84         :     5  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,,103183.874,,0.014,"  48         :    19  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,,103873.302,,0.010,"  66         :    20  5d9.6s.6p  (2D<5/2>,3P<2>)* ",
5d10.6d,2D,3/2,,104984.138,,0.014,                                                  ,
5d10.6d,2D,5/2,,105544.042,,0.007,                                                  ,
5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,,106086.013,,0.006,  44         :    20  5d10.7p    2P*              ,
5d9.6s.6p,"(2D<5/2>,1P<1>)*",7/2,,106215.059,,0.013,"  70         :    22  5d9.6s.6p  (2D<3/2>,3P<2>)* ",
5d9.6s.6p,"(2D<5/2>,1P<1>)*",5/2,,108975.732,,0.011,"  62         :    29  5d9.6s.6p  (2D<3/2>,3P<2>)* ",
5d9.6s.6p,"(2D<3/2>,3P<2>)*",1/2,,106299.401,,0.029,"  83         :    12  5d9.6s.6p  (2D<5/2>,3P<2>)* ",
5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,,109191.648,,0.013,  73         :    18  5d10.7p    2P*              ,
5d9.6s.6p,"(2D<3/2>,3P<2>)*",7/2,,110604.447,,0.012,"  74         :    17  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d9.6s.6p,"(2D<3/2>,3P<2>)*",5/2,,111174.092,,0.011,"  62         :    24  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d10.7p,2P*,1/2,,108298.183,,0.004,"  87         :     6  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d10.7p,2P*,3/2,,111971.464,,0.005,"  60         :    20  5d9.6s.6p  (2D<5/2>,1P<1>)* ",
5d10.8s,2S,1/2,,121416.626,,0.006,                                                  ,
5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,,121753.739,,0.023,  81         :     5  5d10.8p    2P*              ,
5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,,121960.399,,0.009,  63         :    26  5d10.5f    2F*              ,
5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,124614.794,,0.008,"  85         :     4  5d9.6s.6p  (2D<3/2>,3P<1>)* ",
5d10.5f,2F*,7/2,,123153.775,,0.006,  99                                              ,
5d10.5f,2F*,5/2,,123411.351,,0.007,"  74         :    22  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.7d,2D,3/2,,125325.531,,0.006,                                                  ,
5d10.7d,2D,5/2,,125579.636,,0.007,                                                  ,
5d10.8p,2P*,1/2,,126941.844,,0.007,"  94         :     4  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.8p,2P*,3/2,,127795.481,,0.005,"  98         :     1  5d9.6s.6p  (2D<3/2>,1P<1>)* ",
5d10.9s,2S,1/2,,132560.550,,0.016,                                                  ,
5d10.6f,2F*,7/2,,133269.525,,0.019,                                                  ,
5d10.6f,2F*,5/2,,133283.820,,0.033,                                                  ,
5d10.5g,2G,9/2,,133654.879,,0.007,                                                  ,
5d10.5g,2G,7/2,,133654.913,,0.007,                                                  ,
5d10.8d,2D,3/2,,134562.854,,0.014,                                                  ,
5d10.8d,2D,5/2,,134699.466,,0.020,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",7/2,,135302.600,,0.016,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",5/2,,136714.118,,0.012,                                                  ,
5d10.9p,2P*,3/2,,135810.522,,0.008,                                                  ,
5d10.10s,2S,1/2,,138434.682,,0.022,                                                  ,
5d10.7f,2F*,7/2,,138795.581,,0.010,                                                  ,
5d10.7f,2F*,5/2,,138813.721,,0.008,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2,,138921.375,,0.012,                                                  ,
5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2,,140137.134,,0.009,                                                  ,
5d10.6g,2G,7/2,,139044.521,,0.011,                                                  ,
5d10.6g,2G,9/2,,139044.524,,0.009,                                                  ,
5d10.9d,2D,3/2,,139627.043,,0.008,                                                  ,
5d10.9d,2D,5/2,,139688.308,,0.006,                                                  ,
5d10.11s,2S,1/2,,141912.265,,0.022,                                                  ,
5d10.8f,2F*,7/2,,142128.476,,0.012,                                                  ,
5d10.8f,2F*,5/2,,142134.148,,0.012,                                                  ,
5d10.7g,2G,7/2,,142294.773,,0.011,                                                  ,
5d10.7g,2G,9/2,,142294.817,,0.012,                                                  ,
5d10.10d,2D,3/2,,142660.277,,0.010,                                                  ,
