Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5s2,a 1S,0,,0.000,,,0,  94         :     4  4d2   1S   ,L10987
4d.5s,a 3D,1,,840.198,,,0.495, 100                             ,L10987
4d.5s,a 3D,2,,1045.076,,,1.162,  98                             ,L10987
4d.5s,a 3D,3,,1449.752,,,1.332, 100                             ,L10987
4d.5s,a 1D,2,,3296.180,,,1.000,  80         :    18  4d2   1D   ,L10987
4d2,a 3F,2,,8003.126,,,0.668, 100                             ,L10987
4d2,a 3F,3,,8328.039,,,1.087, 100                             ,L10987
4d2,a 3F,4,,8743.322,,,1.256, 100                             ,L10987
4d2,a 3P,0,,13883.379,,,0,  99                             ,L10987
4d2,a 3P,1,,14018.267,,,1.497,  99                             ,L10987
4d2,a 3P,2,,14098.076,,,1.41,  86         :    10  4d2   1D   ,L10987
4d2,b 1D,2,,14832.862,,,1.10,  70         :    15  4d.5s 1D   ,L10987
4d2,a 1G,4,,15682.905,,,0.999, 100                             ,L10987
5s.5p,z 3P*,0,,23445.063,,,0,  91         :     9  4d.5p 3P*  ,L10987
5s.5p,z 3P*,1,,23776.245,,,1.489,  88         :    10  4d.5p 3P*  ,L10987
5s.5p,z 3P*,2,,24647.121,,,1.493,  87         :    12  4d.5p 3P*  ,L10987
4d2,1S,0,,25070.255,,,,  90         :     6  5p2   1S   ,L10987
4d.5p,z 1D*,2,,26147.252,,,0.912,  73         :    25  4d.5p 3F*  ,L10987
4d.5p,z 3F*,2,,27227.027,,,0.764,  74         :    25  4d.5p 1D*  ,L10987
4d.5p,z 3F*,3,,27532.321,,,1.082,  98                             ,L10987
4d.5p,z 3F*,4,,28394.177,,,1.254, 100                             ,L10987
4d.5p,z 1P*,1,,27516.699,,,0.910,  50         :    25  5s.5p 1P*  ,L10987
4d.5p,z 3D*,1,,28595.285,,,0.596,  76         :    14  4d.5p 1P*  ,L10987
4d.5p,z 3D*,2,,28730.010,,,1.165,  98                             ,L10987
4d.5p,z 3D*,3,,29213.958,,,1.333,  97                             ,L10987
4d.5p,y 3P*,0,,32048.788,,,0,  91         :     9  5s.5p 3P*  ,L10987
4d.5p,y 3P*,1,,32124.054,,,1.496,  90         :     9  5s.5p 3P*  ,L10987
4d.5p,y 3P*,2,,32283.420,,,1.494,  87         :    11  5s.5p 3P*  ,L10987
4d.5p,z 1F*,3,,33336.727,,,0.997,  97                             ,L10987
5s.5p,y 1P*,1,,44568.640,,,0.998,  61         :    32  4d.5p 1P*  ,L10987
4d.6s,e 3D,1,,54956.083,,,0.52,  95                             ,L10987
4d.6s,e 3D,2,,55032.349,,,1.12,  68         :    23  4d.6s 1D   ,L10987
4d.6s,e 3D,3,,55645.642,,,1.34,  94                             ,L10987
4d.6s,e 1D,2,,55725.522,,,1.05,  56         :    26  4d.6s 3D   ,L10987
5s.6s,e 3S,1,,58263.238,,,1.99,  72         :    26  4d.5d 3S   ,L10987
4d.5d,e 1F,3,,58533.296,,,1.02,  82         :     8  4d.5d 3G   ,L10987
4d.5d,f 3D,1,,58720.382,,,0.58,  82         :    11  4d.5d 1P   ,L10987
4d.5d,f 3D,2,,58947.625,,,1.17,  91         :     3  4d.6s 3D   ,L10987
4d.5d,f 3D,3,,59327.880,,,1.17,  72         :    14  4d.7d 1F   ,L10987
5p2,e 3P,0,,58776.425,,,0,  83         :    16  4d.5d 3P   ,L10987
5p2,e 3P,1,,59147.559,,,1.49,  79         :    17  4d.5d 3P   ,L10987
5p2,e 3P,2,,59670.257,,,1.38,  73         :    18  4d.5d 3P   ,L10987
4d.5d,e 3G,3,,59179.589,,,0.90,  82         :    14  4d.5d 3D   ,L10987
4d.5d,e 3G,4,,59472.643,,,1.06,  99                             ,L10987
4d.5d,e 3G,5,,59900.516,,,1.22, 100                             ,L10987
4d.5d,e 1P,1,,59716.843,,,0.99,  84         :    12  4d.5d 3D   ,L10987
5p2,f 1D,2,,60535.922,,,1.09,  28         :    30  4d.5d 3F   ,L10987
4d.5d,f 3S,1,,61201.662,,,1.97,  73         :    25  5s.6s 3S   ,L10987
