Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d9,2D,5/2,,0.00,,,,                                                     ,L7185
3p6.3d9,2D,3/2,,1506.94,,,,                                                     ,
3p6.3d8.(3F).4s,4F,9/2,,8393.90,,,1.355, 100                                                 ,
3p6.3d8.(3F).4s,4F,7/2,,9330.04,,,1.244,  98             :     2  3d8.(3F).4s          2F    ,
3p6.3d8.(3F).4s,4F,5/2,,10115.66,,,1.023,  99             :     1  3d8.(3F).4s          2F    ,
3p6.3d8.(3F).4s,4F,3/2,,10663.89,,,0.397,  99             :     1  3d8.(1D).4s          2D    ,
3p6.3d8.(3F).4s,2F,7/2,,13550.39,,,1.141,  98             :     2  3d8.(3F).4s          4F    ,
3p6.3d8.(3F).4s,2F,5/2,,14995.57,,,0.866,  98             :     1  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,4P,5/2,,23108.28,,,1.428,  54             :    46  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,4P,3/2,,24788.20,,,,  78             :    22  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,4P,1/2,,24835.93,,,2.667, 100                                                 ,
3p6.3d8.(1D).4s,2D,3/2,,23796.18,,,1.045,  75             :    22  3d8.(3P).4s          4P    ,
3p6.3d8.(1D).4s,2D,5/2,,25036.38,,,1.368,  53             :    46  3d8.(3P).4s          4P    ,
3p6.3d8.(3P).4s,2P,3/2,,29070.93,,,1.322,  97             :     3  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,2P,1/2,,29593.46,,,0.670, 100                                                 ,
3p6.3d8.(1G).4s,2G,9/2,,32499.53,,,1.135, 100                                                 ,
3p6.3d8.(1G).4s,2G,7/2,,32523.54,,,0.895,                                                     ,
3p6.3d7.4s2,4F,9/2,,51045.46,,,, 100                                                 ,
3p6.3d7.4s2,4F,7/2,,52205.95,,,, 100                                                 ,
3p6.3d7.4s2,4F,5/2,,53037.93,,,, 100                                                 ,
3p6.3d7.4s2,4F,3/2,,53601.19,,,, 100                                                 ,
3p6.3d8.(3F).4p,4D*,7/2,,51557.85,,,1.420,  94                                                 ,
3p6.3d8.(3F).4p,4D*,5/2,,52738.45,,,1.365,  93                                                 ,
3p6.3d8.(3F).4p,4D*,3/2,,53634.62,,,1.186,  94             :     4  3d8.(3P).4p          4D*   ,
3p6.3d8.(3F).4p,4D*,1/2,,54176.26,,,-0.005,  96                                                 ,
3p6.3d8.(3F).4p,4G*,9/2,,53365.17,,,1.156,  67             :    23  3d8.(3F).4p          2G*   ,
3p6.3d8.(3F).4p,4G*,11/2,,53496.49,,,1.305, 100                                                 ,
3p6.3d8.(3F).4p,4G*,7/2,,54262.63,,,1.025,  81             :    10  3d8.(3F).4p          4F*   ,
3p6.3d8.(3F).4p,4G*,5/2,,55018.71,,,0.616,  94             :     5  3d8.(3F).4p          4F*   ,
3p6.3d8.(3F).4p,4F*,9/2,,54557.05,,,1.26,  80             :    19  3d8.(3F).4p          2G*   ,
3p6.3d8.(3F).4p,4F*,7/2,,55417.83,,,1.184,  76             :    10  3d8.(3F).4p          2F*   ,
3p6.3d8.(3F).4p,4F*,5/2,,56075.26,,,0.985,  87             :     6  3d8.(3F).4p          4G*   ,
3p6.3d8.(3F).4p,4F*,3/2,,56424.49,,,0.412,  95                                                 ,
