Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3s2.3p2.(1D).4p,2P*,3/2,,143623.56,,,  89         :     8  3s2.3p2.(3P).4p 2P*  ,
3s2.3p2.(1D).3d,2D,5/2,,144009.42,,,  64         :    14  3s2.3p2.(1S).3d 2D   ,
3s2.3p2.(1D).3d,2D,3/2,,144142.16,,,  64         :    14  3s.3p4          2D   ,
3s.3p4,2P,3/2,,145505.74,,,  35         :    42  3s2.3p2.(3P).4d 2P   ,
3s.3p4,2P,1/2,,145877.66,,,  36         :    42  3s2.3p2.(3P).4d 2P   ,
3s2.3p2.(1S).3d,2D,5/2,,148886.57,,,  64         :    14  3s2.3p2.(3P).4d 2D   ,
3s2.3p2.(1S).3d,2D,3/2,,148900.91,,,  64         :    15  3s2.3p2.(3P).4d 2D   ,
3s2.3p2.(3P).5s,4P,1/2,,150258.51,,,                                           ,
3s2.3p2.(3P).5s,4P,3/2,,150531.31,,,  98         :     2  3s2.3p2.(3P).5s 2P   ,
3s2.3p2.(3P).5s,4P,5/2,,150996.41,,,  99         :     1  3s2.3p2.(3P).4d 4P   ,
3s2.3p2.(3P).5s,2P,1/2,,151383.81,,,  97         :     1  3s2.3p2.(3P).4d 2P   ,
3s2.3p2.(3P).5s,2P,3/2,,151910.83,,,  96         :     2  3s2.3p2.(3P).5s 4P   ,
3s2.3p2.(1D).3d,2S,1/2,,151651.72,,,                                           ,
3s2.3p2.(3P).4d,4F,3/2,,151959.69,,,  96         :     2  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,5/2,,152094.64,,,  95         :     3  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,7/2,,152305.00,,,  94         :     4  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,9/2,,152615.46,,,  98         :     1  3s2.3p2.(3P).3d 4F   ,
3s2.3p2.(3P).4d,4D,1/2,,153153.90,,,  99         :     1  3s2.3p2.(3P).3d 4D   ,
3s2.3p2.(3P).4d,4D,3/2,,153201.95,,,  97         :     2  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4d,4D,5/2,,153283.07,,,  95         :     3  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4d,4D,7/2,,153413.74,,,  95         :     4  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4d,4P,5/2,,155818.71,,,  94         :     2  3s.3p4          4P   ,
3s2.3p2.(3P).4d,4P,3/2,,156029.54,,,  94         :     2  3s.3p4          4P   ,
3s2.3p2.(3P).4d,4P,1/2,,156148.48,,,  94         :     2  3s.3p4          4P   ,
3s2.3p2.(3P).4d,2F,5/2,,156121.70,,,  78         :    12  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(3P).4d,2F,7/2,,156604.17,,,  79         :    11  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(1S).4p,2P*,1/2,,156167.04,,,  85         :     5  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(1S).4p,2P*,3/2,,156276.83,,,  92         :     5  3s2.3p2.(1D).5p 2P*  ,
3s2.3p2.(3P).5p,4D*,1/2,,156829.75,,,  95         :     4  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(3P).5p,4D*,3/2,,156939.50,,,  92         :     6  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).5p,4D*,5/2,,157173.69,,,  92         :     6  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).5p,4D*,7/2,,157558.77,,,  99                                       ,
3s2.3p2.(3P).5p,4P*,3/2,,157579.68,,,  55         :    37  3s2.3p2.(3P).5p 4S*  ,
3s2.3p2.(3P).5p,4P*,1/2,,157677.32,,,  95         :     3  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(3P).5p,4P*,5/2,,158038.60,,,  90         :     7  3s2.3p2.(3P).5p 4D*  ,
3s2.3p2.(3P).5p,4S*,3/2,,158118.75,,,  51         :    37  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).5p,2D*,3/2,,158215.59,,,  86         :     9  3s2.3p2.(3P).5p 4S*  ,
3s2.3p2.(3P).5p,2D*,5/2,,158715.46,,,  94         :     4  3s2.3p2.(3P).5p 4P*  ,
3s2.3p2.(3P).4d,2P,3/2,,158828.31,,,  43         :    22  3s.3p4          2P   ,
3s2.3p2.(3P).4d,2P,1/2,,159283.66,,,  50         :    25  3s.3p4          2P   ,
3s2.3p2.(3P).4d,2D,5/2,,159492.83,,,  73         :     9  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(3P).4d,2D,3/2,,159495.94,,,  62         :     8  3s2.3p2.(3P).5d 2P   ,
3s2.3p2.(3P<0>).4f,2[3]*,5/2,,160104.11,,,  95     or  :    44  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<0>).4f,2[3]*,7/2,,160128.90,,,  91     or  :    57  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<1>).4f,2[3]*,5/2,,160258.03,,,  99     or  :    52  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<1>).4f,2[3]*,7/2,,160284.24,,,  93     or  :    41  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<1>).4f,2[4]*,9/2,,160442.67,,,  94     or  :    74  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<1>).4f,2[4]*,7/2,,160483.16,,,  90     or  :    57  3s2.3p2.(3P).4f 2G*  ,
3s2.3p2.(3P<1>).4f,2[2]*,3/2,,160462.24,,,  86     or  :    46  3s2.3p2.(3P).4f 2D*  ,
3s2.3p2.(3P<1>).4f,2[2]*,5/2,,160467.51,,,  84     or  :    70  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<2>).4f,2[1]*,1/2?,,160733.68,,,  99     or  :   100  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<2>).4f,2[1]*,3/2?,,160733.68,,,  99     or  :    52  3s2.3p2.(3P).4f 4D*  ,
3s2.3p2.(3P<2>).4f,2[5]*,11/2,,160828.69,,,  99     or  :   100  3s2.3p2.(3P).4f 4G*  ,
3s2.3p2.(3P<2>).4f,2[5]*,9/2,,160920.95,,,  98     or  :    80  3s2.3p2.(3P).4f 2G*  ,
3s2.3p2.(3P<2>).4f,2[2]*,3/2,,161221.05,,,  85     or  :    88  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[2]*,5/2,,161253.47,,,  70     or  :    74  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[4]*,7/2,,161329.65,,,  80     or  :    88  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[4]*,9/2,,161360.19,,,  94     or  :    91  3s2.3p2.(3P).4f 4F*  ,
3s2.3p2.(3P<2>).4f,2[3]*,5/2,,161386.45,,,  79     or  :    76  3s2.3p2.(3P).4f 2F*  ,
3s2.3p2.(3P<2>).4f,2[3]*,7/2,,161454.96,,,  79     or  :    91  3s2.3p2.(3P).4f 2F*  ,
3s2.3p2.(1D).5s,2D,5/2,,161733.10,,,  99         :     1  3s2.3p2.(1D).4d 2D   ,
