Configuration,Term,J,Prefix,Level (cm-1),Suffix,Lande,Reference
4d4,5D,0,,0.000,,0,L11823
4d4,5D,1,,158.984,,1.500,L11823
4d4,5D,2,,438.361,,1.490,L11823
4d4,5D,3,,801.326,,1.486,L11823
4d4,5D,4,,1224.823,,1.495,L11823
4d3.(4F).5s,5F,1,,2356.816,,0.000,L11823
4d3.(4F).5s,5F,2,,2629.132,,0.996,L11823
4d3.(4F).5s,5F,3,,3029.629,,1.248,L11823
4d3.(4F).5s,5F,4,,3542.561,,1.350,L11823
4d3.(4F).5s,5F,5,,4146.037,,1.390,L11823
4d4,3P2,0,,5562.241,,0,L11823
4d4,3P2,1,,6192.310,,1.495,L11823
4d4,3P2,2,,7261.324,,1.450,L11823
4d4,3F2,2,,7505.765,,0.712,L11823
4d4,3F2,3,,7900.644,,1.070,L11823
4d4,3F2,4,,8320.373,,1.230,L11823
4d4,3H,4,,9509.604,,0.825,L11823
4d4,3H,5,,9812.452,,1.050,L11823
4d4,3H,6,,10186.390,,1.157,L11823
4d4,3G,3,,10246.955,,0.765,L11823
4d4,3G,4,,10604.229,,1.052,L11823
4d4,3G,5,,10918.474,,1.180,L11823
4d3.(4P).5s,5P,1,,10653.427,,2.477,L11823
4d3.(4P).5s,5P,2,,10835.837,,1.815,L11823
4d3.(4P).5s,5P,3,,11339.590,,1.663,L11823
4d4,1D2,2,,12263.221,,1.003,L11823
4d4,3D,2,,12805.965,,0.849,L11823
4d4,3D,3,,13054.696,,1.246,L11823
4d4,3D,1,,13118.528,,0.512,L11823
4d3.(4F).5s,3F,2,,13479.460,,1.002,L11823
4d3.(4F).5s,3F,4,,13665.686,,1.152,L11823
4d3.(4F).5s,3F,3,,13690.228,,1.150,L11823
4d3.(2P).5s,3P,1,,14626.199,,1.504,L11823
4d3.(2P).5s,3P,2,,14660.755,,1.483,L11823
4d3.(2P).5s,3P,0,,14678.318,,0,L11823
4d4,1G2,4,,14790.755,,1.083,L11823
4d4,1I,6,,15395.928,,1.000,L11823
4d3.(2G).5s,3G,3,,15551.252,,0.767,L11823
4d3.(2G).5s,3G,4,,15949.370,,1.027,L11823
4d3.(2G).5s,3G,5,,16052.672,,1.190,L11823
4d3.(2G).5s,1G,4,,16218.937,,0.950,L11823
4d4,1S2,0,,17202.476,,0,L11823
4d3.(2H).5s,3H,5,,17292.479,,1.052,L11823
