Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
6p3,4S*,3/2,4,,0,,,L16139
Po III (6p2 3P<0>),Limit,---,,[,156000,],14000,L16139
